Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Airport (for Parket no. 73),Anri Sala,29622,"(Albanian, born 1974)",(Albanian),(1974),(0),(Male),2005,C-print,"Paper: 20 1/2 x 27 9/16""",Carol and Morton H. Rapp Fund,949.2005,Print,Drawings & Prints,2005-10-25,Y,100105,http://www.moma.org/collection/works/100105,http://www.moma.org/media/W1siZiIsIjIyMTUzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ee4acc49f248b302,,,,52.0701041402,,,70.0088900178,,
Làk-kat,Anri Sala,29622,"(Albanian, born 1974)",(Albanian),(1974),(0),(Male),2004,"Video (color, sound)",9:44 min.,Fund for the Twenty-First Century,535.2004,Video,Media and Performance,2004-12-13,Y,100109,http://www.moma.org/collection/works/100109,,,,,,,,,,584.0
Parkett no. 73,"Matthew Brannon, Ellen Gallagher, Paul McCarthy, Anri Sala, Carsten Nicolai, Various Artists","30111, 7639, 7637, 29622, 28736, 24409","(American, born 1971) (American, born 1965) (American, born 1945) (Albanian, born 1974) (German, born 1965)",(American) (American) (American) (Albanian) (German) (),(1971) (1965) (1945) (1974) (1965) (0),(0) (0) (0) (0) (0) (0),(Male) (Female) (Male) (Male) (Male) (),2005,Journal,"Overall: 10 1/8 x 8 3/8 x 3/4"" (25.7 x 21.3 x 1.9 cm)",Gift of Parkett,944.2005.x1-x2,Periodical,Drawings & Prints,2005-10-25,Y,100632,http://www.moma.org/collection/works/100632,http://www.moma.org/media/W1siZiIsIjQyNTg4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ed2daf631f9d073d,,1.905,,25.7176,,,21.2725,,
Turn On,Adrian Paci,30621,"(Albanian, born 1969)",(Albanian),(1969),(0),(Male),2004,"Video (color, sound)",3:33 min.,Fund for the Twenty-First Century,232.2006,Video,Media and Performance,2006-06-05,Y,102826,http://www.moma.org/collection/works/102826,http://www.moma.org/media/W1siZiIsIjEwNzU3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=03f76709ec46a9f8,,,,,,,,,0.0
Untitled from the Museum in Progress project Utopia Station,"Anri Sala, Edi Rama","29622, 31324","(Albanian, born 1974) (Albanian, born 1964)",(Albanian) (Albanian),(1974) (1964),(0) (0),(Male) (Male),"(newspapers published March 28-29, 2003)","Two lithographs, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.354a-b,Print,Drawings & Prints,2006-06-01,N,104784,,,,,,47.0,,,31.5,,
Untitled from the Museum in Progress project Utopia Station,"Anri Sala, Edi Rama","29622, 31324","(Albanian, born 1974) (Albanian, born 1964)",(Albanian) (Albanian),(1974) (1964),(0) (0),(Male) (Male),"(newspapers published March 28-29, 2003)","Two lithographs, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.354a-b,Print,Drawings & Prints,2006-06-01,N,104784,,,,,,47.0,,,31.5,,
Time After Time from Point of View: An Anthology of the Moving Image,Anri Sala,29622,"(Albanian, born 1974)",(Albanian),(1974),(0),(Male),2003,"Video (color, sound)",5:22 min.,Gift of The New Art Trust,3510.2005.11,Video,Media and Performance,2005-10-15,Y,120441,http://www.moma.org/collection/works/120441,,,,,,,,,,322.0
She,Adrian Paci,30621,"(Albanian, born 1969)",(Albanian),(1969),(0),(Male),2008,Portfolio of sixteen etching and aquatints,"plate (each approx.): 4 1/2 x 6"" (11.4 x 15.2 cm); sheet (each approx.): 16 3/4 x 13"" (42.5 x 33 cm)",Gift of Peter Blum,1658.2012.1-16,Print,Drawings & Prints,2012-10-03,Y,164245,http://www.moma.org/collection/works/164245,http://www.moma.org/media/W1siZiIsIjI1Njc2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d34b3cb38b8500cc,,,,11.4,,,15.2,,
Untitled from She,Adrian Paci,30621,"(Albanian, born 1969)",(Albanian),(1969),(0),(Male),2008,One from a portfolio of sixteen etching and aquatints,"plate: 4 7/16 x 5 15/16"" (11.3 x 15.1 cm); sheet: 16 3/4 x 13"" (42.5 x 33 cm)",Gift of Peter Blum,1658.2012.1,Print,Drawings & Prints,2012-10-03,Y,165210,http://www.moma.org/collection/works/165210,http://www.moma.org/media/W1siZiIsIjI1Njc2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=21571d9252eaf53d,,,,11.3,,,15.1,,
Untitled from She,Adrian Paci,30621,"(Albanian, born 1969)",(Albanian),(1969),(0),(Male),2008,One from a portfolio of sixteen etching and aquatints,"plate: 4 7/16 x 5 7/8"" (11.3 x 15 cm); sheet: 16 3/4 x 13"" (42.5 x 33 cm)",Gift of Peter Blum,1658.2012.2,Print,Drawings & Prints,2012-10-03,Y,165211,http://www.moma.org/collection/works/165211,http://www.moma.org/media/W1siZiIsIjI1Njc3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=550e28f7df440110,,,,11.3,,,15.0,,
