Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
À la gloire de la main,"Christine Boumeester, Roger Chastel, Pierre Courtin, Sylvain Durand, Jean Fautrier, M. Fiorini, Albert (Albert Mentzel) Flocon, Henri Goetz, Léon Prébandier, Germaine Richier, Jean Signovert, Raoul Ubac, Roger Vieillard, Jacques Villon, Gérard Vulliamy, Albert E. Yersin, Various Artists","705, 1081, 1274, 1656, 1815, 1880, 1918, 2204, 4724, 4905, 5423, 5997, 6150, 6165, 6196, 6498, 24409","(Dutch, 1904–1971) (French, 1897–1981) (French, 1921–2012) (French) (French, 1898–1964) (Algerian, 1922–2008) (French, 1909–1946) (French, 1909–1989) (French, born 1921) (French, 1904–1959) (French, 1919–1981) (Belgian, born Germany, 1910–1985) (French, 1907–1989) (French, 1875–1963) (French, 1909–2005) (Swiss, 1905–1984)",(Dutch) (French) (French) (French) (French) (Algerian) (French) (French) (French) (French) (French) (Belgian) (French) (French) (French) (Swiss) (),(1904) (1897) (1921) (0) (1898) (1922) (1909) (1909) (1921) (1904) (1919) (1910) (1907) (1875) (1909) (1905) (0),(1971) (1981) (2012) (0) (1964) (2008) (1946) (1989) (0) (1959) (1981) (1985) (1989) (1963) (2005) (1984) (0),(Female) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (Male) (Male) (Male) (),1949,"Illustrated book with seven engravings (two with roulette), seven etchings (four with aquatint), and two lithographs","page  10 15/16 x 8 13/16"" (27 x 22.4 cm)
Prints: various dimensions.",Purchase Fund,269.1951.1-16,Illustrated Book,Drawings & Prints,1951-05-24,N,14395,,,,,,27.0,,,22.4,,
"RHAMSA, plate 6 (page 75) from À LA GLOIRE DE LA MAIN",M. Fiorini,1880,"(Algerian, 1922–2008)",(Algerian),(1922),(2008),(Male),"Paris, (privately published), 1949.","Etching and aquatint, printed in black","plate  6 7/8 x 5"" (17.5 x 12.8 cm)",Purchase Fund,269.1951.6,Illustrated Book,Drawings & Prints,1951-05-24,N,14407,,,,,,17.5,,,12.8,,
High definition and objectives: expansion and transparency,Neïl Beloufa,49216,"(Algerian/French, born 1985)",(Algerian),(1985),(0),(Male),2016,"Video (color, sound; 10:59 min.), steel, Plexiglas, aluminum, paper, motor, computer, speakers, and Formica","Overall: 196 × 87 × 80"" (497.8 × 221 × 203.2 cm)
Duration: 10:59 min.",Fund for the Twenty-First Century,1350.2016.a-u,Installation,Media and Performance,2016-12-15,Y,200166,http://www.moma.org/collection/works/200166,http://www.moma.org/media/W1siZiIsIjQ4MzA5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c520689679d69a83,,203.2004064008,,497.840995682,,,220.9804419609,,
Kempinski,Neïl Beloufa,49216,"(Algerian/French, born 1985)",(Algerian),(1985),(0),(Male),2007,"Video (color, sound; 14 min.), wood, and plaster","Component (Bench): 66 15/16 × 80 5/16 × 20 7/8"" (170 × 204 × 53 cm)",Gift of the Bronzini Vender Family,772.2016,Installation,Media and Performance,2016-09-19,Y,205633,http://www.moma.org/collection/works/205633,,,,,,,,,,840.0
After Oil,"Rania Ghosn, El Hadi Jazairy","70051, 70052","(Lebanese, born 1977) (Algerian, born 1970)",(Lebanese) (Algerian),(1977) (1970),(0) (0),(Female) (Male),2016,Inkjet print on canvas,"Each: 27 9/16 × 27 9/16 × 13/16"" (70 × 70 × 2 cm)",Fund for the Twenty-First Century,56.2018.1-9,Architecture,Architecture & Design,2018-02-12,N,273386,,,,2.0,,70.0,,,70.0,,
"After Oil (Das Island, Das Crude)","Rania Ghosn, El Hadi Jazairy","70051, 70052","(Lebanese, born 1977) (Algerian, born 1970)",(Lebanese) (Algerian),(1977) (1970),(0) (0),(Female) (Male),2016,Inkjet print on canvas,"27 9/16 × 27 9/16 × 13/16"" (70 × 70 × 2 cm)",Fund for the Twenty-First Century,56.2018.1,Architecture,Architecture & Design,2018-02-12,Y,279883,http://www.moma.org/collection/works/279883,http://www.moma.org/media/W1siZiIsIjQ1NzI3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b1b32d84aec40715,,2.0,,70.0,,,70.0,,
"After Oil (Das Island, Das Crude)","Rania Ghosn, El Hadi Jazairy","70051, 70052","(Lebanese, born 1977) (Algerian, born 1970)",(Lebanese) (Algerian),(1977) (1970),(0) (0),(Female) (Male),2016,Inkjet print on canvas,"27 9/16 × 27 9/16 × 13/16"" (70 × 70 × 2 cm)",Fund for the Twenty-First Century,56.2018.2,Architecture,Architecture & Design,2018-02-12,Y,279884,http://www.moma.org/collection/works/279884,http://www.moma.org/media/W1siZiIsIjQ1NzI3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9cf452635874df22,,2.0,,70.0,,,70.0,,
"After Oil (Das Island, Das Crude)","Rania Ghosn, El Hadi Jazairy","70051, 70052","(Lebanese, born 1977) (Algerian, born 1970)",(Lebanese) (Algerian),(1977) (1970),(0) (0),(Female) (Male),2016,Inkjet print on canvas,"27 9/16 × 27 9/16 × 13/16"" (70 × 70 × 2 cm)",Fund for the Twenty-First Century,56.2018.3,Architecture,Architecture & Design,2018-02-12,Y,279885,http://www.moma.org/collection/works/279885,http://www.moma.org/media/W1siZiIsIjQ1NzI3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=35910654bdf79e4e,,2.0,,70.0,,,70.0,,
After Oil (Strait of Hormuz Grand Chessboard),"Rania Ghosn, El Hadi Jazairy","70051, 70052","(Lebanese, born 1977) (Algerian, born 1970)",(Lebanese) (Algerian),(1977) (1970),(0) (0),(Female) (Male),2016,Inkjet print on canvas,"27 9/16 × 27 9/16 × 13/16"" (70 × 70 × 2 cm)",Fund for the Twenty-First Century,56.2018.4,Architecture,Architecture & Design,2018-02-12,Y,279886,http://www.moma.org/collection/works/279886,http://www.moma.org/media/W1siZiIsIjQ1NzI3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=365cc8c6194cccbf,,2.0,,70.0,,,70.0,,
After Oil (Strait of Hormuz Grand Chessboard),"Rania Ghosn, El Hadi Jazairy","70051, 70052","(Lebanese, born 1977) (Algerian, born 1970)",(Lebanese) (Algerian),(1977) (1970),(0) (0),(Female) (Male),2016,Inkjet print on canvas,"27 9/16 × 27 9/16 × 13/16"" (70 × 70 × 2 cm)",Fund for the Twenty-First Century,56.2018.5,Architecture,Architecture & Design,2018-02-12,Y,279887,http://www.moma.org/collection/works/279887,http://www.moma.org/media/W1siZiIsIjQ1NzI3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=905d6732b19b6d0c,,2.0,,70.0,,,70.0,,
