Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Ferdinandsbrücke Project, Vienna, Austria (Elevation, preliminary version)",Otto Wagner,6210,"(Austrian, 1841–1918)",(Austrian),(1841),(1918),(Male),1896,Ink and cut-and-pasted painted pages on paper,"19 1/8 x 66 1/2"" (48.6 x 168.9 cm)",Fractional and promised gift of Jo Carole and Ronald S. Lauder,885.1996,Architecture,Architecture & Design,1996-04-09,Y,2,http://www.moma.org/collection/works/2,http://www.moma.org/media/W1siZiIsIjUyNzc3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2b6136794dbeccea,,,,48.6,,,168.9,,
"Villa near Vienna Project, Outside Vienna, Austria, Elevation",Emil Hoppe,7605,"(Austrian, 1876–1957)",(Austrian),(1876),(1957),(Male),1903,"Graphite, pen, color pencil, ink, and gouache on tracing paper","13 1/2 x 12 1/2"" (34.3 x 31.8 cm)",Gift of Jo Carole and Ronald S. Lauder,1.1997,Architecture,Architecture & Design,1997-01-15,Y,4,http://www.moma.org/collection/works/4,http://www.moma.org/media/W1siZiIsIjUyNzM3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cb7cf06fc2132371,,,,34.3,,,31.8,,
"Villa, project, outside Vienna, Austria, Exterior perspective",Emil Hoppe,7605,"(Austrian, 1876–1957)",(Austrian),(1876),(1957),(Male),1903,"Graphite, color pencil, ink, and gouache on tracing paper","15 1/8 x 7 1/2"" (38.4 x 19.1 cm)",Gift of Jo Carole and Ronald S. Lauder,2.1997,Architecture,Architecture & Design,1997-01-15,Y,6,http://www.moma.org/collection/works/6,http://www.moma.org/media/W1siZiIsIjUyNzQ3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=75a319a91f6785f2,,,,38.4,,,19.1,,
"Royal Hunting Tent, project, Exterior perspective",Marcel Kammerer,7607,"(Austrian, 1878–1969)",(Austrian),(1878),(1969),(Male),1900,"Ink, graphite, watercolor, gouache, and airbrush on paper","18 7/8 x 12 3/8"" (47.9 x 31.4 cm)",Gift of Jo Carole and Ronald S. Lauder,4.1997,Architecture,Architecture & Design,1997-01-15,Y,34,http://www.moma.org/collection/works/34,http://www.moma.org/media/W1siZiIsIjUyNzY0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9455115d68044d7d,,,,47.9,,,31.4,,
"House in Krems, project, Krems, Austria, Elevation",Otto Schönthal,7608,"(Austrian, 1878–1961)",(Austrian),(1878),(1961),(Male),1905,"Graphite, ink, watercolor, and metallic paint on paper","12 x 8 1/2"" (30.5 x 21.6 cm)",Gift of Jo Carole and Ronald S. Lauder,5.1997,Architecture,Architecture & Design,1997-01-15,Y,36,http://www.moma.org/collection/works/36,http://www.moma.org/media/W1siZiIsIjUyNzcwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=05a99b27e4ccc494,,,,30.5,,,21.6,,
"Imperial Post Office, Teschen, Austria (Elevation)",Otto Schönthal,7608,"(Austrian, 1878–1961)",(Austrian),(1878),(1961),(Male),1906,"Pencil, ink, colored pencil, and gouache on paper","11 5/8 x 14 1/8"" (29.6 x 35.8 cm)",Gift of Jo Carole and Ronald S. Lauder,6.1997,Architecture,Architecture & Design,1997-01-15,Y,39,http://www.moma.org/collection/works/39,,,,,29.6,,,35.8,,
"Video Clip Folly Project, Groningen, The Netherlands, Exterior perspective","Wolf D. Prix, Helmut Swiczinsky","7572, 7573","(Austrian, born 1942) (Polish, born 1944)",(Austrian) (Polish),(1942) (1944),(0) (0),(Male) (Male),1993,Graphite on spiral-bound notepad paper,"7 3/8 x 5 3/8"" (18.7 x 13.7 cm)",Gift of the architects in honor of Lily Auchincloss,379.1994,Architecture,Architecture & Design,1994-09-21,Y,448,http://www.moma.org/collection/works/448,http://www.moma.org/media/W1siZiIsIjUyNzYyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3dba6a947482bdfa,,,,18.7,,,13.7,,
"Museum of Vulcanism, Saint-Ours-les-Roches, Auvergne, France, Exterior perspective",Hans Hollein,2705,"(Austrian, 1934–2014)",(Austrian),(1934),(2014),(Male),1994,Graphite on electrostatic print,"11 3/4 x 15 15/16"" (29.8 x 40.5 cm)",Gift of the architect in honor of Lily Auchincloss,382.1994,Architecture,Architecture & Design,1994-09-21,Y,460,http://www.moma.org/collection/works/460,http://www.moma.org/media/W1siZiIsIjUyNzYyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e5919787aa6cbf36,,,,29.8,,,40.5,,
"Formmutation I, project","Wolf D. Prix, Helmut Swiczinsky","7572, 7573","(Austrian, born 1942) (Polish, born 1944)",(Austrian) (Polish),(1942) (1944),(0) (0),(Male) (Male),1981,Graphite on paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Frederieke Taylor Purchase Fund,394.1988,Architecture,Architecture & Design,1988-11-22,Y,516,http://www.moma.org/collection/works/516,http://www.moma.org/media/W1siZiIsIjUyNzEyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a020070fcc86f258,,,,29.8,,,41.9,,
Beach House Project (Aerial perspective),Hans Hollein,2705,"(Austrian, 1934–2014)",(Austrian),(1934),(2014),(Male),1963,"Marker, graphite, and cut-and-pasted color reproduction on tracing paper","15 1/2 x 21 7/8"" (39.4 x 55.6 cm) (irreg.)",Philip Johnson Fund,432.1967,Architecture,Architecture & Design,1967-04-11,Y,630,http://www.moma.org/collection/works/630,http://www.moma.org/media/W1siZiIsIjUxOTc1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d6d297a5e2611e54,,,,35.9,,,53.3,,
