Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective","Rem Koolhaas, Götz Keller, Willem Jan Neutelings, Brigitte Kochta, Marty Kohn, Luc Reuse, Ron Steiner, Jeroen Thomas, Garciella Torre","6956, 8173, 8177, 8178, 8174, 8179, 7579, 8175, 8176","(Dutch, born 1944) (German, born 1958) (Dutch, born 1959) (German, born 1958) (Canadian, born 1953) (Belgian, born 1955) (American, born 1952) (Dutch, born 1952) (Spanish, born 1959)",(Dutch) (German) (Dutch) (German) (Canadian) (Belgian) (American) (Dutch) (Spanish),(1944) (1958) (1959) (1958) (1953) (1955) (1952) (1952) (1959),(0) (0) (0) (0) (0) (0) (0) (0) (0),(Male) () (Male) (Female) (Male) (Male) (Male) (Male) (Female),1987,Pastel and graphite on paper,"62 x 81"" (157.5 x 205.7 cm)",Purchase,426.1992,Architecture,Architecture & Design,1992-10-21,Y,619,http://www.moma.org/collection/works/619,http://www.moma.org/media/W1siZiIsIjUyNzY2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e4699ff65e6d4d3,,,,157.5,,,205.7,,
"Trés Grande Bibliotheque, National Library of France, project, Paris, France","Rem Koolhaas, Art Zaaijer, Xaveer de Geijter, Georges Heinz, Heike Lohmann, Ron Steiner, Alex Wall, Christophe Cornubert, Ramon Klein, Yushi Uehara","6956, 22825, 22826, 22827, 22828, 7579, 22829, 22830, 22831, 8933","(Dutch, born 1944) (Dutch, born 1958) (Belgian, born 1957) (French, born 1959) (German, born 1960) (American, born 1952) (American, born 1948) (American, born 1963) (American, born 1957) (Japanese, born 1964)",(Dutch) (Dutch) (Belgian) (French) (German) (American) (American) (American) (American) (Japanese),(1944) (1958) (1957) (1959) (1960) (1952) (1948) (1963) (1957) (1964),(0) (0) (0) (0) (0) (0) (0) (0) (0) (0),(Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (Male) (Male),1989,"Plaster, aluminum, and plywood base","69 x 29 1/2 x 34 1/4"" (104.1 x 74.9 x 87 cm)",Frederieke Taylor Purchase Fund and partial gift of the architect,12.1997,Architecture,Architecture & Design,1997-01-15,Y,969,http://www.moma.org/collection/works/969,http://www.moma.org/media/W1siZiIsIjI5NDYyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96f86ac1f0375e32,,87.0,,175.2603505207,,,74.9,,
Pitcher,Koen De Winter,7212,"(Belgian, born 1943)",(Belgian),(1943),(0),(Male),1976,Polypropylene and SAN plastic,"8 3/4 x 5 3/4"" (22.2 x 14.6 cm)",Given anonymously,2323.2001.a-b,Design,Architecture & Design,2001-09-24,Y,1200,http://www.moma.org/collection/works/1200,http://www.moma.org/media/W1siZiIsIjIzMDI3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7339a2af241004cb,,,14.605,22.225,,,,,
Isowave Textile,"N.V. Schlegel S.A., Gistel, Belgium",9712,,(Belgian),(0),(0),(),c. 1995,Nylon and copper,"236 1/2 x 40 1/2"" (600.7 x 102.9 cm)",Gift of the manufacturer,118.1996,Design,Architecture & Design,1996-04-09,Y,2196,http://www.moma.org/collection/works/2196,,,,,,600.7112,,102.9,,
Musée de l'Affiche 18 Rue de Paradis Paris X,Jean-Michel Folon,1927,"(Belgian, born 1934)",(Belgian),(1934),(0),(Male),1978,Lithograph,"31 x 22 7/8"" (78.7 x 58.1 cm)",Gift of the designer,258.1980,Design,Architecture & Design,1980-01-08,Y,3102,http://www.moma.org/collection/works/3102,,,,,78.7402,,,58.1026,,
Pitcher,Koen De Winter,7212,"(Belgian, born 1943)",(Belgian),(1943),(0),(Male),1976,Polypropylene and SAN plastic,".a (pitcher): 8 7/8 x 7 1/2 x 4 1/16"" (22.5 x 19 x 10.3 cm)
.b (top): 1 7/16 x 6 1/2 x 4"" (3.6 x 16.5 x 10.1 cm)",Friends of the Department Fund,336.1977.a-b,Design,Architecture & Design,1977-06-01,Y,3327,http://www.moma.org/collection/works/3327,http://www.moma.org/media/W1siZiIsIjIyOTMxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=626c6ade09039c54,,10.3188,,22.5425,,,19.05,,
Carpet,Lucien Vlerick,6178,"(Belgian, born 1921)",(Belgian),(1921),(0),(Male),1975,"Felted wool, jute, and cotton","81 1/2 x 52 1/2"" (207 x 133.4 cm)",Gift of the manufacturer,375.1985,Design,Architecture & Design,1985-11-18,Y,3698,http://www.moma.org/collection/works/3698,,,,,207.0,,,133.4,,
Lobster Forks,Henry Clemens van de Velde,6068,"(Belgian, 1863–1957)",(Belgian),(1863),(1957),(Male),1902-03,Silver,"Each: 7 5/8 x 5/8 x 1/4"" (19.4 x 1.6 x 0.6 cm)",Marshall Cogan Purchase Fund,378.1982.1-5,Design,Architecture & Design,1982-10-27,Y,3706,http://www.moma.org/collection/works/3706,http://www.moma.org/media/W1siZiIsIjIxMTIxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5c63ec9858006a88,,0.635,,19.3675,,,1.5875,,
"Paul Hankar, Architecte",Adolphe Crespin,1305,"(Belgian, 1859–1944)",(Belgian),(1859),(1944),(Male),1894,Lithograph,"23 x 15 1/2"" (58.4 x 39.3 cm)",Gift of Mr. and Mrs. Alan Kern,125.1968,Design,Architecture & Design,1968-03-07,Y,5150,http://www.moma.org/collection/works/5150,,,,,58.4,,,39.3,,
"Exhibition, Artist's Work",Raoul Ubac,5997,"(Belgian, born Germany, 1910–1985)",(Belgian),(1910),(1985),(Male),1926-1952,Poster,,Gift of Galerie Maeght,170.1952,Design,Architecture & Design,1952-05-20,N,5463,,,,,,,,,,,
"Spoleto Festival 1977, XX Anniversario, 22 Giugno 10 Luglio",Jean-Michel Folon,1927,"(Belgian, born 1934)",(Belgian),(1934),(0),(Male),1977,Photolithograph,"39 1/8 x 27 1/2"" (99.4 x 69 cm)",Gift of the designer,257.1980,Design,Architecture & Design,1980-01-08,Y,5887,http://www.moma.org/collection/works/5887,http://www.moma.org/media/W1siZiIsIjUyMDg4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=42bdd4c8f98a2ab6,,,,99.4,,,69.0,,
Bruxelles Exposition Universelle 1935,Leo Marfurt,8401,"(Belgian, born Switzerland. 1894–1977)",(Belgian),(1894),(1977),(Male),1935,Lithograph,"39 3/8 x 24 1/2"" (100 x 62.2 cm)",Gift of G. E. Kidder Smith,332.1943,Design,Architecture & Design,1943-05-12,Y,6311,http://www.moma.org/collection/works/6311,http://www.moma.org/media/W1siZiIsIjUxNzUxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6595997dc95b8d77,,,,100.0127,,,62.2301,,
Tropon: l'Aliment Le Plus Concentré,Henry Clemens van de Velde,6068,"(Belgian, 1863–1957)",(Belgian),(1863),(1957),(Male),c. 1899,Facsimile,,Gift of Tropon-Werk,339.1966,Design,Architecture & Design,1966-05-10,N,6365,,,,,,,,,,,
