Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"""Sarajevo""",Fehim Demir/Agence France-Presse,8532,"(Bosnian, born 1959)",(Bosnian),(1959),(0),(Male),"October 9, 1995","Gelatin silver print, printed 1996","10 1/2 × 15 15/16"" (26.7 × 40.5 cm)",The New York Times Collection,1988.2001,Photograph,Photography,2001-06-14,Y,58581,http://www.moma.org/collection/works/58581,http://www.moma.org/media/W1siZiIsIjI0MDY0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=45dc466a1ef53c27,,,,26.7,,,40.5,,
Bosnian Girl from the Museum in Progress project Balkan Consulate,Sejla Kameric,30953,"(Bosnian, born 1976)",(Bosnian),(1976),(0),(Female),"(newspaper published December 11, 2003)","Lithograph, offset printed","sheet: 18 5/16 x 12 3/8"" (46.5 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.335,Print,Drawings & Prints,2006-06-01,N,103610,,,,,,46.5,,,31.5,,
"Casual Passer-by I Met at 4:30 p.m., Berlin",Braco Dimitrijević,28358,"(Bosnian, born 1948)",(Bosnian),(1948),(0),(Male),1976,"Inkjet print, printed 1996","104 1/8 × 78 3/4"" (264.5 × 200 cm)
",Gift of Erika Hoffmann in memory of Rolf Hoffmann,602.2007,Photograph,Photography,2007-10-11,Y,109724,http://www.moma.org/collection/works/109724,http://www.moma.org/media/W1siZiIsIjMwODUzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0736cd921ef3718d,,,,264.478,,,200.0254,,
Untitled from the Museum in Progress project Factory Season,Maja Bajevic,33222,"(Bosnian, born 1967)",(Bosnian),(1967),(0),(Female),"(newspaper published July 3/4, 2004)","Lithograph, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.403,Print,Drawings & Prints,2006-06-01,N,110541,,,,,,47.0,,,31.5,,
Triptychos Post Historicus,Braco Dimitrijević,28358,"(Bosnian, born 1948)",(Bosnian),(1948),(0),(Male),1976,"Color photograph, frame, and cane","Frame 25 3/8 x 35 1/8"" (64.5 x 89.2 cm), cane 35 7/8 x 5 1/8 x 1 1/16"" (91.2 x 13 x 2.7 cm)","Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley",624.2011.a-b,Photograph,Painting & Sculpture,2011-05-12,Y,147027,http://www.moma.org/collection/works/147027,,,0.0,,64.5,,,89.2,,
Triptychos Post Historicus,Braco Dimitrijević,28358,"(Bosnian, born 1948)",(Bosnian),(1948),(0),(Male),1976,"Color photograph, frame, and wood","Frame 25 1/2 x 35 3/16"" (64.7 x 89.3 cm), wood 33 7/16 x 1 7/16 x 11/16"" (85 x 3.6 x 1.7 cm)","Partial gift of the Daled Collection and partial purchase through the generosity of Maja Oeri and Hans Bodenmann, Sue and Edgar Wachenheim III, Agnes Gund, Marlene Hess and James D. Zirin, Marie-Josée and Henry R. Kravis, and Jerry I. Speyer and Katherine G. Farley",625.2011.a-b,Photograph,Painting & Sculpture,2011-05-12,Y,147028,http://www.moma.org/collection/works/147028,,,0.0,,64.7,,,89.3,,
"Šerefudin White Mosque, Visoko, Bosnia and Herzegovina (West elevation)",Zlatko Ugljen,50030,"(Bosnian, born 1929)",(Bosnian),(1929),(0),(Male),1969–1979,Dry pastel on diazotype,"19 11/16 × 23 5/8"" (50 × 60 cm)",Committee on Architecture and Design Funds,819.2018,Architecture,Architecture & Design,2018-10-15,N,214577,,,,0.0,,50.0,,,60.0,,
"Šerefudin White Mosque, Visoko, Bosnia and Herzegovina (Section with study of natural light)",Zlatko Ugljen,50030,"(Bosnian, born 1929)",(Bosnian),(1929),(0),(Male),1969–1979,Colored pencil on diazotype,"19 11/16 × 23 5/8"" (50 × 60 cm)",Committee on Architecture and Design Funds,820.2018,Architecture,Architecture & Design,2018-10-15,N,214580,,,,0.0,,50.0,,,60.0,,
"Šerefudin White Mosque, Visoko, Bosnia and Herzegovina (Axonometric)",Zlatko Ugljen,50030,"(Bosnian, born 1929)",(Bosnian),(1929),(0),(Male),1969–1979,Ink on tracing paper,"21 5/8 × 23 5/8"" (55 × 60 cm)",Committee on Architecture and Design Funds,821.2018,Architecture,Architecture & Design,2018-10-15,N,214581,,,,0.0,,55.0,,,60.0,,
"Šerefudin White Mosque, Visoko, Bosnia and Herzegovina (Roof plan)",Zlatko Ugljen,50030,"(Bosnian, born 1929)",(Bosnian),(1929),(0),(Male),1969–1979,Diazotype with annotations in felt-tip pen,"19 11/16 × 23 5/8"" (50 × 60 cm)",Committee on Architecture and Design Funds,822.2018,Architecture,Architecture & Design,2018-10-15,N,214582,,,,0.0,,50.0,,,60.0,,
