Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Ibirapuera Park project, São Paulo, Brazil (Site plan)","Roberto Burle Marx, Oscar Niemeyer","6934, 8103","(Brazilian, 1909–1994) (Brazilian, 1907–2012)",(Brazilian) (Brazilian),(1909) (1907),(1994) (2012),(Male) (Male),1953,Gouache and graphite on board,"39 1/2  x  59 1/2"" (100.3 x 151.1 cm)","Gift of Roblee McCarthy, Jr. Fund and Lily Auchincloss Fund",157.1991,Architecture,Architecture & Design,1991-06-04,Y,252,http://www.moma.org/collection/works/252,http://www.moma.org/media/W1siZiIsIjI4NDc1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d00103acc404dd06,,,,100.3,,,151.1,,
"Ibirapuera Park project, São Paulo, Brazil (Site plan)","Roberto Burle Marx, Oscar Niemeyer","6934, 8103","(Brazilian, 1909–1994) (Brazilian, 1907–2012)",(Brazilian) (Brazilian),(1909) (1907),(1994) (2012),(Male) (Male),1953,Gouache and graphite on board,"39 1/2  x  59 1/2"" (100.3 x 151.1 cm)","Gift of Roblee McCarthy, Jr. Fund and Lily Auchincloss Fund",157.1991,Architecture,Architecture & Design,1991-06-04,Y,252,http://www.moma.org/collection/works/252,http://www.moma.org/media/W1siZiIsIjI4NDc1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d00103acc404dd06,,,,100.3,,,151.1,,
"Ibirapuera Park Project, São Paulo, Brazil (Perspective)","Roberto Burle Marx, Oscar Niemeyer","6934, 8103","(Brazilian, 1909–1994) (Brazilian, 1907–2012)",(Brazilian) (Brazilian),(1909) (1907),(1994) (2012),(Male) (Male),1953,Gouache on board,"39 x 59 1/2"" (99.1 x 151.1 cm)","Gift of Roblee McCarthy, Jr. Fund and Lily Auchincloss Fund",158.1991,Architecture,Architecture & Design,1991-06-04,Y,253,http://www.moma.org/collection/works/253,http://www.moma.org/media/W1siZiIsIjI4NDc1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=73c8b1297478de0b,,,,99.1,,,151.1,,
"Ibirapuera Park Project, São Paulo, Brazil (Perspective)","Roberto Burle Marx, Oscar Niemeyer","6934, 8103","(Brazilian, 1909–1994) (Brazilian, 1907–2012)",(Brazilian) (Brazilian),(1909) (1907),(1994) (2012),(Male) (Male),1953,Gouache on board,"39 x 59 1/2"" (99.1 x 151.1 cm)","Gift of Roblee McCarthy, Jr. Fund and Lily Auchincloss Fund",158.1991,Architecture,Architecture & Design,1991-06-04,Y,253,http://www.moma.org/collection/works/253,http://www.moma.org/media/W1siZiIsIjI4NDc1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=73c8b1297478de0b,,,,99.1,,,151.1,,
"Ibirapuera Park, Quadricentennial Gardens, project, São Paulo, Brazil (Plan, detail five)",Roberto Burle Marx,6934,"(Brazilian, 1909–1994)",(Brazilian),(1909),(1994),(Male),1953,Gouache on board,"43 x 52 1/8"" (109.2 x 132.4 cm)",Inter-American Fund,243.1954,Architecture,Architecture & Design,1954-06-16,Y,286,http://www.moma.org/collection/works/286,http://www.moma.org/media/W1siZiIsIjI4Njk2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9ac55fd220420e66,,,,109.2,,,132.4,,
"Fazenda Vargem Grande, Clemente Gomes Estate, Areira, Sao Paulo, Brazil, Model 1:200",Roberto Burle Marx,6934,"(Brazilian, 1909–1994)",(Brazilian),(1909),(1994),(Male),1979-80,Plasteline,"9 x 26 5/8 x 36 5/8"" (22.9 x 67.6 x 93 cm)",Friends of Roberto Burle Marx Fund and Department Purchase,159.1991,Architecture,Architecture & Design,1991-06-04,Y,995,http://www.moma.org/collection/works/995,http://www.moma.org/media/W1siZiIsIjIyODQ1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=25f372676068177f,,93.0277,,22.86,,,67.6276,,
Cone Chair,"Fernando Campana, Humberto Campana","8456, 8457","(Brazilian, born 1961) (Brazilian, born 1953)",(Brazilian) (Brazilian),(1961) (1953),(0) (0),(Male) (Male),1997,Stainless steel and clear polycarbonate,"30 1/4 x 42 x 30 1/2"" (76.8 x 106.7 x 77.5 cm)",Gift of Patricia Phelps de Cisneros,287.1999,Design,Architecture & Design,2000-06-30,Y,3194,http://www.moma.org/collection/works/3194,http://www.moma.org/media/W1siZiIsIjIxMDk4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4f34da1d40fde805,,77.4702,,76.8352,,,106.6802,,
Cone Chair,"Fernando Campana, Humberto Campana","8456, 8457","(Brazilian, born 1961) (Brazilian, born 1953)",(Brazilian) (Brazilian),(1961) (1953),(0) (0),(Male) (Male),1997,Stainless steel and clear polycarbonate,"30 1/4 x 42 x 30 1/2"" (76.8 x 106.7 x 77.5 cm)",Gift of Patricia Phelps de Cisneros,287.1999,Design,Architecture & Design,2000-06-30,Y,3194,http://www.moma.org/collection/works/3194,http://www.moma.org/media/W1siZiIsIjIxMDk4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4f34da1d40fde805,,77.4702,,76.8352,,,106.6802,,
Inflating Table,"Fernando Campana, Humberto Campana","8456, 8457","(Brazilian, born 1961) (Brazilian, born 1953)",(Brazilian) (Brazilian),(1961) (1953),(0) (0),(Male) (Male),1996,Polyvinylchloride (PVC) film and anodized aluminum,"17 7/8 x 15 3/4"" (45.4 x 40 cm)",Gift of Patricia Phelps de Cisneros,288.1999,Design,Architecture & Design,2000-06-30,Y,3196,http://www.moma.org/collection/works/3196,,,,40.0,,,,45.4026,,
Inflating Table,"Fernando Campana, Humberto Campana","8456, 8457","(Brazilian, born 1961) (Brazilian, born 1953)",(Brazilian) (Brazilian),(1961) (1953),(0) (0),(Male) (Male),1996,Polyvinylchloride (PVC) film and anodized aluminum,"17 7/8 x 15 3/4"" (45.4 x 40 cm)",Gift of Patricia Phelps de Cisneros,288.1999,Design,Architecture & Design,2000-06-30,Y,3196,http://www.moma.org/collection/works/3196,,,,40.0,,,,45.4026,,
