Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Two Figures,Georges Papazoff,4492,"(Bulgarian, 1894–1972)",(Bulgarian),(1894),(1972),(Male),1926,Etching,"Plate 7 x 5 1/16"" (17.7 x 12.8 cm)",Gift of Abby Aldrich Rockefeller,186.1934,Print,Drawings & Prints,,N,64001,,,,,,17.7,,,12.8,,
Three Figures,Georges Papazoff,4492,"(Bulgarian, 1894–1972)",(Bulgarian),(1894),(1972),(Male),1926,Etching,"Plate 11/5/8 x 9 5/16""",Gift of Abby Aldrich Rockefeller,187.1934,Print,Drawings & Prints,,N,64015,,,,,,29.5,,,23.7,,
Head,Georges Papazoff,4492,"(Bulgarian, 1894–1972)",(Bulgarian),(1894),(1972),(Male),1926,Etching,"Plate 7 5/8 x 5 15/16"" (19.4 x 15.1 cm)",Gift of Abby Aldrich Rockefeller,188.1934,Print,Drawings & Prints,,N,64029,,,,,,19.4,,,15.1,,
"From ""Miracles"" series #1",Nedko Solakov,8494,"(Bulgarian, born 1957)",(Bulgarian),(1957),(0),(Male),2003,"Sepia, black and white ink, and wash on paper","7 5/8 x 11 1/2"" (19.4 x 29.2 cm) (irreg)",Purchase,12.2004,Drawing,Drawings & Prints,2004-02-10,Y,89362,http://www.moma.org/collection/works/89362,http://www.moma.org/media/W1siZiIsIjk1MTY0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=bf25a45f968a7eb8,,,,19.3675,,,29.2101,,
"From ""Miracles"" series #5",Nedko Solakov,8494,"(Bulgarian, born 1957)",(Bulgarian),(1957),(0),(Male),2003,"Sepia, black and white ink, and wash on paper","7 3/4 x 11 1/2"" (19.7 x 29.2 cm) (irreg)",Purchase,13.2004,Drawing,Drawings & Prints,2004-02-10,Y,89363,http://www.moma.org/collection/works/89363,http://www.moma.org/media/W1siZiIsIjM0NzkwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=74e624fdcc762069,,,,19.685,,,29.2101,,
"From ""Miracles"" series  #11",Nedko Solakov,8494,"(Bulgarian, born 1957)",(Bulgarian),(1957),(0),(Male),2003,"Sepia, black and white ink, and wash on paper","7 5/8 x 11 1/2"" (19.4 x 29.2 cm) (irreg)",Purchase,15.2004,Drawing,Drawings & Prints,2004-02-10,Y,89364,http://www.moma.org/collection/works/89364,http://www.moma.org/media/W1siZiIsIjk1MTY3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=08fb800fd7b153fa,,,,19.3675,,,29.2101,,
"From ""Miracles"" series #7",Nedko Solakov,8494,"(Bulgarian, born 1957)",(Bulgarian),(1957),(0),(Male),2003,"Sepia, black and white ink, and wash on paper","7 5/8 x 11 1/2"" (19.4 x 29.2 cm) (irreg)",Purchase,14.2004,Drawing,Drawings & Prints,2004-02-10,Y,89365,http://www.moma.org/collection/works/89365,http://www.moma.org/media/W1siZiIsIjM0NzkxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ec2d2d16ad4ccb24,,,,19.3675,,,29.2101,,
Unfair Stories #1-12,Nedko Solakov,8494,"(Bulgarian, born 1957)",(Bulgarian),(1957),(0),(Male),2003,Ink and colored ink on twelve pieces of paper,"Each: 7 1/2 x 11 1/2"" (19.1 x 29.2 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3128.2005.a-l,Drawing,Drawings & Prints,2005-05-10,Y,97428,http://www.moma.org/collection/works/97428,http://www.moma.org/media/W1siZiIsIjE0ODM0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=af370d96ede95ad2,,0.0,,19.0500381001,,,29.2100584201,,
Spooky Stories #1-9,Nedko Solakov,8494,"(Bulgarian, born 1957)",(Bulgarian),(1957),(0),(Male),2003,Ink and colored ink on nine pieces of paper,"Each: 7 1/2 x 11 1/4"" (19.1 x 28.6 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3127.2005.a-i,Drawing,Drawings & Prints,2005-05-10,Y,97429,http://www.moma.org/collection/works/97429,http://www.moma.org/media/W1siZiIsIjEzMDAyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c3cc6c2cbaf9e14c,,0.0,,19.0500381001,,,28.5750571501,,
Untitled from the Museum in Progress project Global Positions,Luchezar Boyadjiev,30870,"(Bulgarian, born 1957)",(Bulgarian),(1957),(0),(Male),"(newspapers published November 21, 2001 through December 18, 2001)","Six lithographs, offset printed","sheet (each): 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.190a-f,Print,Drawings & Prints,2006-06-01,N,103483,,,,,,47.0,,,31.5,,
