Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
The Erotic Diary of a Lumberjack (Le journal érotique d'un bûcheron),Barthelemy Toguo,38243,"(Cameroonian, born 1967)",(Cameroonian),(1967),(0),(Male),2009,Portfolio of twelve linoleum cuts,"composition (each, approx.): 11 x 7 1/16"" (28 x 18 cm); sheet (each, approx.): 14 15/16 x 10 5/16"" (38 x 26.2 cm)",General Print Fund,439.2010.1-12,Print,Drawings & Prints,2010-06-09,Y,137461,http://www.moma.org/collection/works/137461,http://www.moma.org/media/W1siZiIsIjI0MDg1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1329fe67ca9fe1ca,,,,28.0,,,18.0,,
January (janvier) from The Erotic Diary of a Lumberjack (Le journal érotique d'un bûcheron),Barthelemy Toguo,38243,"(Cameroonian, born 1967)",(Cameroonian),(1967),(0),(Male),2009,One from a portfolio of twelve linoleum cuts,"composition: 11 1/8 x 7 1/16"" (28.2 x 18 cm); sheet: 14 7/8 x 10 3/8"" (37.8 x 26.3 cm)",General Print Fund,439.2010.1,Print,Drawings & Prints,2010-06-09,Y,156920,http://www.moma.org/collection/works/156920,http://www.moma.org/media/W1siZiIsIjI0MDg1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1329fe67ca9fe1ca,,,,28.2,,,18.0,,
February (février) from The Erotic Diary of a Lumberjack (Le journal érotique d'un bûcheron),Barthelemy Toguo,38243,"(Cameroonian, born 1967)",(Cameroonian),(1967),(0),(Male),2009,One from a portfolio of twelve linoleum cuts,"composition: 11 x 7 1/16"" (27.9 x 18 cm); sheet: 14 15/16 x 10 3/8"" (38 x 26.4 cm)",General Print Fund,439.2010.2,Print,Drawings & Prints,2010-06-09,Y,156921,http://www.moma.org/collection/works/156921,http://www.moma.org/media/W1siZiIsIjI0MDg2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=42b967f19b2d7118,,,,27.9,,,18.0,,
March (mars) from The Erotic Diary of a Lumberjack (Le journal érotique d'un bûcheron),Barthelemy Toguo,38243,"(Cameroonian, born 1967)",(Cameroonian),(1967),(0),(Male),2009,One from a portfolio of twelve linoleum cuts,"composition: 11 x 7"" (28 x 17.8 cm); sheet: 14 15/16 x 10 5/16"" (38 x 26.2 cm)",General Print Fund,439.2010.3,Print,Drawings & Prints,2010-06-09,Y,156922,http://www.moma.org/collection/works/156922,http://www.moma.org/media/W1siZiIsIjI0MDg2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5c637b67ab36fe21,,,,28.0,,,17.8,,
April (avril) from The Erotic Diary of a Lumberjack (Le journal érotique d'un bûcheron),Barthelemy Toguo,38243,"(Cameroonian, born 1967)",(Cameroonian),(1967),(0),(Male),2009,One from a portfolio of twelve linoleum cuts,"composition: 11 1/8 x 7 1/16"" (28.2 x 18 cm); sheet: 14 7/8 x 10 5/16"" (37.8 x 26.2 cm)",General Print Fund,439.2010.4,Print,Drawings & Prints,2010-06-09,Y,156923,http://www.moma.org/collection/works/156923,http://www.moma.org/media/W1siZiIsIjI0MDg2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bf353080e4d5bb4e,,,,28.2,,,18.0,,
May (mai) from The Erotic Diary of a Lumberjack (Le journal érotique d'un bûcheron),Barthelemy Toguo,38243,"(Cameroonian, born 1967)",(Cameroonian),(1967),(0),(Male),2009,One from a portfolio of twelve linoleum cuts,"composition: 11 x 7"" (28 x 17.8 cm); sheet: 14 15/16 x 10 3/8"" (38 x 26.3 cm)",General Print Fund,439.2010.5,Print,Drawings & Prints,2010-06-09,Y,156924,http://www.moma.org/collection/works/156924,http://www.moma.org/media/W1siZiIsIjI0MDg2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b957546fcd64b210,,,,28.0,,,17.8,,
June (juin) from The Erotic Diary of a Lumberjack (Le journal érotique d'un bûcheron),Barthelemy Toguo,38243,"(Cameroonian, born 1967)",(Cameroonian),(1967),(0),(Male),2009,One from a portfolio of twelve linoleum cuts,"composition: 11 x 7 1/16"" (28 x 18 cm); sheet: 14 15/16 x 10 3/8"" (38 x 26.3 cm)",General Print Fund,439.2010.6,Print,Drawings & Prints,2010-06-09,Y,156925,http://www.moma.org/collection/works/156925,http://www.moma.org/media/W1siZiIsIjI0MDg2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1320db959838979d,,,,28.0,,,18.0,,
July (juillet) from The Erotic Diary of a Lumberjack (Le journal érotique d'un bûcheron),Barthelemy Toguo,38243,"(Cameroonian, born 1967)",(Cameroonian),(1967),(0),(Male),2009,One from a portfolio of twelve linoleum cuts,"composition: 11 1/16 x 7 1/16"" (28.1 x 18 cm); sheet: 14 15/16 x 10 3/8"" (38 x 26.4 cm)",General Print Fund,439.2010.7,Print,Drawings & Prints,2010-06-09,Y,156926,http://www.moma.org/collection/works/156926,http://www.moma.org/media/W1siZiIsIjI0MDg2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3cab607fe32c0f30,,,,28.1,,,18.0,,
August (août) from The Erotic Diary of a Lumberjack (Le journal érotique d'un bûcheron),Barthelemy Toguo,38243,"(Cameroonian, born 1967)",(Cameroonian),(1967),(0),(Male),2009,One from a portfolio of twelve linoleum cuts,"composition: 11 1/8 x 7 1/8"" (28.3 x 18.1 cm); sheet: 14 7/8 x 10 3/8"" (37.8 x 26.3 cm)",General Print Fund,439.2010.8,Print,Drawings & Prints,2010-06-09,Y,156927,http://www.moma.org/collection/works/156927,http://www.moma.org/media/W1siZiIsIjI0MDg2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a5487cf75951d89a,,,,28.3,,,18.1,,
September (septembre) from The Erotic Diary of a Lumberjack (Le journal érotique d'un bûcheron),Barthelemy Toguo,38243,"(Cameroonian, born 1967)",(Cameroonian),(1967),(0),(Male),2009,One from a portfolio of twelve linoleum cuts,"composition: 11 1/8 x 7 1/16"" (28.3 x 18 cm); sheet: 15 x 10 5/16"" (38.1 x 26.2 cm)",General Print Fund,439.2010.9,Print,Drawings & Prints,2010-06-09,Y,156928,http://www.moma.org/collection/works/156928,http://www.moma.org/media/W1siZiIsIjI0MDg2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b4b64cbf6851fc3d,,,,28.3,,,18.0,,
