Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"The Hague City Hall, project, The Hague, The Netherlands, Exterior perspective","Rem Koolhaas, Götz Keller, Willem Jan Neutelings, Brigitte Kochta, Marty Kohn, Luc Reuse, Ron Steiner, Jeroen Thomas, Garciella Torre","6956, 8173, 8177, 8178, 8174, 8179, 7579, 8175, 8176","(Dutch, born 1944) (German, born 1958) (Dutch, born 1959) (German, born 1958) (Canadian, born 1953) (Belgian, born 1955) (American, born 1952) (Dutch, born 1952) (Spanish, born 1959)",(Dutch) (German) (Dutch) (German) (Canadian) (Belgian) (American) (Dutch) (Spanish),(1944) (1958) (1959) (1958) (1953) (1955) (1952) (1952) (1959),(0) (0) (0) (0) (0) (0) (0) (0) (0),(Male) () (Male) (Female) (Male) (Male) (Male) (Male) (Female),1987,Pastel and graphite on paper,"62 x 81"" (157.5 x 205.7 cm)",Purchase,426.1992,Architecture,Architecture & Design,1992-10-21,Y,619,http://www.moma.org/collection/works/619,http://www.moma.org/media/W1siZiIsIjUyNzY2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e4699ff65e6d4d3,,,,157.5,,,205.7,,
"Tohoku Historical Museum project, Sendai, Tohoku, Japan","Asymptote Architecture, New York, Hani Rashid, Lise Anne Couture","8998, 22617, 22618","(founded 1989) (Canadian, born Egypt 1958) (Canadian, born 1959)",() (Canadian) (Canadian),(1989) (1958) (1959),(0) (0) (0),() (Male) (Female),1994,"Acrylic sheet, wood with oil stain, metal, and paint","5 x 30 x 60"" (12.7 x 76.2 x 152.4 cm)",Jeffrey P. Klein Purchase Fund,680.1995,Architecture,Architecture & Design,1995-10-24,Y,1074,http://www.moma.org/collection/works/1074,,,152.4003,,12.7,,,76.2002,,
"Tohoku Historical Museum project, Sendai, Tohoku, Japan","Asymptote Architecture, New York, Hani Rashid, Lise Anne Couture","8998, 22617, 22618","(founded 1989) (Canadian, born Egypt 1958) (Canadian, born 1959)",() (Canadian) (Canadian),(1989) (1958) (1959),(0) (0) (0),() (Male) (Female),1994,"Acrylic sheet, wood with oil stain, metal, and paint","5 x 30 x 60"" (12.7 x 76.2 x 152.4 cm)",Jeffrey P. Klein Purchase Fund,680.1995,Architecture,Architecture & Design,1995-10-24,Y,1074,http://www.moma.org/collection/works/1074,,,152.4003,,12.7,,,76.2002,,
Amazing Electric Violin,"David Bush, Brian Lepine, Michael Zimmerman","6936, 6938, 6939","(Canadian, born 1948) (Canadian, born 1952) (American, born 1956)",(Canadian) (Canadian) (American),(1948) (1952) (1956),(0) (0) (0),(Male) (Male) (Male),1989,"Mahogany, spruce, and ebony","32 3/4 x 4 1/4 x 7"" (83.2 x 10.8 x 17.8 cm)",Gift of the manufacturer and Marshall Berenson,161.1991,Design,Architecture & Design,1991-06-04,Y,2321,http://www.moma.org/collection/works/2321,http://www.moma.org/media/W1siZiIsIjIxMDUxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1e54c240ba0492f5,,17.8,,83.1852,,,10.8,,
Amazing Electric Violin,"David Bush, Brian Lepine, Michael Zimmerman","6936, 6938, 6939","(Canadian, born 1948) (Canadian, born 1952) (American, born 1956)",(Canadian) (Canadian) (American),(1948) (1952) (1956),(0) (0) (0),(Male) (Male) (Male),1989,"Mahogany, spruce, and ebony","32 3/4 x 4 1/4 x 7"" (83.2 x 10.8 x 17.8 cm)",Gift of the manufacturer and Marshall Berenson,161.1991,Design,Architecture & Design,1991-06-04,Y,2321,http://www.moma.org/collection/works/2321,http://www.moma.org/media/W1siZiIsIjIxMDUxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1e54c240ba0492f5,,17.8,,83.1852,,,10.8,,
Hunting Knife,Deane Russell,5092,(Canadian),(Canadian),(0),(0),(Male),1958,Steel and wood,"l. 8 1/2"" (21.6 cm)",Gift of the manufacturer,269.1962,Design,Architecture & Design,1962-11-07,Y,3149,http://www.moma.org/collection/works/3149,http://www.moma.org/media/W1siZiIsIjIyOTExNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=60313cdff98ee613,,,,,21.6,,,,
Speed Skiing Helmet,Alan Randall Best,536,"(Canadian, born 1958)",(Canadian),(1958),(0),(Male),1985-86,"Fiberglass, hand-laminated polyester resin, acryllic lacquer, high-density impact foam, velour, and polycarbonate filter","11 1/2 x 13 1/8 x 14 3/4"" (29.2 x 33.3 x 37.5 cm)",Gift of Smith Sport Optics,448.1987,Design,Architecture & Design,1987-11-18,Y,3646,http://www.moma.org/collection/works/3646,http://www.moma.org/media/W1siZiIsIjIyOTY4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a879ad1717ac1ffc,,37.5,,29.2,,,33.3376,,
Knitting Wool Container,Elizabeth McLennan,3891,(Canadian),(Canadian),(0),(0),(Female),1949,Plastic,"9 3/4 x 1 3/4"" (24.7 x 4.4cm)",Gift of the manufacturer,515.1956.a-k,Design,Architecture & Design,1956-10-25,Y,4283,http://www.moma.org/collection/works/4283,,,,4.4,,24.7,,,,
Speed Skiing Helmet,"Kevan Laycraft, Alan Randall Best","7219, 536","(Canadian, born 1955) (Canadian, born 1958)",(Canadian) (Canadian),(1955) (1958),(0) (0),(Male) (Male),1981,Fiberglass and plastic,"10 3/8 x 7 5/8 x 15 7/8"" (26.3 x 19.3 x 40.3 cm)",Mrs. John D. Rockefeller 3rd Purchase Fund,737.1983,Design,Architecture & Design,1983-11-30,Y,4428,http://www.moma.org/collection/works/4428,http://www.moma.org/media/W1siZiIsIjIzMDUzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b59d45dedf7655d,,40.3,,26.3,,,19.3,,
Speed Skiing Helmet,"Kevan Laycraft, Alan Randall Best","7219, 536","(Canadian, born 1955) (Canadian, born 1958)",(Canadian) (Canadian),(1955) (1958),(0) (0),(Male) (Male),1981,Fiberglass and plastic,"10 3/8 x 7 5/8 x 15 7/8"" (26.3 x 19.3 x 40.3 cm)",Mrs. John D. Rockefeller 3rd Purchase Fund,737.1983,Design,Architecture & Design,1983-11-30,Y,4428,http://www.moma.org/collection/works/4428,http://www.moma.org/media/W1siZiIsIjIzMDUzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b59d45dedf7655d,,40.3,,26.3,,,19.3,,
