Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Malitte Lounge Furniture,Roberto Matta,3842,"(Chilean, 1911–2002)",(Chilean),(1911),(2002),(Male),1966,Wool and polyurethane foam,"Overall: 63 x 63 x 25"" (160 x 160 x 63.5 cm)
.a: 19 1/2 x 63 x 25"" (49.5 x 160 x 63.5 cm)
.b: 37 x 34 x 25"" (94 x 86.4 x 63.5 cm)
.c: 47 3/4 x 26 1/4 x 25"" (121.3 x 66.7 x 63.5 cm)
.d: 32 x 49 1/2 x 25"" (81.3 x 125.7 x 63.5 cm)
.e: 17 x 25 x 25"" (43.2 x 63.5 x 63.5 cm)",Gift of Knoll International,473.1970.a-e,Design,Architecture & Design,1970-11-05,Y,3975,http://www.moma.org/collection/works/3975,http://www.moma.org/media/W1siZiIsIjIyOTgwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6a6ad96afdc30d63,,63.5001,,160.0,,,160.0,,
Las Milicias de la Cultura Luchan Contra el Fascismo Combatiendo la Ignorancia,Mauricio Amster Cats,154,"(Chilean, born Lvov, 1907–1980)",(Chilean),(1907),(1980),(Male),1937,Gouache and lithograph,"39 3/8 x 27 1/8"" (100 x 68.9 cm)",Purchase,251.1937,Design,Architecture & Design,1937-12-03,Y,5851,http://www.moma.org/collection/works/5851,,,,,100.0,,,68.9,,
In-text plate (page 11) from LE GRAND JAMAIS,"Roberto Matta, Pierre Alechinsky","3842, 107","(Chilean, 1911–2002) (Belgian, born 1927)",(Chilean) (Belgian),(1911) (1927),(2002) (0),(Male) (Male),1981,"Lithograph, printed in color","irreg. composition  11 1/2 x 5 11/16"" (29.3 x 14.5 cm)",Gift of Pierre Alechinsky,20.1988.1,Illustrated Book,Drawings & Prints,1988-01-19,N,9404,,,,,,29.3,,,14.5,,
Le grand jamais,"Roberto Matta, Pierre Alechinsky","3842, 107","(Chilean, 1911–2002) (Belgian, born 1927)",(Chilean) (Belgian),(1911) (1927),(2002) (0),(Male) (Male),1981,"Illustrated book with fifteen lithographs (including wrapper front and back), six with die-cut and two with fold-out; and lithographed colophon ornament","page  12 9/16 x 9 7/16"" (32 x 24 cm)
Prints:  various dimensions.",Gift of Pierre Alechinsky,20.1988.1-15,Illustrated Book,Drawings & Prints,1988-01-19,N,9405,,,,,,32.0,,,24.0,,
Double page in-text plate (pages 12 and 13) from LE GRAND JAMAIS,"Roberto Matta, Pierre Alechinsky","3842, 107","(Chilean, 1911–2002) (Belgian, born 1927)",(Chilean) (Belgian),(1911) (1927),(2002) (0),(Male) (Male),1981,"Lithograph, printed in color","irreg. composition  6 5/16 x 17 1/2"" (16 x 44.4 cm)",Gift of Pierre Alechinsky,20.1988.2,Illustrated Book,Drawings & Prints,1988-01-19,N,9412,,,,,,16.0,,,44.4,,
Double page in-text plate (pages 16 and 17) from LE GRAND JAMAIS,"Roberto Matta, Pierre Alechinsky","3842, 107","(Chilean, 1911–2002) (Belgian, born 1927)",(Chilean) (Belgian),(1911) (1927),(2002) (0),(Male) (Male),1981,"Lithograph, printed in color","irreg. composition  12 1/8 x 18 1/16"" (30.8 x 45.9 cm)",Gift of Pierre Alechinsky,20.1988.3,Illustrated Book,Drawings & Prints,1988-01-19,N,9413,,,,,,30.8,,,45.9,,
Double page in-text plate (pages 18 and 19) from LE GRAND JAMAIS,"Roberto Matta, Pierre Alechinsky","3842, 107","(Chilean, 1911–2002) (Belgian, born 1927)",(Chilean) (Belgian),(1911) (1927),(2002) (0),(Male) (Male),1981,"Lithograph and die-cut, printed in color","irreg. composition  7 9/16 x 12 11/16"" (19.2 x 32.3 cm)",Gift of Pierre Alechinsky,20.1988.4,Illustrated Book,Drawings & Prints,1988-01-19,N,9414,,,,,,19.2,,,32.3,,
Double page plate (pages 20 and 21) from LE GRAND JAMAIS,"Roberto Matta, Pierre Alechinsky","3842, 107","(Chilean, 1911–2002) (Belgian, born 1927)",(Chilean) (Belgian),(1911) (1927),(2002) (0),(Male) (Male),1981,"Lithograph, die-cut, and fold-out, printed in color","irreg. composition  12 3/16 x 18 1/4"" (31 x 46.4 cm)
irreg. 12 3/16 x 18 1/4"" (31 x 46.4 cm)",Gift of Pierre Alechinsky,20.1988.5,Illustrated Book,Drawings & Prints,1988-01-19,N,9415,,,,,,31.0,,,46.4,,
Double page in-text plate (pages 22 and 23) from LE GRAND JAMAIS,"Roberto Matta, Pierre Alechinsky","3842, 107","(Chilean, 1911–2002) (Belgian, born 1927)",(Chilean) (Belgian),(1911) (1927),(2002) (0),(Male) (Male),1981,"Lithograph and die-cut, printed in color","irreg. composition  10 11/16 x 12 15/16"" (27.2 x 32.8 cm)",Gift of Pierre Alechinsky,20.1988.6,Illustrated Book,Drawings & Prints,1988-01-19,N,9416,,,,,,27.2,,,32.8,,
Double page in-text plate (pages 24 and 25) from LE GRAND JAMAIS,"Roberto Matta, Pierre Alechinsky","3842, 107","(Chilean, 1911–2002) (Belgian, born 1927)",(Chilean) (Belgian),(1911) (1927),(2002) (0),(Male) (Male),1981,"Lithograph, printed in color","irreg. composition  11 15/16 x 18 1/2"" (30.4 x 47 cm)",Gift of Pierre Alechinsky,20.1988.7,Illustrated Book,Drawings & Prints,1988-01-19,N,9417,,,,,,30.4,,,47.0,,
