Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Basket,"Unidentified Designer, Chinese",7227,,(Chinese),(0),(0),(),1940s,Woven reed,"2 3/4 x 8"" (7 x 20.3 cm)","Gift of Edgar Kaufmann, Jr.",211.1948,Design,Architecture & Design,1948-03-17,Y,2683,http://www.moma.org/collection/works/2683,http://www.moma.org/media/W1siZiIsIjIxMDcwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7db1fc5958c941f4,,,20.32,7.0,,,,,
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3","E.L.T. (Edouard Léon Théodore) Mesens, Guido Biasi, Arnaldo Pomodoro, Augustin Càrdenas, Chinn Yuen-Yuei, Sergio Dangelo, Öyvind Fahlström, Nobuya Abe, Juan Langlois, Claude Viseux, Eduardo Paolozzi, Bernard Quentin, N. Krishna Reddy, Paul Revel, Mimmo Rotella, Yasse Tabuchi, Jacques Hérold, Various Artists","3943, 550, 4676, 966, 7114, 1375, 1790, 42, 3377, 6169, 4488, 4769, 4836, 4880, 5041, 5773, 2616, 24409","(Belgian, 1903–1968) (Italian, born 1933) (Italian, born 1926) (Cuban, 1927–2001) (Chinese, born 1923) (Italian, born 1931) (Swedish, born Brazil. 1928–1976) (Japanese, 1913–1971) (Argentine, born 1926) (French, 1927–2008) (British, 1924–2005) (French, born 1923) (Indian, 1925–2018) (French, 1922–1983) (Italian, 1918–2006) (Japanese, 1921–2009) (Romanian, 1910–1991)",(Belgian) (Italian) (Italian) (Cuban) (Chinese) (Italian) (Swedish) (Japanese) (Argentine) (French) (British) (French) (Indian) (French) (Italian) (Japanese) (Romanian) (),(1903) (1933) (1926) (1927) (1923) (1931) (1928) (1913) (1926) (1927) (1924) (1923) (1925) (1922) (1918) (1921) (1910) (0),(1968) (0) (0) (2001) (0) (0) (1976) (1971) (0) (2008) (2005) (0) (2018) (1983) (2006) (2009) (1991) (0),(Male) (Male) (Male) (Male) () (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (),(Prints executed 1960-1962),"14 etchings (some with drypoint, aquatint, and/or soft ground etching): 13 printed in black and 1 relief printed in color; 5 soft ground etchings and 1 lift ground aquatint, printed in black","page  11 13/16 x 9 7/16"" (30 x 24 cm)
Prints:  various dimensions.",Gift of Peter H. Deitsch,802.1963.1-20,Illustrated Book,Drawings & Prints,1964-01-07,N,24877,,,,,,30.0,,,24.0,,
"Plate 5 from L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",Chinn Yuen-Yuei,7114,"(Chinese, born 1923)",(Chinese),(1923),(0),(),1962.  (Print executed 1961).,"Soft ground etching, printed in black","plate  5 7/8 x 4 7/16"" (15 x 11.3 cm)",Gift of Peter H. Deitsch,802.1963.5,Illustrated Book,Drawings & Prints,1964-01-07,N,24892,,,,,,15.0,,,11.3,,
Untitled,Chin Hsiao,6877,"(Chinese, born 1935)",(Chinese),(1935),(0),(Male),1966,Etching and aquatint,"plate: 9 13/16 x 14 1/16"" (25 x 35.7cm); sheet: 19 5/16 x 24"" (49 x 61cm)",Gift of the artist,46.1967,Print,Drawings & Prints,1967-02-09,Y,60851,http://www.moma.org/collection/works/60851,http://www.moma.org/media/W1siZiIsIjIxNTkwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7a065344d65a3cb6,,,,25.0,,,35.7,,
Untitled,Chin Hsiao,6877,"(Chinese, born 1935)",(Chinese),(1935),(0),(Male),1966,Etching and aquatint,"plate: 14 3/16 x 9 7/8"" (36 x 25.1cm); sheet: 24 x 19 3/8"" (61 x 49.2cm)",Gift of the artist,47.1967,Print,Drawings & Prints,1967-02-09,Y,60870,http://www.moma.org/collection/works/60870,http://www.moma.org/media/W1siZiIsIjIxNTkwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7ee8c21e4c3a0b1f,,,,36.0,,,25.1,,
Untitled,Chin Hsiao,6877,"(Chinese, born 1935)",(Chinese),(1935),(0),(Male),1964,Etching and aquatint,"plate: 15 9/16 x 19 5/16"" (39.5 x 49.1cm); sheet: 19 11/16 x 23 11/16"" (50 x 60.2cm)",Purchase,48.1967,Print,Drawings & Prints,1967-02-09,Y,60890,http://www.moma.org/collection/works/60890,http://www.moma.org/media/W1siZiIsIjIxNTkxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c92e1e92f02a7451,,,,39.5,,,49.1,,
Resource of Mansions,Pan Daqiang,1386,"(Chinese, born 1937)",(Chinese),(1937),(0),(),(1983),Woodcut,"Composition: 13 3/4 x 28"" (35 x 71.1 cm); Sheet: 17 3/16 x 33 11/16"" (43.7 x 85.6 cm)",The Philip and Lynn Straus Foundation Fund,336.1988,Print,Drawings & Prints,1988-10-25,Y,67174,http://www.moma.org/collection/works/67174,,,,,35.0,,,71.1,,
Guerrillas,Lu Chu Chuan,3618,(Chinese),(Chinese),(0),(0),(),,Woodcut,"Woodblock 9 3/4 x 7 3/8""",Abby Aldrich Rockefeller Fund,578.1942,Print,Drawings & Prints,1942-12-29,N,71409,,,,,,24.8,,,18.7,,
Allied Aircraft,Cheng Sha Ping,1088,(Chinese),(Chinese),(0),(0),(),,Woodcut,"Woodblock 4 x 4 3/4""",Abby Aldrich Rockefeller Fund,579.1942,Print,Drawings & Prints,1942-12-29,N,71420,,,,,,10.2,,,12.1,,
Borrowing Your Enemy's Arrows,Cai Guo-Qiang,8073,"(Chinese, born 1957)",(Chinese),(1957),(0),(Male),1998,"Wood boat, canvas sail, arrows, metal, rope, Chinese flag, and electric fan","Boat approximately 60"" x 23' 7"" x 7' 6"" (152.4 x 720 x 230 cm), each arrow approximately 24"" (62 cm)",Gift of Patricia Phelps de Cisneros in honor of Glenn D. Lowry,318.1999,Sculpture,Painting & Sculpture,1999-10-12,Y,81348,http://www.moma.org/collection/works/81348,http://www.moma.org/media/W1siZiIsIjMxNTc5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=97d18690ad7659a4,,,,,,2267.9851,,,
