Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"""Rios 5"" tapestry",Olga De Amaral,22701,"(Colombian, born 1932)",(Colombian),(1932),(0),(Female),1990,"Linen, gesso, silver leaf, and paint","34 1/2 x  34 3/4"" (87.6 x 88.3 cm)",Mrs. Donald B. Marron Purchase Fund and Gift of Bellas Artes Gallery,163.1991,Design,Architecture & Design,1991-06-04,Y,2333,http://www.moma.org/collection/works/2333,,,,,87.6302,,,88.2652,,
"SELF PORTRAIT (plate, folio 9) from LOS SIETE PECADOS CAPITALES",Leonel Gongora,2228,"(Colombian, born 1932)",(Colombian),(1932),(0),(Male),1986,"Aquatint and lift ground aquatint, printed in color","composition  15 3/4 x 11 13/16"" (40 x 30 cm)",Gift of Internacional de Ediciones S.A,484.1986.1,Illustrated Book,Drawings & Prints,1987-01-15,N,17828,,,,,,40.0,,,30.0,,
Los Siete Pecados Capitales,Leonel Gongora,2228,"(Colombian, born 1932)",(Colombian),(1932),(0),(Male),1986,"21 lithographs (5 with screenprint), 3 aquatints (with etching, soft ground etching, and/or lift ground aquatint), 1 etching and soft ground etching, and 1 woodcut; and 1 etching (wrapper front)","page (irreg.): 15 3/4 x 11 13/16"" (40 x 30 cm)",Gift of Internacional de Ediciones S.A,484.1986.1-27,Illustrated Book,Drawings & Prints,1987-01-15,Y,17829,http://www.moma.org/collection/works/17829,,,,,40.0,,,30.0,,
Plate (folio 25 verso) from LOS SIETE PECADOS CAPITALES,Leonel Gongora,2228,"(Colombian, born 1932)",(Colombian),(1932),(0),(Male),1986,"Lithograph, printed in color","irreg. composition  15 11/16 x 11 11/16"" (39.9 x 29.7 cm)",Gift of Internacional de Ediciones S.A,484.1986.10,Illustrated Book,Drawings & Prints,1987-01-15,N,17830,,,,,,39.9,,,29.7,,
"LUST (double page plate, folios 27 verso and 28) from LOS SIETE PECADOS CAPITALES",Leonel Gongora,2228,"(Colombian, born 1932)",(Colombian),(1932),(0),(Male),1986,"Etching, aquatint, and soft ground etching, printed in color","irreg. composition  14 13/16 x 21 9/16"" (37.7 x 54.8 cm)",Gift of Internacional de Ediciones S.A,484.1986.11,Illustrated Book,Drawings & Prints,1987-01-15,N,17831,,,,,,37.7,,,54.8,,
Plate (folio 29 verso) from LOS SIETE PECADOS CAPITALES,Leonel Gongora,2228,"(Colombian, born 1932)",(Colombian),(1932),(0),(Male),1986,"Lithograph, printed in color","irreg. composition  15 9/16 x 11 13/16"" (39.6 x 30 cm)",Gift of Internacional de Ediciones S.A,484.1986.12,Illustrated Book,Drawings & Prints,1987-01-15,N,17832,,,,,,39.6,,,30.0,,
Plate (folio 30 verso) from LOS SIETE PECADOS CAPITALES,Leonel Gongora,2228,"(Colombian, born 1932)",(Colombian),(1932),(0),(Male),1986,"Lithograph, printed in color","irreg. composition  14 5/16 x 11 1/4"" (36.4 x 28.5 cm)",Gift of Internacional de Ediciones S.A,484.1986.13,Illustrated Book,Drawings & Prints,1987-01-15,N,17833,,,,,,36.4,,,28.5,,
Plate (folio 31 verso) from LOS SIETE PECADOS CAPITALES,Leonel Gongora,2228,"(Colombian, born 1932)",(Colombian),(1932),(0),(Male),1986,"Lithograph, printed in color","irreg. composition  15 1/2 x 11 5/8"" (39.4 x 29.5 cm)",Gift of Internacional de Ediciones S.A,484.1986.14,Illustrated Book,Drawings & Prints,1987-01-15,N,17834,,,,,,39.4,,,29.5,,
"ENVY (plate, folio 34) from LOS SIETE PECADOS CAPITALES",Leonel Gongora,2228,"(Colombian, born 1932)",(Colombian),(1932),(0),(Male),1986,"Lithograph, printed in color","composition  15 5/8 x 11 7/8"" (39.7 x 30.1 cm)",Gift of Internacional de Ediciones S.A,484.1986.15,Illustrated Book,Drawings & Prints,1987-01-15,N,17835,,,,,,39.7,,,30.1,,
Plate (folio 36 verso) from LOS SIETE PECADOS CAPITALES,Leonel Gongora,2228,"(Colombian, born 1932)",(Colombian),(1932),(0),(Male),1986,"Screenprint and lithograph, printed in color","irreg. composition  15 7/16 x 11 11/16"" (39.2 x 29.7 cm)",Gift of Internacional de Ediciones S.A,484.1986.16,Illustrated Book,Drawings & Prints,1987-01-15,N,17836,,,,,,39.2,,,29.7,,
