Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Hato Amparo Rio Las Mercedes, Apure, Venezuela",Christian Belpaire,458,"(Congolese, 1949–2003)",(Congolese),(1949),(2003),(Male),"August, 1979","Gelatin silver print, printed 1980","11 3/4 × 17 11/16"" (29.9 × 44.9 cm)",The Family of Man Fund,44.1982,Photograph,Photography,1982-03-11,Y,44652,http://www.moma.org/collection/works/44652,http://www.moma.org/media/W1siZiIsIjIzODM3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7b54acc11f559cd8,,,,29.9,,,44.9,,
"Fundo El Progresso Rio Meta, Apure, Venezuela",Christian Belpaire,458,"(Congolese, 1949–2003)",(Congolese),(1949),(2003),(Male),"August, 1979","Gelatin silver print, printed 1980","11 3/4 × 17 11/16"" (29.9 × 44.9 cm)",The Family of Man Fund,45.1982,Photograph,Photography,1982-03-11,Y,44679,http://www.moma.org/collection/works/44679,http://www.moma.org/media/W1siZiIsIjIzODM3OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5c4515512c07ccbe,,,,29.9,,,44.9,,
"""Condemnation without Trial""",Chéri Samba,25299,"(Congolese, born 1956)",(Congolese),(1956),(0),(Male),1989-90,Alkyd enamel and glitter paint on canvas,"58 3/8"" x 6' 7"" (148.3 x 200.7 cm)",Gift of Evan and Vanessa Tawil,272.2002,Painting,Painting & Sculpture,2002-10-07,Y,86629,http://www.moma.org/collection/works/86629,http://www.moma.org/media/W1siZiIsIjQyMjAyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0182553cd65b9ccc,,,,148.2728,,,200.6604,,
Reveillon Fédéral,Bodys Isek Kingelez,68319,"(Congolese, 1948–2015)",(Congolese),(1948),(2015),(Male),1992,"Paper, colored paper, paperboard, printed commercial packaging, wood, plastic, aluminum foil, metallic foil paper, metallic foil cardboard, foamcore, crayon, marker, adhesive, tape, metallic tape, copper wire, coated wire, toothpicks, and pins","23 5/8 × 31 1/2 × 20 7/8"" (60 × 80 × 53 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,129.2019,Sculpture,Painting & Sculpture,2019-04-30,Y,222308,http://www.moma.org/collection/works/222308,http://www.moma.org/media/W1siZiIsIjQxOTQ5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0579c578c53fcaa7,,53.0,,60.0,,,80.0,,
U.N.,Bodys Isek Kingelez,68319,"(Congolese, 1948–2015)",(Congolese),(1948),(2015),(Male),1995,"Colored paper, paperboard, plastic, aluminum foil, metallic foil paper, foamcore, pencil, crayon, marker, adhesive, colored tape, metallic tape, fabric, copper wire, toothpicks, map pins, metal pins, and plastic bottle caps","35 13/16 × 29 1/8 × 20 7/8"" (91 × 74 × 53 cm), irreg.",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,131.2019,Sculpture,Painting & Sculpture,2019-04-30,Y,222868,http://www.moma.org/collection/works/222868,http://www.moma.org/media/W1siZiIsIjQwMzY0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=22696be3506c41b9,,53.0,,91.0,,,74.0,,
Kinshasa la Belle,Bodys Isek Kingelez,68319,"(Congolese, 1948–2015)",(Congolese),(1948),(2015),(Male),1991,"Paper, colored paper, paperboard, wood, colored plastic, metallic foil paper, foamcore, pencil, marker, adhesive, mesh fabric, and metal pins","24 13/16 × 21 5/8 × 31 1/2"" (63 × 55 × 80 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,128.2019,Sculpture,Painting & Sculpture,2019-04-30,Y,223287,http://www.moma.org/collection/works/223287,http://www.moma.org/media/W1siZiIsIjQwMjI0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=add858adb5326b6e,,80.0,,63.0,,,55.0,,
Una Moziki,Jean Depara,75463,"(Congolese, born Angola, 1928–1997)",(Congolese),(1928),(1997),(Male),c. 1960,"Gelatin silver print, printed later","23 × 19"" (58.4 × 48.3 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,14.2019,Photograph,Photography,2019-02-28,Y,296534,http://www.moma.org/collection/works/296534,http://www.moma.org/media/W1siZiIsIjQ1OTIxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=32fd608a8cb624ac,,0.0,,58.4201168402,,,48.2600965202,,
Un Cow-Boy de Léopodville (Léopoldville Cowboy),Jean Depara,75463,"(Congolese, born Angola, 1928–1997)",(Congolese),(1928),(1997),(Male),1959,"Gelatin silver print, printed later","23 × 19"" (58.4 × 48.3 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,11.2019,Photograph,Photography,2019-02-28,Y,296535,http://www.moma.org/collection/works/296535,http://www.moma.org/media/W1siZiIsIjQ1OTE5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f48a36aa176832a2,,0.0,,58.4201168402,,,48.2600965202,,
Magasin de Photographie (Photography Shop),Jean Depara,75463,"(Congolese, born Angola, 1928–1997)",(Congolese),(1928),(1997),(Male),1958,"Gelatin silver print, printed later","23 × 19"" (58.4 × 48.3 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,10.2019,Photograph,Photography,2019-02-28,Y,296536,http://www.moma.org/collection/works/296536,http://www.moma.org/media/W1siZiIsIjQ1OTIyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=95540d2a4abe9243,,0.0,,58.4201168402,,,48.2600965202,,
Un Jazzeur (Jazzman),Jean Depara,75463,"(Congolese, born Angola, 1928–1997)",(Congolese),(1928),(1997),(Male),1960,"Gelatin silver print, printed later","23 × 19"" (58.4 × 48.3 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,13.2019,Photograph,Photography,2019-02-28,Y,296537,http://www.moma.org/collection/works/296537,http://www.moma.org/media/W1siZiIsIjQ1OTIwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=00680f959866144a,,0.0,,58.4201168402,,,48.2600965202,,
