Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Pictorial initial C (page 9) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  1 7/8 x 1 15/16"" (4.8 x 4.9 cm)",Given anonymously,2212.1967.1,Illustrated Book,Drawings & Prints,1967-10-18,N,32480,,,,,,4.8,,,4.9,,
REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"31 woodcuts and 11 wood engravings, printed in black","page  9 1/2 x 7 9/16"" (24 x 19.2 cm)
Prints:  various dimensions.",Given anonymously,2212.1967.1-42,Illustrated Book,Drawings & Prints,1967-10-18,N,32481,,,,,,24.0,,,19.2,,
Pictorial initial N (page 29) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  3 15/16 x 1 15/16"" (10 x 5 cm)",Given anonymously,2212.1967.10,Illustrated Book,Drawings & Prints,1967-10-18,N,32482,,,,,,10.0,,,5.0,,
Pictorial initial U (page 33) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  1 15/16 x 1 7/8"" (4.9 x 4.8 cm)",Given anonymously,2212.1967.11,Illustrated Book,Drawings & Prints,1967-10-18,N,32483,,,,,,4.9,,,4.8,,
Pictorial initial P (page 35) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  1 7/8 x 1 7/8"" (4.8 x 4.8 cm)",Given anonymously,2212.1967.12,Illustrated Book,Drawings & Prints,1967-10-18,N,32484,,,,,,4.8,,,4.8,,
Pictorial initial A (page 37) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Wood engraving, printed in black","composition  3 15/16 x 1 15/16"" (10 x 5 cm)",Given anonymously,2212.1967.13,Illustrated Book,Drawings & Prints,1967-10-18,N,32485,,,,,,10.0,,,5.0,,
Pictorial initial M (page 39) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Wood engraving, printed in black","irreg. composition  3 7/8 x 1 15/16"" (9.8 x 4.9 cm)",Given anonymously,2212.1967.14,Illustrated Book,Drawings & Prints,1967-10-18,N,32486,,,,,,9.8,,,4.9,,
Pictorial initial L (page 41) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Wood engraving, printed in black","composition  1 15/16 x 1 9/16"" (5 x 4 cm)",Given anonymously,2212.1967.15,Illustrated Book,Drawings & Prints,1967-10-18,N,32487,,,,,,5.0,,,4.0,,
Pictorial initial M (page 43) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  1 15/16 x 1 7/8"" (5 x 4.8 cm)",Given anonymously,2212.1967.16,Illustrated Book,Drawings & Prints,1967-10-18,N,32488,,,,,,5.0,,,4.8,,
Pictorial initial E (page 45) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  1 7/8 x 1 7/8"" (4.8 x 4.7 cm)",Given anonymously,2212.1967.17,Illustrated Book,Drawings & Prints,1967-10-18,N,32489,,,,,,4.8,,,4.7,,
Pictorial initial Y (page 47) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Wood engraving, printed in black","composition  1 7/8 x 1 15/16"" (4.7 x 4.9 cm)",Given anonymously,2212.1967.18,Illustrated Book,Drawings & Prints,1967-10-18,N,32490,,,,,,4.7,,,4.9,,
Pictorial initial S (page 49) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  1 7/8 x 1 7/8"" (4.7 x 4.7 cm)",Given anonymously,2212.1967.19,Illustrated Book,Drawings & Prints,1967-10-18,N,32491,,,,,,4.7,,,4.7,,
Pictorial initial T (page 11) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  1 7/8 x 1 15/16"" (4.8 x 5 cm)",Given anonymously,2212.1967.2,Illustrated Book,Drawings & Prints,1967-10-18,N,32492,,,,,,4.8,,,5.0,,
Pictorial initial M (page 51) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  1 15/16 x 1 7/8"" (4.9 x 4.8 cm)",Given anonymously,2212.1967.20,Illustrated Book,Drawings & Prints,1967-10-18,N,32493,,,,,,4.9,,,4.8,,
Pictorial initial M (page 53) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  1 15/16 x 1 15/16"" (5 x 5 cm)",Given anonymously,2212.1967.21,Illustrated Book,Drawings & Prints,1967-10-18,N,32494,,,,,,5.0,,,5.0,,
Pictorial initial L (page 55) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  3 15/16 x 1 7/8"" (10 x 4.8 cm)",Given anonymously,2212.1967.22,Illustrated Book,Drawings & Prints,1967-10-18,N,32495,,,,,,10.0,,,4.8,,
Pictorial question mark (page 57) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  3 15/16 x 1 7/8"" (10 x 4.8 cm)",Given anonymously,2212.1967.23,Illustrated Book,Drawings & Prints,1967-10-18,N,32496,,,,,,10.0,,,4.8,,
Pictorial initial L (page 59) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Wood engraving, printed in black","composition  1 15/16 x 1 13/16"" (5 x 4.6 cm)",Given anonymously,2212.1967.24,Illustrated Book,Drawings & Prints,1967-10-18,N,32497,,,,,,5.0,,,4.6,,
Pictorial initial S (page 61) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Wood engraving, printed in black","composition  1 15/16 x 1 15/16"" (5 x 4.9 cm)",Given anonymously,2212.1967.25,Illustrated Book,Drawings & Prints,1967-10-18,N,32498,,,,,,5.0,,,4.9,,
Pictorial initial J (page 63) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  3 15/16 x 1 15/16"" (10.1 x 4.9 cm)",Given anonymously,2212.1967.26,Illustrated Book,Drawings & Prints,1967-10-18,N,32499,,,,,,10.1,,,4.9,,
Pictorial initial C (page 65) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  1 15/16 x 1 15/16"" (5 x 4.9 cm)",Given anonymously,2212.1967.27,Illustrated Book,Drawings & Prints,1967-10-18,N,32500,,,,,,5.0,,,4.9,,
Pictorial initial H (page 67) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Wood engraving, printed in black","composition  1 15/16 x 1 15/16"" (4.9 x 4.9 cm)",Given anonymously,2212.1967.28,Illustrated Book,Drawings & Prints,1967-10-18,N,32501,,,,,,4.9,,,4.9,,
Pictorial initial C (page 71) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  1 15/16 x 1 7/8"" (4.9 x 4.8 cm)",Given anonymously,2212.1967.29,Illustrated Book,Drawings & Prints,1967-10-18,N,32502,,,,,,4.9,,,4.8,,
Pictorial initial A (page 13) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  1 15/16 x 1 15/16"" (5 x 4.9 cm)",Given anonymously,2212.1967.3,Illustrated Book,Drawings & Prints,1967-10-18,N,32503,,,,,,5.0,,,4.9,,
Pictorial initial E (page 73) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  3 7/8 x 1 7/8"" (9.9 x 4.8 cm)",Given anonymously,2212.1967.30,Illustrated Book,Drawings & Prints,1967-10-18,N,32504,,,,,,9.9,,,4.8,,
Pictorial initial D (page 75) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  3 7/8 x 1 7/8"" (9.8 x 4.7 cm)",Given anonymously,2212.1967.31,Illustrated Book,Drawings & Prints,1967-10-18,N,32505,,,,,,9.8,,,4.7,,
Pictorial initial Y (page 77) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  1 15/16 x 1 15/16"" (5 x 5 cm)",Given anonymously,2212.1967.32,Illustrated Book,Drawings & Prints,1967-10-18,N,32506,,,,,,5.0,,,5.0,,
Pictorial initial N (page 79) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  3 7/8 x 1 15/16"" (9.9 x 4.9 cm)",Given anonymously,2212.1967.33,Illustrated Book,Drawings & Prints,1967-10-18,N,32507,,,,,,9.9,,,4.9,,
Pictorial initial L (page 81) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  1 15/16 x 1 7/8"" (4.9 x 4.8 cm)",Given anonymously,2212.1967.34,Illustrated Book,Drawings & Prints,1967-10-18,N,32508,,,,,,4.9,,,4.8,,
Pictorial initial P (page 83) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Wood engraving, printed in black","composition  1 15/16 x 1 7/8"" (4.9 x 4.8 cm)",Given anonymously,2212.1967.35,Illustrated Book,Drawings & Prints,1967-10-18,N,32509,,,,,,4.9,,,4.8,,
Pictorial initial M (page 85) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  1 7/8 x 1 15/16"" (4.8 x 4.9 cm)",Given anonymously,2212.1967.36,Illustrated Book,Drawings & Prints,1967-10-18,N,32510,,,,,,4.8,,,4.9,,
Pictorial initial H (page 87) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  1 15/16 x 1 9/16"" (4.9 x 4 cm)",Given anonymously,2212.1967.37,Illustrated Book,Drawings & Prints,1967-10-18,N,32511,,,,,,4.9,,,4.0,,
Pictorial initial Y (page 89) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Wood engraving, printed in black","composition  3 15/16 x 1 15/16"" (10 x 5 cm)",Given anonymously,2212.1967.38,Illustrated Book,Drawings & Prints,1967-10-18,N,32512,,,,,,10.0,,,5.0,,
Pictorial initial P (page 91) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  1 7/8 x 1 15/16"" (4.8 x 5 cm)",Given anonymously,2212.1967.39,Illustrated Book,Drawings & Prints,1967-10-18,N,32513,,,,,,4.8,,,5.0,,
Pictorial initial V (page 15) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  1 15/16 x 1 7/8"" (4.9 x 4.8 cm)",Given anonymously,2212.1967.4,Illustrated Book,Drawings & Prints,1967-10-18,N,32514,,,,,,4.9,,,4.8,,
Pictorial initial L (page 93) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Wood engraving, printed in black","irreg. composition  1 15/16 x 1 15/16"" (4.9 x 4.9 cm)",Given anonymously,2212.1967.40,Illustrated Book,Drawings & Prints,1967-10-18,N,32515,,,,,,4.9,,,4.9,,
Pictorial initial B (page 95) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  1 7/8 x 1 7/8"" (4.8 x 4.7 cm)",Given anonymously,2212.1967.41,Illustrated Book,Drawings & Prints,1967-10-18,N,32516,,,,,,4.8,,,4.7,,
Pictorial initial U (page 97) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  3 7/8 x 1 7/8"" (9.9 x 4.8 cm)",Given anonymously,2212.1967.42,Illustrated Book,Drawings & Prints,1967-10-18,N,32517,,,,,,9.9,,,4.8,,
Pictorial initial A (page 17) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  1 15/16 x 1 15/16"" (5 x 4.9 cm)",Given anonymously,2212.1967.5,Illustrated Book,Drawings & Prints,1967-10-18,N,32518,,,,,,5.0,,,4.9,,
Pictorial initial S (page 19) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  3 15/16 x 1 7/8"" (10 x 4.8 cm)",Given anonymously,2212.1967.6,Illustrated Book,Drawings & Prints,1967-10-18,N,32519,,,,,,10.0,,,4.8,,
Pictorial initial E (page 21) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","irreg. composition  1 7/8 x 1 15/16"" (4.8 x 5 cm)",Given anonymously,2212.1967.7,Illustrated Book,Drawings & Prints,1967-10-18,N,32520,,,,,,4.8,,,5.0,,
Pictorial initial Y (page 25) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Woodcut, printed in black","composition  3 15/16 x 1 7/8"" (10 x 4.8 cm)",Given anonymously,2212.1967.8,Illustrated Book,Drawings & Prints,1967-10-18,N,32521,,,,,,10.0,,,4.8,,
Pictorial initial A (page 27) from REVENAR,Max Jiménez,2915,"(Costa Rican, 1908–1949)",(Costa Rican),(1908),(1949),(Male),1936,"Wood engraving, printed in black","composition  3 15/16 x 1 15/16"" (10.1 x 4.9 cm)",Given anonymously,2212.1967.9,Illustrated Book,Drawings & Prints,1967-10-18,N,32522,,,,,,10.1,,,4.9,,
