Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Ilija Smoljenovic (Poster for Karate Club Tempo, Zagreb)",Boris Bućan,840,"(Croatian, born Yugoslavia, 1947)",(Croatian),(1947),(0),(Male),1976,Screenprint,"27 7/16 x 38 7/8"" (69.7 x 98.7 cm)",Gift of the designer,403.1982.a-b,Design,Architecture & Design,1982-10-27,Y,6573,http://www.moma.org/collection/works/6573,http://www.moma.org/media/W1siZiIsIjUyMTQ0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f57056026389a87d,,,,69.7,,,98.7,,
"Nikola Smoljenović (Poster for Karate Club Tempo, Zagreb)",Boris Bućan,840,"(Croatian, born Yugoslavia, 1947)",(Croatian),(1947),(0),(Male),1976,Silkscreen,"Overall: 55 × 38 3/4"" (139.7 × 98.4 cm)
each sheet: 27 1/2 × 38 3/4"" (69.9 × 98.4 cm)",Gift of the artist,404.1982.a-b,Design,Architecture & Design,1982-10-27,Y,6577,http://www.moma.org/collection/works/6577,,,,,139.7002794006,,,98.4251968504,,
"Nikola Putnik (Poster for Karate Club Tempo, Zagreb)",Boris Bućan,840,"(Croatian, born Yugoslavia, 1947)",(Croatian),(1947),(0),(Male),1976,Screenprint,"55 × 38 3/4"" (139.7 × 98.4 cm)
each sheet: 27 1/2 × 38 3/4"" (69.9 × 98.4 cm)",Gift of the designer,405.1982.a-b,Design,Architecture & Design,1982-10-27,Y,6581,http://www.moma.org/collection/works/6581,,,,,139.7002794006,,,98.4,,
Isaac Newton (Poster from The Development of Scientific Thought series),Boris Bućan,840,"(Croatian, born Yugoslavia, 1947)",(Croatian),(1947),(0),(Male),1972,Screenprint,"26 5/8 x 18 3/4"" (67.7 x 47.6 cm)",Gift of the designer,406.1982,Design,Architecture & Design,1982-10-27,Y,6585,http://www.moma.org/collection/works/6585,http://www.moma.org/media/W1siZiIsIjMyMTYzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f979542522621c60,,,,67.7,,,47.6,,
4 4 4 4 4 4 4 4,Boris Bućan,840,"(Croatian, born Yugoslavia, 1947)",(Croatian),(1947),(0),(Male),1971,Silkscreen,"38 1/8 x 27"" (96.9 x 68.6 cm)",Gift of the artist,407.1982,Design,Architecture & Design,1982-10-27,Y,6590,http://www.moma.org/collection/works/6590,http://www.moma.org/media/W1siZiIsIjUyMTQ1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e0939e51aa8aa0a6,,,,96.9,,,68.6,,
"Milan Drijan (Poster for Karate Club Tempo, Zagreb)",Boris Bućan,840,"(Croatian, born Yugoslavia, 1947)",(Croatian),(1947),(0),(Male),1976,Silkscreen,"Overall: 55 × 38 3/4"" (139.7 × 98.4 cm)
each sheet: 27 1/2 × 38 3/4"" (69.9 × 98.4 cm)",Gift of the artist,408.1982.a-b,Design,Architecture & Design,1982-10-27,Y,6606,http://www.moma.org/collection/works/6606,,,,,139.7002794006,,,98.4251968504,,
TD Total Design Amsterdam,Boris Bućan,840,"(Croatian, born Yugoslavia, 1947)",(Croatian),(1947),(0),(Male),1972,Silkscreen,"37 9/16 x 25 9/16"" (95.3 x 65 cm)",Gift of the artist,409.1982,Design,Architecture & Design,1982-10-27,Y,6611,http://www.moma.org/collection/works/6611,http://www.moma.org/media/W1siZiIsIjUyMTQ1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=42c2655c54ce0d63,,,,95.3,,,65.0,,
9. Kongres SKH,Stipe Brčić,755,"(Croatian, born 1948)",(Croatian),(1948),(0),(Male),1982,Offset lithograph,"77 1/2 x 78 3/4"" (197 x 200 cm)",Gift of the designer,413.1985,Design,Architecture & Design,1985-11-18,Y,6639,http://www.moma.org/collection/works/6639,http://www.moma.org/media/W1siZiIsIjIxMTI5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0ba0224fbd903b80,,,,197.0,,,200.0,,
"Boris Močinović (Poster for Karate Club Tempo, Zagreb)",Boris Bućan,840,"(Croatian, born Yugoslavia, 1947)",(Croatian),(1947),(0),(Male),1976,Silkscreen,"Overal: 55 × 38 3/4"" (139.7 × 98.4 cm)
each sheet: 27 1/2 × 38 3/4"" (69.9 × 98.4 cm)",Gift of the artist,402.1982,Design,Architecture & Design,1982-10-27,Y,6866,http://www.moma.org/collection/works/6866,,,,,139.7002794006,,,98.4251968504,,
Nove Tendencije 2,Ivan Picelj,4611,(1924–2011),(Croatian),(1924),(2011),(Male),1963,Screenprint on metallic paper,"27 3/4 x 19 7/8"" (70.5 x 50.4 cm)","Gift of the Galerija Suvremene Umjetnosti, Zagreb",758.1963,Design,Architecture & Design,1963-12-10,Y,8063,http://www.moma.org/collection/works/8063,http://www.moma.org/media/W1siZiIsIjUxODU1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=af1f8fbe926e6d0e,,,,70.5,,,50.4,,
