Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Day of the Heroic Guerrilla,Elena Serrano,5351,(Cuban),(Cuban),(0),(0),(Female),1968,Offset lithograph,"19 1/2 x 13 1/8"" (49.5 x 33.2 cm)",Gift of OSPAAAL,503.1987,Design,Architecture & Design,1987-11-18,Y,7299,http://www.moma.org/collection/works/7299,http://www.moma.org/media/W1siZiIsIjIxMTU2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=facf47654923732d,,,,49.5,,,33.2,,
"Che, Grupo Teatro Escambray",Carol,983,(Cuban),(Cuban),(0),(0),(),1978,Offset lithograph,"23 3/16 x 17 1/4"" (58.9 x 43.8 cm)",Gift of the International Council and Library - Latin American Archive of the Museum of Modern Art,672.1980,Design,Architecture & Design,1980-10-30,Y,7892,http://www.moma.org/collection/works/7892,http://www.moma.org/media/W1siZiIsIjUyMDk1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7667976caf490489,,,,58.9,,,43.8,,
Cancion Protesta,Alfredo Rostgaard,5037,"(Cuban, born 1943)",(Cuban),(1943),(0),(Male),1967,Silkscreen,"44 1/4 x 29 7/8"" (112.4 x 75.9 cm)",Gift of the International Council and Library - Latin American Archive of The Museum of Modern Art,678.1980,Design,Architecture & Design,1980-10-30,Y,7913,http://www.moma.org/collection/works/7913,http://www.moma.org/media/W1siZiIsIjUyMDk1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=97e3c28978c1e861,,,,112.4,,,75.9,,
Feuilles éparses,"Jean (Hans) Arp, Hans Bellmer, Camille Bryen, Oscar Domínguez, Max Ernst, Alberto Giacometti, Stanley William Hayter, Valentine Hugo, Wifredo Lam, André Masson, Joan Miró, Various Artists","11, 452, 837, 1579, 1752, 2141, 2558, 2758, 3349, 3821, 4016, 24409","(French, born Germany (Alsace). 1886–1966) (German, 1902–1975) (French, 1907–1976) (French, born Spain. 1906–1957) (French and American, born Germany. 1891–1976) (Swiss, 1901–1966) (British, 1901–1988) (French, 1890–1968) (Cuban, 1902–1982) (French, 1896–1987) (Spanish, 1893–1983)",(French) (German) (French) (French) (French) (Swiss) (British) (French) (Cuban) (French) (Spanish) (),(1886) (1902) (1907) (1906) (1891) (1901) (1901) (1890) (1902) (1896) (1893) (0),(1966) (1975) (1976) (1957) (1976) (1966) (1988) (1968) (1982) (1987) (1983) (0),(Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (),"1957–65, published 1965","Illustrated book with nine etchings (two with aquatint, one with aquatint and drypoint), two engravings, one aquatint, one drypoint, and one woodcut","page (each approx.): 9 7/16 × 7 7/8"" (24 × 20 cm); overall (closed): 9 13/16 × 8 1/4 × 1 11/16"" (25 × 21 × 4.3 cm)",Donald Karshan Fund,202.1970.1-14,Illustrated Book,Drawings & Prints,1970-05-12,Y,13381,http://www.moma.org/collection/works/13381,,,,,24.0,,,20.0,,
"Night (Nuit) (plate, page 19) from Feuilles éparses",Wifredo Lam,3349,"(Cuban, 1902–1982)",(Cuban),(1902),(1982),(Male),1965,"Etching and aquatint from an illustrated book with nine etchings (two with aquatint, one with aquatint and drypoint), two engravings, one aquatint, one drypoint, and one woodcut","plate: 8 1/4 × 6 7/8"" (20.9 × 17.4 cm); page: 9 7/16 × 7 7/8"" (24 × 20 cm)",Donald Karshan Fund,202.1970.2,Illustrated Book,Drawings & Prints,1970-05-12,Y,13387,http://www.moma.org/collection/works/13387,,,,,20.9,,,17.4,,
Le Surréalisme en 1947,"Jean (Hans) Arp, Hans Bellmer, Victor Brauner, Serge Brignoni, Alexander Calder, Bruno Capacci, Julio de Diego, Enrico Donati, Marcel Duchamp, Max Ernst, David Hare, Jacques Hérold, Marcel Jean, Wifredo Lam, Jacqueline Lamba, Maria Martins, Roberto Matta, Joan Miró, Man Ray (Emmanuel Radnitzky), Kay Sage, Yves Tanguy, Dorothea Tanning, Toyen (Marie Čermínová), Suzanne van Damme, Various Artists","11, 452, 751, 778, 922, 957, 1540, 1585, 1634, 1752, 2504, 2616, 2898, 3349, 3351, 3767, 3842, 4016, 3716, 16189, 5804, 5806, 5916, 1372, 24409","(French, born Germany (Alsace). 1886–1966) (German, 1902–1975) (Romanian, 1903–1966) (Swiss, 1903–2002) (American, 1898–1976) (Italian, 1906–1996) (American, 1900–1979) (American, born Italy. 1909–2008) (American, born France. 1887–1968) (French and American, born Germany. 1891–1976) (American, 1917–1992) (Romanian, 1910–1991) (French, 1900–1993) (Cuban, 1902–1982) (French, 1910–1993) (Brazilian, 1894–1973) (Chilean, 1911–2002) (Spanish, 1893–1983) (American, 1890–1976) (American, 1898–1963) (American, born France. 1900–1955) (American, 1910–2012) (French, born Bohemia. 1902–1980) (Belgian, 1901–1986)",(French) (German) (Romanian) (Swiss) (American) (Italian) (American) (American) (American) (French) (American) (Romanian) (French) (Cuban) (French) (Brazilian) (Chilean) (Spanish) (American) (American) (American) (American) (Czech) (Belgian) (),(1886) (1902) (1903) (1903) (1898) (1906) (1900) (1909) (1887) (1891) (1917) (1910) (1900) (1902) (1910) (1894) (1911) (1893) (1890) (1898) (1900) (1910) (1902) (1901) (0),(1966) (1975) (1966) (2002) (1976) (1996) (1979) (2008) (1968) (1976) (1992) (1991) (1993) (1982) (1993) (1973) (2002) (1983) (1976) (1963) (1955) (2012) (1980) (1986) (0),(Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female) (Female) (Male) (Male) (Male) (Female) (Male) (Female) (Female) (Female) (),1947,"Illustrated book with eighteen lithographs, four etchings (two with aquatint), two woodcuts, one photogravure, and one ready-made object","page (each): 9 7/16 x 8"" (24 x 20.3 cm); overall (closed): 10 1/16 x 8 3/4 x 1 5/8"" (25.6 x 22.3 x 4.2 cm)",Henry Church Fund,343.1947.1-26,Illustrated Book,Drawings & Prints,1947-12-19,Y,16020,http://www.moma.org/collection/works/16020,http://www.moma.org/media/W1siZiIsIjMwNjI1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=778735b5803db501,,,,24.0,,,20.3,,
Plate from Le Surréalisme en 1947,Wifredo Lam,3349,"(Cuban, 1902–1982)",(Cuban),(1902),(1982),(Male),1947,"Lithograph from an illustrated book with eighteen lithographs, four etchings (two with aquatint), two woodcuts, one photogravure, and one ready-made object","composition (irreg.): 9 5/16 × 6 7/16"" (23.6 × 16.3 cm); page: 9 7/16 × 8"" (24 × 20.3 cm)",Henry Church Fund,343.1947.6,Illustrated Book,Drawings & Prints,1947-12-19,Y,16042,http://www.moma.org/collection/works/16042,http://www.moma.org/media/W1siZiIsIjIzODA1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8ca251ffe2caf66c,,,,23.6,,,16.3,,
Plate (folio 4) from LETTRE À UN GENOU,Agustín Fernández,1854,"(Cuban, 1928–2006)",(Cuban),(1928),(2006),(Male),1963-1964,,"plate  11 11/16 x 9 5/16"" (29.7 x 23.6 cm)",Felipe Cossio del Pomar Fund,531.1965.1,Illustrated Book,Drawings & Prints,1965-06-08,N,18252,,,,,,29.7,,,23.6,,
Lettre à un genou,Agustín Fernández,1854,"(Cuban, 1928–2006)",(Cuban),(1928),(2006),(Male),1964 (Prints executed 1963),Portfolio of seven drypoints,"irreg page  19 11/16 x 14 3/4"" (50 x 37.5 cm)
Prints: various dimensions.",Felipe Cossio del Pomar Fund,531.1965.1-7,Illustrated Book,Drawings & Prints,1965-06-08,N,18253,,,,,,50.0,,,37.5,,
Plate (folio 5) from LETTRE À UN GENOU,Agustín Fernández,1854,"(Cuban, 1928–2006)",(Cuban),(1928),(2006),(Male),1963-1964,,"plate  11 5/8 x 9 5/16"" (29.6 x 23.6 cm)",Felipe Cossio del Pomar Fund,531.1965.2,Illustrated Book,Drawings & Prints,1965-06-08,N,18254,,,,,,29.6,,,23.6,,
