Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Ladle,"G.M. Thurnauer Co., Czechoslovakia",9629,,(Czech),(0),(0),(),1918-1942,Chrome-plated metal,"11 1/2 x 3 7/16"" (29.2 x 8.7 cm)","Gift of G. M. Thurnauer Co., Inc.",103.1946,Design,Architecture & Design,1946-05-07,Y,2113,http://www.moma.org/collection/works/2113,,,,,,29.2,,8.7,,
Bowl,Vera Lisková,3568,"(Czech, 1924–1979)",(Czech),(1924),(1979),(Female),1947,Crystal,"3 3/4 x 10"" (9.5 x 25.4 cm)","Gift of A. J. Van Dugteren & Sons, Inc.",229.1953,Design,Architecture & Design,1953-04-07,Y,2853,http://www.moma.org/collection/works/2853,http://www.moma.org/media/W1siZiIsIjIxMDc4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=28cd0b99df7e6873,,,25.4,9.5,,,,,
Bowl,Vera Lisková,3568,"(Czech, 1924–1979)",(Czech),(1924),(1979),(Female),1947,Crystal,"3 7/16 x 8 1/4"" (8.7 x 20.9 cm)","Gift of A. J. Van Dugteren & Sons, Inc.",230.1953,Design,Architecture & Design,1953-04-07,Y,2861,http://www.moma.org/collection/works/2861,http://www.moma.org/media/W1siZiIsIjIxMDc5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9cdbfd86eef218c3,,,20.9,8.7,,,,,
Tumbler,Vera Lisková,3568,"(Czech, 1924–1979)",(Czech),(1924),(1979),(Female),1947,Crystal,"2 7/8 x 3 5/8"" (7.3 x 9.2 cm)","Gift of A. J. Van Dugteren & Sons, Inc.",231.1953,Design,Architecture & Design,1953-04-07,Y,2871,http://www.moma.org/collection/works/2871,http://www.moma.org/media/W1siZiIsIjIxMDc5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8461e521868684e1,,,9.2,7.3,,,,,
Job,Alphonse Mucha,4136,"(Czech, born Moravia (then Austria). 1860–1939)",(Czech),(1860),(1939),(Male),1897,Lithograph,"61 x 39 3/4"" (154.9 x 101 cm)",Gift of Lillian Nassau,167.1968,Design,Architecture & Design,1968-03-07,Y,5445,http://www.moma.org/collection/works/5445,http://www.moma.org/media/W1siZiIsIjIxMDUzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4564587968b70336,,,,154.9,,,101.0,,
XXm Exposition du Salon des Cent,Alphonse Mucha,4136,"(Czech, born Moravia (then Austria). 1860–1939)",(Czech),(1860),(1939),(Male),1896,Lithograph,"25 1/4 x 17"" (64.1 x 43.1  cm)",Gift of Ludwig Charell,170.1956,Design,Architecture & Design,1956-03-19,Y,5465,http://www.moma.org/collection/works/5465,http://www.moma.org/media/W1siZiIsIjIxMDU0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b36e05b4954d08dd,,,,,,,,,
"Salon des Cent, Exposition de l'œuvre de A. Mucha",Alphonse Mucha,4136,"(Czech, born Moravia (then Austria). 1860–1939)",(Czech),(1860),(1939),(Male),1897,Lithograph,,Gift of Ludwig Charell,171.1956,Design,Architecture & Design,1956-03-19,Y,5472,http://www.moma.org/collection/works/5472,http://www.moma.org/media/W1siZiIsIjM5ODIwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=58c2bc4da3073e77,,,,,,,,,
"Salon des Cent, 3ème exposition",Noury,4337,(Czech),(Czech),(0),(0),(),1894,Lithograph,"24 x 16 1/8"" (61 x 41 cm)",Gift of Ludwig Charell,172.1956,Design,Architecture & Design,1956-03-19,Y,5480,http://www.moma.org/collection/works/5480,http://www.moma.org/media/W1siZiIsIjM5ODIwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bf1119eebd21f4a0,,0.0,,61.0,,,41.0,,
"Theatre de la Renaissance, Sarah Bernhardt, La Samaritaine",Alphonse Mucha,4136,"(Czech, born Moravia (then Austria). 1860–1939)",(Czech),(1860),(1939),(Male),1897,Lithograph,"70 x 24"" (177.8 x 61 cm)",Phyllis B. Lambert Fund,331.1957,Design,Architecture & Design,1957-12-04,Y,6306,http://www.moma.org/collection/works/6306,http://www.moma.org/media/W1siZiIsIjIxMTA4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=afbc7bee03433211,,,,177.8,,,60.9601219202,,
Worpswede (Poster for a Beaux-Arts Society Exposition),Jan Preisler,4726,"(Czech, 1872–1918)",(Czech),(1872),(1918),(Male),1903,Lithograph,"31 1/2 x 43 1/2"" (80 x 110.5 cm)","Gift of The Lauder Foundation, Leonard and Evelyn Lauder Fund",340.1984,Design,Architecture & Design,1984-10-30,Y,6375,http://www.moma.org/collection/works/6375,http://www.moma.org/media/W1siZiIsIjUyNDA1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=28b8d95c1c2a82e7,,,,80.0102,,,110.4902,,
Francouzská Grafika (French Graphics) (Poster for exhibition organized by the Hollar Association of Czech Graphic Artists in Prague),Oldřich Menhart,48611,"(Czech, 1897–1962)",(Czech),(1897),(1962),(Male),1947,Lithograph,"24 3/4 x 37 1/2"" (62.6 x 94.4 cm)",Gift of Czechoslovak Information Office,346.1953,Design,Architecture & Design,1953-04-07,Y,6412,http://www.moma.org/collection/works/6412,http://www.moma.org/media/W1siZiIsIjUxNzY2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=812452d1ffd02bed,,,,62.6,,,94.4,,
"Sto Let Státní Tiskárny (A Century of State Printing) (Poster for exhibition of graphic design 'on the road to socialism,' held at the Museum of Applied Arts, Prague)",Petr Tučný,48669,"(Czech, 1920 – 2012)",(Czech),(1920),(2012),(Male),1948,Lithograph,"36 1/2 x 23 3/4"" (92.8 x 60.4 cm)",Gift of the Czechoslovak Information Office,347.1953,Design,Architecture & Design,1953-04-07,Y,6418,http://www.moma.org/collection/works/6418,http://www.moma.org/media/W1siZiIsIjUxNzY2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c882205d608fc8e1,,,,92.8,,,60.4,,
CSA (Poster for Lignes Aeriennes Tchecoslovaques),Prazsky,40052,(Czech),(Czech),(0),(0),(),1939,LIthograph,"36 5/8 x 24 1/8"" (93 x 61.3 cm)",Gift of G. E. Kidder Smith,491.1943,Design,Architecture & Design,1943-05-12,Y,7228,http://www.moma.org/collection/works/7228,,,,,93.0276860554,,,61.2776225552,,
