Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Air Flow Desk Fan,"G. Byrn Company, Copenhagen",22512,(Danish),(Danish),(0),(0),(),c. 1965,"Plastic, metal, and rubber","10 1/2 x 8 1/4 x 6 1/4"" (26.6 x 21 x 15.9 cm)",Gift of the manufacturer,2255.2001,Design,Architecture & Design,2001-09-24,Y,1136,http://www.moma.org/collection/works/1136,http://www.moma.org/media/W1siZiIsIjIzMDIzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9019506a31fc9542,,15.9,,26.6,,,20.955,,
Table Lamps,"Claus Bonderup, Torsten Thorup","655, 7200","(Danish, born 1943) (Danish, born 1944)",(Danish) (Danish),(1943) (1944),(0) (0),(Male) (Male),1979,".1: Enameled cast metal and cast iron base 
.2: Chrome-plated metal","Each: 19 1/2 x 4 9/16 x 5 3/4"" (49.5 x 11.6 x 14.6 cm)",Gift of the designers,2245.2001.1-2,Design,Architecture & Design,2001-09-24,Y,1165,http://www.moma.org/collection/works/1165,,,14.605,,49.5301,,,11.5888,,
Table Lamps,"Claus Bonderup, Torsten Thorup","655, 7200","(Danish, born 1943) (Danish, born 1944)",(Danish) (Danish),(1943) (1944),(0) (0),(Male) (Male),1979,".1: Enameled cast metal and cast iron base 
.2: Chrome-plated metal","Each: 19 1/2 x 4 9/16 x 5 3/4"" (49.5 x 11.6 x 14.6 cm)",Gift of the designers,2245.2001.1-2,Design,Architecture & Design,2001-09-24,Y,1165,http://www.moma.org/collection/works/1165,,,14.605,,49.5301,,,11.5888,,
Tanaqvil Flatware,Magnus Stephensen,5646,"(Danish, 1903–1984)",(Danish),(1903),(1984),(Male),1955,Stainless steel,".1 (dinner fork): l. 7 1/2 x w. 1 1/4"" (l. 19 x w. 3.2 cm)
.2 (pastry fork): l. 6 x w. 1"" (l. 15.2 x w. 2.5 cm)
.3 (dinner spoon): l. 7 3/4 x w. 1 3/4"" (l. 19.7 x w. 4.4 cm)
.4 (sugar spoon): l. 5 1/4 x w. 1 5/8"" (l. 13.3 x w. 4.1 cm)
.5 (dinner knife): l. 8 3/4 x w. 1"" (l. 22.2 x w. 2.5 cm)
.6 (butter knife): l. 6 5/8 x w. 1 1/2"" (l. 16.8 x w. 3.8 cm)
.7 (cold cut fork): l. 6 3/8 x w. 1/2"" (l. 16.2 x w. 1.3 cm)
.8 (meat fork): l. 8 x w. 1 1/2"" (l. 20.3 x w. 3.8 cm)
.9 (serving spoon): l. 9 5/8 x w. 2 5/8"" (l. 24.4 x w. 6.7 cm)
.10 (serving fork): l. 9 3/4 x w. 2 5/8"" (l. 24.7 x w. 6.7 cm)
.11 (salad spoon): l. 12 3/4 x w. 2 1/8"" (l. 32.4 x w. 5.4 cm)
.12 (salad fork): l. 13 3/4 x w. 2 1/8"" (l. 34.9 x w. 5.4 cm)",Gift of the manufacturer,2293.2001.1-12,Design,Architecture & Design,2001-09-24,Y,1186,http://www.moma.org/collection/works/1186,http://www.moma.org/media/W1siZiIsIjIzMDI1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=27c7de1b391440ad,,,,,19.0,,3.175,,
Fjord Flatware,Jens H. Quistgaard,8688,"(Danish, 1919–2008)",(Danish),(1919),(2008),(Male),1953,Teak and stainless steel,".1 (dinner fork): l. 7"" (17.8 cm)     
.2 (salad fork): l. 6 5/8"" (16.8 cm)     
.3 (tablespoon): l. 7"" (17.8 cm)    
.4 (teaspoon): l. 6 1/4"" (15.8 cm) 
.5 (dinner knife): l. 8 3/8"" (21.3 cm)",Given anonymously,2280.2001.1-5,Design,Architecture & Design,2001-09-24,Y,1190,http://www.moma.org/collection/works/1190,http://www.moma.org/media/W1siZiIsIjIzMDI1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0e7a4a974c636108,,,,,17.8,,,,
Sound-Level Indicator (model SL-120),Henning Andreasen,177,"(Danish, born 1923)",(Danish),(1923),(0),(Male),1978,Plastic casing,"5 3/4 x 1 7/8 x 3/4"" (14.6 x 4.8 x 1.9 cm)
",Gift of the designer,1.1980,Design,Architecture & Design,1980-01-08,Y,1256,http://www.moma.org/collection/works/1256,http://www.moma.org/media/W1siZiIsIjIxMjEzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d81a451fe04e207f,,1.905,,14.605,,,4.8,,
Folle 26 Stapler,Henning Andreasen,177,"(Danish, born 1923)",(Danish),(1923),(0),(Male),1977,"Stainless steel, hardened steel, and iron","1 3/4 x 6 x 1 1/2"" (4.5 x 15.2 x 3.8 cm)",Gift of the designer,2.1980,Design,Architecture & Design,1980-01-08,Y,1278,http://www.moma.org/collection/works/1278,http://www.moma.org/media/W1siZiIsIjIyNjU2OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c4deb6527b1e697d,,3.81,,4.5,,,15.2,,
Telephone (model F78),Henning Andreasen,177,"(Danish, born 1923)",(Danish),(1923),(0),(Male),1977,ABS plastic,"3 1/4 x 9 x 6"" (8.3 x 22.9 x 15.2 cm)",Gift of the designer,3.1980.1,Design,Architecture & Design,1980-01-08,N,1307,,,,15.2,,8.3,,,22.86,,
Telephone (model F78),Henning Andreasen,177,"(Danish, born 1923)",(Danish),(1923),(0),(Male),1977,ABS plastic,"Each: 3 1/2 x 9 x 6"" (8.9 x 22.9 x 15.2 cm)",Gift of the designer,3.1980.1-3,Design,Architecture & Design,1980-01-08,Y,1308,http://www.moma.org/collection/works/1308,http://www.moma.org/media/W1siZiIsIjIwOTk4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3fae10e579a818cd,,15.24,,8.89,,,22.86,,
Telephone (model F78),Henning Andreasen,177,"(Danish, born 1923)",(Danish),(1923),(0),(Male),1977,ABS plastic,"3 1/2 x 9 x 6"" (8.9 x 22.9 x 15.2 cm)",Gift of the designer,3.1980.2,Design,Architecture & Design,1980-01-08,N,1309,,,,15.2,,8.89,,,22.86,,
Telephone (model F78),Henning Andreasen,177,"(Danish, born 1923)",(Danish),(1923),(0),(Male),1977,ABS plastic,"3 1/2 x 9 x 6"" (8.9 x 22.9 x 15.2 cm)",Gift of the designer,3.1980.3,Design,Architecture & Design,1980-01-08,N,1310,,,,15.2,,8.89,,,22.86,,
Floor Lamp,"Claus Bonderup, Torsten Thorup","655, 7200","(Danish, born 1943) (Danish, born 1944)",(Danish) (Danish),(1943) (1944),(0) (0),(Male) (Male),1978,Enameled cast metal and cast-iron base,"66 1/2 x 17 3/8 x 4 3/4"" (168.9 x 44.1 x 12.1 cm)",Gift of the designers,5.1980,Design,Architecture & Design,1980-01-08,Y,1356,http://www.moma.org/collection/works/1356,http://www.moma.org/media/W1siZiIsIjUyMDkyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fb6ab09eb591aa19,,12.1,,168.9,,,44.1,,
Floor Lamp,"Claus Bonderup, Torsten Thorup","655, 7200","(Danish, born 1943) (Danish, born 1944)",(Danish) (Danish),(1943) (1944),(0) (0),(Male) (Male),1978,Enameled cast metal and cast-iron base,"66 1/2 x 17 3/8 x 4 3/4"" (168.9 x 44.1 x 12.1 cm)",Gift of the designers,5.1980,Design,Architecture & Design,1980-01-08,Y,1356,http://www.moma.org/collection/works/1356,http://www.moma.org/media/W1siZiIsIjUyMDkyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fb6ab09eb591aa19,,12.1,,168.9,,,44.1,,
Beocenter 7000 Radio-Turntable-Cassette Combination,Jacob Jensen,2909,"(Danish, 1926–2015)",(Danish),(1926),(2015),(Male),1979,Aluminum and rosewood casing and acrylic,"3 3/4 x 28 1/2 x 14 3/8"" (9.5 x 72.4 x 36.5 cm)",Gift of the manufacturer,9.1980.a-b,Design,Architecture & Design,1980-01-08,Y,1442,http://www.moma.org/collection/works/1442,http://www.moma.org/media/W1siZiIsIjIyNjY3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=596a272760cd4c35,,36.5,,9.5,,,72.3901,,
Child's chair,Kristian Vedel,6117,"(Danish, 1923–2003)",(Danish),(1923),(2003),(Male),1957,Beech plywood with lacquered seat,"16 x 17 1/2 x 11 1/2"" (40.6 x 44.4 x 29.2 cm)","Gift of Daniel Morris and Denis Gallion, Historical Design Collection Inc.",22.1995,Design,Architecture & Design,1995-01-17,Y,1593,http://www.moma.org/collection/works/1593,http://www.moma.org/media/W1siZiIsIjIyNjUyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=608304c606b92685,,29.2,,40.6401,,,44.4,,
Chair Series 7 (3107),Arne Jacobsen,2869,"(Danish, 1902–1971)",(Danish),(1902),(1971),(Male),c. 1952,Chrome-plated steel tubing and molded plywood with black lacquer,"30 1/4 x 18 x 20"" (76.8 x 45.7 x 50.8 cm)",Gift of Mr. Jacques and Mrs. Anna B. Dutka,24.1997.1,Design,Architecture & Design,1997-01-15,Y,1611,http://www.moma.org/collection/works/1611,http://www.moma.org/media/W1siZiIsIjIyNjUzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7ecbdac0a3fddd7b,,50.8001,,76.8352,,,45.7201,,
PH Table Lamp,Poul Henningsen,7261,"(Danish, 1894–1967)",(Danish),(1894),(1967),(Male),1926,"Bakelite, glass, and brass","17 1/2 x 13 3/8"" (44.5 x 34 cm)",Estée and Joseph Lauder Design Fund,27.2000,Design,Architecture & Design,2000-01-19,Y,1627,http://www.moma.org/collection/works/1627,http://www.moma.org/media/W1siZiIsIjU4MjU3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=0ce96968bc5b8b11,,,33.9726,44.5,,,,,
