Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective","Rem Koolhaas, Madelon Vriesendorp","6956, 6957","(Dutch, born 1944) (Dutch, born 1945)",(Dutch) (Dutch),(1944) (1945),(0) (0),(Male) (Female),1987,Synthetic polymer paint and ink on paper,"25 x 39"" (63.5 x 99.1 cm)",Gift of Max Underwood,21.2000,Architecture,Architecture & Design,2000-01-19,Y,82,http://www.moma.org/collection/works/82,http://www.moma.org/media/W1siZiIsIjYwMTEyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=9f81dbe662c2839d,,,,63.5001,,,99.0602,,
"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective","Rem Koolhaas, Madelon Vriesendorp","6956, 6957","(Dutch, born 1944) (Dutch, born 1945)",(Dutch) (Dutch),(1944) (1945),(0) (0),(Male) (Female),1987,Synthetic polymer paint and ink on paper,"25 x 39"" (63.5 x 99.1 cm)",Gift of Max Underwood,21.2000,Architecture,Architecture & Design,2000-01-19,Y,82,http://www.moma.org/collection/works/82,http://www.moma.org/media/W1siZiIsIjYwMTEyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=9f81dbe662c2839d,,,,63.5001,,,99.0602,,
"Egg of Columbus Circle project, New York, New York (Axonometric)","Rem Koolhaas, Zoe Zenghelis, Elia Zenghelis, Madelon Vriesendorp","6956, 7559, 7558, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(Male) (Female) (Male) (Female),1975,Ink and acrylic on paper,"44 1/2 x 27"" (113 x 68.6 cm)",Gift of Kenneth Walker,110.1992,Architecture,Architecture & Design,1992-01-15,Y,204,http://www.moma.org/collection/works/204,http://www.moma.org/media/W1siZiIsIjUyNzA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5d08bbc17be6ef77,,,,113.0,,,68.6,,
"Egg of Columbus Circle project, New York, New York (Axonometric)","Rem Koolhaas, Zoe Zenghelis, Elia Zenghelis, Madelon Vriesendorp","6956, 7559, 7558, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(Male) (Female) (Male) (Female),1975,Ink and acrylic on paper,"44 1/2 x 27"" (113 x 68.6 cm)",Gift of Kenneth Walker,110.1992,Architecture,Architecture & Design,1992-01-15,Y,204,http://www.moma.org/collection/works/204,http://www.moma.org/media/W1siZiIsIjUyNzA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5d08bbc17be6ef77,,,,113.0,,,68.6,,
Contra-Construction Project (Axonometric),"Theo van Doesburg, Cornelis van Eesteren","6076, 8112","(Dutch, 1883–1931) (Dutch, 1897–1988)",(Dutch) (Dutch),(1883) (1897),(1931) (1988),(Male) (Male),1923,Gouache on lithograph,"22 1/2 x 22 1/2"" (57.2 x 57.2 cm)","Gift of Edgar Kaufmann, Jr.",149.1947,Architecture,Architecture & Design,1947-06-17,Y,232,http://www.moma.org/collection/works/232,http://www.moma.org/media/W1siZiIsIjE2MjY1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3ec2fd60c9054871,,,,57.2,,,57.2,,
Contra-Construction Project (Axonometric),"Theo van Doesburg, Cornelis van Eesteren","6076, 8112","(Dutch, 1883–1931) (Dutch, 1897–1988)",(Dutch) (Dutch),(1883) (1897),(1931) (1988),(Male) (Male),1923,Gouache on lithograph,"22 1/2 x 22 1/2"" (57.2 x 57.2 cm)","Gift of Edgar Kaufmann, Jr.",149.1947,Architecture,Architecture & Design,1947-06-17,Y,232,http://www.moma.org/collection/works/232,http://www.moma.org/media/W1siZiIsIjE2MjY1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3ec2fd60c9054871,,,,57.2,,,57.2,,
"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective","Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp","6956, 7558, 7559, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(Male) (Male) (Female) (Female),1981,Watercolor and ink on paper,"25 x 35"" (63.5 x 88.9 cm)
",Andrew Cogan Purchase Fund,273.1999,Architecture,Architecture & Design,1999-06-30,Y,300,http://www.moma.org/collection/works/300,http://www.moma.org/media/W1siZiIsIjUyODUzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6dd18080bd36d9c5,,,,63.5001,,,88.9002,,
"Boompjes Tower Slab, project, Rotterdam, The Netherlands, Perspective","Rem Koolhaas, Elia Zenghelis, Zoe Zenghelis, Madelon Vriesendorp","6956, 7558, 7559, 6957","(Dutch, born 1944) (British, born Greece 1937) (British, born Greece 1937) (Dutch, born 1945)",(Dutch) (British) (British) (Dutch),(1944) (1937) (1937) (1945),(0) (0) (0) (0),(Male) (Male) (Female) (Female),1981,Watercolor and ink on paper,"25 x 35"" (63.5 x 88.9 cm)
",Andrew Cogan Purchase Fund,273.1999,Architecture,Architecture & Design,1999-06-30,Y,300,http://www.moma.org/collection/works/300,http://www.moma.org/media/W1siZiIsIjUyODUzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6dd18080bd36d9c5,,,,63.5001,,,88.9002,,
"Exodus, or the Voluntary Prisoners of Architecture: Prologue","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","6956, 7558, 6957, 7559","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",(Dutch) (British) (Dutch) (British),(1944) (1937) (1945) (1937),(0) (0) (0) (0),(Male) (Male) (Female) (Female),1972,Gelatin silver photographs on board,"16 1/4 x 11 1/2"" (41.3 x 29.2 cm)
","Patricia Phelps de Cisneros Purchase Fund, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",360.1996,Architecture,Architecture & Design,1996-02-25,Y,390,http://www.moma.org/collection/works/390,http://www.moma.org/media/W1siZiIsIjUyNzU5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b8a3e287f3136c10,,,,46.4,,,34.0,,
"Exodus, or the Voluntary Prisoners of Architecture: Prologue","Rem Koolhaas, Elia Zenghelis, Madelon Vriesendorp, Zoe Zenghelis","6956, 7558, 6957, 7559","(Dutch, born 1944) (British, born Greece 1937) (Dutch, born 1945) (British, born Greece 1937)",(Dutch) (British) (Dutch) (British),(1944) (1937) (1945) (1937),(0) (0) (0) (0),(Male) (Male) (Female) (Female),1972,Gelatin silver photographs on board,"16 1/4 x 11 1/2"" (41.3 x 29.2 cm)
","Patricia Phelps de Cisneros Purchase Fund, Takeo Ohbayashi Purchase Fund, and Susan de Menil Purchase Fund",360.1996,Architecture,Architecture & Design,1996-02-25,Y,390,http://www.moma.org/collection/works/390,http://www.moma.org/media/W1siZiIsIjUyNzU5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b8a3e287f3136c10,,,,46.4,,,34.0,,
