Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Garbino Trash Can,Karim Rashid,27759,"(Canadian, born Egypt 1960)",(Egyptian),(1960),(0),(Male),1996,Polypropylene,"Each: 13 1/8 x 10 1/2 x 10"" (33.3 x 26.7 x 25.4 cm)",Gift of the manufacturer,503.2005.1-11,Design,Architecture & Design,2005-05-18,Y,98330,http://www.moma.org/collection/works/98330,,,25.4001,,33.3376,,,26.6701,,
typosophes sans frontieres from the Museum in Progress project Interventions,"Ecke Bonk, Typosophes sans frontieres","30869, 35060","(Egyptian, born 1953)",(Egyptian) (),(1953) (0),(0) (0),(Male) (),"(newspaper published July 26, 2002)","Lithograph, offset printed","sheet: 18 5/16 x 12 3/8"" (46.5 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.470,Print,Drawings & Prints,2006-06-01,N,103479,,,,,,46.5,,,31.5,,
Untitled for the Museum in Progress project Symposia: Art and Science,Ecke Bonk,30869,"(Egyptian, born 1953)",(Egyptian),(1953),(0),(Male),"(newspaper published: April 20, 1999)","Lithograph, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.95,Print,Drawings & Prints,2006-06-01,N,103480,,,,,,47.0,,,31.5,,
Common Sense from the Museum in Progress project Functional Pictures,"Ecke Bonk, Typosophic Society","30869, 35059","(Egyptian, born 1953)",(Egyptian) (),(1953) (0),(0) (0),(Male) (),"(newspaper published: February 16, 2000)","Lithograph, offset printed","sheet: 18 5/16 x 12 3/8"" (46.5 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.167,Print,Drawings & Prints,2006-06-01,N,103481,,,,,,46.5,,,31.5,,
Untitled from the Museum in Progress project TransAct: Transnational Activities in the Cultural Field,Ecke Bonk,30869,"(Egyptian, born 1953)",(Egyptian),(1953),(0),(Male),"(newspaper published April 26, 2000)","Lithograph, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.215,Print,Drawings & Prints,2006-06-01,N,103482,,,,,,47.0,,,31.5,,
Viva from Break the Silence!,Amira Wasfy,38210,(Egyptian),(Egyptian),(0),(0),(Female),2000,Lithograph from a portfolio of thirty-one mixed media prints,"composition and sheet: 23 5/8 x 16 7/16"" (60 x 41.7 cm)",General Print Fund,1110.2007.27,Print,Drawings & Prints,2007-11-12,Y,136221,http://www.moma.org/collection/works/136221,http://www.moma.org/media/W1siZiIsIjI0MDU0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3e49b4cbc0cf6518,,,,60.0,,,41.7,,
"Cabaret Crusades, Drawing 50",Wael Shawky,41664,"(Egyptian, born 1971)",(Egyptian),(1971),(0),(Male),2010,"Ink, pencil, and pigment on paper","12 1/8 x 9"" (30.8 x 22.9 cm)",Fund for the Twenty-First Century,636.2012,Drawing,Drawings & Prints,2012-04-10,Y,159401,http://www.moma.org/collection/works/159401,http://www.moma.org/media/W1siZiIsIjI0NTE1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96dec3b5ed37a21e,,,,30.7975615951,,,22.8600457201,,
"Cabaret Crusades, Drawing 52",Wael Shawky,41664,"(Egyptian, born 1971)",(Egyptian),(1971),(0),(Male),2010,Ink and pencil on paper,"12 1/4 x 9 1/8"" (31.1 x 23.2 cm)",Fund for the Twenty-First Century,637.2012,Drawing,Drawings & Prints,2012-04-10,Y,159402,http://www.moma.org/collection/works/159402,http://www.moma.org/media/W1siZiIsIjI0NTE2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cd72667689bb7f3f,,,,31.1150622301,,,23.1775463551,,
"Cabaret Crusades, Drawing 65",Wael Shawky,41664,"(Egyptian, born 1971)",(Egyptian),(1971),(0),(Male),2010,Ink and pencil on paper,"9 x 12 1/8"" (22.9 x 30.8 cm)",Fund for the Twenty-First Century,640.2012,Drawing,Drawings & Prints,2012-04-10,Y,159403,http://www.moma.org/collection/works/159403,http://www.moma.org/media/W1siZiIsIjI0NTE2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5fab1c2bce32a4ff,,,,22.8600457201,,,30.7975615951,,
"Cabaret Crusades, Drawing 58",Wael Shawky,41664,"(Egyptian, born 1971)",(Egyptian),(1971),(0),(Male),2010,Synthetic polymer paint on paper,"16 1/2 x 11 3/4"" (41.9 x 29.8 cm)",Fund for the Twenty-First Century,638.2012,Drawing,Drawings & Prints,2012-04-10,Y,159404,http://www.moma.org/collection/works/159404,http://www.moma.org/media/W1siZiIsIjI0NTE2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4acff38a07d85460,,,,41.9100838202,,,29.8450596901,,
