Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Florentina Hubaldo, CTE",Lav Diaz,48886,"(Filipino, born 1958)",(Filipino),(1958),(0),(Male),2012,"Digital cinema (black and white, sound)",,Purchase from the Artist,818510,Video,Film,2016-10-18,N,215436,,,,,,,,,,,
From the series Voynich Botanical Studies,"Ulrik Heltoft, Miljohn Ruperto","74387, 74388","(Danish, born 1973) (Filipino, born 1971)",(Danish) (Filipino),(1973) (1971),(0) (0),(Male) (),2013-14,Twenty-four gelatin silver prints,"Each approx. 19 1/4 × 15 5/16"" (48.9 × 38.9 cm)
",Gift of the artists,332.2019.1-24,Photograph,Photography,2019-11-12,N,284433,,,,,,48.8950977902,,,38.8938277877,,
Cloud Canyons and Some Reflections on the Random in Life and Art,David Medalla,72375,"(Filipino, born 1942)",(Filipino),(1942),(0),(Male),1963–85,Ink on three sheets of paper (each recto and verso),"11 3/4 × 8 1/4"" (29.8 × 21 cm)","Gift of the Gilbert B. and Lila Silverman Instruction Drawing Collection, Detroit",1512.2018.a-f,Drawing,Drawings & Prints,2018-11-05,Y,289239,http://www.moma.org/collection/works/289239,http://www.moma.org/media/W1siZiIsIjQ1MTEyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7c08ca9538d62ef3,,,,29.8450596901,,,20.9550419101,,
Specimen 01v leto from Voynich Botanical Studies,"Ulrik Heltoft, Miljohn Ruperto","74387, 74388","(Danish, born 1973) (Filipino, born 1971)",(Danish) (Filipino),(1973) (1971),(0) (0),(Male) (),2013-14,Gelatin silver print,"19 1/4 × 15 5/16"" (48.9 × 38.9 cm)
",Gift of the artists,332.2019.1,Photograph,Photography,2019-11-12,Y,400170,http://www.moma.org/collection/works/400170,http://www.moma.org/media/W1siZiIsIjQ3MDMwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=379119bffc5faad9,,,,48.8950977902,,,38.8938277877,,
Specimen 03r zima from Voynich Botanical Studies,"Ulrik Heltoft, Miljohn Ruperto","74387, 74388","(Danish, born 1973) (Filipino, born 1971)",(Danish) (Filipino),(1973) (1971),(0) (0),(Male) (),2013-14,Gelatin silver print,"19 1/4 × 15 5/16"" (48.9 × 38.9 cm)
",Gift of the artists,332.2019.2,Photograph,Photography,2019-11-12,Y,400171,http://www.moma.org/collection/works/400171,http://www.moma.org/media/W1siZiIsIjQ3MDMyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2272916152dd980c,,,,48.8950977902,,,38.8938277877,,
Specimen 02v jaro from Voynich Botanical Studies,"Ulrik Heltoft, Miljohn Ruperto","74387, 74388","(Danish, born 1973) (Filipino, born 1971)",(Danish) (Filipino),(1973) (1971),(0) (0),(Male) (),2013-14,Gelatin silver print,"19 1/4 × 15 5/16"" (48.9 × 38.9 cm)
",Gift of the artists,332.2019.3,Photograph,Photography,2019-11-12,Y,400172,http://www.moma.org/collection/works/400172,http://www.moma.org/media/W1siZiIsIjQ3MDMzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=23f631217b276060,,,,48.8950977902,,,38.8938277877,,
Specimen 04r podzim from Voynich Botanical Studies,"Ulrik Heltoft, Miljohn Ruperto","74387, 74388","(Danish, born 1973) (Filipino, born 1971)",(Danish) (Filipino),(1973) (1971),(0) (0),(Male) (),2013-14,Gelatin silver print,"19 1/4 × 15 5/16"" (48.9 × 38.9 cm)
",Gift of the artists,332.2019.4,Photograph,Photography,2019-11-12,Y,400173,http://www.moma.org/collection/works/400173,http://www.moma.org/media/W1siZiIsIjQ3MDMzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=01cf376aee6d0f5f,,,,48.8950977902,,,38.8938277877,,
Specimen 05v leto from Voynich Botanical Studies,"Ulrik Heltoft, Miljohn Ruperto","74387, 74388","(Danish, born 1973) (Filipino, born 1971)",(Danish) (Filipino),(1973) (1971),(0) (0),(Male) (),2013-14,Gelatin silver print,"19 1/4 × 15 5/16"" (48.9 × 38.9 cm)
",Gift of the artists,332.2019.5,Photograph,Photography,2019-11-12,Y,400174,http://www.moma.org/collection/works/400174,http://www.moma.org/media/W1siZiIsIjQ3MDMzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b5ca16f1498eb321,,,,48.8950977902,,,38.8938277877,,
Specimen 07v podzim from Voynich Botanical Studies,"Ulrik Heltoft, Miljohn Ruperto","74387, 74388","(Danish, born 1973) (Filipino, born 1971)",(Danish) (Filipino),(1973) (1971),(0) (0),(Male) (),2013-14,Gelatin silver print,"19 1/4 × 15 5/16"" (48.9 × 38.9 cm)
",Gift of the artists,332.2019.6,Photograph,Photography,2019-11-12,Y,400175,http://www.moma.org/collection/works/400175,http://www.moma.org/media/W1siZiIsIjQ3MDM0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=19e8d54828993fe1,,,,48.8950977902,,,38.8938277877,,
Specimen 06v leto from Voynich Botanical Studies,"Ulrik Heltoft, Miljohn Ruperto","74387, 74388","(Danish, born 1973) (Filipino, born 1971)",(Danish) (Filipino),(1973) (1971),(0) (0),(Male) (),2013-14,Gelatin silver print,"19 1/4 × 15 5/16"" (48.9 × 38.9 cm)
",Gift of the artists,332.2019.7,Photograph,Photography,2019-11-12,Y,400176,http://www.moma.org/collection/works/400176,http://www.moma.org/media/W1siZiIsIjQ3MDM0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7e57ea000eb2ddd1,,,,48.8950977902,,,38.8938277877,,
Specimen 08 r jaro from Voynich Botanical Studies,"Ulrik Heltoft, Miljohn Ruperto","74387, 74388","(Danish, born 1973) (Filipino, born 1971)",(Danish) (Filipino),(1973) (1971),(0) (0),(Male) (),2013-14,Gelatin silver print,"19 1/4 × 15 5/16"" (48.9 × 38.9 cm)
",Gift of the artists,332.2019.8,Photograph,Photography,2019-11-12,Y,400177,http://www.moma.org/collection/works/400177,http://www.moma.org/media/W1siZiIsIjQ3MDM0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=44413d3fceb8a072,,,,48.8950977902,,,38.8938277877,,
