Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Church of the Three Crosses, Vuoksenniska, Imatra, Finland",Alvar Aalto,34,"(Finnish, 1898–1976)",(Finnish),(1898),(1976),(Male),1955-58,"Plastic, cardboard, and synthetic polymer paint","15 x 30 x 54"" (38.1 x 76.2 x 137.1 cm)",Purchase,280.1999,Architecture,Architecture & Design,2000-06-30,Y,1009,http://www.moma.org/collection/works/1009,http://www.moma.org/media/W1siZiIsIjExNTk1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ed8f4a468e89f442,,137.1,,38.1,,,76.2,,
"Viipuri City Library, Viipuri, Finland (now Vyborg, Russia)",Alvar Aalto,34,"(Finnish, 1898–1976)",(Finnish),(1898),(1976),(Male),1927-35,"Plastic, wood, plywood, paper, and paint","24 x 42 1/8 x 72"" (61 x 107 x 182.9 cm)",Gift of Elise Jaffe + Jeffrey Brown,281.1999,Architecture,Architecture & Design,2000-06-30,Y,1010,http://www.moma.org/collection/works/1010,http://www.moma.org/media/W1siZiIsIjIyOTE3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=48484c63a808dc35,,182.8804,,61.0,,,106.9977,,
"Leisure Studio, Puolarmaari, Espoo, Finland","The Group, Juha Kaakko, Ilkka Laine, Kimmo Liimatainen, Jari Tirkkonen","7857, 7858, 7861, 7859, 7860","(Finnish) (Finnish, born 1964) (Finnish, born 1964) (Finnish, born 1965) (Finnish, born 1965)",(Finnish) (Finnish) (Finnish) (Finnish) (Finnish),(0) (1964) (1964) (1965) (1965),(0) (0) (0) (0) (0),() () (Female) () (),1990-92,Wood and plastic,"11 13/16 x 26 5/8 x 15 3/8"" (30 x 67.6 x 39.1 cm)
2 5/8"" (6.7 cm)",Gift of the architects in honor of Philip Johnson,444.1997,Architecture,Architecture & Design,1997-10-17,Y,1051,http://www.moma.org/collection/works/1051,http://www.moma.org/media/W1siZiIsIjIxNDAwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3900b77fb06a263,,39.0525781052,,30.0,,,67.6276352553,,
"Leisure Studio, Puolarmaari, Espoo, Finland","The Group, Juha Kaakko, Ilkka Laine, Kimmo Liimatainen, Jari Tirkkonen","7857, 7858, 7861, 7859, 7860","(Finnish) (Finnish, born 1964) (Finnish, born 1964) (Finnish, born 1965) (Finnish, born 1965)",(Finnish) (Finnish) (Finnish) (Finnish) (Finnish),(0) (1964) (1964) (1965) (1965),(0) (0) (0) (0) (0),() () (Female) () (),1990-92,Wood and plastic,"11 13/16 x 26 5/8 x 15 3/8"" (30 x 67.6 x 39.1 cm)
2 5/8"" (6.7 cm)",Gift of the architects in honor of Philip Johnson,444.1997,Architecture,Architecture & Design,1997-10-17,Y,1051,http://www.moma.org/collection/works/1051,http://www.moma.org/media/W1siZiIsIjIxNDAwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3900b77fb06a263,,39.0525781052,,30.0,,,67.6276352553,,
"Leisure Studio, Puolarmaari, Espoo, Finland","The Group, Juha Kaakko, Ilkka Laine, Kimmo Liimatainen, Jari Tirkkonen","7857, 7858, 7861, 7859, 7860","(Finnish) (Finnish, born 1964) (Finnish, born 1964) (Finnish, born 1965) (Finnish, born 1965)",(Finnish) (Finnish) (Finnish) (Finnish) (Finnish),(0) (1964) (1964) (1965) (1965),(0) (0) (0) (0) (0),() () (Female) () (),1990-92,Wood and plastic,"11 13/16 x 26 5/8 x 15 3/8"" (30 x 67.6 x 39.1 cm)
2 5/8"" (6.7 cm)",Gift of the architects in honor of Philip Johnson,444.1997,Architecture,Architecture & Design,1997-10-17,Y,1051,http://www.moma.org/collection/works/1051,http://www.moma.org/media/W1siZiIsIjIxNDAwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3900b77fb06a263,,39.0525781052,,30.0,,,67.6276352553,,
"Leisure Studio, Puolarmaari, Espoo, Finland","The Group, Juha Kaakko, Ilkka Laine, Kimmo Liimatainen, Jari Tirkkonen","7857, 7858, 7861, 7859, 7860","(Finnish) (Finnish, born 1964) (Finnish, born 1964) (Finnish, born 1965) (Finnish, born 1965)",(Finnish) (Finnish) (Finnish) (Finnish) (Finnish),(0) (1964) (1964) (1965) (1965),(0) (0) (0) (0) (0),() () (Female) () (),1990-92,Wood and plastic,"11 13/16 x 26 5/8 x 15 3/8"" (30 x 67.6 x 39.1 cm)
2 5/8"" (6.7 cm)",Gift of the architects in honor of Philip Johnson,444.1997,Architecture,Architecture & Design,1997-10-17,Y,1051,http://www.moma.org/collection/works/1051,http://www.moma.org/media/W1siZiIsIjIxNDAwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3900b77fb06a263,,39.0525781052,,30.0,,,67.6276352553,,
"Leisure Studio, Puolarmaari, Espoo, Finland","The Group, Juha Kaakko, Ilkka Laine, Kimmo Liimatainen, Jari Tirkkonen","7857, 7858, 7861, 7859, 7860","(Finnish) (Finnish, born 1964) (Finnish, born 1964) (Finnish, born 1965) (Finnish, born 1965)",(Finnish) (Finnish) (Finnish) (Finnish) (Finnish),(0) (1964) (1964) (1965) (1965),(0) (0) (0) (0) (0),() () (Female) () (),1990-92,Wood and plastic,"11 13/16 x 26 5/8 x 15 3/8"" (30 x 67.6 x 39.1 cm)
2 5/8"" (6.7 cm)",Gift of the architects in honor of Philip Johnson,444.1997,Architecture,Architecture & Design,1997-10-17,Y,1051,http://www.moma.org/collection/works/1051,http://www.moma.org/media/W1siZiIsIjIxNDAwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3900b77fb06a263,,39.0525781052,,30.0,,,67.6276352553,,
"Embassy of Finland, Washington D.C.","Heikkinen Komonen Architects, Mikko Heikkinen, Markku Komonen","7862, 7537, 7539","(Finnish, est. 1974) (Finnish, born 1949) (Finnish, born 1945)",(Finnish) (Finnish) (Finnish),(1974) (1949) (1945),(0) (0) (0),() (Male) (Male),1990-94,"Wood, plastic and metal","16 15/16 x 16 15/16 x 35 1/8"" (43 x 43 x 89.2 cm)",Gift of the architects,445.1997,Architecture,Architecture & Design,1997-10-17,Y,1052,http://www.moma.org/collection/works/1052,http://www.moma.org/media/W1siZiIsIjIyOTY3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8939ea2e0b7d8251,,89.2177,,43.0,,,43.0213,,
"Embassy of Finland, Washington D.C.","Heikkinen Komonen Architects, Mikko Heikkinen, Markku Komonen","7862, 7537, 7539","(Finnish, est. 1974) (Finnish, born 1949) (Finnish, born 1945)",(Finnish) (Finnish) (Finnish),(1974) (1949) (1945),(0) (0) (0),() (Male) (Male),1990-94,"Wood, plastic and metal","16 15/16 x 16 15/16 x 35 1/8"" (43 x 43 x 89.2 cm)",Gift of the architects,445.1997,Architecture,Architecture & Design,1997-10-17,Y,1052,http://www.moma.org/collection/works/1052,http://www.moma.org/media/W1siZiIsIjIyOTY3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8939ea2e0b7d8251,,89.2177,,43.0,,,43.0213,,
"Embassy of Finland, Washington D.C.","Heikkinen Komonen Architects, Mikko Heikkinen, Markku Komonen","7862, 7537, 7539","(Finnish, est. 1974) (Finnish, born 1949) (Finnish, born 1945)",(Finnish) (Finnish) (Finnish),(1974) (1949) (1945),(0) (0) (0),() (Male) (Male),1990-94,"Wood, plastic and metal","16 15/16 x 16 15/16 x 35 1/8"" (43 x 43 x 89.2 cm)",Gift of the architects,445.1997,Architecture,Architecture & Design,1997-10-17,Y,1052,http://www.moma.org/collection/works/1052,http://www.moma.org/media/W1siZiIsIjIyOTY3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8939ea2e0b7d8251,,89.2177,,43.0,,,43.0213,,
