Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
ILIAzDE,Ilia Zdanevich,12660,(French and Georgian. 1894–1974),(Georgian),(1894),(1974),(Male),1922,Lithograph,"21 3/8 x 19 1/8"" (54.3 x 48.7 cm)",Arthur A. Cohen Purchase Fund,459.1985,Design,Architecture & Design,1985-11-18,Y,7096,http://www.moma.org/collection/works/7096,http://www.moma.org/media/W1siZiIsIjUyNjc3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=68f00942a5654cf2,,,,54.3,,,48.7,,
Untitled,Kirill Zdanevich,11875,"(Georgian, 1892 – 1969)",(Georgian),(1892),(1969),(Male),1919,Pen and ink,"sheet (irreg.): 11 3/16 x 10 1/2"" (28.4 x 26.6 cm)",Gift of The Judith Rothschild Foundation,4.2001,Drawing,Drawings & Prints,2001-01-24,Y,9070,http://www.moma.org/collection/works/9070,http://www.moma.org/media/W1siZiIsIjY3ODg4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=649e845c41e0cff5,,,,28.4,,,26.6,,
"A. Kruchenykh grandiozar (A. Kruchenykh, the Grandiose)",Kirill Zdanevich,11875,"(Georgian, 1892 – 1969)",(Georgian),(1892),(1969),(Male),1919,Orange paper cover with woodcut illustration by Zdanevich on front,"page: 8 1/4 x 6 11/16"" (21 x 17 cm)",Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),92.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,11166,http://www.moma.org/collection/works/11166,http://www.moma.org/media/W1siZiIsIjIxMDI0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=de5991ab4f4f6e5b,,,,21.0,,,17.0,,
"Malokholiia v kapote. Istoriia kak anal'naia erotika (Melancholy in a Robe: The History of 'Kaka,' Anal Eroticism)",Kirill Zdanevich,11875,"(Georgian, 1892 – 1969)",(Georgian),(1892),(1969),(Male),1918,Hectographed manuscript text and designs,"page: 8 11/16 x 6 7/8"" (22.1 x 17.5 cm)",Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),95.2001,Illustrated Book,Drawings & Prints,2001-01-24,N,11246,,,,,,22.1,,,17.5,,
"Malokholiia v kapote. Istoriia kak anal'naia erotika (Melancholy in a Robe: The History of 'Kaka,' Anal Eroticism)","Ilia Zdanevich, Kirill Zdanevich","12660, 11875","(French and Georgian. 1894–1974) (Georgian, 1892 – 1969)",(Georgian) (Georgian),(1894) (1892),(1974) (1969),(Male) (Male),1918,"Cover with letterpress typographic design on front by I. Zdanevich; hectographed manuscript text and designs, and carbon copied typed text by K. Zdanevich","page (irreg.): 8 13/16 x 7"" (22.4 x 17.8 cm)",Gift of The Judith Rothschild Foundation,96.2001,Illustrated Book,Drawings & Prints,2001-01-24,N,11253,,,,,,22.4,,,17.8,,
"Malokholiia v kapote. Istoriia kak anal'naia erotika (Melancholy in a Robe: The History of 'Kaka,' Anal Eroticism)","Ilia Zdanevich, Kirill Zdanevich","12660, 11875","(French and Georgian. 1894–1974) (Georgian, 1892 – 1969)",(Georgian) (Georgian),(1894) (1892),(1974) (1969),(Male) (Male),1918,"Cover with letterpress typographic design on front by I. Zdanevich; hectographed manuscript text and designs, and carbon copied typed text by K. Zdanevich","page (irreg.): 8 13/16 x 7"" (22.4 x 17.8 cm)",Gift of The Judith Rothschild Foundation,96.2001,Illustrated Book,Drawings & Prints,2001-01-24,N,11253,,,,,,22.4,,,17.8,,
"Malokholiia v kapote. Istoriia kak anal'naia erotika (Melancholy in a Robe: The History of 'Kaka,' Anal Eroticism)","Ilia Zdanevich, Kirill Zdanevich","12660, 11875","(French and Georgian. 1894–1974) (Georgian, 1892 – 1969)",(Georgian) (Georgian),(1894) (1892),(1974) (1969),(Male) (Male),1919,"Cover with letterpress typographic design on front by I. Zdanevich; hectographed and carbon copied manuscript text and designs, and pencil manuscript text. Pencil manuscript text by Kruchenykh","page (irreg.): 8 9/16 x 7 5/16"" (21.8 x 18.5 cm)",Gift of The Judith Rothschild Foundation,97.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,11263,http://www.moma.org/collection/works/11263,http://www.moma.org/media/W1siZiIsIjIxMDI1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df244d3f42b809b5,,,,21.8,,,18.5,,
"Malokholiia v kapote. Istoriia kak anal'naia erotika (Melancholy in a Robe: The History of 'Kaka,' Anal Eroticism)","Ilia Zdanevich, Kirill Zdanevich","12660, 11875","(French and Georgian. 1894–1974) (Georgian, 1892 – 1969)",(Georgian) (Georgian),(1894) (1892),(1974) (1969),(Male) (Male),1919,"Cover with letterpress typographic design on front by I. Zdanevich; hectographed and carbon copied manuscript text and designs, and pencil manuscript text. Pencil manuscript text by Kruchenykh","page (irreg.): 8 9/16 x 7 5/16"" (21.8 x 18.5 cm)",Gift of The Judith Rothschild Foundation,97.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,11263,http://www.moma.org/collection/works/11263,http://www.moma.org/media/W1siZiIsIjIxMDI1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df244d3f42b809b5,,,,21.8,,,18.5,,
Uchites' khudogi! Stikhi (Learn Artists! Poems),"Aleksei Kruchenykh, Kirill Zdanevich","3263, 11875","(Russian, born Ukraine, 1886–1968) (Georgian, 1892 – 1969)",(Russian) (Georgian),(1886) (1892),(1968) (1969),(Male) (Male),1917,Book with 17 lithographs (including cover) and lithographed manuscript text,"page (each): 9 5/16 x 7 5/16"" (23.6 x 18.5 cm)",Gift of The Judith Rothschild Foundation,100.2001.1-19,Illustrated Book,Drawings & Prints,2001-01-24,Y,11299,http://www.moma.org/collection/works/11299,http://www.moma.org/media/W1siZiIsIjIyNzkxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=351294b2a4123821,,,,23.6,,,18.5,,
Uchites' khudogi! Stikhi (Learn Artists! Poems),"Aleksei Kruchenykh, Kirill Zdanevich","3263, 11875","(Russian, born Ukraine, 1886–1968) (Georgian, 1892 – 1969)",(Russian) (Georgian),(1886) (1892),(1968) (1969),(Male) (Male),1917,Book with 17 lithographs (including cover) and lithographed manuscript text,"page (each): 9 1/4 x 7 1/8"" (23.5 x 18.1 cm)",Gift of The Judith Rothschild Foundation,101.2001.1-19,Illustrated Book,Drawings & Prints,2001-01-24,Y,11301,http://www.moma.org/collection/works/11301,http://www.moma.org/media/W1siZiIsIjIyNzkyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=32c783f586f5e68e,,,,23.5,,,18.1,,
