Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Confetti Tree,Pavlos,4527,"(Greek, born 1930)",(Greek),(1930),(0),(Male),1973,Vinyl packing with silk screening; confetti stuffing,"39 x 26"" (99.1 x 66cm)",Gift of Leo W. and Evelyn D. Farland Foundation,242.1975,Design,Architecture & Design,1975-03-31,Y,5806,http://www.moma.org/collection/works/5806,,,66.0,,,,,99.1,,
Greek travel poster,Budry,852,(Greek),(Greek),(0),(0),(),1900-1943,Poster,,Gift of G. E. Kidder Smith,497.1943,Design,Architecture & Design,1943-05-12,N,7265,,,,,,,,,,,
23 Gravures,"Jean (Hans) Arp, Alexander Calder, Giorgio de Chirico, Hans Erni, Max Ernst, Justino Fernández, Alberto Giacometti, Julio González, Nikos Hadjikyriakos-Ghika, Jean Hélion, Vasily Kandinsky, Fernand Léger, Jacques Lipchitz, Alberto Magnelli, Joan Miró, Ben Nicholson, Amédée Ozenfant, Pablo Picasso, Kurt Seligmann, Sophie Taeuber-Arp, Joaquín Torres-García, Gérard Vulliamy, Ossip Zadkine, Various Artists","11, 922, 1106, 1750, 1752, 1855, 2141, 2231, 7050, 2586, 2981, 6624, 3563, 3690, 4016, 4293, 4458, 4609, 5337, 5777, 5907, 6196, 6533, 24409","(French, born Germany (Alsace). 1886–1966) (American, 1898–1976) (Italian, born Greece. 1888–1978) (Swiss, 1909–2015) (French and American, born Germany. 1891–1976) (Mexican, 1904–1972) (Swiss, 1901–1966) (Spanish, 1876–1942) (Greek, 1906–1994) (French, 1904–1987) (French, born Russia. 1866–1944) (French, 1881–1955) (American, born Lithuania. 1891–1973) (Italian, 1888–1971) (Spanish, 1893–1983) (British, 1894–1982) (French, 1886–1966) (Spanish, 1881–1973) (American, born Switzerland. 1900–1962) (French, born Switzerland. 1889–1943) (Uruguayan, 1874–1949) (French, 1909–2005) (French, born Russia. 1890–1967)",(French) (American) (Italian) (Swiss) (French) (Mexican) (Swiss) (Spanish) (Greek) (French) (French) (French) (American) (Italian) (Spanish) (British) (French) (Spanish) (American) (Swiss) (Uruguayan) (French) (French) (),(1886) (1898) (1888) (1909) (1891) (1904) (1901) (1876) (1906) (1904) (1866) (1881) (1891) (1888) (1893) (1894) (1886) (1881) (1900) (1889) (1874) (1909) (1890) (0),(1966) (1976) (1978) (2015) (1976) (1972) (1966) (1942) (1994) (1987) (1944) (1955) (1973) (1971) (1983) (1982) (1966) (1973) (1962) (1943) (1949) (2005) (1967) (0),(Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (),"1930–35, published 1935","Illustrated book with twelve etchings (one with aquatint and drypoint), five drypoints, three engravings (one with drypoint), two lithographs, and one woodcut","composition (see child records): dimensions vary; page (each approx.): 13 x 10 3/16"" (33 x 25.9 cm)",Purchase Fund,14.1945.1-23,Illustrated Book,Drawings & Prints,1945-01-03,Y,9171,http://www.moma.org/collection/works/9171,,,,,33.0,,,25.9,,
Plate (folio 19) from 23 Gravures,Nikos Hadjikyriakos-Ghika,7050,"(Greek, 1906–1994)",(Greek),(1906),(1994),(Male),1935,"Engraving from an illustrated book with twelve etchings (one with aquatint and drypoint), five drypoints, three engravings (one with drypoint), two lithographs, and one woodcut","plate: 8 1/8 × 6 1/2"" (20.6 × 16.5 cm); sheet: 12 11/16 × 10"" (32.2 × 25.4 cm)",Purchase Fund,14.1945.8,Illustrated Book,Drawings & Prints,1945-01-03,Y,9192,http://www.moma.org/collection/works/9192,http://www.moma.org/media/W1siZiIsIjE2MzM5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=294b22d1f53abef7,,,,20.6,,,16.5,,
Untitled (for Parkett no. 6),Jannis Kounellis,3230,"(Greek, 1936–2017)",(Greek),(1936),(2017),(Male),1985,Photoetching and aquatint bound into journal,"plate: 9 15/16 × 8"" (25.2 × 20.3 cm); page: 9 13/16 × 16"" (25 × 40.7 cm)","Riva Castleman Endowment Fund, Lily Auchincloss Fund",87.1998.1,Illustrated Book,Drawings & Prints,1998-03-05,Y,11093,http://www.moma.org/collection/works/11093,,,,,25.2,,,20.3,,
Parkett no. 6,"Lothar Baumgarten, Jannis Kounellis, Various Artists","393, 3230, 24409","(German, 1944–2018) (Greek, 1936–2017)",(German) (Greek) (),(1944) (1936) (0),(2018) (2017) (0),(Male) (Male) (),1985,Journal,"page: 9 13/16 × 8 1/4"" (25 × 20.9 cm)",Gift of Parkett,87.1998.2,Periodical,Drawings & Prints,1998-03-05,Y,11095,http://www.moma.org/collection/works/11095,http://www.moma.org/media/W1siZiIsIjQyOTQwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eb07746580677f08,,,,25.0,,,20.9,,
Untitled (7 x 33),Jannis Kounellis,3230,"(Greek, 1936–2017)",(Greek),(1936),(2017),(Male),1959,Tempera and glue on graph paper on canvas,"51 3/8 x 100 3/8"" (130.5 x 255 cm)",Purchase,134.1984,Drawing,Drawings & Prints,1984-04-17,Y,34584,http://www.moma.org/collection/works/34584,http://www.moma.org/media/W1siZiIsIjQ3NzM2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f45b3762e6365d2c,,,,130.4928,,,254.953,,
Composition IV,Takis Marthas,3786,"(Greek, 1905–1965)",(Greek),(1905),(1965),(Male),1963,Ink and pasted paper on gray paper,"18 3/4 x 12 3/8"" (47.4 x 31.4 cm)",L-B Foundation Fund,375.1965,Drawing,Drawings & Prints,1965-05-11,Y,36560,http://www.moma.org/collection/works/36560,,,,,47.6,,,31.4,,
Untitled,Jannis Kounellis,3230,"(Greek, 1936–2017)",(Greek),(1936),(2017),(Male),1977,"Synthetic polymer paint, tallow, and adhesive tape on colored paper","39 1/4 x 58 1/8"" (99.6 x 147.6 cm)",Gift of Barbara G. Pine,444.1982,Drawing,Drawings & Prints,1982-11-04,Y,36938,http://www.moma.org/collection/works/36938,,,,,99.7,,,147.6,,
Untitled,Jannis Kounellis,3230,"(Greek, 1936–2017)",(Greek),(1936),(2017),(Male),1973,"Pencil, paper, and kerosene lamp on paper","27 1/2 x 39 1/2 x 5 1/2"" (69.9 x 100.3 x 13.9 cm)",Gift of Agnes Gund,625.1987.a-b,Drawing,Drawings & Prints,1988-02-19,Y,37641,http://www.moma.org/collection/works/37641,http://www.moma.org/media/W1siZiIsIjUxNDI3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=528501e4db2a5da3,,13.9,,69.9,,,100.3,,
"Erechteheion, the Acropolis, Athens",D. Constantin,1226,(Greek),(Greek),(0),(0),(Male),1860-69,Albumen silver print from a glass negative,"10 3/4 × 14 3/4"" (27.3 × 37.4 cm)",Acquired through the generosity of Lois and Bruce Zenkel,49.1982,Photograph,Photography,1982-03-11,Y,44830,http://www.moma.org/collection/works/44830,http://www.moma.org/media/W1siZiIsIjI0MjM1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=60bacb2636ddb5ee,,,,27.3,,,37.4,,
"Erechtheion, the Acropolis, Athens",D. Constantin,1226,(Greek),(Greek),(0),(0),(Male),1860-69,Albumen silver print from a glass negative,"10 7/16 × 14 9/16"" (26.6 × 37.0 cm)",Acquired through the generosity of Lois and Bruce Zenkel,50.1982,Photograph,Photography,1982-03-11,Y,44858,http://www.moma.org/collection/works/44858,http://www.moma.org/media/W1siZiIsIjI0MjM1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=82bf70ed340ffa5c,,,,26.6,,,37.0,,
Tomb of Philopappos,D. Constantin,1226,(Greek),(Greek),(0),(0),(Male),1860-69,Albumen silver print from a glass negative,"10 3/8 × 14 11/16""  (26.4 × 37.7 cm)",Acquired through the generosity of Lois and Bruce Zenkel,51.1982,Photograph,Photography,1982-03-11,Y,44954,http://www.moma.org/collection/works/44954,http://www.moma.org/media/W1siZiIsIjI0MjMyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=58015ea3a059b11f,,,,26.4,,,37.7,,
"Areopagus, Athens",D. Constantin,1226,(Greek),(Greek),(0),(0),(Male),1860-69,Albumen silver print from a glass negative,"10 × 14 9/16""  (25.4 × 37.0 cm)",Acquired through the generosity of Lois and Bruce Zenkel,52.1982,Photograph,Photography,1982-03-11,Y,45009,http://www.moma.org/collection/works/45009,http://www.moma.org/media/W1siZiIsIjI0MjMyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=95e8b69ca60aa802,,,,25.4,,,37.0,,
