Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Plate (folio 4) from Estampas del Popol-Vuh,Carlos Mérida,3935,"(Guatemalan, 1891–1984)",(Guatemalan),(1891),(1984),(Male),1943,Lithograph from an illustrated book with ten lithographs,"composition: 12 3/16 x 10 5/8"" (30.9 x 27 cm); page: 16 1/8 x 12 5/16"" (41 x 31.3 cm)",Purchase,596.1949.1,Illustrated Book,Drawings & Prints,1949-09-29,Y,19414,http://www.moma.org/collection/works/19414,http://www.moma.org/media/W1siZiIsIjE5MDQ5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=56574820fabedb10,,,,30.9,,,27.0,,
Estampas del Popol-Vuh,Carlos Mérida,3935,"(Guatemalan, 1891–1984)",(Guatemalan),(1891),(1984),(Male),1943,Illustrated book with ten lithographs,"composition (see child records): dimensions vary; page (each): 16 1/8 x 12 5/16"" (41 x 31.3cm)",Purchase,596.1949.1-10,Illustrated Book,Drawings & Prints,1949-09-29,Y,19415,http://www.moma.org/collection/works/19415,http://www.moma.org/media/W1siZiIsIjE5MDQ5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ff7d022c5c4c6355,,,,41.0,,,31.3,,
Plate (folio 22) from Estampas del Popol-Vuh,Carlos Mérida,3935,"(Guatemalan, 1891–1984)",(Guatemalan),(1891),(1984),(Male),1943,Lithograph from an illustrated book with ten lithographs,"composition: 12 3/16 x 10 11/16"" (31 x 27.2 cm); page: 16 1/8 x 12 5/16"" (41 x 31.3 cm)",Purchase,596.1949.10,Illustrated Book,Drawings & Prints,1949-09-29,Y,19416,http://www.moma.org/collection/works/19416,http://www.moma.org/media/W1siZiIsIjE5MDUwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c8a925e754aa30e,,,,31.0,,,27.2,,
Plate (folio 6) from Estampas del Popol-Vuh,Carlos Mérida,3935,"(Guatemalan, 1891–1984)",(Guatemalan),(1891),(1984),(Male),1943,Lithograph from an illustrated book with ten lithographs,"composition: 12 3/16 x 10 11/16"" (31 x 27.2 cm); page: 16 1/8 x 12 5/16"" (41 x 31.3 cm)",Purchase,596.1949.2,Illustrated Book,Drawings & Prints,1949-09-29,Y,19417,http://www.moma.org/collection/works/19417,http://www.moma.org/media/W1siZiIsIjE5MDUwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9f2a21ff5b638915,,,,31.0,,,27.2,,
Plate (folio 8) from Estampas del Popol-Vuh,Carlos Mérida,3935,"(Guatemalan, 1891–1984)",(Guatemalan),(1891),(1984),(Male),1943,Lithograph from an illustrated book with ten lithographs,"composition: 12 3/16 x 10 11/16"" (30.9 x 27.1 cm); page: 16 1/8 x 12 5/16"" (41 x 31.3 cm)",Purchase,596.1949.3,Illustrated Book,Drawings & Prints,1949-09-29,Y,19418,http://www.moma.org/collection/works/19418,http://www.moma.org/media/W1siZiIsIjE5MDUwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6f489922e1b2f0cc,,,,30.9,,,27.1,,
Plate (folio 10) from Estampas del Popol-Vuh,Carlos Mérida,3935,"(Guatemalan, 1891–1984)",(Guatemalan),(1891),(1984),(Male),1943,Lithograph from an illustrated book with ten lithographs,"composition: 12 3/16 x 10 11/16"" (30.9 x 27.2 cm); page: 16 1/8 x 12 5/16"" (41 x 31.3 cm)",Purchase,596.1949.4,Illustrated Book,Drawings & Prints,1949-09-29,Y,19419,http://www.moma.org/collection/works/19419,http://www.moma.org/media/W1siZiIsIjE5MDUwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9cacd430291d4a7b,,,,30.9,,,27.2,,
Plate (folio 12) from Estampas del Popol-Vuh,Carlos Mérida,3935,"(Guatemalan, 1891–1984)",(Guatemalan),(1891),(1984),(Male),1943,Lithograph from an illustrated book with ten lithographs,"composition: 12 3/16 x 10 11/16"" (31 x 27.1 cm); page: 16 1/8 x 12 5/16"" (41 x 31.3 cm)",Purchase,596.1949.5,Illustrated Book,Drawings & Prints,1949-09-29,Y,19420,http://www.moma.org/collection/works/19420,http://www.moma.org/media/W1siZiIsIjE5MDUwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d057991305d7c7e4,,,,31.0,,,27.1,,
Plate (folio 14) from Estampas del Popol-Vuh,Carlos Mérida,3935,"(Guatemalan, 1891–1984)",(Guatemalan),(1891),(1984),(Male),1943,Lithograph from an illustrated book with ten lithographs,"composition: 12 3/16 x 10 11/16"" (30.9 x 27.1 cm); page: 16 1/8 x 12 5/16"" (41 x 31.3 cm)",Purchase,596.1949.6,Illustrated Book,Drawings & Prints,1949-09-29,Y,19421,http://www.moma.org/collection/works/19421,http://www.moma.org/media/W1siZiIsIjE5MDUxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ca312a595ff5b5de,,,,30.9,,,27.1,,
Plate (folio 16) from Estampas del Popol-Vuh,Carlos Mérida,3935,"(Guatemalan, 1891–1984)",(Guatemalan),(1891),(1984),(Male),1943,Lithograph from an illustrated book with ten lithographs,"composition: 12 3/16 x 10 5/8"" (31 x 27 cm); page: 16 1/8 x 12 5/16"" (41 x 31.3 cm)",Purchase,596.1949.7,Illustrated Book,Drawings & Prints,1949-09-29,Y,19422,http://www.moma.org/collection/works/19422,http://www.moma.org/media/W1siZiIsIjE5MDUxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e979d98c9bdddb2d,,,,31.0,,,27.0,,
Plate (folio 18) from Estampas del Popol-Vuh,Carlos Mérida,3935,"(Guatemalan, 1891–1984)",(Guatemalan),(1891),(1984),(Male),1943,Lithograph from an illustrated book with ten lithographs,"composition: 12 3/16 x 10 11/16"" (30.9 x 27.1 cm); page: 16 1/8 x 12 5/16"" (41 x 31.3 cm)",Purchase,596.1949.8,Illustrated Book,Drawings & Prints,1949-09-29,Y,19423,http://www.moma.org/collection/works/19423,http://www.moma.org/media/W1siZiIsIjE5MDUxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c07da5e068396e44,,,,30.9,,,27.1,,
