Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Magic Table,Jacques-Enguérrand Gourgue,2272,"(Haitian, 1930–1996)",(Haitian),(1930),(1996),(Male),1947,Oil on board,"17 x 20 3/4"" (43.2 x 52.7 cm)",Inter-American Fund,244.1948,Drawing,Drawings & Prints,1948-10-06,Y,35491,http://www.moma.org/collection/works/35491,http://www.moma.org/media/W1siZiIsIjQ0MjcxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=68b428465eb95ad6,,,,43.2,,,52.7,,
Untitled from Homage to Picasso (Hommage à Picasso),Hervé Télémaque,5827,"(Haitian, born 1937)",(Haitian),(1937),(0),(Male),"1972, published 1973","Screenprint from a portfolio of thirty-one lithographs (one with aquatint, one with collotype, one with screenprint), twenty-two screenprints (one with embossing, one with flocking, one with stencil), eleven etchings (five with aquatint, one with aquatint and drypoint, one with aquatint, drypoint, and engraving), three aquatints (one with etching), and two woodcuts","composition and sheet: 21 15/16 x 29 13/16"" (55.8 x 75.8 cm)",Gift of Dorothy Miller (by exchange),22.1987.42,Print,Drawings & Prints,1987-01-15,Y,60237,http://www.moma.org/collection/works/60237,http://www.moma.org/media/W1siZiIsIjIzMTQ2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4e78672ea7112175,,,,55.8,,,75.8,,
Untitled from 10 Original Woodcuts Signed by the Popular Painters of Haiti (10 Gravures Originales signées par les peintres populaires d'Haiti),Castera Bazile,405,"(Haitian, 1923–1966)",(Haitian),(1923),(1966),(Male),1947,Woodcut,"composition: 5 7/8 x 5 13/16"" (14.9 x 14.8 cm); sheet: 10 1/16 x 8 3/16"" (25.5 x 20.8 cm)",Inter-American Fund,344.1947.1,Print,Drawings & Prints,1947-12-19,Y,67324,http://www.moma.org/collection/works/67324,http://www.moma.org/media/W1siZiIsIjIyMTU0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ae4889dbf8f1cf3d,,,,14.9,,,14.8,,
10 Original Woodcuts Signed by the Popular Painters of Haiti (10 Gravures Originales signées par les peintres populaires d'Haiti),Various Artists,6101,(Haitian),(Haitian),(0),(0),(),1947,Portfolio of ten woodcuts,"Sheet with variations 10 x 8 1/8"" (25.4 x 20.7 cm)",Inter-American Fund,344.1947.1-10,Print,Drawings & Prints,1947-12-19,N,67325,,,,,,25.4,,,20.7,,
Untitled from 10 Original Woodcuts Signed by the Popular Painters of Haiti (10 Gravures Originales signées par les peintres populaires d'Haiti),Denis Vergin,7739,(Haitian),(Haitian),(0),(0),(Male),1947,Woodcut,"composition: 6 x 5 15/16"" (15.2 x 15.1 cm); sheet: 10 5/16 x 7 13/16"" (26.2 x 19.9 cm)",Inter-American Fund,344.1947.10,Print,Drawings & Prints,1947-12-19,Y,67326,http://www.moma.org/collection/works/67326,http://www.moma.org/media/W1siZiIsIjIzMzk4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=94302de5d7a402b6,,,,15.2,,,15.1,,
Untitled from 10 Original Woodcuts Signed by the Popular Painters of Haiti (10 Gravures Originales signées par les peintres populaires d'Haiti),"Rigaud Benoit, Unidentified","7733, 31589","(Haitian, 1911–1986)",(Haitian) (),(1911) (0),(1986) (0),(Male) (),1947,Woodcut,"composition: 6 x 6 1/16"" (15.2 x 15.4 cm); sheet: 10 1/16 x 8 1/16"" (25.6 x 20.5 cm)",Inter-American Fund,344.1947.2,Print,Drawings & Prints,1947-12-19,Y,67327,http://www.moma.org/collection/works/67327,http://www.moma.org/media/W1siZiIsIjIzMzk4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ab736daeb9e5409e,,,,15.2,,,15.4,,
Untitled from 10 Original Woodcuts Signed by the Popular Painters of Haiti (10 Gravures Originales signées par les peintres populaires d'Haiti),Wilson Bigaud,557,"(Haitian, 1931–2010)",(Haitian),(1931),(2010),(Male),1947,Woodcut,"composition: 6 x 4 13/16"" (15.2 x 12.3 cm); sheet: 9 15/16 x 8 3/16"" (25.2 x 20.8 cm)",Inter-American Fund,344.1947.3,Print,Drawings & Prints,1947-12-19,N,67328,,,,,,15.2,,,12.3,,
Untitled from 10 Original Woodcuts Signed by the Popular Painters of Haiti (10 Gravures Originales signées par les peintres populaires d'Haiti),Dieudonne Cedor,7734,"(Haitian, 1925–2010)",(Haitian),(1925),(2010),(Male),1947,Woodcut,"composition: 5 13/16 x 5 9/16"" (14.8 x 14.1 cm); sheet (irreg.): 9 5/8 x 7 15/16"" (24.5 x 20.2 cm)",Inter-American Fund,344.1947.4,Print,Drawings & Prints,1947-12-19,Y,67329,http://www.moma.org/collection/works/67329,http://www.moma.org/media/W1siZiIsIjIzMzk4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=644e993c52e6862b,,,,14.8,,,14.1,,
Untitled from 10 Original Woodcuts Signed by the Popular Painters of Haiti (10 Gravures Originales signées par les peintres populaires d'Haiti),Gabriel Alix,7735,"(Haitian, 1930–1998)",(Haitian),(1930),(1998),(Male),1947,Woodcut,"composition: 5 3/4 x 5 3/4"" (14.6 x 14.6 cm); sheet: 10 x 8 1/8"" (25.4 x 20.7 cm)",Inter-American Fund,344.1947.5,Print,Drawings & Prints,1947-12-19,Y,67330,http://www.moma.org/collection/works/67330,http://www.moma.org/media/W1siZiIsIjIyMTM5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3800ecf507aa831f,,,,14.6,,,14.6,,
Untitled from 10 Original Woodcuts Signed by the Popular Painters of Haiti (10 Gravures Originales signées par les peintres populaires d'Haiti),Jacques-Enguérrand Gourgue,2272,"(Haitian, 1930–1996)",(Haitian),(1930),(1996),(Male),1947,Woodcut,"composition: 6 x 5 15/16"" (15.2 x 15.1 cm); sheet: 9 13/16 x 7 15/16"" (25 x 20.2 cm)",Inter-American Fund,344.1947.6,Print,Drawings & Prints,1947-12-19,Y,67331,http://www.moma.org/collection/works/67331,http://www.moma.org/media/W1siZiIsIjIyMTQwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4b49ddb433788bc1,,,,15.2,,,15.1,,
