Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Rubik's Cube,Ernö Rubik,5069,"(Hungarian, born 1944)",(Hungarian),(1944),(0),(Male),1974,Plastic,"2 1/4 x 2 1/4 x 2 1/4"" (5.7 x 5.7 x 5.7 cm)",Gift of the manufacturer,234.1981,Design,Architecture & Design,1981-04-30,Y,2908,http://www.moma.org/collection/works/2908,http://www.moma.org/media/W1siZiIsIjIxMDgxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=70151ce31a03ce5a,,5.7,,5.7,,,5.7,,
Ungheria,Arisztid Uher,131700,(Hungarian),(Hungarian),(0),(0),(Male),1931,Lithograph,"36 7/8 x 24 7/8"" (93.7 x 63 cm)",Gift of G. E. Kidder Smith,486.1943,Design,Architecture & Design,1943-05-12,Y,7204,http://www.moma.org/collection/works/7204,http://www.moma.org/media/W1siZiIsIjUxNzUzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3be2f8a99e80de30,,,,93.7,,,63.0,,
Fido pâtée pour chats,"László Sós, Éva Kémeny","5534, 8375","(Hungarian, born 1922) (Hungarian, 1929–2011)",(Hungarian) (Hungarian),(1922) (1929),(0) (2011),(Male) (Female),1982,Gelatin silver photograph,"29 3/8 x 39 3/8"" (74.6 x 100 cm)",Gift of the designers,822.1983,Design,Architecture & Design,1983-11-30,Y,8212,http://www.moma.org/collection/works/8212,,,,,74.6,,,100.0,,
Fido pâtée pour chats,"László Sós, Éva Kémeny","5534, 8375","(Hungarian, born 1922) (Hungarian, 1929–2011)",(Hungarian) (Hungarian),(1922) (1929),(0) (2011),(Male) (Female),1982,Gelatin silver photograph,"29 3/8 x 39 3/8"" (74.6 x 100 cm)",Gift of the designers,822.1983,Design,Architecture & Design,1983-11-30,Y,8212,http://www.moma.org/collection/works/8212,,,,,74.6,,,100.0,,
"Der Bildermann, vol. 1, nos. 1-18","Various Artists, Walther Klemm, Ernst Barlach, Erich Heckel, Max Liebermann, August Gaul, Willy Jaeckel, Josef Bato, Ernst Ludwig Kirchner, Heinrich Zille, Oskar Kokoschka, Käthe Kollwitz, Otto Mueller, Max Slevogt, Ottomar Starke, Wilhelm Wagner, Leopold von Kalckreuth, Rudolf Grossmann","24409, 3143, 335, 2569, 3546, 2099, 2876, 377, 3115, 6568, 3197, 3201, 4140, 5469, 5606, 6211, 2969, 2372","(German, 1883–1957) (German, 1870–1938) (German, 1883–1970) (German, 1847–1935) (German, 1869–1921) (German, 1888–1944) (Hungarian, 1888–1966) (German, 1880–1938) (German, 1858–1929) (Austrian, 1886–1980) (German, 1867–1945) (German, 1874–1930) (German, 1868–1932) (German, 1886–1962) (German, 1887–1968) (German, 1855–1928) (German, 1882–1941)",() (German) (German) (German) (German) (German) (German) (Hungarian) (German) (German) (Austrian) (German) (German) (German) (German) (German) (German) (German),(0) (1883) (1870) (1883) (1847) (1869) (1888) (1888) (1880) (1858) (1886) (1867) (1874) (1868) (1886) (1887) (1855) (1882),(0) (1957) (1938) (1970) (1935) (1921) (1944) (1966) (1938) (1929) (1980) (1945) (1930) (1932) (1962) (1968) (1928) (1941),() (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (Male) (Male) (Male),April 1916-December 1916,Eighteen issues of periodical with eighty-four lithographs,"page (each approx.): 14 x 11"" (35.5 x 28 cm); overall: 1/2 x 14 1/4 x 11 1/4"" (1.3 x 36.2 x 28.6 cm)",Gift of Mrs. Bertha M. Slattery,330.1952.1-84,Periodical,Drawings & Prints,1952-11-07,Y,15844,http://www.moma.org/collection/works/15844,http://www.moma.org/media/W1siZiIsIjEzMzU3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96c95a3f91c1a725,,,,35.5,,,28.0,,
"Untitled, illustration to Wilhelm Hauff's poem ""Dawn's Light"" (Morgenrot, Morgenrot) (border, 6th song, folio 44) from the periodical Der Bildermann, supplement to vol. 1, no. 11 (Sep 1916)",Josef Bato,377,"(Hungarian, 1888–1966)",(Hungarian),(1888),(1966),(Male),1916,Lithograph,"Composition (irreg.): 11 x 8 5/16"" (28 x 21.1 cm); page: 14 x 11"" (35.6 x 27.9 cm)",Gift of Mrs. Bertha M. Slattery,330.1952.78,Periodical,Drawings & Prints,1952-05-07,Y,15919,http://www.moma.org/collection/works/15919,http://www.moma.org/media/W1siZiIsIjEzMzY5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dc53bfeaca8e637b,,,,28.0,,,21.1,,
The Archives: Art Information Centre Peter Van Beveren,"Carl Andre, Joseph Beuys, Marinus Boezem, Christian Boltanski, Daniel Buren, Miguel-Ángel Cárdenas, Robin Crozier, Hans Eijkelboom, Pieter Engels, Ken Friedman, Ad Gerritsen, Wim Gijzen, Klaas Gubbels, Richard Hamilton, Dick Higgins, Robert Jacks, Tommy Mew, Mauricio Nannucci, Richard Nonas, Arnulf Rainer, Dieter Roth, Yves De Smet, Al Souza, Endre Tót, Timm Ulrichs, Woody van Amen, Geurt van Dijk, Ben Vautier, Wolf Vostell, Various Artists","174, 540, 631, 649, 873, 965, 1316, 1700, 1733, 2007, 2132, 2151, 2387, 2481, 2637, 2858, 3953, 4221, 4330, 4792, 5042, 5476, 5545, 5908, 6005, 144, 1542, 6115, 6191, 24409","(American, born 1935) (German, 1921–1986) (Dutch, born 1934) (French, 1944–2021) (French, born 1938) (Dutch, born Colombia. 1934–2015) (British, 1936–2001) (Dutch, born 1949) (Dutch, born 1938) (American, born 1949) (Dutch, 1940–2015) (Dutch, born 1941) (Dutch, born 1934) (British, 1922–2011) (American, born England. 1938–1998) (Australian, born 1943) (American, born 1942) (Italian, born 1939) (American, born 1936) (Austrian, born 1929) (Swiss, born Germany. 1930–1998) (Belgian, born 1946) (American, born 1944) (Hungarian, born 1937) (German, born 1940) (Dutch, born 1936) (Dutch, born 1941) (French, born Italy. 1935) (German, 1932–1998)",(American) (German) (Dutch) (French) (French) (Dutch) (British) (Dutch) (Dutch) (American) (Dutch) (Dutch) (Dutch) (British) (American) (Australian) (American) (Italian) (American) (Austrian) (Swiss) (Belgian) (American) (Hungarian) (German) (Dutch) (Dutch) (French) (German) (),(1935) (1921) (1934) (1944) (1938) (1934) (1936) (1949) (1938) (1939) (1940) (1941) (1934) (1922) (1938) (1943) (1942) (1939) (1936) (1929) (1930) (1946) (1944) (1937) (1940) (1936) (1941) (1935) (1932) (0),(0) (1986) (0) (2021) (0) (2015) (2001) (0) (0) (0) (2015) (0) (0) (2011) (1998) (0) (0) (0) (0) (0) (1998) (0) (0) (0) (0) (0) (0) (0) (1998) (0),(Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) () (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (),"1971–81, published 1981","Artist's book, offset printed with collage, stamp, gouache, pencil, and ink additions","composition (each): dimensions vary; page (each): 11 11/16 x 8 1/4"" (29 x 21 cm)
",John R. Jakobson Foundation Fund,414.1981.1-30,Illustrated Book,Drawings & Prints,1981-10-22,Y,16886,http://www.moma.org/collection/works/16886,,,,,29.0,,,21.0,,
Where Am I from The Archives: Art Information Centre Peter Van Beveren,Endre Tót,5908,"(Hungarian, born 1937)",(Hungarian),(1937),(0),(Male),1981,"Four offset lithographs from an artist's book, offset printed with collage, stamp, gouache, pencil, and ink additions","composition: 17 × 5 7/16"" (43.2 × 13.8 cm); page: 11 7/16 × 8 1/4"" (29 × 21 cm)",John R. Jakobson Foundation Fund,414.1981.27,Illustrated Book,Drawings & Prints,1981-10-22,N,16905,,,,,,43.2,,,13.8,,
"Futurists, Abstractionists, Dadaists: the Forerunners of the Avant-Garde, vol. I","Josef Albers, Alexander Archipenko, Carl Buchheister, Serge Charchoune, Sonia Delaunay-Terk, Farfa, Jean Fautrier, Natalia Goncharova, Raoul Hausmann, Marcel Janco, Joseph Lacasse, Mikhail Larionov, Stanton Macdonald-Wright, Alberto Magnelli, Emilio Pettoruti, Alfred Reth, Hans Richter, Victor Servranckx, Gino Severini, Georges Vantongerloo, Various Artists","97, 209, 843, 1071, 1480, 1803, 1815, 2229, 2544, 2881, 3331, 3389, 3663, 3690, 4588, 4876, 4908, 5354, 5360, 6091, 24409","(American, born Germany. 1888–1976) (American, born Ukraine. 1887–1964) (German, 1890–1964) (Russian, 1888–1975) (French, born Ukraine. 1885–1979) (Italian, 1881–1964) (French, 1898–1964) (Russian, 1881–1962) (German, born Austria. 1886–1971) (Israeli, 1895–1984) (French, 1894–1975) (Russian, 1881–1964) (American, 1890–1973) (Italian, 1888–1971) (Argentine, 1892–1971) (Hungarian, 1884–1966) (American, born Germany. 1888–1976) (Belgian, 1897–1965) (Italian, 1883–1966) (Belgian, 1886–1965)",(American) (American) (German) (Russian) (French) (Italian) (French) (Russian) (German) (Israeli) (French) (Russian) (American) (Italian) (Argentine) (Hungarian) (American) (Belgian) (Italian) (Belgian) (),(1888) (1887) (1890) (1888) (1885) (1881) (1898) (1881) (1886) (1895) (1894) (1881) (1890) (1888) (1892) (1884) (1888) (1897) (1883) (1886) (0),(1976) (1964) (1964) (1975) (1979) (1964) (1964) (1962) (1971) (1984) (1975) (1964) (1973) (1971) (1971) (1966) (1976) (1965) (1966) (1965) (0),(Male) (Male) (Male) (Male) (Female) (Male) (Male) (Female) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (),"1961–62, published 1962","Illustrated book with nineteen etchings (three with drypoint, two with aquatint, and one with aquatint and embossing) and one engraving","page (each): 11 3/4 × 9 7/16"" (29.8 × 24 cm); overall (closed): 12 1/16 × 9 11/16 × 1 5/8"" (30.6 × 24.6 × 4.1 cm)",Gift of Peter Deitsch Gallery,521.1967.1-20,Illustrated Book,Drawings & Prints,1967-06-06,Y,18192,http://www.moma.org/collection/works/18192,http://www.moma.org/media/W1siZiIsIjQ3ODQ0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0f6f0d4a7477a568,,,,29.8,,,24.0,,
"Plate 16 from Futurists, Abstractionists, Dadaists: the Forerunners of the Avant-Garde, vol. I",Alfred Reth,4876,"(Hungarian, 1884–1966)",(Hungarian),(1884),(1966),(Male),1962,"Etching and drypoint from an illustrated book with nineteen etchings (three with drypoint, two with aquatint, and one with aquatint and embossing) and one engraving","plate: 5 3/4 × 4 1/4"" (14.6 × 10.8 cm); page: 11 3/4 × 9 7/16"" (29.8 × 24 cm)",Gift of Peter Deitsch Gallery,521.1967.16,Illustrated Book,Drawings & Prints,1967-06-06,Y,18199,http://www.moma.org/collection/works/18199,http://www.moma.org/media/W1siZiIsIjQ3ODQ1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c12e15a21deb8d3a,,,,14.6,,,10.8,,
In Front of the Table,László Peri,4559,"(Hungarian, 1899–1967)",(Hungarian),(1899),(1967),(Male),1922,Tempera on board,"25 1/4 x 34"" (64.1 x 86.4 cm)",Katherine S. Dreier Bequest,184.1953,Drawing,Drawings & Prints,1953-04-07,Y,35125,http://www.moma.org/collection/works/35125,http://www.moma.org/media/W1siZiIsIjQzMzE2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a87f6092bd3caeea,,,,64.1,,,86.4,,
