Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Brussels Art Museum poster for an Icelandic art exhibition,Nina Tryggvadottir,5948,"(Icelandic, 1913–1968)",(Icelandic),(1913),(1968),(Female),1950–1953,Poster,,Gift of the artist,345.1953,Design,Architecture & Design,1953-04-07,N,6406,,,,,,,,,,,
Frie Kunstnere: Cobra-bibliothekets forste serie,"Carl-Henning Pedersen, Asger Jorn, Egill Jacobsen, Svavar Gudnason, Stephen Gilbert, Sonja Ferlov, Corneille (Guillaume van Beverloo), Constant (Constant Anton Nieuwenhuys), Jean-Michel Atlan, Karel Appel, Henry Heerup, Else Alfelt, Jacques Doucet, Ejler Bille, Pierre Alechinsky, Various Artists","4535, 2943, 6876, 2391, 6875, 6874, 1246, 1224, 235, 203, 2573, 6871, 6873, 6872, 107, 24409","(Danish, 1913–1993) (Danish, 1914–1973) (Danish, died 1998) (Icelandic, 1909–1988) (British, born 1910) (Danish, born 1911) (Dutch, 1922–2010) (Dutch, 1920–2005) (French, born Algeria. 1913–1960) (Dutch, 1921–2006) (Danish, 1905–1993) (Danish, 1910–1974) (French, 1924–1994) (Danish, 1910–2004) (Belgian, born 1927)",(Danish) (Danish) (Danish) (Icelandic) (British) (Danish) (Dutch) (Dutch) (French) (Dutch) (Danish) (Danish) (French) (Danish) (Belgian) (),(1913) (1914) (0) (1909) (1910) (1911) (1922) (1920) (1913) (1921) (1905) (1910) (1924) (1910) (1927) (0),(1993) (1973) (1998) (1988) (0) (0) (2010) (2005) (1960) (2006) (1993) (1974) (1994) (2004) (0) (0),(Male) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (),1950,"14 photolithographs, printed in color; 1 line block, printed in black; and 1 relief halftone, printed in black","page  6 11/16 x 5"" (17 x 12.8 cm)
Prints: various dimensions.",Mary Ellen Meehan Fund,299.1992.1-16,Illustrated Book,Drawings & Prints,1992-05-20,N,14935,,,,,,17.0,,,12.8,,
"Front cover from GUDNASON, FRIE KUNSTNERE Volume 11",Svavar Gudnason,2391,"(Icelandic, 1909–1988)",(Icelandic),(1909),(1988),(Male),1950,"Photolithograph, printed in color","irreg composition  6 7/16 x 5"" (16.3 x 12.8 cm)",Mary Ellen Meehan Fund,299.1992.11,Illustrated Book,Drawings & Prints,1992-05-20,N,14937,,,,,,16.3,,,12.8,,
"Plate 10 from L'AVANGUARDIA INTERNAZIONALE, Volume 1/L'AVANT-GARDE INTERNATIONALE, Volume 1/THE INTERNATIONAL AVANT-GARDE, Volume 1",Erró (Gudmundur Gudmundsson),1754,"(Icelandic, born 1932)",(Icelandic),(1932),(0),(Male),1962.  (Print executed 1961).,"Etching and drypoint, printed in black","plate  5 7/8 x 4 7/16"" (15 x 11.3 cm)",Gift of Peter H. Deitsch,800.1963.10,Illustrated Book,Drawings & Prints,1964-01-07,N,24733,,,,,,15.0,,,11.3,,
Dead Bird,Svavar Gudnason,2391,"(Icelandic, 1909–1988)",(Icelandic),(1909),(1988),(Male),1934,Watercolor on paper,"8 5/8 x 11 1/8"" (21.7 x 28.2 cm)",Purchase,292.1961,Drawing,Drawings & Prints,1961-10-10,Y,36040,http://www.moma.org/collection/works/36040,,,,,21.9,,,28.3,,
on the road III,Jóhanna Boga,634,(Icelandic),(Icelandic),(0),(0),(Female),1981,Lithograph,,International Print Fund,211.1983,Print,Drawings & Prints,1983-01-18,Y,64480,http://www.moma.org/collection/works/64480,http://www.moma.org/media/W1siZiIsIjIxNDEwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c87ab9f7ec4f257,,,,,,,,,
Tower-Picture,Jóhanna Boga,634,(Icelandic),(Icelandic),(0),(0),(Female),1982,Lithograph,,Miles O. Epstein Fund,212.1983,Print,Drawings & Prints,1983-01-18,Y,64490,http://www.moma.org/collection/works/64490,http://www.moma.org/media/W1siZiIsIjIxNDEwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d810df059db1dd41,,,,,,,,,
Pop's History,Erró (Gudmundur Gudmundsson),1754,"(Icelandic, born 1932)",(Icelandic),(1932),(0),(Male),1969,Photolithograph and lithograph,"composition  13 5/8 x 19 5/8"" (34.8 x 50 cm)
sheet  19 1/8 x 25 5/8"" (48 x 65 cm)",Frances Keech Fund,611.1997,Print,Drawings & Prints,1997-11-11,N,71832,,,,,,34.8,,,50.0,,
Lava at Bessastadir,Jóhannes Sveinsson Kjarval,3124,"(Icelandic, 1885–1972)",(Icelandic),(1885),(1972),(Male),1947-54,Oil on canvas,"29 5/8 x 37 5/8"" (75.2 x 95.4 cm)",Given in memory of Holger Cahill,289.1961,Painting,Painting & Sculpture,1961-10-10,Y,79425,http://www.moma.org/collection/works/79425,http://www.moma.org/media/W1siZiIsIjE2MTM1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e2ef0b386bb9cdd1,,,,75.2,,,95.4,,
Painting,Nina Tryggvadottir,5948,"(Icelandic, 1913–1968)",(Icelandic),(1913),(1968),(Female),1960,Oil on canvasboard,"24 x 17 7/8"" (60.8 x 45.3 cm)",Larry Aldrich Foundation Fund,392.1961,Painting,Painting & Sculpture,1961-12-13,Y,79605,http://www.moma.org/collection/works/79605,http://www.moma.org/media/W1siZiIsIjE4NjYxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=82e15edf8a71f7a0,,,,60.8,,,45.3,,
