Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3","E.L.T. (Edouard Léon Théodore) Mesens, Guido Biasi, Arnaldo Pomodoro, Augustin Càrdenas, Chinn Yuen-Yuei, Sergio Dangelo, Öyvind Fahlström, Nobuya Abe, Juan Langlois, Claude Viseux, Eduardo Paolozzi, Bernard Quentin, N. Krishna Reddy, Paul Revel, Mimmo Rotella, Yasse Tabuchi, Jacques Hérold, Various Artists","3943, 550, 4676, 966, 7114, 1375, 1790, 42, 3377, 6169, 4488, 4769, 4836, 4880, 5041, 5773, 2616, 24409","(Belgian, 1903–1968) (Italian, born 1933) (Italian, born 1926) (Cuban, 1927–2001) (Chinese, born 1923) (Italian, born 1931) (Swedish, born Brazil. 1928–1976) (Japanese, 1913–1971) (Argentine, born 1926) (French, 1927–2008) (British, 1924–2005) (French, born 1923) (Indian, 1925–2018) (French, 1922–1983) (Italian, 1918–2006) (Japanese, 1921–2009) (Romanian, 1910–1991)",(Belgian) (Italian) (Italian) (Cuban) (Chinese) (Italian) (Swedish) (Japanese) (Argentine) (French) (British) (French) (Indian) (French) (Italian) (Japanese) (Romanian) (),(1903) (1933) (1926) (1927) (1923) (1931) (1928) (1913) (1926) (1927) (1924) (1923) (1925) (1922) (1918) (1921) (1910) (0),(1968) (0) (0) (2001) (0) (0) (1976) (1971) (0) (2008) (2005) (0) (2018) (1983) (2006) (2009) (1991) (0),(Male) (Male) (Male) (Male) () (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (),(Prints executed 1960-1962),"14 etchings (some with drypoint, aquatint, and/or soft ground etching): 13 printed in black and 1 relief printed in color; 5 soft ground etchings and 1 lift ground aquatint, printed in black","page  11 13/16 x 9 7/16"" (30 x 24 cm)
Prints:  various dimensions.",Gift of Peter H. Deitsch,802.1963.1-20,Illustrated Book,Drawings & Prints,1964-01-07,N,24877,,,,,,30.0,,,24.0,,
"Plate 14 from L'AVANGUARDIA INTERNAZIONALE, Volume 3/L'AVANT-GARDE INTERNATIONALE, Volume 3/THE INTERNATIONAL AVANT-GARDE, Volume 3",N. Krishna Reddy,4836,"(Indian, 1925–2018)",(Indian),(1925),(2018),(Male),1962,"Soft ground etching, printed in black","plate  5 7/8 x 4 1/2"" (14.9 x 11.4 cm)",Gift of Peter H. Deitsch,802.1963.14,Illustrated Book,Drawings & Prints,1964-01-07,N,24882,,,,,,14.9,,,11.4,,
Untitled,Krishen Khanna,3079,"(Indian, born 1925)",(Indian),(1925),(0),(Male),(1964-65),Ink on paper,"36 7/8 x 25 1/4"" (93.5 x 64.0 cm)",Gift of Emile Dubrule,1.1966,Drawing,Drawings & Prints,1966-01-11,Y,32966,http://www.moma.org/collection/works/32966,,,,,,,,,,
"Papa, New Delhi. (artist's father reading newspaper)",Sanjeev Saith,7850,"(Indian, born 1958)",(Indian),(1958),(0),(Male),June 1993,"Chromogenic print, printed 1998","11 11/16 × 17 3/8"" (29.7 × 44.2 cm)",Gift of Paul F. Walter,375.1998.x1-x2,Photograph,Photography,1998-06-11,N,52082,,,,,,29.7,,,44.2,,
"Porter, Ranikhet",Sanjeev Saith,7850,"(Indian, born 1958)",(Indian),(1958),(0),(Male),December 1992,"Chromogenic print, printed 1998","11 15/16 × 17 15/16"" (30.3 × 45.7 cm)",Gift of Paul F. Walter,376.1998.x1-x2,Photograph,Photography,1998-06-11,N,52102,,,,,,30.3,,,45.7,,
"Sadhu (Holy Man) in Palanquin, Kumb Mela, Ganges Bathing Fair, Allahabad, India",Raghubir Singh,5447,"(Indian, 1942–1999)",(Indian),(1942),(1999),(Male),1977,"Dye transfer print, printed 1983","14 7/16 × 9 1/2"" (36.5 × 24.1 cm)",The Family of Man Fund,603.1983,Photograph,Photography,1983-05-26,Y,55527,http://www.moma.org/collection/works/55527,http://www.moma.org/media/W1siZiIsIjIxNjUzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=98534a39840007a8,,,,36.5,,,24.1,,
"Monsoon Women, Bihar, India",Raghubir Singh,5447,"(Indian, 1942–1999)",(Indian),(1942),(1999),(Male),1966,Dye transfer print,"14 5/16 × 9 1/2"" (36.4 × 24.1 cm)",Gift of the artist,604.1983,Photograph,Photography,1983-05-26,Y,55535,http://www.moma.org/collection/works/55535,http://www.moma.org/media/W1siZiIsIjIxNjUzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=963c04e665adbd65,,,,36.4,,,24.1,,
Dawn Worshipper,N. Krishna Reddy,4836,"(Indian, 1925–2018)",(Indian),(1925),(2018),(Male),1972,Etching,,Derald and Janet Ruttenberg Foundation Fund,24.1973,Print,Drawings & Prints,1973-01-04,Y,60331,http://www.moma.org/collection/works/60331,http://www.moma.org/media/W1siZiIsIjIxOTg5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9a1c35cffbb83f24,,,,,,,,,
Untitled from the India Portfolio,Vijay Kumar,7429,"(Indian, born 1942)",(Indian),(1942),(0),(Male),(1993),Photoetching and aquatint,,Jeanne C. Thayer Fund,37.1995,Print,Drawings & Prints,1995-01-24,Y,60634,http://www.moma.org/collection/works/60634,http://www.moma.org/media/W1siZiIsIjE2Njg2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=20be587379bad86e,,,,,,,,,
Untitled from the India Portfolio,Vijay Kumar,7429,"(Indian, born 1942)",(Indian),(1942),(0),(Male),1993,"Etching, photoetching, and aquatint",,Gift of the artist,38.1995,Print,Drawings & Prints,1995-01-24,Y,60653,http://www.moma.org/collection/works/60653,http://www.moma.org/media/W1siZiIsIjE2Njg2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=703c76246c43eb7d,,,,,,,,,
Germination,N. Krishna Reddy,4836,"(Indian, 1925–2018)",(Indian),(1925),(2018),(Male),1961,Etching and engraving,"Plate 12 1/16 x 17 1/2"" (30.6 x 44.5  cm) Sheet 19 3/4 x 25 13/16"" (50.1 x 65.6  cm)",Abby Aldrich Rockefeller Fund,82.1965,Print,Drawings & Prints,1965-02-09,Y,61549,http://www.moma.org/collection/works/61549,http://www.moma.org/media/W1siZiIsIjIyMDEzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1669fd2edd3aea75,,,,30.6,,,44.5,,
Self-Portrait,Jyoti Bhatt,544,"(Indian, born 1934)",(Indian),(1934),(0),(Male),1965,Etching and aquatint,"composition: 26 3/16 x 18 3/16"" (66.5 x 46.2cm); sheet: 29 15/16 x 22 1/8"" (76 x 56.2cm)",Purchase,279.1966,Print,Drawings & Prints,1966-05-10,N,65900,,,,,,66.5,,,46.2,,
Lost Pundit,Jyoti Bhatt,544,"(Indian, born 1934)",(Indian),(1934),(0),(Male),1966,Etching and aquatint,"composition: 26 3/16 x 18 3/16"" (66.5 x 46.2cm); sheet: 29 15/16 x 22 1/8"" (76 x 56.2cm)",Purchase,280.1966,Print,Drawings & Prints,1966-05-10,Y,65916,http://www.moma.org/collection/works/65916,http://www.moma.org/media/W1siZiIsIjIxNzc0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a7ff935ae0296625,,,,66.5,,,46.2,,
LANDSCAPE,N. Krishna Reddy,4836,"(Indian, 1925–2018)",(Indian),(1925),(2018),(Male),(January 1965),"Lithograph, printed in color","sl. irreg. composition  16 5/16 x 24 3/8"" (41.5 x 61.9 cm)
sheet  17 3/8 x 25 1/2"" (44.2 x 64.8 cm)","Gift of Kleiner, Bell & Co.",1569.1967,Print,Drawings & Prints,1969-12-04,N,77200,,,,,,41.5,,,61.9,,
