Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Untitled,Mehrdad Yazdani,7530,"(Iranian, born 1959)",(Iranian),(1959),(0),(Male),1996,Acrylic paint on plywood,"46 3/4 x 24"" (118.7 x 61 cm)",Gift of the architect in honor of Philip Johnson,397.1996,Architecture,Architecture & Design,1996-09-25,Y,533,http://www.moma.org/collection/works/533,,,7.8,,122.0,,,63.5,,
"Oxnard House, project, Oxnard, California",Mehrdad Yazdani,7530,"(Iranian, born 1959)",(Iranian),(1959),(0),(Male),1992,"Aluminum, copper, plastic and wood","14 1/8 x 18 x 30"" (35.9 x 45.7 x 76.2 cm) Scale 1/2""=1'",Gift of the architect in honor of Philip Johnson,424.1996,Architecture,Architecture & Design,1996-09-25,Y,1045,http://www.moma.org/collection/works/1045,http://www.moma.org/media/W1siZiIsIjIyOTYwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=86ead39b827cf417,,76.2002,,35.8776,,,45.7201,,
Laminations (Les Lames),Faramarz Pilaram,4622,"(Iranian, 1937–1982)",(Iranian),(1937),(1982),(Male),1962,"Gouache, metallic paint, and stamped ink on paper","6' 5 7/8"" x 32 5/8"" (197.7 x 82.7 cm)",Elizabeth Bliss Parkinson Fund,313.1962,Drawing,Drawings & Prints,1962-12-11,Y,36224,http://www.moma.org/collection/works/36224,http://www.moma.org/media/W1siZiIsIjI0MTQ0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e39f3ad0f21fd611,,,,167.3,,,82.9,,
K+L+32+H+4. Mon père et moi (My Father and I),Charles Hossein Zenderoudi,6560,"(Iranian, born 1937)",(Iranian),(1937),(0),(Male),1962,"Felt-tip pen, colored ink, crayon, and metallic paint on paper on board","89 x 58 5/8"" (225.9 x 148.7 cm)",Philip Johnson Fund,317.1962,Drawing,Drawings & Prints,1962-12-11,Y,36253,http://www.moma.org/collection/works/36253,http://www.moma.org/media/W1siZiIsIjI1NzAwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=69d917837e9c7b5a,,,,,,,,,
Untitled from the series Rapture,Shirin Neshat,8349,"(Iranian, born 1957)",(Iranian),(1957),(0),(Female),1999,Inkjet print,"15 1/8 × 22 15/16"" (38.5 × 58.3 cm)",Gift of Agnes Gund,1405.2000,Photograph,Photography,2000-12-07,Y,58115,http://www.moma.org/collection/works/58115,http://www.moma.org/media/W1siZiIsIjIwMjA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a64b6b04011a754c,,,,38.5,,,58.3,,
Untitled,Marcos Grigorian,2341,"(Iranian (naturalized American), born Russia. 1924–2007)",(Iranian),(1924),(2007),(Male),1963,Dried earth on canvas,"33 1/2 x 31 7/8"" (84.9 x 80.9 cm)",Gift of Dr. and Mrs. Alex J. Gray,48.1965,Painting,Painting & Sculpture,1965-02-09,Y,78617,http://www.moma.org/collection/works/78617,http://www.moma.org/media/W1siZiIsIjE3NDgzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b4fdf1f98ed20877,,,,84.9,,,80.9,,
Untitled,Mohsen Vaziri Moghaddam,6112,"(Iranian, born 1924)",(Iranian),(1924),(0),(Male),1962,Sand and synthetic polymer paint on canvas,"39 3/8 x 71"" (99.9 x 180.1 cm)",Helmuth Bartsch Fund,52.1965,Painting,Painting & Sculpture,1965-02-09,Y,78626,http://www.moma.org/collection/works/78626,http://www.moma.org/media/W1siZiIsIjI0Mzg5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2d44f2394e53748a,,,,99.9,,,180.1,,
"World Trade Center Proposal Project, New York, New York (Scale model 1:200)","United Architects, Ben van Berkel, Caroline Bos, Peter Frankfurt, Mikon van Gastel, Kevin Kennon, Greg Lynn, Farshid Moussavi, Alejandro Zaera-Polo, Jesse Reiser, Nanako Umemoto","26398, 7529, 23260, 27433, 27434, 27435, 26393, 27436, 27437, 26361, 26362","(American, founded 2002) (Dutch, born 1957) (Dutch, born 1959) (American, born 1958) (Dutch, born 1971) (American, born 1958) (American, born 1964) (Iranian, born 1965) (Spanish, born 1963) (American, born 1958) (Japanese)",(American) (Dutch) (Dutch) (American) (Dutch) (American) (American) (Iranian) (Spanish) (American) (American),(2002) (1957) (1959) (1958) (1971) (1958) (1964) (1965) (1963) (1958) (0),(0) (0) (0) (0) (0) (0) (0) (0) (0) (0) (0),() (Male) (Female) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Female),2002,Acrylic,"101 1/2 x 72 x 48"" (257.8 x 182.9 x 121.9 cm) Scale 1:200",Fund for the Twenty-First Century and an anonymous donor,492.2004,Architecture,Architecture & Design,2004-10-14,Y,91587,http://www.moma.org/collection/works/91587,,,121.9202,,257.8105,,,182.8804,,
"Southeast Coastal Park, Barcelona, Spain","Foreign Office Architects (FOA), London, Farshid Moussavi, Alejandro Zaera-Polo","26399, 27436, 27437","(1992–2011) (Iranian, born 1965) (Spanish, born 1963)",() (Iranian) (Spanish),(1992) (1965) (1963),(2011) (0) (0),() (Female) (Male),2000-04,"Wood, plastic and synthetic polymer paint","9 7/8 x 78 3/4 x 23 5/8"" (25.1 x 200 x 60 cm) Scale 1:250",Groundswell Exhibition Fund,492.2005,Architecture,Architecture & Design,2005-05-18,Y,93284,http://www.moma.org/collection/works/93284,,,,,25.0826,200.0,,60.0,,
"Yokohama International Port Terminal, Yokohama, Japan, Isometric","Foreign Office Architects (FOA), London, Farshid Moussavi, Alejandro Zaera-Polo","26399, 27436, 27437","(1992–2011) (Iranian, born 1965) (Spanish, born 1963)",() (Iranian) (Spanish),(1992) (1965) (1963),(2011) (0) (0),() (Female) (Male),2000,Digital C-print from CAD file,"47 x 33"" (119.4 x 83.8 cm)",Gift of the architects,483.2005,Architecture,Architecture & Design,2005-05-18,Y,95092,http://www.moma.org/collection/works/95092,,,,,119.3802,,,83.8202,,
