Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
The Architecture of Rifat Chadirji,Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,twelve etchings on paper,"each sheet: 20 1/2 x 22""",Gift of the Graham Foundation for Advanced Studies,125.2021.1-12,Architecture,Architecture & Design,2021-04-26,N,407750,,,,,,,,,,,
"Ministry of Municipal and Rural Affairs, Baghdad, Iraq",Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,Etching,"20 1/2 × 22"" (52.1 × 55.9 cm)",Gift of the Graham Foundation for Advanced Studies,125.2021.1,Architecture,Architecture & Design,2021-04-26,Y,427215,http://www.moma.org/collection/works/427215,http://www.moma.org/media/W1siZiIsIjUwNzM3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0741b408532498db,,,,52.0701041402,,,55.8801117602,,
"Ministry of Municipal and Rural Affairs, Baghdad, Iraq",Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,Etching,"20 1/2 × 22"" (52.1 × 55.9 cm)",Gift of the Graham Foundation for Advanced Studies,125.2021.2,Architecture,Architecture & Design,2021-04-26,Y,427216,http://www.moma.org/collection/works/427216,http://www.moma.org/media/W1siZiIsIjUwNzM4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6cabd80d9d23ff3e,,,,52.0701041402,,,55.8801117602,,
"Waqaf Building, Baghdad, Iraq",Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,Etching,"20 1/2 × 22"" (52.1 × 55.9 cm)",Gift of the Graham Foundation for Advanced Studies,125.2021.3,Architecture,Architecture & Design,2021-04-26,Y,427217,http://www.moma.org/collection/works/427217,http://www.moma.org/media/W1siZiIsIjUwNzM4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e320ee82e479d03b,,,,52.0701041402,,,55.8801117602,,
"Medical Auxiliary Training Center, Baghdad, Iraq",Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,Etching,"20 1/2 × 22"" (52.1 × 55.9 cm)",Gift of the Graham Foundation for Advanced Studies,125.2021.4,Architecture,Architecture & Design,2021-04-26,Y,427218,http://www.moma.org/collection/works/427218,http://www.moma.org/media/W1siZiIsIjUwNzM4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d0947307105222c6,,,,52.0701041402,,,55.8801117602,,
"Federation of Industries, Baghdad, Iraq",Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,Etching,"20 1/2 × 22"" (52.1 × 55.9 cm)",Gift of the Graham Foundation for Advanced Studies,125.2021.5,Architecture,Architecture & Design,2021-04-26,Y,427219,http://www.moma.org/collection/works/427219,http://www.moma.org/media/W1siZiIsIjUwNzM4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3e1b966253a516ac,,,,52.0701041402,,,55.8801117602,,
"Tobacco Monopoly Offices and Stores, Baghdad, Iraq",Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,Etching,"20 1/2 × 22"" (52.1 × 55.9 cm)",Gift of the Graham Foundation for Advanced Studies,125.2021.6,Architecture,Architecture & Design,2021-04-26,Y,427220,http://www.moma.org/collection/works/427220,http://www.moma.org/media/W1siZiIsIjUwNzM4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=78e84072fcfcaadd,,,,52.0701041402,,,55.8801117602,,
"Villa Al Hamad, Kuwait",Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,Etching,"20 1/2 × 22"" (52.1 × 55.9 cm)",Gift of the Graham Foundation for Advanced Studies,125.2021.7,Architecture,Architecture & Design,2021-04-26,Y,427221,http://www.moma.org/collection/works/427221,http://www.moma.org/media/W1siZiIsIjUwNzM4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=725c6420b5a0dda8,,,,52.0701041402,,,55.8801117602,,
"London Central Mosque, London, England, U.K.",Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,Etching,"20 1/2 × 22"" (52.1 × 55.9 cm)",Gift of the Graham Foundation for Advanced Studies,125.2021.8,Architecture,Architecture & Design,2021-04-26,Y,427222,http://www.moma.org/collection/works/427222,http://www.moma.org/media/W1siZiIsIjUwNzM4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=db80d51ec71e77c2,,,,52.0701041402,,,55.8801117602,,
"National Bank of Abu Dhabi, United Arab Emirates",Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,Etching,"20 1/2 × 22"" (52.1 × 55.9 cm)",Gift of the Graham Foundation for Advanced Studies,125.2021.9,Architecture,Architecture & Design,2021-04-26,Y,427223,http://www.moma.org/collection/works/427223,http://www.moma.org/media/W1siZiIsIjUwNzM4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e6dc562b9b2abd3a,,,,52.0701041402,,,55.8801117602,,
"Rafidain Bank, Baghdad, Iraq",Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,Etching,"20 1/2 × 22"" (52.1 × 55.9 cm)",Gift of the Graham Foundation for Advanced Studies,125.2021.10,Architecture,Architecture & Design,2021-04-26,Y,427224,http://www.moma.org/collection/works/427224,http://www.moma.org/media/W1siZiIsIjUwNzM3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=06e77c6867769da2,,,,52.0701041402,,,55.8801117602,,
"Central Post Telephone and Telegraph Building, Baghdad, Iraq",Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,Etching,"20 1/2 × 22"" (52.1 × 55.9 cm)",Gift of the Graham Foundation for Advanced Studies,125.2021.11,Architecture,Architecture & Design,2021-04-26,Y,427225,http://www.moma.org/collection/works/427225,http://www.moma.org/media/W1siZiIsIjUwNzM3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aab59a174ac7be85,,,,52.0701041402,,,55.8801117602,,
"Regional Command Council Administration Building, Baghdad, Iraq",Rifat Chadirji,132461,"(Iraqi, 1926–2020)",(Iraqi),(1926),(2020),(Male),1984,Etching,"20 1/2 × 22"" (52.1 × 55.9 cm)",Gift of the Graham Foundation for Advanced Studies,125.2021.12,Architecture,Architecture & Design,2021-04-26,Y,427226,http://www.moma.org/collection/works/427226,http://www.moma.org/media/W1siZiIsIjUwNzM4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=afe6c5e2fc71376c,,,,52.0701041402,,,55.8801117602,,
The Execution Room,Mohammed Sami,134817,"(Iraqi, born 1984)",(Iraqi),(1984),(0),(Male),2022,Acrylic on linen,8 1/2 ft × 11 1/2 ft (259.1 × 350.5 cm),Gift of Lonti Ebers in honor of Glenn Lowry,589.2022,Painting,Painting & Sculpture,2022-06-06,N,433970,,,,0.0,,259.080000001,,,350.5200000014,,
