Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
In-text plate (folio 16) from 21 Etchings and Poems,"Irene Rice Pereira, George Reavey","4553, 4833","(American, 1907–1971) (Irish, born Russia. 1907–1976)",(American) (Irish),(1907) (1907),(1971) (1976),(Female) (Male),1960,"Etching and aquatint from an illustrated book with 14 etchings (six with aquatint, four with engraving, one with drypoint), two aquatints, two engravings, two drypoints, and one photogravure","plate: 13 13/16 × 11 3/4"" (35.1 × 29.8 cm); page: 19 11/16 × 16 7/8"" (50 × 42.8 cm)",Gift of Mrs. Jacquelynn Schlaes,131.1963.13,Illustrated Book,Drawings & Prints,1963-02-13,Y,11465,http://www.moma.org/collection/works/11465,http://www.moma.org/media/W1siZiIsIjIwNTY2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f2f14f471266db48,,,,35.1,,,29.8,,
L'YMAGIER: Tome Ier 1894-1895 and Tome II 1895-1896,"James McNeill Whistler, Armand Séguin, L. Roy, Roderic O'Conor, Alain Jans, Charles Filiger, Georges D'espagnat, Maurice Delcourt, Henri Rousseau, Richart Gheym, Valère Bernard, Various Artists","6336, 5320, 5064, 4354, 2884, 1872, 1761, 1481, 5056, 2139, 513, 24409","(American, 1834–1903) (French, 1869–1903) (French) (Irish, 1860–1940) (French) (French, 1863–1928) (French, 1870–1950) (French, 1877–1916) (French, 1844–1910) (Nationality unknown) (French, 1860–1936)",(American) (French) (French) (Irish) (French) (French) (French) (French) (French) (Nationality unknown) (French) (),(1834) (1869) (0) (1860) (0) (1863) (1870) (1877) (1844) (0) (1860) (0),(1903) (1903) (0) (1940) (0) (1928) (1950) (1916) (1910) (0) (1936) (0),(Male) (Male) () (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (),"Paris, 1894-1896.","8 woodcuts: 2 printed in black and 6 printed in color; 5 lithographs, printed in black; 2 soft ground etching and aquatints: 1 printed in black and 1 printed in color; 1 etching, printed in black; 1 drypoint, printed in black; 1 relief halftone with gouache and gold leaf additions; and numerous line block, relief halftone, or collotype reproductions (including images of Epinal)","irreg. page  10 5/16 x 7 11/16"" (26 x 19.5 cm)",The Louis E. Stern Collection,1112.1964.A-B,Illustrated Book,Drawings & Prints,1964-10-06,N,31981,,,,,,26.0,,,19.5,,
"LANDSCAPE (plate following table of contents) from L'YMAGIER, Tome Ier, No.4",Roderic O'Conor,4354,"(Irish, 1860–1940)",(Irish),(1860),(1940),(Male),"Paris, 1895.","Etching, printed in black","plate  8 5/8 x 7 1/16"" (21.9 x 18 cm)",The Louis E. Stern Collection,1112.1964.A09,Illustrated Book,Drawings & Prints,1964-10-06,N,31990,,,,,,21.9,,,18.0,,
The Temple of Ramses II,John Shaw Smith,23962,"(Irish, 1811–1873)",(Irish),(1811),(1873),(Male),1851,Salted paper print from a waxed-paper negative,"8 1/16 × 9 13/16"" (20.5 × 24.9 cm)","Gift of Warner Communications, Inc.",524.1981,Photograph,Photography,1981-12-17,Y,54702,http://www.moma.org/collection/works/54702,http://www.moma.org/media/W1siZiIsIjIxMzY5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=acf688ad4c861fc5,,,,20.5,,,24.9,,
The Temple of Ramses II,John Shaw Smith,23962,"(Irish, 1811–1873)",(Irish),(1811),(1873),(Male),1851,Waxed-paper negative,"8 1/8 × 9 15/16"" (20.6 × 25.3 cm)","Gift of Warner Communications, Inc.",525.1981,Photograph,Photography,1981-12-17,Y,54710,http://www.moma.org/collection/works/54710,http://www.moma.org/media/W1siZiIsIjIwNzI1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=044ec58725acbfef,,,,20.6,,,25.3,,
The Temple of Ramses II,John Shaw Smith,23962,"(Irish, 1811–1873)",(Irish),(1811),(1873),(Male),1851,Salted paper print from a waxed-paper negative,"7 7/8 × 9 5/8"" (19.7 × 24.5 cm)","Gift of Warner Communications, Inc.",526.1981,Photograph,Photography,1981-12-17,Y,54718,http://www.moma.org/collection/works/54718,http://www.moma.org/media/W1siZiIsIjIwNzI1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6b42b7fe3605430e,,,,19.7,,,24.5,,
"Street Fiddler, County Kerry",Fergus Bourke,711,"(Irish, 1934–2004)",(Irish),(1934),(2004),(Male),1969,Gelatin silver print,"12 1/2 × 9"" (30.7 × 22.7 cm)",Gift of the artist,538.1971,Photograph,Photography,1971-11-10,Y,54861,http://www.moma.org/collection/works/54861,http://www.moma.org/media/W1siZiIsIjI0MDE3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=21223620384742d1,,,,30.7,,,22.7,,
Conversations before an Eviction,Fergus Bourke,711,"(Irish, 1934–2004)",(Irish),(1934),(2004),(Male),1968,Gelatin silver print,"9 3/8 × 12 3/8"" (23.7 × 32.1 cm)",Purchase,539.1971,Photograph,Photography,1971-11-10,Y,54874,http://www.moma.org/collection/works/54874,http://www.moma.org/media/W1siZiIsIjI0MDE3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0e1631f4026856e7,,,,23.7,,,32.1,,
Untitled,Fergus Bourke,711,"(Irish, 1934–2004)",(Irish),(1934),(2004),(Male),1968,Gelatin silver print,"9 3/8 × 12 3/8"" (23.7 × 32.1 cm)",Purchase,540.1971,Photograph,Photography,1971-11-10,Y,54887,http://www.moma.org/collection/works/54887,http://www.moma.org/media/W1siZiIsIjI0MDE3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=349afc57529ada7b,,,,23.7,,,32.1,,
Untitled,Fergus Bourke,711,"(Irish, 1934–2004)",(Irish),(1934),(2004),(Male),1965,Gelatin silver print,"12 3/8 × 9 3/8"" (32.1 × 23.7 cm)",Purchase,541.1971,Photograph,Photography,1971-11-10,Y,54900,http://www.moma.org/collection/works/54900,http://www.moma.org/media/W1siZiIsIjI0MDE3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fc4f75c8e96a8be2,,,,32.1,,,23.7,,
