Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"De Stijl. The Israel Museum, Jerusalem. March 29-May 31, 1977",Izika Gaon,2072,"(Israeli, born 1938)",(Israeli),(1938),(0),(),1977,Offset lithograph,"38 7/8 x 27"" (98.8 x 68.5 cm)","Gift of the Israel Museum, Jerusalem",268.1980,Design,Architecture & Design,1980-01-08,Y,5955,http://www.moma.org/collection/works/5955,http://www.moma.org/media/W1siZiIsIjUyMDg5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=982f722a2d826d63,,,,98.8,,,68.5,,
Bezalel,Yarom Vardimon,6093,"(Israeli, born 1941)",(Israeli),(1941),(0),(Male),1981,Offset lithograph,"27 1/16 x 19"" (68.8 x 48.3 cm)",Gift of the artist,430.1982,Design,Architecture & Design,1982-10-27,Y,6890,http://www.moma.org/collection/works/6890,http://www.moma.org/media/W1siZiIsIjUyMTQ2MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3708f6d121a7a9c4,,,,68.7389,,,48.2601,,
"The Shelly Camp, For Better Days!",Yarom Vardimon,6093,"(Israeli, born 1941)",(Israeli),(1941),(0),(Male),1981,Offset lithograph,"27 3/8 x 19 9/16"" (69.5 x 49.6 cm)",Gift of the artist,431.1982,Design,Architecture & Design,1982-10-27,Y,6897,http://www.moma.org/collection/works/6897,http://www.moma.org/media/W1siZiIsIjUyMTQ2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=df7815d3fa4eed93,,,,69.5,,,49.6,,
Poland / Jerusalem Theatre / An Exhibition of Polish Theatre Posters,Yarom Vardimon,6093,"(Israeli, born 1941)",(Israeli),(1941),(0),(Male),1982,Silkscreen,"37 1/4 x 25 15/16"" (94.7 x 65.9 cm)",Gift of the artist,432.1982,Design,Architecture & Design,1982-10-27,Y,6904,http://www.moma.org/collection/works/6904,,,,,94.7,,,65.9,,
Plate (folio 2 verso or 17) from EX ADVERSO,William Brui,826,"(Israeli, born 1946)",(Israeli),(1946),(0),(Male),1967-1969,,"composition  9 5/8 x 8 1/4"" (24.5 x 20.9 cm)",Gift of George and Janet Jaffin Foundation,437.1973.1,Illustrated Book,Drawings & Prints,1973-10-24,N,17208,,,,,,24.5,,,20.9,,
Ex Adverso,William Brui,826,"(Israeli, born 1946)",(Israeli),(1946),(0),(Male),1969.  (Prints executed 1967-1969).,Illustrated book with twenty-four etchings,"page  10 13/16 x 9 3/16"" (27 x 23.3 cm)",Gift of George and Janet Jaffin Foundation,437.1973.1-24,Illustrated Book,Drawings & Prints,1973-10-24,Y,17209,http://www.moma.org/collection/works/17209,,,,,27.0,,,23.3,,
Plate (folio 8 or 11 verso) from EX ADVERSO,William Brui,826,"(Israeli, born 1946)",(Israeli),(1946),(0),(Male),1967-1969,,"composition  9 5/8 x 8 3/16"" (24.5 x 20.8 cm)",Gift of George and Janet Jaffin Foundation,437.1973.10,Illustrated Book,Drawings & Prints,1973-10-24,N,17210,,,,,,24.5,,,20.8,,
Plate (folio 8 verso or 11) from EX ADVERSO,William Brui,826,"(Israeli, born 1946)",(Israeli),(1946),(0),(Male),1967-1969,,"composition  9 5/8 x 8 3/16"" (24.5 x 20.8 cm)",Gift of George and Janet Jaffin Foundation,437.1973.11,Illustrated Book,Drawings & Prints,1973-10-24,N,17211,,,,,,24.5,,,20.8,,
Plate (folio 9 or 10 verso) from EX ADVERSO,William Brui,826,"(Israeli, born 1946)",(Israeli),(1946),(0),(Male),1967-1969,,"composition  9 5/8 x 8 3/16"" (24.5 x 20.8 cm)",Gift of George and Janet Jaffin Foundation,437.1973.12,Illustrated Book,Drawings & Prints,1973-10-24,N,17212,,,,,,24.5,,,20.8,,
Plate (folio 10 verso or 9) from EX ADVERSO,William Brui,826,"(Israeli, born 1946)",(Israeli),(1946),(0),(Male),1967-1969,,"composition  9 5/8 x 8 3/16"" (24.4 x 20.8 cm)",Gift of George and Janet Jaffin Foundation,437.1973.13,Illustrated Book,Drawings & Prints,1973-10-24,N,17213,,,,,,24.4,,,20.8,,
