Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Untitled from the Museum in Progress project Vital Use,Frédéric Bruly Bouabré,30876,"(Ivorian, 1923–2014)",(Ivorian),(1923),(2014),(Male),"(newspaper published April 27, 1995)","Lithograph, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.47,Print,Drawings & Prints,2006-06-01,N,103488,,,,,,47.0,,,31.5,,
"Untitled for the Museum in Progress project Symposia: Art, Society and Media","Frédéric Bruly Bouabré, Christoph Tannert","30876, 31062","(Ivorian, 1923–2014) (born 1955)",(Ivorian) (),(1923) (1955),(2014) (0),(Male) (Male),"(newspaper published: November 24, 1995)","Lithograph, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.68,Print,Drawings & Prints,2006-06-01,N,103489,,,,,,47.0,,,31.5,,
Alphabet Bété,Frédéric Bruly Bouabré,30876,"(Ivorian, 1923–2014)",(Ivorian),(1923),(2014),(Male),1990–91,"Series of 449 drawings, each colored pencil, pencil, and ballpoint pen on board","each: 3 7/8 × 5 7/8"" (9.8 × 14.9 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,104.2019.1-449,Drawing,Drawings & Prints,2019-04-04,Y,296522,http://www.moma.org/collection/works/296522,,,0.0,,9.842519685,,,14.9225298451,,
Knowledge of the World (Connaissance du Monde),Frédéric Bruly Bouabré,30876,"(Ivorian, 1923–2014)",(Ivorian),(1923),(2014),(Male),1987–2008,Series of thirty drawings,"dimensions vary from 5 7/8 × 3 15/16"" (15 × 10 cm) to 11 7/8 × 9 1/2"" (30.1 × 24.2 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,105.2019.1-30,Drawing,Drawings & Prints,2019-04-04,Y,296533,http://www.moma.org/collection/works/296533,,,0.0,,15.0,,,10.0,,
«A» N° 1 from Alphabet Bété,Frédéric Bruly Bouabré,30876,"(Ivorian, 1923–2014)",(Ivorian),(1923),(2014),(Male),1990,"Colored pencil, pencil, and ballpoint pen on board","3 7/8 × 5 7/8"" (9.8 × 14.9 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,104.2019.1,Drawing,Drawings & Prints,2019-04-04,Y,299020,http://www.moma.org/collection/works/299020,http://www.moma.org/media/W1siZiIsIjQ1OTMzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c5886d7202a5f226,,,,9.8,,,14.9,,
«BA» N° 2 from Alphabet Bété,Frédéric Bruly Bouabré,30876,"(Ivorian, 1923–2014)",(Ivorian),(1923),(2014),(Male),1990,"Colored pencil, pencil, and ballpoint pen on board","3 7/8 × 5 7/8"" (9.8 × 14.9 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,104.2019.2,Drawing,Drawings & Prints,2019-04-04,Y,299021,http://www.moma.org/collection/works/299021,http://www.moma.org/media/W1siZiIsIjQ1OTM0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c318f64f0410fc0,,,,9.8,,,14.9,,
BEU N° 3 from Alphabet Bété,Frédéric Bruly Bouabré,30876,"(Ivorian, 1923–2014)",(Ivorian),(1923),(2014),(Male),1990,"Colored pencil, pencil, and ballpoint pen on board","3 7/8 × 5 7/8"" (9.8 × 14.9 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,104.2019.3,Drawing,Drawings & Prints,2019-04-04,Y,299022,http://www.moma.org/collection/works/299022,http://www.moma.org/media/W1siZiIsIjQ1OTM0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b8f5184be90b536e,,0.0,,9.8,,,14.9,,
«BÉ» N° 4 from Alphabet Bété,Frédéric Bruly Bouabré,30876,"(Ivorian, 1923–2014)",(Ivorian),(1923),(2014),(Male),1990,"Colored pencil, pencil, and ballpoint pen on board","3 7/8 × 5 7/8"" (9.8 × 14.9 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,104.2019.4,Drawing,Drawings & Prints,2019-04-04,Y,299023,http://www.moma.org/collection/works/299023,http://www.moma.org/media/W1siZiIsIjQ1OTM0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b5620377ad24b122,,0.0,,9.8,,,14.9,,
«BÊ» N° 5 from Alphabet Bété,Frédéric Bruly Bouabré,30876,"(Ivorian, 1923–2014)",(Ivorian),(1923),(2014),(Male),1990,"Colored pencil, pencil, and ballpoint pen on board","3 7/8 × 5 7/8"" (9.8 × 14.9 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,104.2019.5,Drawing,Drawings & Prints,2019-04-04,Y,299024,http://www.moma.org/collection/works/299024,http://www.moma.org/media/W1siZiIsIjQ1OTM1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=86360da086a24d52,,0.0,,9.8,,,14.9,,
«BEU» N° 6 from Alphabet Bété,Frédéric Bruly Bouabré,30876,"(Ivorian, 1923–2014)",(Ivorian),(1923),(2014),(Male),1990,"Colored pencil, pencil, and ballpoint pen on board","3 7/8 × 5 7/8"" (9.8 × 14.9 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,104.2019.6,Drawing,Drawings & Prints,2019-04-04,Y,299025,http://www.moma.org/collection/works/299025,http://www.moma.org/media/W1siZiIsIjQ1OTM1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ec7e40d0a9f2da79,,0.0,,9.8,,,14.9,,
