Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
One Hundred Lavish Months of Bushwhack,Wangechi Mutu,28097,"(Kenyan American, born 1972)",(Kenyan),(1972),(0),(Female),2004,"Cut-and-pasted printed paper with watercolor, synthetic polymer paint, and pressure-sensitive stickers on transparentized paper","68 1/2 x 42"" (174 x 106.7 cm)",Fund for the Twenty-First Century,99.2005,Drawing,Drawings & Prints,2005-02-08,Y,94766,http://www.moma.org/collection/works/94766,http://www.moma.org/media/W1siZiIsIjk3MTQ3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=51b49ba7237edd1b,,,,173.9903,,,106.6802,,
Yo Mama,Wangechi Mutu,28097,"(Kenyan American, born 1972)",(Kenyan),(1972),(0),(Female),2003,"Ink, mica flakes, acrylic, pressure-sensitive film, cut-and-pasted printed paper, and painted paper on paper","Overall: 59 1/8 x 85"" (150.2 x 215.9 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2511.2005.a-b,Drawing,Drawings & Prints,2005-05-10,Y,96792,http://www.moma.org/collection/works/96792,http://www.moma.org/media/W1siZiIsIjExMDIzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1f0019a6703081ed,,,,150.1778,,,104.4577,,
Eve,Wangechi Mutu,28097,"(Kenyan American, born 1972)",(Kenyan),(1972),(0),(Female),2006,"Portfolio of five etchings (two with aquatint and collage additions, one with collage additions) and three aquatints (two with collage additions)","composition: see child records; sheet (each): 10 7/16 x 7 15/16"" (26.5 x 20.2 cm)",Linda Barth Goldstein Fund,110.2007.1-8,Print,Drawings & Prints,2007-03-07,Y,107068,http://www.moma.org/collection/works/107068,http://www.moma.org/media/W1siZiIsIjEzOTAxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9f371c5e717c0d2c,,,,0.0,,,0.0,,
Untitled from Eve,Wangechi Mutu,28097,"(Kenyan American, born 1972)",(Kenyan),(1972),(0),(Female),2006,"Etching from a portfolio of five etchings (two with aquatint and collage additions, one with collage additions) and three aquatints (two with collage additions)","composition (irreg): 1 9/16 x 2 15/16"" (4 x 7.5 cm); sheet: 10 7/16 x 8"" (26.5 x 20.3 cm)",Linda Barth Goldstein Fund,110.2007.1,Print,Drawings & Prints,2007-03-07,Y,107903,http://www.moma.org/collection/works/107903,http://www.moma.org/media/W1siZiIsIjEzOTAxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9f371c5e717c0d2c,,,,4.0,,,7.5,,
Untitled from Eve,Wangechi Mutu,28097,"(Kenyan American, born 1972)",(Kenyan),(1972),(0),(Female),2006,"Aquatint with collage additions from a portfolio of five etchings (two with aquatint and collage additions, one with collage additions) and three aquatints (two with collage additions)","composition (irreg): 6 5/16 x 6"" (16.1 x 15.2 cm); sheet: 10 7/16 x 7 15/16"" (26.5 x 20.1 cm)",Linda Barth Goldstein Fund,110.2007.2,Print,Drawings & Prints,2007-03-07,Y,107904,http://www.moma.org/collection/works/107904,http://www.moma.org/media/W1siZiIsIjEzOTAxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ea6aaa94225b05bb,,,,16.1,,,15.2,,
Untitled from Eve,Wangechi Mutu,28097,"(Kenyan American, born 1972)",(Kenyan),(1972),(0),(Female),2006,"Etching from a portfolio of five etchings (two with aquatint and collage additions, one with collage additions) and three aquatints (two with collage additions)","composition (irreg): 4 x 5 1/8"" (10.2 x 13 cm); sheet: 10 7/16 x 7 15/16"" (26.5 x 20.2 cm)",Linda Barth Goldstein Fund,110.2007.3,Print,Drawings & Prints,2007-03-07,Y,107905,http://www.moma.org/collection/works/107905,http://www.moma.org/media/W1siZiIsIjEzOTAxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7d81fe6a255b13eb,,,,10.2,,,13.0,,
Untitled from Eve,Wangechi Mutu,28097,"(Kenyan American, born 1972)",(Kenyan),(1972),(0),(Female),2006,"Etching and aquatint with collage additions from a portfolio of five etchings (two with aquatint and collage additions, one with collage additions) and three aquatints (two with collage additions)","composition and sheet (irreg.): 10 1/4 × 7 5/8"" (26 × 19.3 cm)",Linda Barth Goldstein Fund,110.2007.4,Print,Drawings & Prints,2007-03-07,Y,107906,http://www.moma.org/collection/works/107906,http://www.moma.org/media/W1siZiIsIjEzOTAxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e33dd0eadbf43b06,,,,26.0,,,19.3,,
Untitled from Eve,Wangechi Mutu,28097,"(Kenyan American, born 1972)",(Kenyan),(1972),(0),(Female),2006,"Etching and aquatint with collage additions from a portfolio of five etchings (two with aquatint and collage additions, one with collage additions) and three aquatints (two with collage additions)","composition (irreg): 8 9/16 x 5 1/2"" (21.7 x 14 cm); sheet: 10 7/16 x 7 7/8"" (26.5 x 20 cm)",Linda Barth Goldstein Fund,110.2007.5,Print,Drawings & Prints,2007-03-07,Y,107907,http://www.moma.org/collection/works/107907,http://www.moma.org/media/W1siZiIsIjEzOTAxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d81f42fdd0cb893e,,,,21.7,,,14.0,,
Untitled from Eve,Wangechi Mutu,28097,"(Kenyan American, born 1972)",(Kenyan),(1972),(0),(Female),2006,"Aquatint with collage additions from a portfolio of five etchings (two with aquatint and collage additions, one with collage additions) and three aquatints (two with collage additions)","composition (irreg): 10 1/4 x 6 1/8"" (26 x 15.6 cm); sheet: 10 3/8 x 7 15/16"" (26.3 x 20.1 cm)",Linda Barth Goldstein Fund,110.2007.6,Print,Drawings & Prints,2007-03-07,Y,107908,http://www.moma.org/collection/works/107908,http://www.moma.org/media/W1siZiIsIjEzOTAyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c152b1e05c20f720,,,,26.0,,,15.6,,
Untitled from Eve,Wangechi Mutu,28097,"(Kenyan American, born 1972)",(Kenyan),(1972),(0),(Female),2006,"Aquatint from a portfolio of five etchings (two with aquatint and collage additions, one with collage additions) and three aquatints (two with collage additions)","composition (irreg): 6 x 7 1/2"" (15.3 x 19 cm); sheet: 10 3/8 x 7 15/16"" (26.3 x 20.1 cm)",Linda Barth Goldstein Fund,110.2007.7,Print,Drawings & Prints,2007-03-07,Y,107909,http://www.moma.org/collection/works/107909,http://www.moma.org/media/W1siZiIsIjEzOTAyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=675519654c548539,,,,15.3,,,19.0,,
