Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Family in Paradise (Number 50),Joong Seop Lee,3451,"(Korean, 1916–1956)",(Korean),(1916),(1956),(Male),1950–52,Incising and oil on metal foil on paper,"3 1/4 x 6 1/8"" (8.3 x 15.4 cm)",Gift of Arthur McTaggart,26.1956,Drawing,Drawings & Prints,1956-03-19,Y,33348,http://www.moma.org/collection/works/33348,http://www.moma.org/media/W1siZiIsIjI2NDgxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b102e899432678db,,,,8.3,,,15.6,,
Fairyland (Number 57),Joong Seop Lee,3451,"(Korean, 1916–1956)",(Korean),(1916),(1956),(Male),1950–52,Incising and oil on metal foil on paper,"3 1/4 x 6 1/8"" (8.3 x 15.4 cm)",Gift of Arthur McTaggart,27.1956,Drawing,Drawings & Prints,1956-03-19,Y,33357,http://www.moma.org/collection/works/33357,http://www.moma.org/media/W1siZiIsIjI2NDgyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cb0d46a1c7f7cb74,,,,8.3,,,15.6,,
People Reading the Newspaper (Number 84),Joong Seop Lee,3451,"(Korean, 1916–1956)",(Korean),(1916),(1956),(Male),1950–52,Incising and oil on metal foil on paper,"4 x 5 7/8"" (10.1 x 15 cm)",Gift of Arthur McTaggart,28.1956,Drawing,Drawings & Prints,1956-03-19,Y,33369,http://www.moma.org/collection/works/33369,http://www.moma.org/media/W1siZiIsIjI2NDgyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0882c180dd00359d,,,,10.2,,,14.9,,
Sailing,Ung-no Lee,3457,"(Korean, 1904–1989)",(Korean),(1904),(1989),(Male),(1957),Ink and colored ink on paper on scroll,"50 3/8 x 12 7/8"" (127.8 x 32.6 cm)",Blanchette Hooker Rockefeller Fund,95.1958,Drawing,Drawings & Prints,1958-04-22,Y,33864,http://www.moma.org/collection/works/33864,,,,,181.9,,,45.4,,
Mountains,Ung-no Lee,3457,"(Korean, 1904–1989)",(Korean),(1904),(1989),(Male),(1957),Ink and colored ink on paper on scroll,"19 x 22 7/8"" (48.1 x 58.0 cm)",Blanchette Hooker Rockefeller Fund,96.1958,Drawing,Drawings & Prints,1958-04-22,Y,33877,http://www.moma.org/collection/works/33877,,,,,101.0,,,72.4,,
Composition,Ung-no Lee,3457,"(Korean, 1904–1989)",(Korean),(1904),(1989),(Male),(1959),Colored ink on paper,"13 3/4 x 18"" (34.8 x 45.6 cm)",Gift of the artist,119.1960,Drawing,Drawings & Prints,1960-05-26,Y,34154,http://www.moma.org/collection/works/34154,http://www.moma.org/media/W1siZiIsIjI2MzY3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=231ae7094f2fdc6e,,,,34.9,,,45.7,,
POND,Yoo Kang Yl,6503,(Korean),(Korean),(0),(0),(),1959,"Woodcut, printed in black, brown, yellow, red and blue","Sheet 31 x 24"" (78.7 x 61.0 cm) Comp. 25  15/16 x 19 1/8"" (65.9 x 48.7 cm)",Blanchette Rockefeller Fund,103.1965,Print,Drawings & Prints,1965-03-09,N,61823,,,,,,65.9,,,48.7,,
Work No. 2,Lee Ufan,6835,"(Korean, born 1936)",(Korean),(1936),(0),(Male),1973,Lithograph,"composition (irreg.): 17 × 21 1/4"" (43.2 × 54 cm); sheet: 20 1/4 × 27 1/2"" (51.4 × 69.8 cm)",Blanchette Hooker Rockefeller Fund,135.1975,Print,Drawings & Prints,1975-05-09,Y,62556,http://www.moma.org/collection/works/62556,http://www.moma.org/media/W1siZiIsIjIxNzY1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=35c8211e3a681288,,,,43.2,,,54.0,,
Work No. 3,Lee Ufan,6835,"(Korean, born 1936)",(Korean),(1936),(0),(Male),1973,Lithograph,"composition (irreg.): 17 × 22 7/8"" (43.2 × 58.1 cm); sheet: 20 1/8 × 27 5/16"" (51.1 × 69.4 cm)",Blanchette Hooker Rockefeller Fund,136.1975,Print,Drawings & Prints,1975-05-09,Y,62633,http://www.moma.org/collection/works/62633,http://www.moma.org/media/W1siZiIsIjIxNzY1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5d65c966181dc1a1,,,,43.2,,,58.1,,
Work No. 4B,Lee Ufan,6835,"(Korean, born 1936)",(Korean),(1936),(0),(Male),1973,Lithograph,"composition (irreg.): 16 1/8 × 21"" (41 × 53.3 cm); sheet (irreg.): 20 3/16 × 27 3/4"" (51.2 × 70.5 cm)",Blanchette Hooker Rockefeller Fund,137.1975,Print,Drawings & Prints,1975-05-09,Y,62725,http://www.moma.org/collection/works/62725,http://www.moma.org/media/W1siZiIsIjIxNzY1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=36d6a2ccf754ba84,,,,41.0,,,53.3,,
