Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Untitled from the Museum in Progress project Interventions,Jonas Mekas,7930,"(Lithuanian, 1922 – 2019)",(Lithuanian),(1922),(2019),(Male),"(newspaper published December 20, 1995)","Lithograph, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.436,Print,Drawings & Prints,2006-06-01,N,103673,,,,,,47.0,,,31.5,,
Kaimietis from the Museum in Progress project Speed and Slowness,Deimantas Narkevicius,31384,"(Lithuanian, born 1964)",(Lithuanian),(1964),(0),(Male),(journals published October 2002 through May 2003),"Four lithographs, offset printed","Each sheet: 16 9/16 x 11 5/8"" (42 x 29.5 cm)",Linda Barth Goldstein Fund,514.2006.344a-d,Print,Drawings & Prints,2006-06-01,N,104833,,,,,,42.0,,,29.5,,
New York Pro Musica Decca DL 7 9415,Jonas Mekas,7930,"(Lithuanian, 1922 – 2019)",(Lithuanian),(1922),(2019),(Male),,3 tape reels,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC1243.a-c,Audio,Fluxus Collection,2008-10-08,N,131515,,,,0.0,,0.0,,,0.0,,
Zefiro Torna or Scenes from the Life of George Maciunas,Jonas Mekas,7930,"(Lithuanian, 1922 – 2019)",(Lithuanian),(1922),(2019),(Male),1992,VHS,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC1901,Video,Fluxus Collection,2008-10-08,N,132173,,,,0.0,,0.0,,,0.0,,
Reminiscensijos,Jonas Mekas,7930,"(Lithuanian, 1922 – 2019)",(Lithuanian),(1922),(2019),(Male),1972/c.1979,"artist's book, 52 pages, wood cover with hinges","5 7/16 x 7 11/16 x 1 3/16"" (13.8 x 19.5 x 3 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,4319.2008,Illustrated Book,Fluxus Collection,2008-10-08,N,132210,,,,3.0,,13.8,,,19.5,,
Mechanical for Flux Tattoos,Jonas Mekas,7930,"(Lithuanian, 1922 – 2019)",(Lithuanian),(1922),(2019),(Male),,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC3059,(not assigned),Fluxus Collection,2008-10-08,N,136797,,,,0.0,,0.0,,,0.0,,
Mechanical for Flux Tattoos,Jonas Mekas,7930,"(Lithuanian, 1922 – 2019)",(Lithuanian),(1922),(2019),(Male),,(confirm),,The Gilbert and Lila Silverman Fluxus Collection Gift,FC3088,(not assigned),Fluxus Collection,2008-10-08,N,136826,,,,0.0,,0.0,,,0.0,,
"Mechanical for ad for Indispensable paperbacks on the art of film in ""Film Culture""","George Maciunas, Jonas Mekas","21398, 7930","(American, born Lithuania. 1931–1978) (Lithuanian, 1922 – 2019)",(American) (Lithuanian),(1931) (1922),(1978) (2019),(Male) (Male),c. 1967,(confirm),,The Gilbert and Lila Silverman Fluxus Collection Gift,FC3131,Drawing,Fluxus Collection,2008-10-08,N,136869,,,,0.0,,0.0,,,0.0,,
Mechanical for Flux Tattoos,Jonas Mekas,7930,"(Lithuanian, 1922 – 2019)",(Lithuanian),(1922),(2019),(Male),,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC3178,(not assigned),Fluxus Collection,2008-10-08,N,136916,,,,0.0,,0.0,,,0.0,,
Mechanical for poster of Lenny Bruce at the Living Theatre,"George Maciunas, Jonas Mekas","21398, 7930","(American, born Lithuania. 1931–1978) (Lithuanian, 1922 – 2019)",(American) (Lithuanian),(1931) (1922),(1978) (2019),(Male) (Male),1967,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC3191,(not assigned),Fluxus Collection,2008-10-08,N,136929,,,,0.0,,0.0,,,0.0,,
Mechanical for Flux Tattoos,Jonas Mekas,7930,"(Lithuanian, 1922 – 2019)",(Lithuanian),(1922),(2019),(Male),,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC3195,(not assigned),Fluxus Collection,2008-10-08,N,136933,,,,0.0,,0.0,,,0.0,,
Mechanical for Flux Tattoos,Jonas Mekas,7930,"(Lithuanian, 1922 – 2019)",(Lithuanian),(1922),(2019),(Male),,(confirm),,The Gilbert and Lila Silverman Fluxus Collection Gift,FC3238,(not assigned),Fluxus Collection,2008-10-08,N,136976,,,,0.0,,0.0,,,0.0,,
Mechanical for Flux Tattoos,Jonas Mekas,7930,"(Lithuanian, 1922 – 2019)",(Lithuanian),(1922),(2019),(Male),,,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC3272,(not assigned),Fluxus Collection,2008-10-08,N,137010,,,,0.0,,0.0,,,0.0,,
