Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"White Monuments with Red Flag Curtains, project, Perspective",Leon Krier,3250,"(Luxembourger, born 1946)",(Luxembourger),(1946),(0),(Male),1974,Pen on paper,"5 7/16 x 8 1/4"" (13.8 x 21 cm)",Architecture and Design Interest Fund,253.1986,Architecture,Architecture & Design,1986-10-07,Y,288,http://www.moma.org/collection/works/288,http://www.moma.org/media/W1siZiIsIjUyNjcyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=145c83f986699a37,,,,13.8,,,21.0,,
"Roma Interrota, project, Campidoglio, Rome, Italy, Perspective",Leon Krier,3250,"(Luxembourger, born 1946)",(Luxembourger),(1946),(0),(Male),1977,"Pen, ink, and cut-and-pasted printed paper on paper","16 7/8 x 24 1/2"" (42.8 x 62.2 cm)",Marshall Cogan Purchase Fund,310.1984,Architecture,Architecture & Design,1984-10-30,Y,321,http://www.moma.org/collection/works/321,,,,,42.8,,,62.2,,
Hypostyle House project (Axonometric),Leon Krier,3250,"(Luxembourger, born 1946)",(Luxembourger),(1946),(0),(Male),1977,Ink on paper,"8 7/8 x 11"" (22.5 x 28 cm)",Marshall Cogan Purchase Fund,311.1984,Architecture,Architecture & Design,1984-10-30,Y,322,http://www.moma.org/collection/works/322,,,,,22.5,,,28.0,,
"Belvedere, Berlin-Tegel, Germany",Leon Krier,3250,"(Luxembourger, born 1946)",(Luxembourger),(1946),(0),(Male),1980,Ink on paper,"14 1/2 x 9 1/4"" (36.8 x 23.5 cm)",Marshall Cogan Purchase Fund,312.1984,Architecture,Architecture & Design,1984-10-30,Y,323,http://www.moma.org/collection/works/323,,,,,36.8,,,23.5,,
"Building over Motorway Project, London, England, Perspectives",Leon Krier,3250,"(Luxembourger, born 1946)",(Luxembourger),(1946),(0),(Male),1969,Ink on paper,"19 x 15 5/8"" (48.3 x 39.7 cm) (frame)",Gift of the architect in honor of Philip Johnson,378.1996,Architecture,Architecture & Design,1996-09-25,Y,445,http://www.moma.org/collection/works/445,http://www.moma.org/media/W1siZiIsIjUyNzYxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=527f60df4344a960,,,,48.2601,,,39.6876,,
"The Completion of Washington, D.C. Project, Washington, D.C., Perspective",Leon Krier,3250,"(Luxembourger, born 1946)",(Luxembourger),(1946),(0),(Male),1984,Ink and graphite on tracing paper,"8 1/4 x w. 11 1/4"" (21 x 28.6 cm)",Gift of the architect in honor of Lily Auchincloss,383.1994,Architecture,Architecture & Design,1994-09-21,Y,464,http://www.moma.org/collection/works/464,http://www.moma.org/media/W1siZiIsIjUyNzYyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=118f3cde4df267fd,,,,21.0,,,28.6,,
"The Completion of Washington, D.C., project, Washington, D.C., Aerial perspective",Leon Krier,3250,"(Luxembourger, born 1946)",(Luxembourger),(1946),(0),(Male),1985,"Ink, crayon, and colored pencil on vellum","30 x 42"" (76.2 x 106.7 cm)",Purchase,395.1985,Architecture,Architecture & Design,1985-11-18,Y,521,http://www.moma.org/collection/works/521,http://www.moma.org/media/W1siZiIsIjUyNDA4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f224714a477d669b,,,,76.2,,,106.7,,
"The Completion of Washington, D.C., project, Washington, D.C., Plan",Leon Krier,3250,"(Luxembourger, born 1946)",(Luxembourger),(1946),(0),(Male),1985,"Ink, crayon, and colored pencil on vellum","22 1/2 x 42 1/4"" (57.2 x 107.3 cm)",Purchase,396.1985,Architecture,Architecture & Design,1985-11-18,Y,527,http://www.moma.org/collection/works/527,http://www.moma.org/media/W1siZiIsIjUyNDA5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=73a0afa5d88472aa,,,,57.2,,,107.3,,
"The Completion of Washington, D.C., project, Washington, D.C., Plans",Leon Krier,3250,"(Luxembourger, born 1946)",(Luxembourger),(1946),(0),(Male),1985,Ink and crayon on vellum,"38 1/8 x 29 1/2"" (96.8 x 74.9 cm)",Purchase,397.1985,Architecture,Architecture & Design,1985-11-18,Y,532,http://www.moma.org/collection/works/532,http://www.moma.org/media/W1siZiIsIjUyNDA5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=575ce0bf22f95920,,,,96.8,,,74.9,,
"The Completion of Washington, D.C., project, Washington, D.C., Plans",Leon Krier,3250,"(Luxembourger, born 1946)",(Luxembourger),(1946),(0),(Male),1985,Ink and crayon on vellum,"38 1/8 x 30"" (96.8 x 76.2 cm)",Purchase,398.1985,Architecture,Architecture & Design,1985-11-18,Y,536,http://www.moma.org/collection/works/536,http://www.moma.org/media/W1siZiIsIjUyNDA5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fe9e1c90c1b184e9,,,,96.8,,,76.2,,
