Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Exhibition poster for the retrospective of Janko Konstantinov (Collage of different building projects, including the Counter Hall of the Telecommunications Center in the background)",Janko Konstantinov,49951,"(Macedonian, 1926–2010)",(Macedonian),(1926),(2010),(Male),1984,Collage and diazotype on tracing paper,"30 × 51 5/8"" (76.2 × 131.1 cm)",Gift of Jovan Ivanovski,151.2019,Architecture,Architecture & Design,2019-11-04,Y,205686,http://www.moma.org/collection/works/205686,,,,,76.2001524003,,,131.1277622555,,
"Telecommunications Center, Skopje, Macedonia (Perspective)",Janko Konstantinov,49951,"(Macedonian, 1926–2010)",(Macedonian),(1926),(2010),(Male),1968–1981,Print on tracing paper,"36 1/4 × 56 11/16"" (92 × 144 cm)",Gift of Jovan Ivanovski,150.2019.1,Architecture,Architecture & Design,2019-11-04,Y,205690,http://www.moma.org/collection/works/205690,,,0.0,,92.0,,,144.0,,
"Telecommunications Center, Skopje, Macedonia (Ground-floor plan, 1:200)",Janko Konstantinov,49951,"(Macedonian, 1926–2010)",(Macedonian),(1926),(2010),(Male),1968–1981,Pencil on tracing paper,"35 1/16 × 44 1/2"" (89 × 113 cm)",Gift of Jovan Ivanovski,150.2019.2,Architecture,Architecture & Design,2019-11-04,Y,205691,http://www.moma.org/collection/works/205691,,,0.0,,89.0,,,113.0,,
"Telecommunications Center, Skopje, Macedonia (Façade details, 1:20)",Janko Konstantinov,49951,"(Macedonian, 1926–2010)",(Macedonian),(1926),(2010),(Male),1968–1981,Pencil on tracing paper,"32 11/16 × 53 1/8"" (83 × 135 cm)",Gift of Jovan Ivanovski,150.2019.3,Architecture,Architecture & Design,2019-11-04,Y,205695,http://www.moma.org/collection/works/205695,,,0.0,,83.0,,,135.0,,
"Goce Delčev Student Dormitory, Skopje, Macedonia (Site plan, 1:250)",Georgi Konstantinovski,49952,"(Macedonian, born 1930)",(Macedonian),(1930),(0),(Male),1969–1977,Ink on tracing paper,"30 1/8 × 36 1/4"" (76.5 × 92 cm)",Committee on Architecture and Design Funds,814.2018,Architecture,Architecture & Design,2018-10-15,Y,205700,http://www.moma.org/collection/works/205700,,,0.0,,76.5,,,92.0,,
"Goce Delčev Student Dormitory, Skopje, Macedonia (Floor plan, 1:200)",Georgi Konstantinovski,49952,"(Macedonian, born 1930)",(Macedonian),(1930),(0),(Male),1969–1977,Ink on tracing paper,"11 13/16 × 23 7/16"" (30 × 59.5 cm)",Committee on Architecture and Design Funds,815.2018,Architecture,Architecture & Design,2018-10-15,Y,205701,http://www.moma.org/collection/works/205701,,,0.0,,30.0,,,59.5,,
"City Archive, Skopje, Macedonia (Elevation, 1:200)",Georgi Konstantinovski,49952,"(Macedonian, born 1930)",(Macedonian),(1930),(0),(Male),1966–1968,Ink on paper mounted on cardboard,"17 5/8 × 17 5/8"" (44.7 × 44.7 cm)",Committee on Architecture and Design Funds,812.2018,Architecture,Architecture & Design,2018-10-15,Y,205708,http://www.moma.org/collection/works/205708,,,0.0,,44.7,,,44.7,,
"City Archive, Skopje, Macedonia (Ground-floor plan, 1:200)",Georgi Konstantinovski,49952,"(Macedonian, born 1930)",(Macedonian),(1930),(0),(Male),1966–1968,Ink on paper mounted on cardboard,"17 5/8 × 17 5/8"" (44.7 × 44.7 cm)",Committee on Architecture and Design Funds,813.2018,Architecture,Architecture & Design,2018-10-15,Y,205709,http://www.moma.org/collection/works/205709,,,0.0,,44.7,,,44.7,,
"Monument to the Ilinden Uprising, Kruševo, Macedonia (Competition entry: perspective, 1972)","Iskra Grabulovski, Jordan Grabulovski","67440, 75110","(Macedonian, 1936–2008) (Macedonian, 1925–1986)",(Macedonian) (Macedonian),(1936) (1925),(2008) (1986),(Female) (Male),1970–1973,Ink and charcoal on paper,"27 15/16 × 39 9/16"" (71 × 100.5 cm)",Gift of the Grabul Family Archive,809.2018,Architecture,Architecture & Design,2018-10-15,N,217572,,,,0.0,,71.0,,,100.5,,
"Monument to the Ilinden Uprising, Kruševo, Macedonia (Competition entry: perspective, 1972)","Iskra Grabulovski, Jordan Grabulovski","67440, 75110","(Macedonian, 1936–2008) (Macedonian, 1925–1986)",(Macedonian) (Macedonian),(1936) (1925),(2008) (1986),(Female) (Male),1970–1973,Ink and charcoal on paper,"27 15/16 × 39 9/16"" (71 × 100.5 cm)",Gift of the Grabul Family Archive,809.2018,Architecture,Architecture & Design,2018-10-15,N,217572,,,,0.0,,71.0,,,100.5,,
"Monument to the Ilinden Uprising, Kruševo, Macedonia (Sketch, 1971)","Iskra Grabulovski, Jordan Grabulovski","67440, 75110","(Macedonian, 1936–2008) (Macedonian, 1925–1986)",(Macedonian) (Macedonian),(1936) (1925),(2008) (1986),(Female) (Male),1970–1973,Felt-tip pen and pencil on tracing paper,"16 5/16 × 23 1/4"" (41.5 × 59 cm)",Gift of the Grabul Family Archive,810.2018,Architecture,Architecture & Design,2018-10-15,N,217597,,,,0.0,,41.5,,,59.0,,
"Monument to the Ilinden Uprising, Kruševo, Macedonia (Sketch, 1971)","Iskra Grabulovski, Jordan Grabulovski","67440, 75110","(Macedonian, 1936–2008) (Macedonian, 1925–1986)",(Macedonian) (Macedonian),(1936) (1925),(2008) (1986),(Female) (Male),1970–1973,Felt-tip pen and pencil on tracing paper,"16 5/16 × 23 1/4"" (41.5 × 59 cm)",Gift of the Grabul Family Archive,810.2018,Architecture,Architecture & Design,2018-10-15,N,217597,,,,0.0,,41.5,,,59.0,,
"Monument to the Ilinden Uprising, Kruševo, Macedonia (Exterior view of monument under construction, 1973)","Iskra Grabulovski, Jordan Grabulovski","67440, 75110","(Macedonian, 1936–2008) (Macedonian, 1925–1986)",(Macedonian) (Macedonian),(1936) (1925),(2008) (1986),(Female) (Male),1970–1973,Gelatin silver print,"3 9/16 × 5 1/2"" (9 × 14 cm)",Gift of the Grabul Family Archive,811.2018,Architecture,Architecture & Design,2018-10-15,Y,217599,http://www.moma.org/collection/works/217599,,,0.0,,9.0,,,14.0,,
