Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Untitled (Bamako),Seydou Keïta,8568,"(Malian, 1923–2001)",(Malian),(1923),(2001),(Male),1956-57,"Gelatin silver print, printed 1997","20 3/4 × 15 13/16"" (52.7 × 40.2 cm)",The Family of Man Fund,313.1997,Photograph,Photography,1997-06-12,Y,50544,http://www.moma.org/collection/works/50544,http://www.moma.org/media/W1siZiIsIjUyNzU1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d1199096d461dcba,,,,52.7,,,40.2,,
Untitled (Bamako),Seydou Keïta,8568,"(Malian, 1923–2001)",(Malian),(1923),(2001),(Male),1956-57,"Gelatin silver print, printed 1997","15 9/16 × 22 1/8"" (39.5 × 56.2 cm)",The Family of Man Fund,314.1997,Photograph,Photography,1997-06-12,Y,50564,http://www.moma.org/collection/works/50564,http://www.moma.org/media/W1siZiIsIjQwMDc5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4c4f1fd7978ca716,,,,39.5,,,56.2,,
Untitled (Bamako),Seydou Keïta,8568,"(Malian, 1923–2001)",(Malian),(1923),(2001),(Male),1958,"Gelatin silver print, printed 1997","20 1/4 × 15 5/8"" (51.4 × 39.7 cm)",The Family of Man Fund,315.1997,Photograph,Photography,1997-06-12,Y,50585,http://www.moma.org/collection/works/50585,http://www.moma.org/media/W1siZiIsIjIwNzU2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2a7b29a10e0f41c7,,,,51.4,,,39.7,,
Untitled (Bamako),Seydou Keïta,8568,"(Malian, 1923–2001)",(Malian),(1923),(2001),(Male),1949-52,"Gelatin silver print, printed 1996","21 9/16 × 15 3/8"" (54.7 × 39 cm)",Gift of Robert Storr in memory of Sally Ganz,2463.2001,Photograph,Photography,2001-10-11,Y,82612,http://www.moma.org/collection/works/82612,http://www.moma.org/media/W1siZiIsIjIwNzU0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dd2946a111a357e0,,,,54.7,,,39.0,,
"With my Bag, Rings and Bracelets",Malick Sidibé,26555,"(Malian, 1936–2016)",(Malian),(1936),(2016),(Male),1968,"Gelatin silver print, printed 2003","13 × 13"" (33 × 33 cm)",Gift of Jean Pigozzi,401.2003,Photograph,Photography,2003-12-11,Y,89136,http://www.moma.org/collection/works/89136,http://www.moma.org/media/W1siZiIsIjIxNjUwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5a1110c47d7501e8,,,,50.8001,,,40.6401,,
At the Entrance to the Party,Malick Sidibé,26555,"(Malian, 1936–2016)",(Malian),(1936),(2016),(Male),1963,"Gelatin silver print, printed 2003","13 × 13 1/16"" (33 × 33.2 cm)
",Gift of Jean Pigozzi,397.2003,Photograph,Photography,2003-12-11,Y,89137,http://www.moma.org/collection/works/89137,http://www.moma.org/media/W1siZiIsIjIxNjUwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3330f72edb0f64dd,,,,33.0,,,33.2,,
Friends,Malick Sidibé,26555,"(Malian, 1936–2016)",(Malian),(1936),(2016),(Male),1976,"Gelatin silver print, printed 2003","12 15/16 × 13"" (32.8 × 33 cm)",Gift of Jean Pigozzi,399.2003,Photograph,Photography,2003-12-11,Y,89138,http://www.moma.org/collection/works/89138,http://www.moma.org/media/W1siZiIsIjIwNzU5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c12cf8d9469d8614,,,,50.8001,,,40.6401,,
Look at Me!,Malick Sidibé,26555,"(Malian, 1936–2016)",(Malian),(1936),(2016),(Male),1962,"Gelatin silver print, printed 2003","12 13/16 × 13 1/16"" (32.5 × 33.2 cm)
",Gift of Jean Pigozzi,400.2003,Photograph,Photography,2003-12-11,Y,89139,http://www.moma.org/collection/works/89139,http://www.moma.org/media/W1siZiIsIjIxNjUwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=935e1b639359fcda,,,,32.5,,,33.2,,
"Christmas Eve, Happy Club",Malick Sidibé,26555,"(Malian, 1936–2016)",(Malian),(1936),(2016),(Male),1963,"Gelatin silver print, printed 2003","13 1/8 × 13 3/8"" (33.3 × 34 cm)
",Gift of Jean Pigozzi,398.2003,Photograph,Photography,2003-12-11,Y,89140,http://www.moma.org/collection/works/89140,http://www.moma.org/media/W1siZiIsIjIxNjUwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6acf27b39324f663,,,,33.3,,,34.0,,
Les Caïds (Big Shots),Malick Sidibé,26555,"(Malian, 1936–2016)",(Malian),(1936),(2016),(Male),"July 19, 1970",Twenty-two gelatin silver prints mounted on paper,"12 5/8 × 18 7/8"" (32.1 × 47.9 cm)",Judith and Wm. Brian Little Fund,1076.2018,Photograph,Photography,2018-10-24,Y,284357,http://www.moma.org/collection/works/284357,http://www.moma.org/media/W1siZiIsIjQzNTA1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=83383ec4b58af335,,,,0.0,,,0.0,,
Tiep Mariage,Malick Sidibé,26555,"(Malian, 1936–2016)",(Malian),(1936),(2016),(Male),"November 5, 1967",Nineteen gelatin silver prints mounted on paper,"12 5/8 × 18 7/8"" (32.1 × 47.9 cm)",Judith and Wm. Brian Little Fund,1075.2018,Photograph,Photography,2018-10-24,Y,289608,http://www.moma.org/collection/works/289608,http://www.moma.org/media/W1siZiIsIjQzNTA1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=10cb0ccce7870fcd,,,,0.0,,,0.0,,
Untitled,Malick Sidibé,26555,"(Malian, 1936–2016)",(Malian),(1936),(2016),(Male),"July 28, 1973",Twenty-four gelatin silver prints mounted on paper,"12 3/4 × 19 3/4"" (32.4 × 50.2 cm)",Judith and Wm. Brian Little Fund,1078.2018,Photograph,Photography,2018-10-24,Y,289609,http://www.moma.org/collection/works/289609,http://www.moma.org/media/W1siZiIsIjQzNTA2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=77dd2af51b190cd1,,,,0.0,,,0.0,,
"Nuit du 10 octobre 1970 (Night of October 10, 1970)",Malick Sidibé,26555,"(Malian, 1936–2016)",(Malian),(1936),(2016),(Male),1970,Twenty-two gelatin silver prints mounted on paper,"12 3/4 × 19 3/4"" (32.4 × 50.2 cm)",Judith and Wm. Brian Little Fund,1077.2018,Photograph,Photography,2018-10-24,Y,289610,http://www.moma.org/collection/works/289610,http://www.moma.org/media/W1siZiIsIjQzNTA1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e7bb2c79563d9fc5,,,,0.0,,,0.0,,
Untitled,Seydou Keïta,8568,"(Malian, 1923–2001)",(Malian),(1923),(2001),(Male),c. 1952-56,Gelatin silver print,"7 1/8 × 5 1/8"" (18.1 × 13 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,38.2019,Photograph,Photography,2019-02-28,Y,296548,http://www.moma.org/collection/works/296548,http://www.moma.org/media/W1siZiIsIjQ1ODI2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fedcf519968fcbe8,,0.0,,18.1,,,13.0,,
Untitled,Seydou Keïta,8568,"(Malian, 1923–2001)",(Malian),(1923),(2001),(Male),c. 1955,Gelatin silver print,"7 3/16 × 5 1/8"" (18.2 × 13 cm)",The Jean Pigozzi African Art Collection.  Gift of Jean Pigozzi,42.2019,Photograph,Photography,2019-02-28,Y,296549,http://www.moma.org/collection/works/296549,http://www.moma.org/media/W1siZiIsIjQ1ODI3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7ca4ccb6cfc853fd,,0.0,,18.2,,,13.0,,
