Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Glasses,Unidentified Designer,6017,(Mexican),(Mexican),(0),(0),(),1940s,Glass,".1: 2 1/4 x 2 1/4"" (5.7 x 5.7 cm)
.2: 1 7/8 x 2 1/4"" (4.7 x 5.7 cm)
.3: 2 1/16 x 2 3/8"" (5.3 x 6 cm)",Gift of Fred Leighton Inc.,215.1948.1-3,Design,Architecture & Design,1948-03-17,Y,2713,http://www.moma.org/collection/works/2713,http://www.moma.org/media/W1siZiIsIjIxMDcxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6f119aee514e0270,,,5.7,5.7,,,,,
Dish,Unidentified Designer,6017,(Mexican),(Mexican),(0),(0),(),1930s,Horn,"1 1/4 x 6 3/4"" (3.2 x 17.1 cm)",Gift of Fred Leighton,407.1938,Design,Architecture & Design,1938-11-01,Y,3485,http://www.moma.org/collection/works/3485,http://www.moma.org/media/W1siZiIsIjUxNzAxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0f3eb3b763435932,,,17.145,3.175,,,,,
K Armchair with Writing Wing,Hector Coronado,1250,"(Mexican, born 1938)",(Mexican),(1938),(0),(Male),1978,"Laminated beech, foam cushions, and fabric upholstery","Overall: 29 1/2 x 22 1/4 x 22 3/8"" (74.9 x 56.5 x 56.8 cm), seat h. 18 1/4"" (46.4 cm)",Gift of the designer,632.1980.a-b,Design,Architecture & Design,1980-10-30,Y,4148,http://www.moma.org/collection/works/4148,http://www.moma.org/media/W1siZiIsIjIzMDQyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d751ae26fd09392d,,56.8,,74.9,,,56.5,,
Tray,Unidentified Designer,6017,(Mexican),(Mexican),(0),(0),(),Before 1959,Handthrown unglazed pottery,"3 x 16 1/2"" (7.6 x 41.9 cm)",Philip Johnson Fund,708.1959,Design,Architecture & Design,1959-12-30,Y,4380,http://www.moma.org/collection/works/4380,,,,41.9,7.6,,,,,
Manifesto a los poetas,Gabriel Fernández Ledesma,1856,"(Mexican, 1900–1982)",(Mexican),(1900),(1982),(Male),1946,Lithograph,"37 1/4 x 27 1/2"" (94.6 x 69.8cm)",Gift of Manuel Gonzalez Flores,88.1947.1-2,Design,Architecture & Design,1947-03-13,Y,5011,http://www.moma.org/collection/works/5011,,,,,94.6,,,69.8,,
Mexico 68,"Eduardo Terrazas, Lance Wyman","5834, 6467","(Mexican, born 1936) (American, born 1937)",(Mexican) (American),(1936) (1937),(0) (0),(Male) (Male),1967,Offset lithograph,"34 x 34"" (86.3 x 86.3 cm)",Gift of the XIX Olympics Committee,179.1968,Design,Architecture & Design,1968-03-07,Y,5545,http://www.moma.org/collection/works/5545,http://www.moma.org/media/W1siZiIsIjUxOTYxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1f5642f0993b9a6a,,,,86.3,,,86.3,,
"(Exhibition poster, 1957)",José Luis Cuevas,1325,"(Mexican, 1934–2017)",(Mexican),(1934),(2017),(Male),1957,Poster,,Gift of the Roland de Aenlle Gallery,319.1957,Design,Architecture & Design,1957-12-04,N,6230,,,,,,,,,,,
"Exposicion Litografias, Taller de Gráfica Popular, Galeria de Arte de la Universidad Nacional",Francisco Dosamantes,1596,"(Mexican, 1911–1986)",(Mexican),(1911),(1986),(Male),c. 1941,"Lithograph, printed in black and red from two stones
Paper/Support: wove, white","14 1/4 x 21 1/4"" (36.2 x 53.8 cm)",Inter-American Fund,690.1942,Design,Architecture & Design,1942-12-29,Y,7938,http://www.moma.org/collection/works/7938,http://www.moma.org/media/W1siZiIsIjUxNzU3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5b1d5cceae86bebf,,,,36.2,,,53.8,,
"El Fascismo, 2a Conferencia: El Fascismo Italiano",Francisco Dosamantes,1596,"(Mexican, 1911–1986)",(Mexican),(1911),(1986),(Male),1938,"Lithograph and letterpress
Paper/Support: wove, yellow","18 1/8 × 24 3/8"" (46 × 61.9 cm)",Inter-American Fund,691.1942,Design,Architecture & Design,1942-12-29,Y,7941,http://www.moma.org/collection/works/7941,http://www.moma.org/media/W1siZiIsIjUxNzU3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9d47e4dbea782905,,,,46.0375920752,,,61.9126238252,,
23 Gravures,"Jean (Hans) Arp, Alexander Calder, Giorgio de Chirico, Hans Erni, Max Ernst, Justino Fernández, Alberto Giacometti, Julio González, Nikos Hadjikyriakos-Ghika, Jean Hélion, Vasily Kandinsky, Fernand Léger, Jacques Lipchitz, Alberto Magnelli, Joan Miró, Ben Nicholson, Amédée Ozenfant, Pablo Picasso, Kurt Seligmann, Sophie Taeuber-Arp, Joaquín Torres-García, Gérard Vulliamy, Ossip Zadkine, Various Artists","11, 922, 1106, 1750, 1752, 1855, 2141, 2231, 7050, 2586, 2981, 6624, 3563, 3690, 4016, 4293, 4458, 4609, 5337, 5777, 5907, 6196, 6533, 24409","(French, born Germany (Alsace). 1886–1966) (American, 1898–1976) (Italian, born Greece. 1888–1978) (Swiss, 1909–2015) (French and American, born Germany. 1891–1976) (Mexican, 1904–1972) (Swiss, 1901–1966) (Spanish, 1876–1942) (Greek, 1906–1994) (French, 1904–1987) (French, born Russia. 1866–1944) (French, 1881–1955) (American, born Lithuania. 1891–1973) (Italian, 1888–1971) (Spanish, 1893–1983) (British, 1894–1982) (French, 1886–1966) (Spanish, 1881–1973) (American, born Switzerland. 1900–1962) (French, born Switzerland. 1889–1943) (Uruguayan, 1874–1949) (French, 1909–2005) (French, born Russia. 1890–1967)",(French) (American) (Italian) (Swiss) (French) (Mexican) (Swiss) (Spanish) (Greek) (French) (French) (French) (American) (Italian) (Spanish) (British) (French) (Spanish) (American) (Swiss) (Uruguayan) (French) (French) (),(1886) (1898) (1888) (1909) (1891) (1904) (1901) (1876) (1906) (1904) (1866) (1881) (1891) (1888) (1893) (1894) (1886) (1881) (1900) (1889) (1874) (1909) (1890) (0),(1966) (1976) (1978) (2015) (1976) (1972) (1966) (1942) (1994) (1987) (1944) (1955) (1973) (1971) (1983) (1982) (1966) (1973) (1962) (1943) (1949) (2005) (1967) (0),(Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (),"1930–35, published 1935","Illustrated book with twelve etchings (one with aquatint and drypoint), five drypoints, three engravings (one with drypoint), two lithographs, and one woodcut","composition (see child records): dimensions vary; page (each approx.): 13 x 10 3/16"" (33 x 25.9 cm)",Purchase Fund,14.1945.1-23,Illustrated Book,Drawings & Prints,1945-01-03,Y,9171,http://www.moma.org/collection/works/9171,,,,,33.0,,,25.9,,
