Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Expandable Containers,William N. Touzani,5911,"(Moroccan, born 1954)",(Moroccan),(1954),(0),(Male),1987,Polyethylene,Dimensions vary.,Gift of the manufacturer,115.1989.1-9,Design,Architecture & Design,1986-05-16,N,2180,,,,0.0,,0.0,,,0.0,,
Belkahia Chebaa Melehi,Mohamed Melehi,3914,"(Moroccan, born 1936)",(Moroccan),(1936),(0),(Male),1966,Letterpress,"39 3/8 x 25 1/2"" (99.8 x 64.2 cm)",Gift of the artist,700.1966,Design,Architecture & Design,1966-12-06,Y,7961,http://www.moma.org/collection/works/7961,http://www.moma.org/media/W1siZiIsIjUxOTQ4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2e89b59577b9c30d,,,,99.8,,,64.2,,
King Solomon's Ring,Ahmed Yacoubi,6476,"(Moroccan and American, 1928–1985)",(Moroccan),(1928),(1985),(Male),1963,Oil on canvas,"28 3/4 x 23 1/2"" (73 x 59.6 cm)",Gift of Mrs. Raymond J. Braun and David Mann,118.1966,Painting,Painting & Sculpture,1966-02-08,Y,78875,http://www.moma.org/collection/works/78875,http://www.moma.org/media/W1siZiIsIjIwODI0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=583fb10d6aea554d,,,,73.0,,,59.6,,
"Girl with Red Hair, Ferry from Algeciras to Tangier",Yto Barrada,42323,"(Moroccan and French, born 1971)",(Moroccan),(1971),(0),(Female),2002,Chromogenic print,"31 9/16 × 31 1/2"" (80.2 × 80 cm)
","Gift of Susan and Arthur Fleischer, Jr.",1190.2012,Photograph,Photography,2012-10-02,Y,163781,http://www.moma.org/collection/works/163781,http://www.moma.org/media/W1siZiIsIjI1NjM3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=062142abd440b26e,,,,80.1689103378,,,80.0101600203,,
"Autocar—Tangier, Figs. 1-4",Yto Barrada,42323,"(Moroccan and French, born 1971)",(Moroccan),(1971),(0),(Female),2004,Chromogenic color prints,"Each 34 5/8 × 34 5/8"" (88 × 88 cm)",Acquired through the generosity of Jerry I. Speyer and the Contemporary Arts Council of The Museum of Modern Art,269.2013.a-d.x1-x3,Photograph,Photography,2013-02-13,Y,165148,http://www.moma.org/collection/works/165148,http://www.moma.org/media/W1siZiIsIjQ5MDIzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eacb393887e8ec4a,,0.0,,88.0,,,88.0,,
"Aquariums for Sale on a Rainy Day, Tangier 2001 (for Parkett no. 91)",Yto Barrada,42323,"(Moroccan and French, born 1971)",(Moroccan),(1971),(0),(Female),2012,Two chromogenic color prints,"composition (each): 7 7/8 x 7 7/8"" (20 x 20 cm); sheet (each): 11 13/16 x 11 13/16"" (30 x 30 cm)",Committee on Prints and Illustrated Books Fund,556.2013.a-b,Print,Drawings & Prints,2013-05-21,Y,169037,http://www.moma.org/collection/works/169037,http://www.moma.org/media/W1siZiIsIjI3NTA1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=831fa605057719c3,,,,20.0,,,20.0,,
Parkett no. 91,"Various Artists, Yto Barrada, Ernst Caramelle, Nicole Eisenman, Nick Relph, Monika Sosnowska, Liu Xiaodong","24409, 42323, 18844, 19572, 28964, 31292, 43501","(Moroccan and French, born 1971) (Austrian, born 1952) (American, born France. 1965) (British, born 1979) (Polish, born 1972) (Chinese, born 1963)",() (Moroccan) (Austrian) (American) (British) (Polish) (Chinese),(0) (1971) (1952) (1965) (1979) (1972) (1963),(0) (0) (0) (0) (0) (0) (0),() (Female) (Male) (Female) (Male) (Female) (Male),2012,Journal,"page (each): 10 x 8 1/4"" (25.4 x 21 cm); overall (closed): 10 x 8 3/8 x 13/16"" (25.4 x 21.2 x 2 cm)",Gift of Parkett,624.2013.x1-x2,Periodical,Drawings & Prints,2013-05-21,Y,170612,http://www.moma.org/collection/works/170612,http://www.moma.org/media/W1siZiIsIjI3NjUzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bbc6ce48a809b6d0,,,,25.4,,,21.0,,
The Mapping Journey Project,Bouchra Khalili,47100,"(French-Moroccan, born 1975)",(Moroccan),(1975),(0),(Female),2008-2011,"Eight-channel video (color, sound)",Duration variable,Fund for the Twenty-First Century,1114.2014.a-h,Installation,Media and Performance,2014-12-18,Y,188576,http://www.moma.org/collection/works/188576,http://www.moma.org/media/W1siZiIsIjM4NDE0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=723e0d37c59e189f,,,,,,,,,
Speeches – Chapter 3: Living Labour,Bouchra Khalili,47100,"(French-Moroccan, born 1975)",(Moroccan),(1975),(0),(Female),2013,"Video (color, sound)",25 min.,Gift of the artist,391.2018,Video,Media and Performance,2018-05-24,Y,284000,http://www.moma.org/collection/works/284000,http://www.moma.org/media/W1siZiIsIjQ0MzY1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c2481b9ba2b39b33,,,,,,,,,
Baigneurs ou jour de congés (Bathers or Day Off),Yto Barrada,42323,"(Moroccan and French, born 1971)",(Moroccan),(1971),(0),(Female),1999,Chromogenic print,"49 3/16 × 49 3/16"" (124.9 × 124.9 cm)","Vital Projects Fund, Robert B. Menschel",916.2018,Photograph,Photography,2018-10-24,Y,291305,http://www.moma.org/collection/works/291305,http://www.moma.org/media/W1siZiIsIjQ5MzUwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e8180c1a65f67cf1,,,,124.936499873,,,124.936499873,,
