Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"A Dutch House, Holten, The Netherlands","Rem Koolhaas, Gro Bonesmo, Jeroen Thomas","6956, 22836, 8175","(Dutch, born 1944) (Norwegian, born 1963) (Dutch, born 1952)",(Dutch) (Norwegian) (Dutch),(1944) (1963) (1952),(0) (0) (0),(Male) (Female) (Male),1993,"Plywood, plastic, paper, sand, wood, metal, and paint","15 1/8 x 36 1/2 x 59"" (38.4 x 92.7 x 149.9 cm)",Given anonymously,102.1996,Architecture,Architecture & Design,1996-04-09,Y,975,http://www.moma.org/collection/works/975,http://www.moma.org/media/W1siZiIsIjIyNzkyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3b2df41e608de163,,149.8603,,38.4176,,,92.7102,,
Amnesty International,Christian Leborg,7047,"(Norwegian, born 1966)",(Norwegian),(1966),(0),(Male),1989,Offset lithograph,"25 x 17 3/16"" (63.4 x 43.8 cm)",Gift of the designer,450.1992.1,Design,Architecture & Design,1992-10-21,Y,7040,http://www.moma.org/collection/works/7040,http://www.moma.org/media/W1siZiIsIjUyNzY5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=719c4c53c328d677,,,,63.4,,,43.8,,
Amnesty International,Christian Leborg,7047,"(Norwegian, born 1966)",(Norwegian),(1966),(0),(Male),1989,Offset lithograph,"25 x 17 3/16"" (63.4 x 43.8 cm)",Gift of the designer,450.1992.2,Design,Architecture & Design,1992-10-21,Y,7042,http://www.moma.org/collection/works/7042,http://www.moma.org/media/W1siZiIsIjUyNzY5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=93b4f9581db6962b,,,,63.4,,,43.8,,
Amnesty International,Christian Leborg,7047,"(Norwegian, born 1966)",(Norwegian),(1966),(0),(Male),1989,Offset lithograph,"25 x 17 3/16"" (63.4 x 43.8 cm)",Gift of the designer,450.1992.3,Design,Architecture & Design,1992-10-21,Y,7043,http://www.moma.org/collection/works/7043,,,,,63.4,,,43.8,,
Amnesty International,Christian Leborg,7047,"(Norwegian, born 1966)",(Norwegian),(1966),(0),(Male),1989,Offset lithograph,"25 x 17 3/16"" (63.4 x 43.8 cm)",Gift of the designer,450.1992.4,Design,Architecture & Design,1992-10-21,Y,7044,http://www.moma.org/collection/works/7044,,,,,63.4,,,43.8,,
Rain,Per Krohg,3259,"(Norwegian, 1889–1965)",(Norwegian),(1889),(1965),(Male),(Before 1933),Gouache on paper,"11 1/4 x 15 1/2"" (28.6 x 39.4 cm)",Given anonymously,99.1935,Drawing,Drawings & Prints,1935-06-14,Y,33905,http://www.moma.org/collection/works/33905,,,,,28.6,,,39.4,,
Untitled,Jan Groth,2375,"(Norwegian, born 1938)",(Norwegian),(1938),(0),(Male),1972,Crayon on paper,"24 5/8 x 34 5/8"" (62.5 x 88.0 cm)",Gift of Steingrim Laursen,104.1974,Drawing,Drawings & Prints,1974-02-12,Y,33966,http://www.moma.org/collection/works/33966,,,,,62.5,,,87.9,,
Untitled,Jan Groth,2375,"(Norwegian, born 1938)",(Norwegian),(1938),(0),(Male),1973,Crayon on paper,"24 5/8 x 34 5/8"" (62.5 x 88.0 cm)",Gift of Steingrim Laursen,105.1974,Drawing,Drawings & Prints,1974-02-12,Y,33979,http://www.moma.org/collection/works/33979,,,,,62.5,,,87.9,,
Untitled,Jan Groth,2375,"(Norwegian, born 1938)",(Norwegian),(1938),(0),(Male),1970,Crayon on paper,"24 5/8 x 34 5/8"" (62.4 x 87.9 cm)",Gift of Steingrim Laursen,275.1972,Drawing,Drawings & Prints,1972-10-05,Y,35882,http://www.moma.org/collection/works/35882,http://www.moma.org/media/W1siZiIsIjEwMTU4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fcba851e17207ea7,,,,62.5,,,87.9,,
Untitled,Jan Groth,2375,"(Norwegian, born 1938)",(Norwegian),(1938),(0),(Male),1971,Crayon on paper,"24 5/8 x 34 5/8"" (62.3 x 87.9 cm)",Gift of Steingrim Laursen,276.1972,Drawing,Drawings & Prints,1972-10-05,Y,35893,http://www.moma.org/collection/works/35893,,,,,62.5,,,87.9,,
