Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Anchor,Shahzia Sikander,8197,"(Pakistani, born 1969)",(Pakistani),(1969),(0),(Female),1999,Screenprint,"irreg. composition  24 5/8 x 32 11/16"" (62.5 x 83 cm)
sheet  27 15/16 x 35"" (71 x 88.9 cm)",Lee and Ann Fensterstock Fund,173.2000,Print,Drawings & Prints,2000-03-02,Y,63590,http://www.moma.org/collection/works/63590,http://www.moma.org/media/W1siZiIsIjkwMDg3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=353471d166a2bb54,,,,62.5,,,83.0,,
Afloat,Shahzia Sikander,8197,"(Pakistani, born 1969)",(Pakistani),(1969),(0),(Female),2001,Screenprint,"composition and sheet: 34 3/4 x 23 13/16"" (88.3 x 60.5 cm)",Virginia Cowles Schroth Fund,2542.2001,Print,Drawings & Prints,2001-11-13,Y,82681,http://www.moma.org/collection/works/82681,http://www.moma.org/media/W1siZiIsIjcyODY5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=151b700194cb80fb,,,,88.3,,,60.5,,
No Parking Anytime,Shahzia Sikander,8197,"(Pakistani, born 1969)",(Pakistani),(1969),(0),(Female),2001,"Portfolio of nine photogravures, one with etching, two with aquatint, one with etching and aquatint, four with etching and chine collé, and one with etching, aquatint and chine collé.","composition (each approx.): 10 1/8 x 7 1/2"" (25.7 x 19 cm); sheet (each): 18 3/16 x 14 9/16"" (46.2 x 37 cm)",Johanna and Leslie J. Garfield Fund,367.2002.1-9,Print,Drawings & Prints,2002-11-20,Y,86865,http://www.moma.org/collection/works/86865,http://www.moma.org/media/W1siZiIsIjE5MjQyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5bbb8d098e4b5c3b,,,,25.7,,,19.0,,
Maligned Monsters III,Shahzia Sikander,8197,"(Pakistani, born 1969)",(Pakistani),(1969),(0),(Female),2002,Pencil on paper,"14 x 11"" (35.6 x 27.9 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3103.2005,Drawing,Drawings & Prints,2005-05-10,Y,97404,http://www.moma.org/collection/works/97404,http://www.moma.org/media/W1siZiIsIjE1MTk1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8a73c116cd71e370,,,,35.5600711201,,,27.9400558801,,
Untitled,Shahzia Sikander,8197,"(Pakistani, born 1969)",(Pakistani),(1969),(0),(Female),2002,"Ink, colored ink, gouache, and pencil on prepared paper","59 3/4 x 40 1/4"" (151.8 x 102.2 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3104.2005,Drawing,Drawings & Prints,2005-05-10,Y,97405,http://www.moma.org/collection/works/97405,http://www.moma.org/media/W1siZiIsIjEzOTI5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3559e6284c561868,,,,151.7653035306,,,102.2352044704,,
Candied,Shahzia Sikander,8197,"(Pakistani, born 1969)",(Pakistani),(1969),(0),(Female),(2003),"Ink, colored ink, and gouache on twenty pieces of prepared paper

a. Ink, colored ink, and gouache on prepared paper
b. Ink and colored ink on prepared paper
c. Ink, colored ink, and gouache on prepared paper
d. Ink, colored ink, and gouache on prepared paper
e. Ink and colored ink on prepared paper
f. Colored ink on prepared paper
g. Ink, colored ink, and gouache on prepared paper
h. Ink, colored ink, and gouache on prepared paper
I. Colored ink on prepared paper
j. Colored ink on prepared paper
k. Ink and colored ink on prepared paper
l. Ink and colored ink on prepared paper
m. Colored ink on prepared paper
n. Colored ink and gouache on prepared paper
o. Ink, colored ink, and gouache on prepared paper
p. Colored ink on prepared paper
q. Ink, colored ink, and gouache on prepared paper
r. Colored ink and gouache on prepared paper
s. Colored ink on prepared paper
t. Ink and colored ink on prepared paper

","Each: 15 x 11"" (38.1 x 27.9 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3105.2005.a-t,Drawing,Drawings & Prints,2005-05-10,Y,97406,http://www.moma.org/collection/works/97406,http://www.moma.org/media/W1siZiIsIjExMzY4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=50e2816dcc44ff80,,0.0,,38.1001,,,27.9401,,
Amorial Bearings from No Parking Anytime,Shahzia Sikander,8197,"(Pakistani, born 1969)",(Pakistani),(1969),(0),(Female),2001,"Photogravure with etching and chine collé from a portfolio of nine photogravures, one with etching, two with aquatint, one with etching and aquatint, four with etching and chine collé, and one with etching, aquatint and chine collé.","plate: 10 1/16 x 7 5/8"" (25.6 x 19.4 cm); sheet: 18 3/16 x 14 9/16"" (46.2 x 37 cm)",Johanna and Leslie J. Garfield Fund,367.2002.1,Print,Drawings & Prints,2002-11-20,Y,98791,http://www.moma.org/collection/works/98791,http://www.moma.org/media/W1siZiIsIjExMDIyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bc78056d5b868c53,,,,25.6,,,19.4,,
Entangled from No Parking Anytime,Shahzia Sikander,8197,"(Pakistani, born 1969)",(Pakistani),(1969),(0),(Female),2001,"Photogravure with etching and chine collé from a portfolio of nine photogravures, one with etching, two with aquatint, one with etching and aquatint, four with etching and chine collé, and one with etching, aquatint and chine collé","plate (small plate): 6 1/8 x 4 3/4"" (15.5 x 12 cm); plate (big plate): 10 1/4 x 7 5/8"" (26 x 19.3 cm);
sheet: 18 1/4 x 14 5/8"" (46.3 x 37.2 cm)",Johanna and Leslie J. Garfield Fund,367.2002.2,Print,Drawings & Prints,2002-11-20,Y,98792,http://www.moma.org/collection/works/98792,http://www.moma.org/media/W1siZiIsIjE5MjQyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2443f9aba3170b9f,,,,15.5,,,12.0,,
Heist from No Parking Anytime,Shahzia Sikander,8197,"(Pakistani, born 1969)",(Pakistani),(1969),(0),(Female),2001,"Photogravure with etching and chine collé from a portfolio of nine photogravures, one with etching, two with aquatint, one with etching and aquatint, four with etching and chine collé, and one with etching, aquatint and chine collé","plate (upper): 3 1/4 x 7 7/16"" (8.2 x 18.9 cm); plate (lower): 6 5/16 x 7 7/16"" (16 x 18.9 cm); composition: 10 1/16 x 7 7/16"" (25.6 x 18.9 cm); sheet: 18 3/16 x 14 9/16"" (46.2 x 37 cm)",Johanna and Leslie J. Garfield Fund,367.2002.3,Print,Drawings & Prints,2002-11-20,Y,98793,http://www.moma.org/collection/works/98793,http://www.moma.org/media/W1siZiIsIjE5MjQyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=341da084c5e13736,,,,8.2,,,18.9,,
Metro from No Parking Anytime,Shahzia Sikander,8197,"(Pakistani, born 1969)",(Pakistani),(1969),(0),(Female),2001,"Photogravure with etching and chine collé from a portfolio of nine photogravures, one with etching, two with aquatint, one with etching and aquatint, four with etching and chine collé, and one with etching, aquatint and chine collé","plate: 10 1/16 x 7 1/2"" (25.6 x 19 cm); sheet: 18 3/16 x 14 9/16"" (46.2 x 37 cm)",Johanna and Leslie J. Garfield Fund,367.2002.4,Print,Drawings & Prints,2002-11-20,Y,98794,http://www.moma.org/collection/works/98794,http://www.moma.org/media/W1siZiIsIjE5MjQyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=023c20720a555c51,,,,25.6,,,19.0,,
