Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Head of a Girl, Full Face (Mädchenkopf, en face)",Jussuf Abbo,40,"(Palestinian, 1888–1953)",(Palestinian),(1888),(1953),(Male),unknown,Lithograph with watercolor additions,"composition: 16 1/2 x 13 3/4"" (41.9 x 34.9 cm); sheet: 23 13/16 x 19 11/16"" (60.5 x 50 cm)",Gift of Abby Aldrich Rockefeller,254.1940,Print,Drawings & Prints,1940-04-05,Y,65317,http://www.moma.org/collection/works/65317,http://www.moma.org/media/W1siZiIsIjE4MDkyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5e552c793682a701,,,,41.9,,,34.9,,
Head and Shoulders of a Girl (Kopf und Schulter eines Mädchens),Jussuf Abbo,40,"(Palestinian, 1888–1953)",(Palestinian),(1888),(1953),(Male),unknown,Lithograph,"composition: 14 1/2 x 10 5/16"" (36.9 x 26.2 cm); sheet: 23 1/4 x 18 1/4"" (59 x 46.3 cm)",Gift of Abby Aldrich Rockefeller,255.1940,Print,Drawings & Prints,1940-04-05,Y,65333,http://www.moma.org/collection/works/65333,http://www.moma.org/media/W1siZiIsIjE4MDgzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=511d45625123404a,,,,36.9,,,26.2,,
A Magical Substance Flows Into Me,Jumana Manna,49222,"(Palestinian, born 1987)",(Palestinian),(1987),(0),(Female),2015,"Video (color, sound)",67 min.,Fund for the Twenty-First Century,258.2016,Video,Media and Performance,2016-05-02,Y,200265,http://www.moma.org/collection/works/200265,http://www.moma.org/media/W1siZiIsIjQyMTQ3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3d25fc02415ec2cd,,,,,,,,,4020.0
"The Part About the Bandits, Part 1 of the Incidental Insurgents","Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,"Chapter 1 Installation: documents, images, personal items, desks, chairs, table, stools, office cabinet, storage boxes, speakers, two record players, vinyls, sound of vinyl crackle, desktop computer with  video (color, sound; 35:51 min.) 
Chapter 2: Single channel HD video & 2 channel sound + sub woofer 6'",Dimensions variable,Fund for the Twenty-First Century,505.2017.1-2,Installation,Media and Performance,2017-05-24,Y,202989,http://www.moma.org/collection/works/202989,http://www.moma.org/media/W1siZiIsIjQzMTA4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3f98df6acc7b480c,,,,,,,,,2151.0
"The Part About the Bandits, Part 1 of the Incidental Insurgents","Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,"Chapter 1 Installation: documents, images, personal items, desks, chairs, table, stools, office cabinet, storage boxes, speakers, two record players, vinyls, sound of vinyl crackle, desktop computer with  video (color, sound; 35:51 min.) 
Chapter 2: Single channel HD video & 2 channel sound + sub woofer 6'",Dimensions variable,Fund for the Twenty-First Century,505.2017.1-2,Installation,Media and Performance,2017-05-24,Y,202989,http://www.moma.org/collection/works/202989,http://www.moma.org/media/W1siZiIsIjQzMTA4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3f98df6acc7b480c,,,,,,,,,2151.0
Unforgiving Years - Part 2 of The Incidental Insurgents,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,"Chapter 3 Installation: documents, images, personal items, desks, chairs, table, lightboxes, drawings on tracing paper, wooden tower, wooden cages, miniature furniture, laptop computer with 4'10"" minute video

Chapter 4: Single channel HD video and 2 channel sound + sub woofer 6'20""",,Fund for the Twenty-First Century,506.2017.1-2,Installation,Media and Performance,2017-05-24,Y,202990,http://www.moma.org/collection/works/202990,,,,,,,,,,
Unforgiving Years - Part 2 of The Incidental Insurgents,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,"Chapter 3 Installation: documents, images, personal items, desks, chairs, table, lightboxes, drawings on tracing paper, wooden tower, wooden cages, miniature furniture, laptop computer with 4'10"" minute video

Chapter 4: Single channel HD video and 2 channel sound + sub woofer 6'20""",,Fund for the Twenty-First Century,506.2017.1-2,Installation,Media and Performance,2017-05-24,Y,202990,http://www.moma.org/collection/works/202990,,,,,,,,,,
The Part About the Bandits - Chapter 1,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,"Digital prints, documents, ephemera, furniture, vinyl LPs, sound and video (color, sound; 35:51 min.)
","Dimensions variable
",Fund for the Twenty-First Century,505.2017.1,Installation,Media and Performance,2017-05-24,Y,222535,http://www.moma.org/collection/works/222535,,,,,,,,,,2151.0
The Part About the Bandits - Chapter 1,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,"Digital prints, documents, ephemera, furniture, vinyl LPs, sound and video (color, sound; 35:51 min.)
","Dimensions variable
",Fund for the Twenty-First Century,505.2017.1,Installation,Media and Performance,2017-05-24,Y,222535,http://www.moma.org/collection/works/222535,,,,,,,,,,2151.0
The Part About the Bandits - Chapter 2,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,"Video (color, sound)",35:51 min.,Fund for the Twenty-First Century,505.2017.2,Installation,Media and Performance,2017-05-24,Y,222536,http://www.moma.org/collection/works/222536,,,,,,,,,,2151.0
The Part About the Bandits - Chapter 2,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,"Video (color, sound)",35:51 min.,Fund for the Twenty-First Century,505.2017.2,Installation,Media and Performance,2017-05-24,Y,222536,http://www.moma.org/collection/works/222536,,,,,,,,,,2151.0
Unforgiving Years - Chapter 3,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,"Digital prints, documents, drawings, ephemera, furniture, video (color, sound; 4:10 min)",Dimensions variable,Fund for the Twenty-First Century,506.2017.1,Installation,Media and Performance,2017-05-24,Y,222537,http://www.moma.org/collection/works/222537,,,,,,,,,,250.0
Unforgiving Years - Chapter 3,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,"Digital prints, documents, drawings, ephemera, furniture, video (color, sound; 4:10 min)",Dimensions variable,Fund for the Twenty-First Century,506.2017.1,Installation,Media and Performance,2017-05-24,Y,222537,http://www.moma.org/collection/works/222537,,,,,,,,,,250.0
Unforgiving Years - Chapter 4,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,"Single-channel video (color, sound)",6:20 min.,Fund for the Twenty-First Century,506.2017.2,Installation,Media and Performance,2017-05-24,Y,222538,http://www.moma.org/collection/works/222538,,,,,,,,,,
Unforgiving Years - Chapter 4,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,"Single-channel video (color, sound)",6:20 min.,Fund for the Twenty-First Century,506.2017.2,Installation,Media and Performance,2017-05-24,Y,222538,http://www.moma.org/collection/works/222538,,,,,,,,,,
The Part About the Bandits - Chapter 2; Unforgiving Years - Chapter 4,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,,Dimensions variable,Fund for the Twenty-First Century,833.2017,Installation,Media and Performance,2017-05-24,Y,431066,http://www.moma.org/collection/works/431066,,,,,,,,,,2151.0
The Part About the Bandits - Chapter 2; Unforgiving Years - Chapter 4,"Basel Abbas, Ruanne Abou-Rahme","49569, 49570","(Palestinian, born 1983) (Palestinian/American, born 1983)",(Palestinian) (Palestinian),(1983) (1983),(0) (0),(Male) (Female),2012-2015,,Dimensions variable,Fund for the Twenty-First Century,833.2017,Installation,Media and Performance,2017-05-24,Y,431066,http://www.moma.org/collection/works/431066,,,,,,,,,,2151.0
