Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Threshing ( La Trilla ),Camilo Blas (José Alfonso Sánchez Urteaga),593,"(Peruvian, 1903–1985)",(Peruvian),(1903),(1985),(Male),1928,Oil on board,"14 5/8 x 20 3/4"" (37.1 x 52.7 cm)",Inter-American Fund,649.1942,Drawing,Drawings & Prints,1942-12-29,Y,37703,http://www.moma.org/collection/works/37703,http://www.moma.org/media/W1siZiIsIjI0MTA4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b79c4f6c33ce3301,,,,37.1,,,52.7,,
Cargadores,José Milner Cajahuaringa,917,"(Peruvian, born 1932)",(Peruvian),(1932),(0),(Male),1963,Ink on paper,"22 x 30 5/8"" (55.7 x 77.8 cm)",Purchase,1577.1968,Drawing,Drawings & Prints,1968-12-11,Y,38690,http://www.moma.org/collection/works/38690,,,,,55.7,,,77.8,,
Study of a Dog,Christina Galvez,2062,"(Peruvian, 1918–1982)",(Peruvian),(1918),(1982),(Female),(1968),Ink on gray paper,"25 1/4 x 19 1/8"" (63.9 x 48.4 cm)",Purchase,1582.1968,Drawing,Drawings & Prints,1968-12-11,Y,38695,http://www.moma.org/collection/works/38695,,,,,63.9,,,48.4,,
WHO? VII,Rafael Hastings,2533,"(Peruvian, born 1945)",(Peruvian),(1945),(0),(Male),(1968),"Gouache, pencil, and felt-tip pen on paper","29 1/2 x 21 5/8"" (74.8 x 54.8 cm)",Latin-American Fund,1583.1968,Drawing,Drawings & Prints,1968-12-11,Y,38696,http://www.moma.org/collection/works/38696,http://www.moma.org/media/W1siZiIsIjMxNDUyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=55775471e3c94484,,,,74.8,,,54.8,,
"Clerk in the Morococha Municipality, Peru",Sebastian Rodriguez,4984,"(Peruvian, 1896–1968)",(Peruvian),(1896),(1968),(Male),c. 1930-50,"Gelatin silver print, printed 1986","13 1/8 × 9 7/16"" (33.2 × 24 cm)",Acquired through the generosity of Pierre N. Leval,56.1987,Photograph,Photography,1987-02-19,Y,45129,http://www.moma.org/collection/works/45129,http://www.moma.org/media/W1siZiIsIjIwNzY1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=83fe4d3f473a7369,,,,33.2,,,24.0,,
"Self Portrait with Family and Hydroplane on the Morococha Lagoon, Peru",Sebastian Rodriguez,4984,"(Peruvian, 1896–1968)",(Peruvian),(1896),(1968),(Male),c. 1930-50,"Gelatin silver print, printed 1986","9 5/8 × 13"" (24.5 × 33 cm)",Acquired through the generosity of Pierre N. Leval,57.1987,Photograph,Photography,1987-02-19,Y,45158,http://www.moma.org/collection/works/45158,http://www.moma.org/media/W1siZiIsIjIwNzY1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=45d17042bc23a131,,,,24.5,,,33.0,,
"Franciscan Monks, with Mr. Blysdale, San Francisco Monastery, Cuzco",Martín Chambi,1063,"(Peruvian, 1891–1973)",(Peruvian),(1891),(1973),(Male),1931,"Gelatin silver print, printed 1978","12 3/8 × 16 5/8"" (31.4 × 42.3 cm)",Acquired through the generosity of the Vera Louise Fraser Estate,189.1979,Photograph,Photography,1979-05-10,Y,48066,http://www.moma.org/collection/works/48066,http://www.moma.org/media/W1siZiIsIjE4MjA1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0fe0de87c3b826b2,,,,31.4,,,42.3,,
"Gadea Wedding, Cuzco",Martín Chambi,1063,"(Peruvian, 1891–1973)",(Peruvian),(1891),(1973),(Male),1930,"Gelatin silver print, printed 1978","9 7/16 × 12 7/8"" (24 × 32.7 cm)",Acquired through the generosity of The Vera Louise Fraser Estate,190.1979,Photograph,Photography,1979-05-10,Y,48086,http://www.moma.org/collection/works/48086,http://www.moma.org/media/W1siZiIsIjE4MjA1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ff9777837242bd7e,,,,24.0,,,32.7,,
"Campesinos Testifying, Palace of Justice, Cuzco",Martín Chambi,1063,"(Peruvian, 1891–1973)",(Peruvian),(1891),(1973),(Male),c. 1931,"Gelatin silver print, printed 1978","10 3/8 × 13 3/4"" (26.4 × 35 cm)
",John Parkinson III Fund,191.1979,Photograph,Photography,1979-05-10,Y,48107,http://www.moma.org/collection/works/48107,http://www.moma.org/media/W1siZiIsIjE4MjA1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2a355c4217116d44,,,,26.4,,,35.0,,
"Juan de la Cruz Sihuana, Cuzco Studio",Martín Chambi,1063,"(Peruvian, 1891–1973)",(Peruvian),(1891),(1973),(Male),1925,"Gelatin silver print, printed 1978","16 5/8 × 12 13/16"" (42.3 × 32.5 cm)",Gift of the Chambi Family and Edward Ranney,281.1982,Photograph,Photography,1982-10-28,Y,49928,http://www.moma.org/collection/works/49928,http://www.moma.org/media/W1siZiIsIjE4MjEyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=71923a109ea29ee8,,,,42.3,,,32.5,,
"Hacienda Owner and Workers, Chumbivilcas Region",Martín Chambi,1063,"(Peruvian, 1891–1973)",(Peruvian),(1891),(1973),(Male),c. 1945,"Gelatin silver print, printed 1978","12 1/2 × 16 13/16""  (31.7 × 42.7 cm)",Gift of the Chambi Family and Edward Ranney,282.1982,Photograph,Photography,1982-10-28,Y,49940,http://www.moma.org/collection/works/49940,http://www.moma.org/media/W1siZiIsIjE4MjEyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=48c2c4431d027b2f,,,,31.7,,,42.7,,
"Angel Vargas Family, Cuzco",Martín Chambi,1063,"(Peruvian, 1891–1973)",(Peruvian),(1891),(1973),(Male),1928,"Gelatin silver print, printed 1978","9 9/16 × 12 1/2""  (24.3 × 31.7 cm)",Gift of the Chambi Family and Edward Ranney,283.1982,Photograph,Photography,1982-10-28,Y,49951,http://www.moma.org/collection/works/49951,http://www.moma.org/media/W1siZiIsIjE4MjEyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c4b726f1ea1b7139,,,,24.3,,,31.7,,
"Chicha and Sapo, Cuzco. (Chicha y Sapo, Cuzsco)",Martín Chambi,1063,"(Peruvian, 1891–1973)",(Peruvian),(1891),(1973),(Male),c. 1925,"Gelatin silver print, printed 1991","12 3/16 × 18 3/4"" (30.9 × 47.6 cm)",The Family of Man Fund,325.1992,Photograph,Photography,1992-06-18,Y,50849,http://www.moma.org/collection/works/50849,http://www.moma.org/media/W1siZiIsIjE4MjEzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cd5d911620b10b22,,,,30.9,,,47.6,,
Pay Day,José Gabriel Gonzáles,7695,"(Peruvian, 1900–1978)",(Peruvian),(1900),(1978),(Male),c. 1920,"Gelatin silver print, printed 1992","12 13/16 × 17 13/16"" (32.5 × 45.2 cm)",The Family of Man Fund,335.1992,Photograph,Photography,1992-06-18,Y,51082,http://www.moma.org/collection/works/51082,http://www.moma.org/media/W1siZiIsIjIzOTU0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6952d4944e97da1e,,,,32.5,,,45.2,,
"Courtyard, Arles, France",Philipp Scholz Rittermann,5261,"(Peruvian, born 1955)",(Peruvian),(1955),(0),(Male),July 1981,Gelatin silver print,"7 15/16 × 10"" (20.1 × 25.4 cm)",The Family of Man Fund,372.1981,Photograph,Photography,1981-10-15,Y,52005,http://www.moma.org/collection/works/52005,http://www.moma.org/media/W1siZiIsIjIxMzYyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2b0484dd29b89353,,,,20.1,,,25.4,,
Homage to Vallejo (Homenaje a Vallejo),Fernando Szyszlo,5766,"(Peruvian, born 1925)",(Peruvian),(1925),(0),(Male),1950,"1 lithograph, printed in color, 7 lithographs, printed in black","Sheet 19 3/4 x 16 1/2"" (50.1 x 42.0 cm)",Inter-American Fund,311.1952.1-8,Print,Drawings & Prints,1952-11-07,N,66665,,,,,,50.1,,,42.0,,
Vindivil,Julio Camino Sanchez,933,"(Peruvian, 1919–2007)",(Peruvian),(1919),(2007),(Male),1967,Woodcut,"composition: 23 3/8 x 10 3/8"" (59.4 x 26.4cm); sheet: 27 1/8 x 14 1/4"" (68.9 x 36.2cm)",Inter-American Fund,425.1969,Print,Drawings & Prints,1969-05-22,Y,68906,http://www.moma.org/collection/works/68906,http://www.moma.org/media/W1siZiIsIjIxNDIzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a19de57a3c79526b,,,,59.4,,,26.4,,
Untitled,Espinoza Duenas,1639,"(Peruvian, born 1926)",(Peruvian),(1926),(0),(Male),c. 1969,Lithograph,"composition: 24 1/4 x 15 3/8"" (61.6 x 39.1 cm); sheet: 24 1/2 x 15 11/16"" (62.2 x 39.8 cm)",Inter-American Fund,429.1969,Print,Drawings & Prints,1969-05-22,Y,68982,http://www.moma.org/collection/works/68982,http://www.moma.org/media/W1siZiIsIjIyMDQwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=654aba4c4e680b3b,,,,61.6,,,39.1,,
Reflections VI,Eduardo Moll,4052,"(Peruvian, born Germany 1929)",(Peruvian),(1929),(0),(Male),1967,Drypoint,"Plate 11 7/8 x 9 5/16"" (30.2 x 23.6 cm) Sheet  16 5/8 x 13 5/16"" (42.2 x 33.8 cm)",Inter-American Fund,436.1969,Print,Drawings & Prints,1969-05-22,N,69105,,,,,,30.2,,,23.6,,
Chavin II,José Carlos Ramos Galvez,4807,"(Peruvian, born 1948)",(Peruvian),(1948),(0),(Male),1967,Collograph,"composition  27 5/8 x 24 5/16"" (70.2 x 61.7 cm)
sheet  39 3/8 x 27 9/16"" (100 x 70 cm)",Inter-American Fund,478.1969,Print,Drawings & Prints,1969-05-22,N,69780,,,,,,70.2,,,61.7,,
The Scribe Huanta,José Sabogal,5106,"(Peruvian, 1888–1956)",(Peruvian),(1888),(1956),(Male),1930,Woodcut,"Comp(irreg): 7 1/2 x 5 11/16"" (19.1 x 14.5  cm) Sheet: 8 1/4 x 6 3/16"" (21.0 x 15.7 cm)",Inter-American Fund,480.1969,Print,Drawings & Prints,1969-05-22,N,69804,,,,,,19.1,,,14.5,,
Antiquarian - Cuzco (Anticuario - Cuzco),José Sabogal,5106,"(Peruvian, 1888–1956)",(Peruvian),(1888),(1956),(Male),(1949),Woodcut,"Sheet 11 5/16 x 9 3/8"" (28.8 x 23.8 cm) Comp.  10 3/4 x 8 7/8"" (27.3 x 22.6 cm)",Inter-American Fund,481.1969,Print,Drawings & Prints,1969-05-22,N,69846,,,,,,27.3,,,22.6,,
The Cemetery,Jacinto H. Rivero Castilla,4944,(Peruvian),(Peruvian),(0),(0),(Male),(1966),Woodcut,,Inter-American Fund,1383.1968,Print,Drawings & Prints,1968-10-10,N,76628,,,,,,,,,,,
The Way of the Cross (Via Crucis),Jacinto H. Rivero Castilla,4944,(Peruvian),(Peruvian),(0),(0),(Male),(1966),Woodcut,,Inter-American Fund,1384.1968,Print,Drawings & Prints,1968-10-10,N,76631,,,,,,,,,,,
White Quipus,Jorge Eielson,1698,"(Peruvian, 1924–2006)",(Peruvian),(1924),(2006),(Male),1964,Cloth and tempera on canvas,"37 1/2 x 59 1/8"" (95 x 150.2 cm)",Inter-American Fund,108.1965,Painting,Painting & Sculpture,1965-03-09,Y,78814,http://www.moma.org/collection/works/78814,http://www.moma.org/media/W1siZiIsIjIwODIxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=699a88d2fdc576ab,,,,95.2,,,150.2,,
Birth of a Personage,Emilio Rodríguez Larraín,4981,"(Peruvian, 1928–2015)",(Peruvian),(1928),(2015),(Male),1965,Oil and tempera on board,"6' 6 3/4"" x 56"" (200 x 142 cm)",Given anonymously,201.1966,Painting,Painting & Sculpture,1966-04-12,Y,79125,http://www.moma.org/collection/works/79125,http://www.moma.org/media/W1siZiIsIjM0MTcyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f9b9b0e62d11a3b5,,,,200.0,,,142.0,,
Burial of a Veteran,Mario Urteaga,6042,"(Peruvian, 1875–1957)",(Peruvian),(1875),(1957),(Male),1936,Oil on canvas,"23 x 32 1/2"" (58.4 x 82.5 cm)",Inter-American Fund,806.1942,Painting,Painting & Sculpture,1942-12-29,Y,80374,http://www.moma.org/collection/works/80374,http://www.moma.org/media/W1siZiIsIjQ0MjUyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1cb92867ba8c0a2b,,,,58.4,,,82.5,,
South of the Border,Fernando Bryce,26155,"(Peruvian, born 1965)",(Peruvian),(1965),(0),(Male),2002,Ink on paper,".a-.h = 16 1/2 x 11 3/4""; .i-.bb = 11 5/8 x 8 1/4""; .cc = 16 5/8 x 11 5/8""",Purchase,141.2003.a-cc,Drawing,Drawings & Prints,2003-05-13,Y,88176,http://www.moma.org/collection/works/88176,http://www.moma.org/media/W1siZiIsIjk3MDk2Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=e20c5056de144ab0,,,,0.0,,,0.0,,
from HOMENAJE A VALLEJO,Fernando Szyszlo,5766,"(Peruvian, born 1925)",(Peruvian),(1925),(0),(Male),1950,,"Sheet 19 3/4 x 16 1/2"" (50.1 x 42.0 cm)",Inter-American Fund,311.1952.1,Print,Drawings & Prints,1952-11-07,N,93148,,,,,,50.1,,,42.0,,
from HOMENAJE A VALLEJO,Fernando Szyszlo,5766,"(Peruvian, born 1925)",(Peruvian),(1925),(0),(Male),1950,,"Sheet 19 3/4 x 16 1/2"" (50.1 x 42.0 cm)",Inter-American Fund,311.1952.2,Print,Drawings & Prints,1952-11-07,N,93149,,,,,,50.1,,,42.0,,
from HOMENAJE A VALLEJO,Fernando Szyszlo,5766,"(Peruvian, born 1925)",(Peruvian),(1925),(0),(Male),1950,,"Sheet 19 3/4 x 16 1/2"" (50.1 x 42.0 cm)",Inter-American Fund,311.1952.3,Print,Drawings & Prints,1952-11-07,N,93150,,,,,,50.1,,,42.0,,
from HOMENAJE A VALLEJO,Fernando Szyszlo,5766,"(Peruvian, born 1925)",(Peruvian),(1925),(0),(Male),1950,,"Sheet 19 3/4 x 16 1/2"" (50.1 x 42.0 cm)",Inter-American Fund,311.1952.4,Print,Drawings & Prints,1952-11-07,N,93151,,,,,,50.1,,,42.0,,
from HOMENAJE A VALLEJO,Fernando Szyszlo,5766,"(Peruvian, born 1925)",(Peruvian),(1925),(0),(Male),1950,,"Sheet 19 3/4 x 16 1/2"" (50.1 x 42.0 cm)",Inter-American Fund,311.1952.5,Print,Drawings & Prints,1952-11-07,N,93152,,,,,,50.1,,,42.0,,
from HOMENAJE A VALLEJO,Fernando Szyszlo,5766,"(Peruvian, born 1925)",(Peruvian),(1925),(0),(Male),1950,,"Sheet 19 3/4 x 16 1/2"" (50.1 x 42.0 cm)",Inter-American Fund,311.1952.6,Print,Drawings & Prints,1952-11-07,N,93153,,,,,,50.1,,,42.0,,
from HOMENAJE A VALLEJO,Fernando Szyszlo,5766,"(Peruvian, born 1925)",(Peruvian),(1925),(0),(Male),1950,,"Sheet 19 3/4 x 16 1/2"" (50.1 x 42.0 cm)",Inter-American Fund,311.1952.7,Print,Drawings & Prints,1952-11-07,N,93154,,,,,,50.1,,,42.0,,
from HOMENAJE A VALLEJO,Fernando Szyszlo,5766,"(Peruvian, born 1925)",(Peruvian),(1925),(0),(Male),1950,,"Sheet 19 3/4 x 16 1/2"" (50.1 x 42.0 cm)",Inter-American Fund,311.1952.8,Print,Drawings & Prints,1952-11-07,N,93155,,,,,,50.1,,,42.0,,
Trotzky,Fernando Bryce,26155,"(Peruvian, born 1965)",(Peruvian),(1965),(0),(Male),2003,"Ink on ten pieces of paper
","Each: 16 1/2 x 11 3/4"" (41.9 x 29.8 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1381.2005.a-j,Drawing,Drawings & Prints,2005-05-10,Y,95635,http://www.moma.org/collection/works/95635,http://www.moma.org/media/W1siZiIsIjExNzM4NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=250f6f8e22b67435,,0.0,,41.9101,,,29.8451,,
"The New Worshippers, II",Sandra Gamarra,32909,"(Peruvian, born 1972)",(Peruvian),(1972),(0),(Female),2007,Pencil and oil on paper,"39 1/2 x 27 5/8"" (100.3 x 70.2 cm)",Gift of Estrellita Brodsky,509.2007,Drawing,Drawings & Prints,2007-10-09,Y,110117,http://www.moma.org/collection/works/110117,http://www.moma.org/media/W1siZiIsIjM0NzkzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=77df7900502b7e55,,,,100.3302,,,70.1676,,
"The New Worshippers, I",Sandra Gamarra,32909,"(Peruvian, born 1972)",(Peruvian),(1972),(0),(Female),2007,Pencil and oil on paper,"39 1/2 x 27 5/8"" (100.3 x 70.2 cm)",Gift of Estrellita Brodsky,510.2007,Drawing,Drawings & Prints,2007-10-09,Y,110119,http://www.moma.org/collection/works/110119,http://www.moma.org/media/W1siZiIsIjM0NzkzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=06030dade23d4ae5,,,,100.3302,,,70.1676,,
Nueva Botánica,Gilda Mantilla,35082,"(Peruvian, born United States 1967)",(Peruvian),(1967),(0),(Female),(2008),Synthetic polymer paint and pencil on three pieces of paper,"22 x 15"" (55.9 x 38.1 cm)",Fund for the Twenty-First Century,1867.2008.1-3,Drawing,Drawings & Prints,2008-11-11,Y,118161,http://www.moma.org/collection/works/118161,,,,,55.8801117602,,,38.1000762002,,
"Who Steals an Egg, Steals an Egg (Qui Vole un Oeuf, Vole un Oeuf)",Elsa Cayo,34842,"(Peruvian, born 1951)",(Peruvian),(1951),(0),(Female),1982,"Video (black and white and color, sound)",15:03 min.,Purchase,544.1984,Video,Media and Performance,1984-09-15,Y,118240,http://www.moma.org/collection/works/118240,,,,,,,,,,903.0
Eclipse,Gilda Mantilla,35082,"(Peruvian, born United States 1967)",(Peruvian),(1967),(0),(Female),(2007),Colored pencil and synthetic polymer paint on paper,"15 x 22"" (38.1 x 55.9 cm)",Fund for the Twenty-First Century,1866.2008,Drawing,Drawings & Prints,2008-11-11,Y,118691,http://www.moma.org/collection/works/118691,,,,,38.1000762002,,,55.8801117602,,
Lluvia,Gilda Mantilla,35082,"(Peruvian, born United States 1967)",(Peruvian),(1967),(0),(Female),(2008),Pencil and synthetic polymer paint on paper,"15 x 22"" (38.1 x 55.9 cm)",Fund for the Twenty-First Century,1868.2008,Drawing,Drawings & Prints,2008-11-11,Y,118692,http://www.moma.org/collection/works/118692,,,,,38.1000762002,,,55.8801117602,,
Pilgrim,Sandra Gamarra,32909,"(Peruvian, born 1972)",(Peruvian),(1972),(0),(Female),2008,Oil on canvas,"6' 4 3/4"" x 63 3/4"" (194.9 x 161.9 cm)",Gift of Estrellita Brodsky through the Latin American and Caribbean Fund,1892.2008,Painting,Painting & Sculpture,2008-11-11,Y,118857,http://www.moma.org/collection/works/118857,http://www.moma.org/media/W1siZiIsIjM0NTgxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=20fe3f1eb419ee24,,,,194.9453898908,,,161.9253238506,,
Tricycle of the Forgotten from Break the Silence!,Martin Moratillo,38203,"(Peruvian, born 1968)",(Peruvian),(1968),(0),(Male),2000,Woodcut from a portfolio of thirty-one mixed media prints,"composition: 12 5/8 x 9 7/8"" (32.1 x 25.1 cm); sheet: 23 3/8 x 16 9/16"" (59.4 x 42 cm)",General Print Fund,1110.2007.18,Print,Drawings & Prints,2007-11-12,Y,136212,http://www.moma.org/collection/works/136212,http://www.moma.org/media/W1siZiIsIjIzOTA5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7de51f6829d62c7f,,,,32.1,,,25.1,,
Break the Silence from Break the Silence!,Carmen Perrin,38206,"(Peruvian, born 1953)",(Peruvian),(1953),(0),(Female),2000,Printed paper with straight pins from a portfolio of thirty-one mixed media prints,"sheet: 23 11/16 x 16 15/16"" (60.2 x 43 cm)",General Print Fund,1110.2007.21,Print,Drawings & Prints,2007-11-12,Y,136215,http://www.moma.org/collection/works/136215,http://www.moma.org/media/W1siZiIsIjIzOTA5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=cd617ea016a3cbff,,,,0.0,,,0.0,,
Camion,Armando Andrade Tudela,39487,"(Peruvian, born 1975)",(Peruvian),(1975),(0),(Male),2003,Sixty 35mm color slides,5 min.,Latin American and Caribbean Fund through gift of Adriana Cisneros de Griffin and Ernesto Poma,533.2011,Installation,Media and Performance,2011-05-19,Y,146764,http://www.moma.org/collection/works/146764,http://www.moma.org/media/W1siZiIsIjI1MDMzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1f491a25962051ab,,,,,,,,,300.0
"Policeman with Boy, Cuzco",Martín Chambi,1063,"(Peruvian, 1891–1973)",(Peruvian),(1891),(1973),(Male),1923,"Gelatin silver print, printed 1978","11 × 8"" (27.9 × 20.3 cm)",Gift Edward Ranney in memory of Julia and Víctor Chambi,390.2012,Photograph,Photography,2012-02-13,Y,156210,http://www.moma.org/collection/works/156210,http://www.moma.org/media/W1siZiIsIjI0MjQxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a8872037e0f21911,,,,27.9,,,20.3,,
