Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Video Clip Folly Project, Groningen, The Netherlands, Exterior perspective","Wolf D. Prix, Helmut Swiczinsky","7572, 7573","(Austrian, born 1942) (Polish, born 1944)",(Austrian) (Polish),(1942) (1944),(0) (0),(Male) (Male),1993,Graphite on spiral-bound notepad paper,"7 3/8 x 5 3/8"" (18.7 x 13.7 cm)",Gift of the architects in honor of Lily Auchincloss,379.1994,Architecture,Architecture & Design,1994-09-21,Y,448,http://www.moma.org/collection/works/448,http://www.moma.org/media/W1siZiIsIjUyNzYyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3dba6a947482bdfa,,,,18.7,,,13.7,,
"Formmutation I, project","Wolf D. Prix, Helmut Swiczinsky","7572, 7573","(Austrian, born 1942) (Polish, born 1944)",(Austrian) (Polish),(1942) (1944),(0) (0),(Male) (Male),1981,Graphite on paper,"11 3/4 x 16 1/2"" (29.8 x 41.9 cm)",Frederieke Taylor Purchase Fund,394.1988,Architecture,Architecture & Design,1988-11-22,Y,516,http://www.moma.org/collection/works/516,http://www.moma.org/media/W1siZiIsIjUyNzEyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a020070fcc86f258,,,,29.8,,,41.9,,
"Rooftop Remodeling, Vienna, Austria, Scale model 1:25","Wolf D. Prix, Helmut Swiczinsky","7572, 7573","(Austrian, born 1942) (Polish, born 1944)",(Austrian) (Polish),(1942) (1944),(0) (0),(Male) (Male),1984,"Plastic, wood, metal, cardboard, foamboard, and paint","54 x 42 x 36"" (137.2 x 106.7 x 91.5 cm)",Gift of the architect in honor of Philip Johnson,408.1996,Architecture,Architecture & Design,1996-09-25,Y,1028,http://www.moma.org/collection/works/1028,,,91.5,,137.2,,,106.7,,
Yellow Abakan,Magdalena Abakanowicz,38,"(Polish, 1930–2017)",(Polish),(1930),(2017),(Female),1967–1968,Sisal,"124 x 120 x 60"" (315 x 304.8 x 152.4 cm)","Gift of Mr. Walter Bareiss, Mrs. Watson K. Blair, Mr. Arthur Cohen, Mr. Don Page, and Anonymous Donor",449.1974,Design,Architecture & Design,1974-11-06,Y,3650,http://www.moma.org/collection/works/3650,http://www.moma.org/media/W1siZiIsIjI4NTM0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=95bc8a966cd2ca6b,,152.4003,,,314.9606,,304.8006,,
Cena Strachu,Jan Lenica,3480,"(Polish, 1928–2001)",(Polish),(1928),(2001),(Male),1958,Lithograph,"22 3/8 x 33"" (56.8 x 83.8 cm)",Gift of Mr. and Mrs. Jerzy Michalowski,53.1960,Design,Architecture & Design,1960-04-06,Y,4866,http://www.moma.org/collection/works/4866,,,,,56.8,,,83.8,,
Oddzial Trubaczowa,Wojciech Zamecznik,6539,"(Polish, 1923–1967)",(Polish),(1923),(1967),(Male),1958,Lithograph,"23 3/4 x 34"" (60.3 x 86.3 cm)",Gift of the Polish Ambassador to the United Nations,68.1960,Design,Architecture & Design,1960-04-06,Y,4922,http://www.moma.org/collection/works/4922,,,,,60.3,,,86.3,,
Urok Szatana (The Beauty of the Devil) (Poster for the French film directed by René Clair),Henryk Tomaszewski,5894,"(Polish, 1914–2005)",(Polish),(1914),(2005),(Male),1954,Lithograph,"22 3/4 x 33 1/4"" (57.8 x 84.4 cm)",Given anonymously,86.1961,Design,Architecture & Design,1961-02-07,Y,5000,http://www.moma.org/collection/works/5000,,,,,57.7851155702,,,84.4,,
Kanal,Jan Lenica,3480,"(Polish, 1928–2001)",(Polish),(1928),(2001),(Male),1957,Lithograph,"23 x 24"" (58.4 x 60.9 cm)",Given anonymously,88.1961,Design,Architecture & Design,1961-02-07,Y,5012,http://www.moma.org/collection/works/5012,,,,,58.4,,,60.9,,
Pozegnanie z Diablem,Wiktor Górka,2251,"(Polish, 1922–2004)",(Polish),(1922),(2004),(Male),1957,Lithograph,"23 1/4 x 34"" (59.0 x 86.3 cm)",Given anonymously,89.1961,Design,Architecture & Design,1961-02-07,Y,5017,http://www.moma.org/collection/works/5017,,,,,59.0,,,86.3,,
Czerwony Kwlat,Wojciech Zamecznik,6539,"(Polish, 1923–1967)",(Polish),(1923),(1967),(Male),1959,Photolithograph,"34 x 24"" (86.3 x 60.9 cm)",Given anonymously,90.1961,Design,Architecture & Design,1961-02-07,Y,5023,http://www.moma.org/collection/works/5023,,,,,86.3,,,60.9,,
Klamstwo Judyty,Wojciech Zamecznik,6539,"(Polish, 1923–1967)",(Polish),(1923),(1967),(Male),1956,Lithograph,"34 x 24"" (86.3 x 60.9 cm)",Given anonymously,91.1961,Design,Architecture & Design,1961-02-07,Y,5028,http://www.moma.org/collection/works/5028,,,,,86.3,,,60.9601,,
Produkcja ZRF Syrena,Hibner,2630,(Polish),(Polish),(0),(0),(),1960,Poster,"23 x 32 1/4"" (58.4 x 81.9 cm)",Gift of the artist,140.1963,Design,Architecture & Design,1963-03-13,N,5202,,,,,,58.4,,,81.9,,
Cyrk,Jan Młodożeniec,4033,"(Polish, 1929–2000)",(Polish),(1929),(2000),(Male),1966,Offset lithograph,"37 x 26 1/4"" (93.9 x 66.7 cm)",Gift of the designer,159.1968,Design,Architecture & Design,1968-03-07,Y,5384,http://www.moma.org/collection/works/5384,,,,,93.9,,,66.7,,
Trzy Dni Kondora,Jerzy Czerniawski,1347,"(Polish, born 1947)",(Polish),(1947),(0),(),1978,Lithograph and photolithograph,"36 5/8 x 26 3/8"" (93 x 67 cm)",Gift of Susan Hornik,256.1998,Design,Architecture & Design,1998-04-22,Y,5884,http://www.moma.org/collection/works/5884,http://www.moma.org/media/W1siZiIsIjUyNzk3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5425a9b12af26504,,,,93.0,,,67.0,,
Polonez,Mieczysław Górowski,2257,"(Polish, 1941–2011)",(Polish),(1941),(2011),(Male),1981,Offset photolithograph,"32 7/8 x 23"" (83.5 x 58.5 cm)",Gift of Susan Hornik,257.1998,Design,Architecture & Design,1998-04-22,Y,5890,http://www.moma.org/collection/works/5890,http://www.moma.org/media/W1siZiIsIjUyNzk3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=951963c3a9d5024f,,,,83.5,,,58.5,,
Stanislaw I Bogumil,Mieczysław Górowski,2257,"(Polish, 1941–2011)",(Polish),(1941),(2011),(Male),1978,Photolithograph,"33 x 23 3/16"" (83.8 x 58.9 cm)",Gift of Susan Hornik,258.1998,Design,Architecture & Design,1998-04-22,Y,5894,http://www.moma.org/collection/works/5894,http://www.moma.org/media/W1siZiIsIjUyNzk3NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d0e71c8fc0073ec5,,,,83.8,,,58.9,,
Pan Twardowski (Mr. Twardowski),Jan Młodożeniec,4033,"(Polish, 1929–2000)",(Polish),(1929),(2000),(Male),n.d.,Lithograph,"37 13/16 x 26 5/16"" (96 x 66.8 cm)",Gift of Susan Hornik,261.1998,Design,Architecture & Design,1998-04-22,Y,5912,http://www.moma.org/collection/works/5912,http://www.moma.org/media/W1siZiIsIjUyNzk3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=42c3d5af68a24c71,,,,96.0439,,,66.8339,,
Kopciuszek,Jan Młodożeniec,4033,"(Polish, 1929–2000)",(Polish),(1929),(2000),(Male),Unknown,Lithograph,"38 1/2 x 26 3/16"" (97.7 x 66.6 cm)",Gift of Susan Hornik,262.1998,Design,Architecture & Design,1998-04-22,Y,5918,http://www.moma.org/collection/works/5918,http://www.moma.org/media/W1siZiIsIjUyNzk4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dc6abdcde05e6d8e,,,,97.7,,,66.6,,
Makbet (Macbeth) (Poster for Warsaw production of William Shakespeare's tragedy),Andrzej Pagowski,4468,"(Polish, born 1953)",(Polish),(1953),(0),(Male),1981,Photolithograph,"36 5/8 x 26 1/16"" (93 x 66.2 cm)",Gift of Susan Hornik,263.1998,Design,Architecture & Design,1998-04-22,Y,5924,http://www.moma.org/collection/works/5924,http://www.moma.org/media/W1siZiIsIjUyNzk4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ec18d6c71ee8cff6,,,,93.0,,,66.1988823978,,
Laureaci VII Miedzynarodowego Biennale Plakatu,Jan Sawka,5189,"(Polish, 1946–2012)",(Polish),(1946),(2012),(Male),1979,Lithograph and photolithograph,"25 15/16 x 38 1/8"" (65.8 x 96.9 cm)",Gift of Susan Hornik,264.1998,Design,Architecture & Design,1998-04-22,Y,5931,http://www.moma.org/collection/works/5931,http://www.moma.org/media/W1siZiIsIjUyNzk4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5bd3dfb53881c32a,,,,65.8,,,96.9,,
Jan August Kisielewski Karykatury,Henryk Tomaszewski,5894,"(Polish, 1914–2005)",(Polish),(1914),(2005),(Male),1978,Offset lithograph and photolithograph,"38 3/8 x 26 1/8"" (97.5 x 66.4 cm)",Gift of Susan Hornik,268.1998,Design,Architecture & Design,1998-04-22,Y,5959,http://www.moma.org/collection/works/5959,http://www.moma.org/media/W1siZiIsIjUyNzk4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9b1c6dfeac34fb4c,,,,97.5,,,66.4,,
"Boom, Jazz '82",Antoni Kowalski,3233,"(Polish, born 1957)",(Polish),(1957),(0),(Male),1982,Offset lithograph,"26 5/8 x 37 5/8"" (67.5 x 95.5 cm)",Gift of the designer,270.1986,Design,Architecture & Design,1986-10-07,Y,5971,http://www.moma.org/collection/works/5971,http://www.moma.org/media/W1siZiIsIjUyNjczMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b74cd0f518b23e06,,,,67.5,,,95.5,,
Psie Serce (Heart of a Dog),Andrzej Pagowski,4468,"(Polish, born 1953)",(Polish),(1953),(0),(Male),1982,Offset lithograph,"26 3/8 x 37 1/4"" (67 x 95 cm)",Purchase,272.1986,Design,Architecture & Design,1986-10-07,Y,5984,http://www.moma.org/collection/works/5984,http://www.moma.org/media/W1siZiIsIjUyNjczMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6fe236352f7fff32,,,,67.0,,,95.0,,
