Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
They Were Expelled,René Bertholo,527,"(Portuguese, 1935–2005)",(Portuguese),(1935),(2005),(Male),1961,Carbon transfer on paper,"42 1/2 x 29 1/2"" (107.8 x 75 cm)",Gift of John S. Newberry,597.1963,Drawing,Drawings & Prints,1963-12-10,Y,37503,http://www.moma.org/collection/works/37503,,,,,98.4,,,64.1,,
"Untitled from the portfolio Suites, no. 8","Horst Antes, Bernard Rancillac, Bernhard Luginbühl, David Hockney, René Bertholo","194, 7846, 6976, 2678, 527","(German, born 1936) (French, born 1931) (Swiss, 1929–2011) (British, born 1937) (Portuguese, 1935–2005)",(German) (French) (Swiss) (British) (Portuguese),(1936) (1931) (1929) (1937) (1935),(0) (0) (2011) (0) (2005),(Male) (Male) (Male) (Male) (Male),(1964),Lithograph,,Gift of Jan Krugier,181.1999.1,Print,Drawings & Prints,1999-05-20,Y,63849,http://www.moma.org/collection/works/63849,http://www.moma.org/media/W1siZiIsIjc3MzExIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=81c932ca7c85827b,,,,,,,,,
"SUITES, no. 8","Bernhard Luginbühl, David Hockney, René Bertholo, Bernard Rancillac, Horst Antes, Various Artists","6976, 2678, 527, 7846, 194, 24409","(Swiss, 1929–2011) (British, born 1937) (Portuguese, 1935–2005) (French, born 1931) (German, born 1936)",(Swiss) (British) (Portuguese) (French) (German) (),(1929) (1937) (1935) (1931) (1936) (0),(2011) (0) (2005) (0) (0) (0),(Male) (Male) (Male) (Male) (Male) (),November 1964.,Portfolio of 6 lithographs,"each composition  12 3/4 x 19 1/8"" (32.3 x 48.8 cm)
each sheet  12 3/4 x 19 1/8"" (32 x 48.8 cm)",Gift of Jan Krugier,181.1999.1-6,Print,Drawings & Prints,1999-05-20,N,63850,,,,,,32.3,,,48.8,,
"Untitled from the portfolio SUITES, no. 8","René Bertholo, Bernard Rancillac, Bernhard Luginbühl, David Hockney, Horst Antes","527, 7846, 6976, 2678, 194","(Portuguese, 1935–2005) (French, born 1931) (Swiss, 1929–2011) (British, born 1937) (German, born 1936)",(Portuguese) (French) (Swiss) (British) (German),(1935) (1931) (1929) (1937) (1936),(2005) (0) (2011) (0) (0),(Male) (Male) (Male) (Male) (Male),(1964),Lithograph,,Gift of Jan Krugier,181.1999.2,Print,Drawings & Prints,1999-05-20,N,63851,,,,,,,,,,,
"Untitled from the portfolio SUITES, no. 8","David Hockney, Bernard Rancillac, Bernhard Luginbühl, René Bertholo, Horst Antes","2678, 7846, 6976, 527, 194","(British, born 1937) (French, born 1931) (Swiss, 1929–2011) (Portuguese, 1935–2005) (German, born 1936)",(British) (French) (Swiss) (Portuguese) (German),(1937) (1931) (1929) (1935) (1936),(0) (0) (2011) (2005) (0),(Male) (Male) (Male) (Male) (Male),(1964),Lithograph,,Gift of Jan Krugier,181.1999.3,Print,Drawings & Prints,1999-05-20,N,63852,,,,,,,,,,,
"Untitled from the portfolio SUITES, no. 8","Bernhard Luginbühl, Bernard Rancillac, David Hockney, René Bertholo, Horst Antes","6976, 7846, 2678, 527, 194","(Swiss, 1929–2011) (French, born 1931) (British, born 1937) (Portuguese, 1935–2005) (German, born 1936)",(Swiss) (French) (British) (Portuguese) (German),(1929) (1931) (1937) (1935) (1936),(2011) (0) (0) (2005) (0),(Male) (Male) (Male) (Male) (Male),(1964),Lithograph,,Gift of Jan Krugier,181.1999.4,Print,Drawings & Prints,1999-05-20,N,63853,,,,,,,,,,,
"RENCONTRES from the portfolio SUITES, no. 8","Bernard Rancillac, Bernhard Luginbühl, David Hockney, René Bertholo, Horst Antes","7846, 6976, 2678, 527, 194","(French, born 1931) (Swiss, 1929–2011) (British, born 1937) (Portuguese, 1935–2005) (German, born 1936)",(French) (Swiss) (British) (Portuguese) (German),(1931) (1929) (1937) (1935) (1936),(0) (2011) (0) (2005) (0),(Male) (Male) (Male) (Male) (Male),(1964),Lithograph,,Gift of Jan Krugier,181.1999.5,Print,Drawings & Prints,1999-05-20,N,63854,,,,,,,,,,,
"Untitled from the portfolio SUITES, no. 8","Ghislain Uhry, David Hockney, René Bertholo, Bernard Rancillac, Horst Antes","8063, 2678, 527, 7846, 194","(French, born 1932) (British, born 1937) (Portuguese, 1935–2005) (French, born 1931) (German, born 1936)",(French) (British) (Portuguese) (French) (German),(1932) (1937) (1935) (1931) (1936),(0) (0) (2005) (0) (0),() (Male) (Male) (Male) (Male),(1964),Lithograph,,Gift of Jan Krugier,181.1999.6,Print,Drawings & Prints,1999-05-20,N,63855,,,,,,,,,,,
Untitled,Paula Rego,4847,"(Portuguese, 1935 – 2022)",(Portuguese),(1935),(2022),(Female),1989,Etching and aquatint,,Dorothy Braude Edinburg Fund and Purchase,211.1990,Print,Drawings & Prints,1990-05-02,Y,64482,http://www.moma.org/collection/works/64482,http://www.moma.org/media/W1siZiIsIjE2NzUwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=09f8d3d7b49ed176,,,,,,,,,
Stain-Bite-Shoulder,Julião Sarmento,7534,"(Portuguese, 1948 – 2021)",(Portuguese),(1948),(2021),(Male),1996,Etching,,Purchased with funds given by Francesca Danieli and Gary Gensler,687.1996,Print,Drawings & Prints,1996-11-12,Y,73153,http://www.moma.org/collection/works/73153,http://www.moma.org/media/W1siZiIsIjIyMTUxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b5a80e7bafb746e9,,,,,,,,,
