Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Meta-Mayan II,Edin Velez,93603,"(Puerto Rican, born 1951)",(Puerto Rican),(1951),(0),(Male),1981,"Video (color, sound)",20 min.,Acquired through the generosity of Mr. and Mrs. Lee Toole,722.1981,Video,Media and Performance,1981-11-16,Y,88841,http://www.moma.org/collection/works/88841,http://www.moma.org/media/W1siZiIsIjE5NDIyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=63bb1443f1f4a48e,,,,,,,,,1200.0
Dance of Darkness,Edin Velez,93603,"(Puerto Rican, born 1951)",(Puerto Rican),(1951),(0),(Male),1989,"Video (color, sound)",54:57 min.,Gift of the Jerome Foundation in honor of its founder Jerome Hill,978.1998,Video,Media and Performance,1998-04-23,Y,118391,http://www.moma.org/collection/works/118391,,,,,,,,,,3297.0
TULE: The Cuna Indians of San Blas,Edin Velez,93603,"(Puerto Rican, born 1951)",(Puerto Rican),(1951),(0),(Male),1978,"Video (color, sound)",29:32 min,Purchase,585.1984,Video,Media and Performance,1984-09-19,Y,120152,http://www.moma.org/collection/works/120152,,,,,,,,,,1772.0
Meaning of the Interval,Edin Velez,93603,"(Puerto Rican, born 1951)",(Puerto Rican),(1951),(0),(Male),1987,"Video (color, sound)",18:40 min.,Gift of the Checkerboard Foundation,368.1989,Video,Media and Performance,1989-12-22,Y,120311,http://www.moma.org/collection/works/120311,http://www.moma.org/media/W1siZiIsIjIyMTc4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fecebd6c3a3cbe19,,,,,,,,,1120.0
"Ana de los Milagros (The Miracle Worker) (Poster for a performance of the play by Wiliam Gibson at the 4th International Theater Festival, Puerto Rico)",Unidentified Designer,48084,(Puerto Rican),(Puerto Rican),(0),(0),(),1968,,"30 x 17"" (76.2 x 43.2 cm)",Anonymous gift,929.2015,Design,Architecture & Design,2015-06-04,N,192988,,,,,,76.2001524003,,,43.1800863602,,
El Ambiente Maximal por Rafael Rivera Garcia,Unidentified Designer,48084,(Puerto Rican),(Puerto Rican),(0),(0),(),c.1969,,"23 x 19"" (58.4 x 48.3 cm)",Anonymous gift,940.2015,Design,Architecture & Design,2015-06-04,N,192990,,,,,,58.4201168402,,,48.2600965202,,
"2da Feria de Artesanias, Mayagüez, Puerto Rico",J. Rosado Velez,48085,(Puerto Rican),(Puerto Rican),(0),(0),(Male),1968,,"24 x 17 7/8"" (61 x 45.4 cm)",Anonymous gift,951.2015,Design,Architecture & Design,2015-06-04,N,192992,,,,,,60.9601219202,,,45.4025908052,,
"Exposición Colectiva: Albizo, Balossi, Bonilla, Buscaglia, Cubiña, Daubercies, Diaz, Dirube, Mañach, Marin, Molma, Pasley, Romano, Ruiz.",Unidentified Designer,48084,(Puerto Rican),(Puerto Rican),(0),(0),(),1968,,"25 x 19"" (63.5 x 48.3 cm)",Anonymous gift,926.2015,Design,Architecture & Design,2015-06-04,N,192993,,,,,,63.5001270003,,,48.2600965202,,
Carlos Irizarry Exhibition,Unidentified Designer,48084,(Puerto Rican),(Puerto Rican),(0),(0),(),1970,,"25 x 19"" (63.5 x 48.3 cm)",Anonymous gift,930.2015,Design,Architecture & Design,2015-06-04,N,192994,,,,,,63.5001270003,,,48.2600965202,,
Cartel Teatro Méndez Ballester,David Goitia,48086,"(Puerto Rican, died 2004)",(Puerto Rican),(0),(2004),(Male),1968,,"30 1/4 x 20"" (76.8 x 50.8 cm)",Anonymous gift,798.2015,Design,Architecture & Design,2015-06-04,N,192995,,,,,,76.8351536703,,,50.8001016002,,
