Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Bestiaire,Victor Brauner,751,"(Romanian, 1903–1966)",(Romanian),(1903),(1966),(Male),1963,Silkscreen,"26 x 19 1/2"" (66 x 49.5 cm)",Gift of Mr. and Mrs. Leo Farland,2255.1967,Design,Architecture & Design,1967-10-18,Y,8958,http://www.moma.org/collection/works/8958,http://www.moma.org/media/W1siZiIsIjIxMjA3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4034282531bf9012,,,,66.0,,,49.5,,
Frontispiece from THE NORTH,Avigdor Arikha,216,"(Romanian, 1929–2010)",(Romanian),(1929),(2010),(Male),1972,,"plate  10 15/16 x 7 7/8"" (27.8 x 20 cm)",Jeanne C. Thayer Fund,342.1986.1,Illustrated Book,Drawings & Prints,1986-10-15,N,16014,,,,,,27.8,,,20.0,,
The North,Avigdor Arikha,216,"(Romanian, 1929–2010)",(Romanian),(1929),(2010),(Male),1972,3 etching and aquatints,"irreg. page  15 x 11 7/16"" (38 x 29 cm)
Prints:  various dimensions.",Jeanne C. Thayer Fund,342.1986.1-3,Illustrated Book,Drawings & Prints,1986-10-15,N,16015,,,,,,38.0,,,29.0,,
Plate (facing page 4) from THE NORTH,Avigdor Arikha,216,"(Romanian, 1929–2010)",(Romanian),(1929),(2010),(Male),1972,,"plate  7 1/16 x 5 1/4"" (17.9 x 13.4 cm)",Jeanne C. Thayer Fund,342.1986.2,Illustrated Book,Drawings & Prints,1986-10-15,N,16016,,,,,,17.9,,,13.4,,
Plate (facing page 6) from THE NORTH,Avigdor Arikha,216,"(Romanian, 1929–2010)",(Romanian),(1929),(2010),(Male),1972,,"plate  10 7/8 x 7 1/16"" (27.7 x 18 cm)",Jeanne C. Thayer Fund,342.1986.3,Illustrated Book,Drawings & Prints,1986-10-15,N,16017,,,,,,27.7,,,18.0,,
Le Surréalisme en 1947,"Jean (Hans) Arp, Hans Bellmer, Victor Brauner, Serge Brignoni, Alexander Calder, Bruno Capacci, Julio de Diego, Enrico Donati, Marcel Duchamp, Max Ernst, David Hare, Jacques Hérold, Marcel Jean, Wifredo Lam, Jacqueline Lamba, Maria Martins, Roberto Matta, Joan Miró, Man Ray (Emmanuel Radnitzky), Kay Sage, Yves Tanguy, Dorothea Tanning, Toyen (Marie Čermínová), Suzanne van Damme, Various Artists","11, 452, 751, 778, 922, 957, 1540, 1585, 1634, 1752, 2504, 2616, 2898, 3349, 3351, 3767, 3842, 4016, 3716, 16189, 5804, 5806, 5916, 1372, 24409","(French, born Germany (Alsace). 1886–1966) (German, 1902–1975) (Romanian, 1903–1966) (Swiss, 1903–2002) (American, 1898–1976) (Italian, 1906–1996) (American, 1900–1979) (American, born Italy. 1909–2008) (American, born France. 1887–1968) (French and American, born Germany. 1891–1976) (American, 1917–1992) (Romanian, 1910–1991) (French, 1900–1993) (Cuban, 1902–1982) (French, 1910–1993) (Brazilian, 1894–1973) (Chilean, 1911–2002) (Spanish, 1893–1983) (American, 1890–1976) (American, 1898–1963) (American, born France. 1900–1955) (American, 1910–2012) (French, born Bohemia. 1902–1980) (Belgian, 1901–1986)",(French) (German) (Romanian) (Swiss) (American) (Italian) (American) (American) (American) (French) (American) (Romanian) (French) (Cuban) (French) (Brazilian) (Chilean) (Spanish) (American) (American) (American) (American) (Czech) (Belgian) (),(1886) (1902) (1903) (1903) (1898) (1906) (1900) (1909) (1887) (1891) (1917) (1910) (1900) (1902) (1910) (1894) (1911) (1893) (1890) (1898) (1900) (1910) (1902) (1901) (0),(1966) (1975) (1966) (2002) (1976) (1996) (1979) (2008) (1968) (1976) (1992) (1991) (1993) (1982) (1993) (1973) (2002) (1983) (1976) (1963) (1955) (2012) (1980) (1986) (0),(Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female) (Female) (Male) (Male) (Male) (Female) (Male) (Female) (Female) (Female) (),1947,"Illustrated book with eighteen lithographs, four etchings (two with aquatint), two woodcuts, one photogravure, and one ready-made object","page (each): 9 7/16 x 8"" (24 x 20.3 cm); overall (closed): 10 1/16 x 8 3/4 x 1 5/8"" (25.6 x 22.3 x 4.2 cm)",Henry Church Fund,343.1947.1-26,Illustrated Book,Drawings & Prints,1947-12-19,Y,16020,http://www.moma.org/collection/works/16020,http://www.moma.org/media/W1siZiIsIjMwNjI1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=778735b5803db501,,,,24.0,,,20.3,,
Le Surréalisme en 1947,"Jean (Hans) Arp, Hans Bellmer, Victor Brauner, Serge Brignoni, Alexander Calder, Bruno Capacci, Julio de Diego, Enrico Donati, Marcel Duchamp, Max Ernst, David Hare, Jacques Hérold, Marcel Jean, Wifredo Lam, Jacqueline Lamba, Maria Martins, Roberto Matta, Joan Miró, Man Ray (Emmanuel Radnitzky), Kay Sage, Yves Tanguy, Dorothea Tanning, Toyen (Marie Čermínová), Suzanne van Damme, Various Artists","11, 452, 751, 778, 922, 957, 1540, 1585, 1634, 1752, 2504, 2616, 2898, 3349, 3351, 3767, 3842, 4016, 3716, 16189, 5804, 5806, 5916, 1372, 24409","(French, born Germany (Alsace). 1886–1966) (German, 1902–1975) (Romanian, 1903–1966) (Swiss, 1903–2002) (American, 1898–1976) (Italian, 1906–1996) (American, 1900–1979) (American, born Italy. 1909–2008) (American, born France. 1887–1968) (French and American, born Germany. 1891–1976) (American, 1917–1992) (Romanian, 1910–1991) (French, 1900–1993) (Cuban, 1902–1982) (French, 1910–1993) (Brazilian, 1894–1973) (Chilean, 1911–2002) (Spanish, 1893–1983) (American, 1890–1976) (American, 1898–1963) (American, born France. 1900–1955) (American, 1910–2012) (French, born Bohemia. 1902–1980) (Belgian, 1901–1986)",(French) (German) (Romanian) (Swiss) (American) (Italian) (American) (American) (American) (French) (American) (Romanian) (French) (Cuban) (French) (Brazilian) (Chilean) (Spanish) (American) (American) (American) (American) (Czech) (Belgian) (),(1886) (1902) (1903) (1903) (1898) (1906) (1900) (1909) (1887) (1891) (1917) (1910) (1900) (1902) (1910) (1894) (1911) (1893) (1890) (1898) (1900) (1910) (1902) (1901) (0),(1966) (1975) (1966) (2002) (1976) (1996) (1979) (2008) (1968) (1976) (1992) (1991) (1993) (1982) (1993) (1973) (2002) (1983) (1976) (1963) (1955) (2012) (1980) (1986) (0),(Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female) (Female) (Male) (Male) (Male) (Female) (Male) (Female) (Female) (Female) (),1947,"Illustrated book with eighteen lithographs, four etchings (two with aquatint), two woodcuts, one photogravure, and one ready-made object","page (each): 9 7/16 x 8"" (24 x 20.3 cm); overall (closed): 10 1/16 x 8 3/4 x 1 5/8"" (25.6 x 22.3 x 4.2 cm)",Henry Church Fund,343.1947.1-26,Illustrated Book,Drawings & Prints,1947-12-19,Y,16020,http://www.moma.org/collection/works/16020,http://www.moma.org/media/W1siZiIsIjMwNjI1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=778735b5803db501,,,,24.0,,,20.3,,
Plate from Le Surréalisme en 1947,Jacques Hérold,2616,"(Romanian, 1910–1991)",(Romanian),(1910),(1991),(Male),1947,"Lithograph from an illustrated book with eighteen lithographs, four etchings (two with aquatint), two woodcuts, one photogravure, and one ready-made object","composition (irreg.) and page: 9 7/16 × 8 3/16"" (23.9 × 20.8 cm)
",Henry Church Fund,343.1947.19,Illustrated Book,Drawings & Prints,1947-12-19,Y,16030,http://www.moma.org/collection/works/16030,http://www.moma.org/media/W1siZiIsIjQwMTc3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=15170832444e5e5f,,,,23.9,,,20.8,,
Plate from Le Surréalisme en 1947,Victor Brauner,751,"(Romanian, 1903–1966)",(Romanian),(1903),(1966),(Male),1947,"Lithograph from an illustrated book with eighteen lithographs, four etchings (two with aquatint), two woodcuts, one photogravure, and one ready-made object","composition (irreg.): 8 1/16 × 9 7/16"" (20.4 × 23.9 cm); page: 9 7/16 × 8 1/16"" (23.9 × 20.4 cm)",Henry Church Fund,343.1947.7,Illustrated Book,Drawings & Prints,1947-12-19,Y,16043,http://www.moma.org/collection/works/16043,http://www.moma.org/media/W1siZiIsIjQwMTcyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b13de648781f8acd,,,,20.4,,,23.9,,
"ESSENTIAL INTERIORIZATION WITH HORIZONTAL READINGS, plate 1 (folio 16) from 10 CONDIZIONI LINEARI DI SEGNALETICA ALEATORIA",Pic Adrian,72,"(Romanian, born 1910)",(Romanian),(1910),(0),(Male),1970,,"composition  12 3/16 x 16 1/2"" (30.9 x 42 cm)",Gift of the artist,622.1980.1,Illustrated Book,Drawings & Prints,1980-10-28,N,19736,,,,,,30.9,,,42.0,,
