Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Plates and Bowls,"Scott Wilson, Fritz Foord","6391, 1934","(Scottish, born United States. 1889–1972) (American)",(Scottish) (American),(1889) (0),(1972) (0),(Male) (Male),c. 1950,Crystal,".1 and .4 (plates): 3/4 x 10"" (1.9 x 25.4 cm)
.2 and .5 (plates): 11/16 x 8"" (1.8 x 20.3 cm)
.3 and .6 (bowls): 1 7/16 x 6"" (3.6 x 15.2 cm)",Gift of the manufacturer,222.1954.1-6,Design,Architecture & Design,1954-04-06,Y,2788,http://www.moma.org/collection/works/2788,http://www.moma.org/media/W1siZiIsIjIxMDc1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ac7ec389a3b2e69a,,,25.4001,1.905,,,,,
Parkett no. 49,"Laurie Anderson, Douglas Gordon, Jeff Wall, Silvia Bächli, Various Artists","6807, 7805, 7826, 35953, 24409","(American, born 1947) (Scottish, born 1966) (Canadian, born 1946) (Swiss, born 1956)",(American) (Scottish) (Canadian) (Swiss) (),(1947) (1966) (1946) (1956) (0),(0) (0) (0) (0) (0),(Female) (Male) (Male) (Female) (),1997,Journal,"page  10 x 8 1/4"" (25 x 21 cm)","Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett",68.1998.2,Periodical,Drawings & Prints,1998-03-05,Y,10930,http://www.moma.org/collection/works/10930,http://www.moma.org/media/W1siZiIsIjQyOTM5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c8b82917883230b6,,,,25.0,,,21.0,,
Fantastic Flowers,Scottie Wilson,32087,"(Scottish, 1889–1972)",(Scottish),(1889),(1972),(Male),c.1930–48,Ink and crayon on paper,"14 1/8 x 10"" (35.9 x 25.4 cm)",Purchase,276.1948,Drawing,Drawings & Prints,1948-10-06,Y,35888,http://www.moma.org/collection/works/35888,http://www.moma.org/media/W1siZiIsIjQzMjQwOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b9ddc4772fc24061,,,,35.9,,,25.4,,
Signature (for Parkett no. 49),Douglas Gordon,7805,"(Scottish, born 1966)",(Scottish),(1966),(0),(Male),1997,Imprint of artist's bite bound into journal,"composition (irreg.): 2 3/16 x 1 15/16"" (5.5 x 5 cm); sheet: 9 13/16 x 8 1/4"" (25 x 21 cm)","Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett",68.1998.1,Print,Drawings & Prints,1998-03-05,Y,61189,http://www.moma.org/collection/works/61189,,,,,5.5,,,5.0,,
Imagine,Jim Lambie,22939,"(Scottish, born 1964)",(Scottish),(1964),(0),(Male),2001,Poster paint on paper,"32 1/2 x 22"" (82.6 x 55.9 cm)",Purchase,2589.2001,Drawing,Drawings & Prints,2001-12-11,Y,82513,http://www.moma.org/collection/works/82513,http://www.moma.org/media/W1siZiIsIjIwNjI2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e08aab2dcd2f854a,,,,82.5502,,,55.8801,,
Cries and Whispers,Hill Jephson Robb,27879,"(Scottish, born 1970)",(Scottish),(1970),(0),(Male),2003,Wool,"40 x 59"" (100 x 150 cm) diam.",Gift of Hill Jephson Robb,116.2006,Design,Architecture & Design,2006-02-09,Y,94352,http://www.moma.org/collection/works/94352,http://www.moma.org/media/W1siZiIsIjIzNDkxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a4085e357dc248fb,,,,0.0,0.0,,0.0,,
Untitled,Claire Barclay,28555,"(British, born 1968)",(Scottish),(1968),(0),(Female),(2002),"Ink, watercolor, and gouache on paper","11 3/4 x 8 1/4"" (29.8 x 21 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1222.2005,Drawing,Drawings & Prints,2005-05-10,Y,95456,http://www.moma.org/collection/works/95456,http://www.moma.org/media/W1siZiIsIjEwODAzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fceaab2cefc24f5e,,,,29.8451,,,20.955,,
Blind Star: Mirror Blind Vivien,Douglas Gordon,7805,"(Scottish, born 1966)",(Scottish),(1966),(0),(Male),2002,Cut gelatin silver print with mirror,"8 7/8 x 7 7/8"" (22.5 x 20 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1770.2005,Drawing,Drawings & Prints,2005-05-10,Y,96039,http://www.moma.org/collection/works/96039,http://www.moma.org/media/W1siZiIsIjIxODkyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=db65fb2cb6fc93d4,,,,22.5425450851,,,20.0025400051,,
Untitled,Douglas Gordon,7805,"(Scottish, born 1966)",(Scottish),(1966),(0),(Male),2004,Ink on notebook paper,"11 x 7 1/2"" (27.9 x 19.1 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1771.2005,Drawing,Drawings & Prints,2005-05-10,Y,96040,http://www.moma.org/collection/works/96040,http://www.moma.org/media/W1siZiIsIjIxODMzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e7c4e99a30716630,,,,27.9400558801,,,19.0500381001,,
Untitled,Douglas Gordon,7805,"(Scottish, born 1966)",(Scottish),(1966),(0),(Male),2004,Ink on notebook paper,"11 x 7 1/2"" (27.9 x 19.1 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1772.2005,Drawing,Drawings & Prints,2005-05-10,Y,96041,http://www.moma.org/collection/works/96041,http://www.moma.org/media/W1siZiIsIjIxODMzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=305d132b5946a24e,,,,27.9400558801,,,19.0500381001,,
