Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"FIG. A (plate, folio 13) from LA PRISON CHIFFRÉE DU TEMPS",Vladimir Veličković,6125,"(Serbian and French, 1935 – 2019)",(Serbian),(1935),(2019),(Male),1977,,,Mr. and Mrs. Bernard J. Reis Fund,458.1978.1,Illustrated Book,Drawings & Prints,1978-05-22,N,17447,,,,,,,,,,,
La Prison Chiffrée du Temps,Vladimir Veličković,6125,"(Serbian and French, 1935 – 2019)",(Serbian),(1935),(2019),(Male),(1977),Illustrated book with nine etchings,"ea. plate  16 5/16 x 10 3/16"" (41.5 x 25.9 cm)
page  22 7/16 x 14 15/16"" (57 x 38 cm)",Mr. and Mrs. Bernard J. Reis Fund,458.1978.1-9,Illustrated Book,Drawings & Prints,1978-05-22,Y,17448,http://www.moma.org/collection/works/17448,,,,,41.5,,,25.9,,
"FIG. B (plate, folio 14) from LA PRISON CHIFFRÉE DU TEMPS",Vladimir Veličković,6125,"(Serbian and French, 1935 – 2019)",(Serbian),(1935),(2019),(Male),1977,,,Mr. and Mrs. Bernard J. Reis Fund,458.1978.2,Illustrated Book,Drawings & Prints,1978-05-22,N,17449,,,,,,,,,,,
"FIG. C (plate, folio 15) from LA PRISON CHIFFRÉE DU TEMPS",Vladimir Veličković,6125,"(Serbian and French, 1935 – 2019)",(Serbian),(1935),(2019),(Male),1977,,,Mr. and Mrs. Bernard J. Reis Fund,458.1978.3,Illustrated Book,Drawings & Prints,1978-05-22,N,17450,,,,,,,,,,,
"FIG. D (plate, folio 16) from LA PRISON CHIFFRÉE DU TEMPS",Vladimir Veličković,6125,"(Serbian and French, 1935 – 2019)",(Serbian),(1935),(2019),(Male),1977,,,Mr. and Mrs. Bernard J. Reis Fund,458.1978.4,Illustrated Book,Drawings & Prints,1978-05-22,N,17451,,,,,,,,,,,
"FIG. E (plate, folio 17) from LA PRISON CHIFFRÉE DU TEMPS",Vladimir Veličković,6125,"(Serbian and French, 1935 – 2019)",(Serbian),(1935),(2019),(Male),1977,,,Mr. and Mrs. Bernard J. Reis Fund,458.1978.5,Illustrated Book,Drawings & Prints,1978-05-22,N,17452,,,,,,,,,,,
"FIG. F (plate, folio 18) from LA PRISON CHIFFRÉE DU TEMPS",Vladimir Veličković,6125,"(Serbian and French, 1935 – 2019)",(Serbian),(1935),(2019),(Male),1977,,,Mr. and Mrs. Bernard J. Reis Fund,458.1978.6,Illustrated Book,Drawings & Prints,1978-05-22,N,17453,,,,,,,,,,,
"FIG. G (plate, folio 19) from LA PRISON CHIFFRÉE DU TEMPS",Vladimir Veličković,6125,"(Serbian and French, 1935 – 2019)",(Serbian),(1935),(2019),(Male),1977,,,Mr. and Mrs. Bernard J. Reis Fund,458.1978.7,Illustrated Book,Drawings & Prints,1978-05-22,N,17454,,,,,,,,,,,
"FIG. H (plate, folio 20) from LA PRISON CHIFFRÉE DU TEMPS",Vladimir Veličković,6125,"(Serbian and French, 1935 – 2019)",(Serbian),(1935),(2019),(Male),1977,,,Mr. and Mrs. Bernard J. Reis Fund,458.1978.8,Illustrated Book,Drawings & Prints,1978-05-22,N,17455,,,,,,,,,,,
"FIG. I (plate, folio 21) from LA PRISON CHIFFRÉE DU TEMPS",Vladimir Veličković,6125,"(Serbian and French, 1935 – 2019)",(Serbian),(1935),(2019),(Male),1977,,,Mr. and Mrs. Bernard J. Reis Fund,458.1978.9,Illustrated Book,Drawings & Prints,1978-05-22,N,17456,,,,,,,,,,,
Escape to Universe,Ivan Tabaković,5768,"(Serbian, born Austria Hungary, 1898–1977)",(Serbian),(1898),(1977),(Male),1962,"Pasted photomechanical reproductions, gouache, pencil, ink footprint, and ink on paper","37 7/8 x 26 7/8"" (96.2 x 68.0 cm)",Gift of Mr. and Mrs. Samuel Dorsky,611.1966,Drawing,Drawings & Prints,1966-12-06,Y,37584,http://www.moma.org/collection/works/37584,,,,,96.2,,,68.3,,
Studies for Sculpture,Olja Ivanjicki,2845,"(Serbian, 1931 – 2009)",(Serbian),(1931),(2009),(Female),c. 1965,"a) Tempera, pen and ink, chalk, pencil, wash, brush and felt-tip pen, b) Red felt-tip pen","23 1/4 x 29"" (59.0 x 73.7 cm)",Gift of George Riabov,2115.1967.a-b,Drawing,Drawings & Prints,1967-10-18,N,38749,,,,,,59.1,,,73.7,,
Untitled,Vladimir Veličković,6125,"(Serbian and French, 1935 – 2019)",(Serbian),(1935),(2019),(Male),1967,Ink on paper,"43 3/8 x 57 5/8"" (110.1 x 146.2 cm)",F. H. Hirschland Fund,2413.1967,Drawing,Drawings & Prints,1967-12-13,Y,38817,http://www.moma.org/collection/works/38817,http://www.moma.org/media/W1siZiIsIjE4MjEwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f6e443d2167415d5,,,,110.2,,,146.4,,
Fish,Jovan Kratohvil,3242,"(Serbian, 1924 – 1998)",(Serbian),(1924),(1998),(Male),1955,"Plaster cut, printed in color","Sheet 15 1/4 x 19 3/4"" (38.9 x 50.0 cm)  Comp. 13 x 17"" (33.1 x 43.1 cm)",Mrs. Bertram Smith Fund,50.1957,Print,Drawings & Prints,1957-05-15,N,60925,,,,,,33.1,,,43.1,,
Composition,Lazar Vujaklija,6195,"(Serbian, born 1914)",(Serbian),(1914),(0),(Male),1955,Lithograph,"composition: 14 3/4 x 18 7/8"" (37.5 x 47.9cm); sheet: 15 3/8 x 19 11/16"" (39.1 x 50cm)",Mrs. Bertram Smith Fund,81.1957,Print,Drawings & Prints,1957-05-15,Y,61530,http://www.moma.org/collection/works/61530,http://www.moma.org/media/W1siZiIsIjIyMzgyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c252f257086722d3,,,,37.5,,,47.9,,
SSS,"Marina Abramović, Charles Atlas","26439, 31211","(Serbian, born 1946) (American, born 1949)",(Serbian) (American),(1946) (1949),(0) (0),(Female) (Male),1989,"Video (color, sound)",6 min.,Purchase,1636.2000,Video,Media and Performance,2000-08-18,Y,88933,http://www.moma.org/collection/works/88933,http://www.moma.org/media/W1siZiIsIjcyNDcwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=a16e1fc17a9fd1fb,,,,,,,,,360.0
Untitled (The Deceased - Archive) from the Museum in Progress project Balkan Consulate,Dejan Grba,30925,"(Serbian, born 1967)",(Serbian),(1967),(0),(Male),"(newspaper published December 16, 2002)","Lithograph, offset printed","sheet: 18 5/16 x 12 3/8"" (46.5 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.334,Print,Drawings & Prints,2006-06-01,N,103567,,,,,,46.5,,,31.5,,
