Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"On the First, Second and Third Floor",Albin Brunovsky,831,(Slovak),(Slovak),(0),(0),(Male),(1979),Etching,,Purchase,145.1981,Print,Drawings & Prints,1981-05-06,Y,63133,http://www.moma.org/collection/works/63133,http://www.moma.org/media/W1siZiIsIjIxNDA3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=196f29188659e620,,,,,,,,,
"Emigre Magazine, issues 1-69","Emigre Inc., Rudy VanderLans, Zuzana Licko","30189, 30187, 30188","(American, founded 1987) (Dutch, born 1955) (Slovak, born 1961)",(American) (Dutch) (Slovak),(1987) (1955) (1961),(0) (0) (0),() (Male) (Female),1984-2005,Lithograph,Various dimensions,Agnes Gund Purchase Fund,205.2006.1-69,Design,Architecture & Design,2006-02-09,Y,101653,http://www.moma.org/collection/works/101653,http://www.moma.org/media/W1siZiIsIjEwMTA2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a505b222df365e62,,,,,,,,,
Spirit and Oportunity and Occupied Balcony from the Museum in Progress project Tranzit Cooperation,Roman Ondak,31335,"(Slovak, born 1966)",(Slovak),(1966),(0),(Male),"(newspapers published October 4-10 and November 21, 2004)","Two lithographs, offset printed","sheet (each): 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.384a-b,Print,Drawings & Prints,2006-06-01,N,104798,,,,,,47.0,,,31.5,,
Untitled from the Museum in Progress project Tranzit Cooperation,Stano Filko,31341,"(Slovak, 1937–2015)",(Slovak),(1937),(2015),(Male),"(newspaper published August 23-29, 2004)","Lithograph, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.382,Print,Drawings & Prints,2006-06-01,N,104804,,,,,,47.0,,,31.5,,
Meditacia (U.F.O.) and Nürnberg Kulturelle Situation 2 from the Museum in Progress project Tranzit Cooperation,Julius Koller,31342,"(Slovak, 1939–2007)",(Slovak),(1939),(2007),(Male),"1983/1991 (newspapers published July 7-11 and July 29, 2004)","Two lithographs, offset printed","sheet (each): 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.381a-b,Print,Drawings & Prints,2006-06-01,N,104805,,,,,,47.0,,,31.5,,
Untitled from the Museum in Progress project Tranzit Cooperation,Michael Hvorecky,31344,"(Slovak, born 1976)",(Slovak),(1976),(0),(Male),"(newspaper published June 21-27, 2004)","Lithograph, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.379,Print,Drawings & Prints,2006-06-01,N,104807,,,,,,47.0,,,31.5,,
Untitled from the Museum in Progress project The Standard Museum,Magda Tothova,31364,"(Slovakian, born 1979)",(Slovak),(1979),(0),(Female),"(newspaper published October 16/17, 2004)","Four lithographs, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.425a-d,Print,Drawings & Prints,2006-06-01,N,104823,,,,,,47.0,,,31.5,,
"The Honeycomb Vase ""Made by Bees"" (Prototype)",Tomáš Gabzdil Libertíny,33112,"(Slovak, born 1979)",(Slovak),(1979),(0),(Male),2006,Beeswax,"9 x 5 1/2 x 5 1/2"" (22.9 x 14 x 14 cm)",Gift of The Aaron and Betty Lee Stern Foundation,444.2008,Design,Architecture & Design,,Y,110254,http://www.moma.org/collection/works/110254,http://www.moma.org/media/W1siZiIsIjE0Mjc5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=516be5a88fd2c5e9,,13.9700279401,,22.8600457201,,,13.9700279401,,
"Emigre 1, The Magazine That Ignores Boundaries","Emigre Inc., Rudy VanderLans, Zuzana Licko","30189, 30187, 30188","(American, founded 1987) (Dutch, born 1955) (Slovak, born 1961)",(American) (Dutch) (Slovak),(1987) (1955) (1961),(0) (0) (0),() (Male) (Female),1984,Lithograph,Various dimensions,Agnes Gund Purchase Fund,205.2006.1,Design,Architecture & Design,2006-02-09,Y,112299,http://www.moma.org/collection/works/112299,http://www.moma.org/media/W1siZiIsIjE3MTMzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=16cd346128278455,,0.0,,0.0,,,0.0,,
"Emigre 2,The Magazine That Ignores Boundaries","Emigre Inc., Rudy VanderLans, Zuzana Licko","30189, 30187, 30188","(American, founded 1987) (Dutch, born 1955) (Slovak, born 1961)",(American) (Dutch) (Slovak),(1987) (1955) (1961),(0) (0) (0),() (Male) (Female),1985,Lithograph,Various dimensions,Agnes Gund Purchase Fund,205.2006.2,Design,Architecture & Design,2006-02-09,Y,112300,http://www.moma.org/collection/works/112300,http://www.moma.org/media/W1siZiIsIjE3MTM0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3cdb72f332c02f59,,0.0,,0.0,,,0.0,,
