Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Parkett no. 38,"Ross Bleckner, Marlene Dumas, Rudi Molacek, Jean-Jacques Rullier, Various Artists","597, 7521, 19075, 19053, 24409","(American, born 1949) (South African, born 1953) (Austrian, born 1948)",(American) (South African) (Austrian) () (),(1949) (1953) (1948) (0) (0),(0) (0) (0) (0) (0),(Male) (Female) (Male) (Male) (),1993,Journal,,"Riva Castleman Endowment Fund, Lily Auchincloss Fund",30.1998.2,Periodical,Drawings & Prints,1998-03-05,Y,10211,http://www.moma.org/collection/works/10211,http://www.moma.org/media/W1siZiIsIjQyOTMxMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=19307d7d54fa08e9,,,,,,,,,
Magdalena,Marlene Dumas,7521,"(South African, born 1953)",(South African),(1953),(0),(Female),1996,Ink on paper,"49 1/4 x 27 1/2"" (125.1 x 69.8 cm).","Gift of Patricia and Morris Orden, New York",295.2000,Drawing,Drawings & Prints,2000-10-10,Y,36055,http://www.moma.org/collection/works/36055,http://www.moma.org/media/W1siZiIsIjk3MTM0Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=438ff74ef95dd540,,,,125.1,,,69.8,,
Drawing from Stereoscope,William Kentridge,7919,"(South African, born 1955)",(South African),(1955),(0),(Male),(1998-99),"Charcoal, pastel, and colored pencil on paper","47 1/4 x 63"" (120 x 160 cm)","Gift of The Junior Associates of The Museum of Modern Art, with special contributions from Anonymous, Scott J. Lorinsky, Yasufumi Nakamura, and The Wider Foundation",410.1999,Drawing,Drawings & Prints,1999-10-21,Y,36774,http://www.moma.org/collection/works/36774,http://www.moma.org/media/W1siZiIsIjE5MjU0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d6eab50fc14e8fd1,,,,120.0,,,160.0,,
Seated Couple (Back to Back),William Kentridge,7919,"(South African, born 1955)",(South African),(1955),(0),(Male),1998,Charcoal on pasted book pages on paper,"42 x 75 1/4"" (106.7 x 191.1 cm)",Gift of the Friends of Contemporary Drawing,593.1998,Drawing,Drawings & Prints,1998-10-29,Y,37480,http://www.moma.org/collection/works/37480,http://www.moma.org/media/W1siZiIsIjUyODA0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9056e2bb2ada5e2d,,,,106.7,,,191.1,,
Chlorosis (Love sick),Marlene Dumas,7521,"(South African, born 1953)",(South African),(1953),(0),(Female),1994,"Ink, gouache, and acrylic on twenty-four sheets of paper","Each: 26 x 19 1/2"" (66.2 x 49.5 cm)",The Herbert and Nannette Rothschild Memorial Fund in memory of Judith Rothschild,720.1996.a-x,Drawing,Drawings & Prints,1996-02-18,Y,37856,http://www.moma.org/collection/works/37856,http://www.moma.org/media/W1siZiIsIjQ0Mzk2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5ba8331875fdc6fa,,,,66.2,,,49.5,,
Untitled,Ernest Cole,7971,"(South African, 1940–1990)",(South African),(1940),(1990),(Male),1960-63,Gelatin silver print,"9 7/16 × 11 15/16"" (24 × 30.3 cm)
",The Family of Man Fund,89.1999,Photograph,Photography,1999-03-11,Y,46039,http://www.moma.org/collection/works/46039,http://www.moma.org/media/W1siZiIsIjIwNzcxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f5b439466d2bc958,,,,24.0,,,30.3,,
Untitled,Ernest Cole,7971,"(South African, 1940–1990)",(South African),(1940),(1990),(Male),1960-63,Gelatin silver print,"6 1/2 × 9 7/16"" (16.5 × 24 cm)",The Family of Man Fund,90.1999,Photograph,Photography,1999-03-11,Y,46065,http://www.moma.org/collection/works/46065,http://www.moma.org/media/W1siZiIsIjIxOTcyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2f32785af9a86915,,,,16.5,,,24.0,,
Untitled,Ernest Cole,7971,"(South African, 1940–1990)",(South African),(1940),(1990),(Male),1960-63,Gelatin silver print,"6 1/2 × 9 7/16"" (16.5 × 24 cm)",The Family of Man Fund,91.1999,Photograph,Photography,1999-03-11,Y,46090,http://www.moma.org/collection/works/46090,http://www.moma.org/media/W1siZiIsIjIxOTczMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=48e777cd01da59b1,,,,16.5,,,24.0,,
"Soweto, South Africa",David Goldblatt,2214,"(South African, 1930–2018)",(South African),(1930),(2018),(Male),1970,Gelatin silver print,"9 5/8 × 9 11/16"" (24.5 × 24.6 cm)",The Family of Man Fund,366.1978,Photograph,Photography,1978-05-11,Y,51864,http://www.moma.org/collection/works/51864,http://www.moma.org/media/W1siZiIsIjExMDIxNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=03fd24faf5a399f5,,,,24.5,,,24.6,,
"Gang on Surface Work, Rustenberg Platinum Mine, South Africa",David Goldblatt,2214,"(South African, 1930–2018)",(South African),(1930),(2018),(Male),1971,Gelatin silver print,"9 11/16 × 9 5/8"" (24.7 × 24.6 cm)",The Family of Man Fund,367.1978,Photograph,Photography,1978-05-11,Y,51886,http://www.moma.org/collection/works/51886,http://www.moma.org/media/W1siZiIsIjE4NzM5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9aaffa9231c2ae93,,,,24.7,,,24.6,,
