Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Villa Snellman, Djursholm, Sweden, Elevation of garden facade, sketch",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),c. 1917,Graphite and crayon on tracing paper mounted on board,"9 1/8 x 13 3/4"" (23.2 x 34.9 cm)","Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase",33.1990,Architecture,Architecture & Design,1990-01-17,Y,107,http://www.moma.org/collection/works/107,http://www.moma.org/media/W1siZiIsIjUyNzA5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=92e8f178f47c7aab,,,,23.2,,,34.9,,
"Villa Snellman, Djursholm, Sweden, Exterior elevation",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1917,Ink on ozalid,"12 1/4 x 24 3/8"" (31.1 x 61.9 cm)","Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase",34.1990,Architecture,Architecture & Design,1990-01-17,Y,109,http://www.moma.org/collection/works/109,http://www.moma.org/media/W1siZiIsIjUyNzA5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=245bf297a65c20c0,,,,31.1,,,61.9,,
"Villa Snellman, Djursholm, Sweden, Exterior elevation",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1917,Ink on ozalid,"12 1/2 x 24 1/4"" (31.8 x 61.6 cm)","Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase",35.1990,Architecture,Architecture & Design,1990-01-17,Y,111,http://www.moma.org/collection/works/111,http://www.moma.org/media/W1siZiIsIjUyNzA5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c3338e5b71b15e9b,,,,31.8,,,61.6,,
"Villa Snellman, Djursholm, Sweden, Site plan",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1917,Graphite and crayon on tracing paper mounted on board,"15 1/2 x 13 3/8"" (39.4 x 34 cm)","Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase",36.1990,Architecture,Architecture & Design,1990-01-17,Y,113,http://www.moma.org/collection/works/113,http://www.moma.org/media/W1siZiIsIjUyNzA5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=483d5ce0599f08d7,,,,39.4,,,34.0,,
"Villa Snellman, Djursholm, Sweden, Ground-floor plan",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1917,Ink on ozalid,"22 1/2 x 24 5/8"" (57.2 x 62.5 cm)","Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase",37.1990,Architecture,Architecture & Design,1990-01-17,Y,115,http://www.moma.org/collection/works/115,http://www.moma.org/media/W1siZiIsIjUyNzExNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2fd71ad67e6bdeb6,,,,57.2,,,62.5,,
"Villa Snellman, Djursholm, Sweden, Second-floor plan",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1917,Ink on ozalid,"22 1/4 x 24 1/2"" (56.5 x 62.2 cm)","Gift of Mr. and Mrs. Edward Larrabee Barnes, Roblee McCarthy, Jr., Jeffrey P. Klein Purchase Fund, and purchase",38.1990,Architecture,Architecture & Design,1990-01-17,Y,117,http://www.moma.org/collection/works/117,http://www.moma.org/media/W1siZiIsIjUyNzExOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8e56b632b78b2214,,,,56.5,,,62.2,,
"Skandia Cinema, Stockholm, Sweden, Elevation of front of auditorium",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1923,Ink on paper mounted on board,"22 3/8"" x 31 1/4"" (56.8 x 79.4 cm)","Gift of Ira Levy, Mrs. Donald B. Marron, and purchase",39.1990,Architecture,Architecture & Design,1990-01-17,Y,119,http://www.moma.org/collection/works/119,http://www.moma.org/media/W1siZiIsIjUyNzEyMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b22e146af163f39e,,,,56.8,,,79.4,,
"Skandia Cinema, Stockholm, Sweden, Elevation of rear of auditorium",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1923,Ink on paper mounted on board,"22 1/2 x 31 1/8"" (57.2 x 79.1 cm)","Gift of Ira Levy, Mrs. Donald B. Marron, and purchase",40.1990,Architecture,Architecture & Design,1990-01-17,Y,121,http://www.moma.org/collection/works/121,http://www.moma.org/media/W1siZiIsIjUyNzEyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c7dd5bc81ed055ab,,,,57.2,,,79.1,,
"Skandia Cinema, Stockholm, Sweden, Plan of ground floor",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1923,Ink on paper mounted on board,"18 7/8 x 21 3/4"" (47.9 x 55.2 cm)
","Gift of Ira Levy, Mrs. Donald B. Marron, and purchase",41.1990,Architecture,Architecture & Design,1990-01-17,Y,123,http://www.moma.org/collection/works/123,http://www.moma.org/media/W1siZiIsIjUyNzE0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e43cbb4ea1eda773,,,,47.9,,,55.2,,
"Skandia Cinema, Stockholm, Sweden, Floor plan of mezzanine",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1923,Ink on paper mounted on board,"18 7/8 x 21 7/8"" (47.9 x 55.5 cm)","Gift of Ira Levy, Mrs. Donald B. Marron, and purchase",42.1990,Architecture,Architecture & Design,1990-01-17,Y,125,http://www.moma.org/collection/works/125,http://www.moma.org/media/W1siZiIsIjUyNzE0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e26678a19d7d8d54,,,,47.9,,,55.5,,
"Skandia Cinema, Stockholm, Sweden, Perspective of staircase",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),Unknown,Ink and graphite on tracing paper mounted on board,"13 x 11 3/4"" (33 x 29.8 cm)","Gift of Ira Levy, Mrs. Donald B. Marron, and purchase",43.1990,Architecture,Architecture & Design,1990-01-17,Y,126,http://www.moma.org/collection/works/126,http://www.moma.org/media/W1siZiIsIjUyNzE1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b6872c766cef971,,,,33.0,,,29.8,,
"Skandia Cinema, Stockholm, Sweden, Perspective of promenade",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),Unknown,Graphite on tracing paper mounted on board,"8 1/4 x 10 1/2"" (21 x 26.7 cm)","Gift of Ira Levy, Mrs. Donald B. Marron, and purchase",44.1990,Architecture,Architecture & Design,1990-01-17,Y,128,http://www.moma.org/collection/works/128,http://www.moma.org/media/W1siZiIsIjUyNzE1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b7d51089db303c33,,,,21.0,,,26.7,,
"Public Library, Stockholm, Sweden, Elevation of front facade",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),Unknown,Ink on paper,"36 x 36 3/4"" (91.4 x 93.3 cm)",Gift of Marshall Cogan and purchase,45.1990,Architecture,Architecture & Design,1990-01-17,Y,130,http://www.moma.org/collection/works/130,http://www.moma.org/media/W1siZiIsIjIxMDEwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c9f03ad407f5822a,,,,91.4,,,93.3,,
"Public Library, Stockholm, Sweden, Elevation of west facade",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),Unknown,Ink on paper with paper backing,"35 3/4 x 36 5/8"" (90.8 x 93 cm)",Gift of Marshall Cogan and purchase,46.1990,Architecture,Architecture & Design,1990-01-17,Y,131,http://www.moma.org/collection/works/131,http://www.moma.org/media/W1siZiIsIjUyNzE1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c788b593f6258113,,,,90.8,,,93.0,,
"Public Library, Stockholm, Sweden, Section",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),Unknown,Ink on paper with paper backing,"35 1/2 x 36 7/8"" (90.2 x 93.7 cm)",Gift of Marshall Cogan and purchase,47.1990,Architecture,Architecture & Design,1990-01-17,Y,132,http://www.moma.org/collection/works/132,http://www.moma.org/media/W1siZiIsIjUyNzE1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6398270e0fed6c51,,,,90.2,,,93.7,,
"Public Library, Stockholm, Sweden, Plan of first and second galleries",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),Unknown,Ink on paper,"35 3/4 x 35 3/4"" (90.8 x 90.8 cm)",Gift of Marshall Cogan and purchase,48.1990,Architecture,Architecture & Design,1990-01-17,Y,133,http://www.moma.org/collection/works/133,http://www.moma.org/media/W1siZiIsIjUyNzE2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=55bfa9f0c981d6e8,,,,90.8,,,90.8,,
"Stockholm Exhibition, Stockholm, Sweden (Elevation of advertising tower)",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1930,Gouache on board,"20 3/4 x 13"" (52.7 x 33 cm)",Gift of Frederieke Taylor and purchase,49.1990,Architecture,Architecture & Design,1990-01-17,Y,134,http://www.moma.org/collection/works/134,http://www.moma.org/media/W1siZiIsIjUyNzE3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=80bfec94c755b214,,,,52.7,,,33.0,,
"Law Courts Annex, Gothenburg, Sweden, Exterior elevation",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1936,Graphite on tracing paper,"12 x 27 3/4"" (30.5 x 70.5 cm)","Gift of Richard S. Zeisler, Richard Kahan, and purchase",50.1990,Architecture,Architecture & Design,1990-01-17,Y,135,http://www.moma.org/collection/works/135,http://www.moma.org/media/W1siZiIsIjUyNzE4MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=748ed4d4485c1ffe,,,,30.5,,,70.5,,
"Law Courts Annex, Gothenburg, Sweden, Plan of courtroom and section of desk",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),Unknown,Ink on paper,"15 1/2 x 20 1/8"" (39.4 x 51.1 cm)","Gift of Richard S. Zeisler, Richard Kahan, and purchase",51.1990,Architecture,Architecture & Design,1990-01-17,Y,136,http://www.moma.org/collection/works/136,http://www.moma.org/media/W1siZiIsIjUyNzE4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e692a63a5bf46070,,,,39.4,,,51.1,,
"Woodland Crematorium, Stockholm, Sweden, Second version: section and two exterior elevations",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1935,Graphite on tracing paper mounted on board,"12 x 32 7/8"" (30.5 x 83.5 cm)","Gift of Blanchette Hooker Rockefeller, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",52.1990,Architecture,Architecture & Design,1990-01-17,Y,137,http://www.moma.org/collection/works/137,http://www.moma.org/media/W1siZiIsIjUyNzE5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a7ab38057f018f68,,,,30.5,,,83.5,,
"Woodland Crematorium, Woodland Cemetery, Stockholm, Sweden, Second version: exterior elevation",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1935,Graphite on tracing paper mounted on board,"12 1/8 x 33"" (30.8 x 83.8 cm)","Gift of Blanchette Hooker Rockefeller, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",53.1990,Architecture,Architecture & Design,1990-01-17,Y,138,http://www.moma.org/collection/works/138,http://www.moma.org/media/W1siZiIsIjUyNzE5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=81576442325e8d03,,,,30.8,,,83.8,,
"Woodland Crematorium, Stockholm, Sweden, Second version: exterior elevation",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1935,Graphite on tracing paper mounted on board,"12 1/8 x 32 7/8"" (30.8 x 83.5 cm)","Gift of Blanchette Hooker Rockefeller, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",54.1990,Architecture,Architecture & Design,1990-01-17,Y,139,http://www.moma.org/collection/works/139,http://www.moma.org/media/W1siZiIsIjUyNzIwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f0739108653e2384,,,,30.8,,,83.5,,
"Woodland Crematorium, Woodland Cemetery, Stockholm, Sweden, Second version: exterior elevation",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1935,Graphite on tracing paper on board,"12 1/8 x 33"" (30.8 x 83.8 cm)","Gift of Blanchette Hooker Rockefeller, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",55.1990,Architecture,Architecture & Design,1990-01-17,Y,141,http://www.moma.org/collection/works/141,http://www.moma.org/media/W1siZiIsIjUyNzIwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2db283bec749927a,,,,30.8,,,83.3,,
"Woodland Crematorium, Stockholm, Sweden, Second version: exterior elevation and section",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1935,Graphite on tracing paper mounted on board,"12 1/8 x 33"" (30.8 x 83.8 cm)","Gift of Blanchette Hooker Rockefeller, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",56.1990,Architecture,Architecture & Design,1990-01-17,Y,142,http://www.moma.org/collection/works/142,http://www.moma.org/media/W1siZiIsIjUyNzIwNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a25f07945443c847,,,,30.8,,,83.8,,
"Woodland Crematorium, Stockholm, Sweden, Second version: Two sections",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),1935,Graphite on tracing paper mounted on board,"12 x 32 7/8"" (30.5 x 83.5 cm)","Gift of Blanchette Hooker Rockefeller, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",57.1990,Architecture,Architecture & Design,1990-01-17,Y,143,http://www.moma.org/collection/works/143,http://www.moma.org/media/W1siZiIsIjUyNzIwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ef4b87a563b4e525,,,,30.5,,,83.5,,
"Woodland Crematorium, Woodland Cemetery, Stockholm, Sweden, Second version: exterior perspective",Erik Gunnar Asplund,27,"(Swedish, 1885–1940)",(Swedish),(1885),(1940),(Male),Unknown,Graphite on tracing paper,"10 1/4 x 24 3/4"" (26 x 62.9 cm)","Gift of Blanchette Hooker Rockefeller, Mrs. Gifford Phillips, Celeste and Armand P. Bartos, Mrs. S. I. Newhouse, Jr., and purchase",58.1990,Architecture,Architecture & Design,1990-01-17,Y,144,http://www.moma.org/collection/works/144,http://www.moma.org/media/W1siZiIsIjUyNzIwOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eba7299edafed611,,,,26.0,,,62.9,,
