Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Parkett no. 44,"Vija Celmins, Hans Danuser, Andreas Gursky, Rirkrit Tiravanija, Various Artists","1048, 19194, 7806, 7479, 24409","(American, born Latvia 1938) (Swiss, born 1953) (German, born 1955) (Thai, born Argentina 1961)",(American) (Swiss) (German) (Thai) (),(1938) (1953) (1955) (1961) (0),(0) (0) (0) (0) (0),(Female) (Male) (Male) (Male) (),1994,Journal,,,50.1998.2x1-x2,Periodical,Drawings & Prints,1998-03-05,Y,10765,http://www.moma.org/collection/works/10765,http://www.moma.org/media/W1siZiIsIjQyOTMyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=25aa54be48924c07,,,,,,,,,
"Untitled, 1996 (tomorrow is another day)",Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),1998,Artist's book,"page (each): 4 3/4 x 6 3/4"" (12 x 17.1cm); overall (closed): 4 15/16 x 6 13/16 x 1/2"" (12.5 x 17.3 x 1.2 cm)",Monroe Wheeler Fund,177.2000,Illustrated Book,Drawings & Prints,2000-03-02,Y,12703,http://www.moma.org/collection/works/12703,,,,,12.0,,,17.1,,
Parkett no. 44,"Christian Marclay, Hans Danuser, Rirkrit Tiravanija, Andreas Gursky, Vija Celmins, Various Artists","8478, 19194, 7479, 7806, 1048, 24409","(American and Swiss, born 1955) (Swiss, born 1953) (Thai, born Argentina 1961) (German, born 1955) (American, born Latvia 1938)",(American) (Swiss) (Thai) (German) (American) (),(1955) (1953) (1961) (1955) (1938) (0),(0) (0) (0) (0) (0) (0),(Male) (Male) (Male) (Male) (Female) (),1995,Journal with three special edition projects,,"Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett",50.1998.1-2,Print,Drawings & Prints,1998-03-05,N,60937,,,,,,,,,,,
Untitled (for Parkett no. 44),Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),1995,"Multiple of eyeglasses with engraved lenses, housed in eyeglass case","eyeglasses (open): 5 3/8 x 5 5/16 x 1 9/16"" (13.7 x 13.5 x 4 cm); case: 2 11/16 x 6 5/16 x 1 3/8"" (6.8 x 16 x 3.5 cm)","Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett",130.1998.a-c,Multiple,Drawings & Prints,1998-03-05,Y,62449,http://www.moma.org/collection/works/62449,,,4.0,,13.7,,,13.5,,
Untitled (lunch box),Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),1996,"Multiple of stainless steel container, Thai newspaper, and Thai meal","overall (lunchbox): 12 3/8 x 6 5/16 x 7 1/16"" (31.5 x 16 x 18 cm); newspaper page (each): 21 1/4 x 15 3/8"" (54 x 39 cm)",Linda Barth Goldstein Fund,264.1997.a-b,Multiple,Drawings & Prints,1997-05-28,Y,65545,http://www.moma.org/collection/works/65545,http://www.moma.org/media/W1siZiIsIjIxOTAwMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3c5c5e59ae05d9e,,18.0,,31.5,,,16.0,,
Untitled (apron and Thai pork sausage),Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),1993,"Multiple of brown paper apron with string, tape, and decal, and Xeroxed recipe","sheet (irreg.): 41 1/4 x 28 1/16"" (104 x 71.3 cm)",Purchased with funds given by Linda Barth Goldstein,747.1995.a-b,Multiple,Drawings & Prints,1995-11-13,Y,73761,http://www.moma.org/collection/works/73761,http://www.moma.org/media/W1siZiIsIjIwOTI2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=42ac76331dcf1188,,,,104.0,,,71.3,,
Untitled (rucksack installation),Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),1993,"Multiple of backpack, map, camping stove, dishes, can opener, and ingredients for a Thai rice meal","rucksack (approx.): 15 3/4 x 12 5/8 x 11 7/16"" (40 x 32 x 29cm); sheet (map): 76 5/16 x 68 1/8"" (193.9 x 173 cm)",Purchased with funds given by Linda Barth Goldstein,771.1995,Multiple,Drawings & Prints,1995-11-13,Y,73976,http://www.moma.org/collection/works/73976,http://www.moma.org/media/W1siZiIsIjIxOTEyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=30aed72793607091,,29.0,,40.0,,,32.0,,
Untitled (White Out),Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),(1991),Corrected typewriting on two pieces of paper on colored paperboard,"17 3/4 x 23 3/4"" (45.1 x 60.3 cm)
",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3254.2005,Drawing,Drawings & Prints,2005-05-10,Y,97565,http://www.moma.org/collection/works/97565,http://www.moma.org/media/W1siZiIsIjQ4ODE5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=79fcbf3712f23f68,,,,45.0851,,,60.3251,,
Untitled for the Museum in Progress project Cities on the Move,"Navin Rawanchaikul, Rirkrit Tiravanija","31016, 7479","(Thai, born 1971) (Thai, born Argentina 1961)",(Thai) (Thai),(1971) (1961),(0) (0),(Male) (Male),"(newspaper published: November 26, 1997 through December 19, 1997)","Four lithographs, offset printed","sheet (each): 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.119a-d,Print,Drawings & Prints,2006-06-01,N,103720,,,,,,47.0,,,31.5,,
Untitled for the Museum in Progress project Cities on the Move,"Navin Rawanchaikul, Rirkrit Tiravanija","31016, 7479","(Thai, born 1971) (Thai, born Argentina 1961)",(Thai) (Thai),(1971) (1961),(0) (0),(Male) (Male),"(newspaper published: November 26, 1997 through December 19, 1997)","Four lithographs, offset printed","sheet (each): 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.119a-d,Print,Drawings & Prints,2006-06-01,N,103720,,,,,,47.0,,,31.5,,
Untitled from the Museum in Progress project urbanTension,Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),"(newspapers published February 14 through April 3, 2003)","Three lithographs, offset printed","sheet: 18 1/2 x 12 3/8"" (47 x 31.5 cm)",Linda Barth Goldstein Fund,514.2006.356a-c,Print,Drawings & Prints,2006-06-01,N,103777,,,,,,47.0,,,31.5,,
Drive In from the Museum in Progress project Interventions: Billboard,"Martine Aballea, Bernard Bazile, Jeremy Deller, Hans-Peter Feldmann, Felix Gonzalez-Torres, Rudi Molacek, Navin Rawanchaikul, Gerwald Rockenschaub, Markus Schinwald, Beat Streuli, Rirkrit Tiravanija, Rosemarie Trockel","31304, 40803, 30166, 8045, 2233, 19075, 31016, 40804, 31033, 8156, 7479, 5933","(American, born 1950) (French, born 1952) (British, born 1966) (German, born 1941) (American, born Cuba. 1957–1996) (Austrian, born 1948) (Thai, born 1971) (Austrian, born 1973) (Swiss, born 1957) (Thai, born Argentina 1961) (German, born 1952)",() () (British) (German) (American) (Austrian) (Thai) () (Austrian) (Swiss) (Thai) (German),(1950) (1952) (1966) (1941) (1957) (1948) (1971) (0) (1973) (1957) (1961) (1952),(0) (0) (0) (0) (1996) (0) (0) (0) (0) (0) (0) (0),(Female) () (Male) (Male) (Male) (Male) (Male) () (Male) (Male) (Male) (Female),"(newspaper published December 10, 1999)","Lithograph, offset printed","sheet (two-page spread): 18 5/16 x 24 13/16"" (46.5 x 63 cm)",Linda Barth Goldstein Fund,514.2006.145,Print,Drawings & Prints,2006-06-01,N,104774,,,,,,46.5,,,63.0,,
Drive In from the Museum in Progress project Interventions: Billboard,"Martine Aballea, Bernard Bazile, Jeremy Deller, Hans-Peter Feldmann, Felix Gonzalez-Torres, Rudi Molacek, Navin Rawanchaikul, Gerwald Rockenschaub, Markus Schinwald, Beat Streuli, Rirkrit Tiravanija, Rosemarie Trockel","31304, 40803, 30166, 8045, 2233, 19075, 31016, 40804, 31033, 8156, 7479, 5933","(American, born 1950) (French, born 1952) (British, born 1966) (German, born 1941) (American, born Cuba. 1957–1996) (Austrian, born 1948) (Thai, born 1971) (Austrian, born 1973) (Swiss, born 1957) (Thai, born Argentina 1961) (German, born 1952)",() () (British) (German) (American) (Austrian) (Thai) () (Austrian) (Swiss) (Thai) (German),(1950) (1952) (1966) (1941) (1957) (1948) (1971) (0) (1973) (1957) (1961) (1952),(0) (0) (0) (0) (1996) (0) (0) (0) (0) (0) (0) (0),(Female) () (Male) (Male) (Male) (Male) (Male) () (Male) (Male) (Male) (Female),"(newspaper published December 10, 1999)","Lithograph, offset printed","sheet (two-page spread): 18 5/16 x 24 13/16"" (46.5 x 63 cm)",Linda Barth Goldstein Fund,514.2006.145,Print,Drawings & Prints,2006-06-01,N,104774,,,,,,46.5,,,63.0,,
"Demonstration 1, Demonstration 2 (freedom cannot be simulated), and Untitled (a moment of life concretely and deliberately constructed...) from the Museum in Progress project Speed & Slowness",Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),(journals published October 2003 through June 2004),"Three lithographs, offset printed","Each sheet: 16 9/16 x 11 5/8"" (42 x 29.5 cm)",Linda Barth Goldstein Fund,514.2006.345a-c,Print,Drawings & Prints,2006-06-01,N,115041,,,,,,42.0,,,29.5,,
Atlas I - VI,Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),1995-2007,Series of six multiples with collage additions,"composition (each): 20 1/4 x 17 15/16"" (51.5 x 45.6 cm); sheet (each, folded): 6 x 4 1/8"" (15.2 x 10.5 cm); sheet (each, folded): 20 1/4 x 17 15/16"" (51.5 x 45.6 cm)",General Print Fund,312.2008.1-6,Print,Drawings & Prints,2008-03-12,Y,116102,http://www.moma.org/collection/works/116102,http://www.moma.org/media/W1siZiIsIjIxOTAzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=886a18bac5e94a9b,,,,51.5,,,45.6,,
Atlas I from Atlas I - VI,Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),1995,One from a series of six multiples with collage additions,"composition: 20 1/4 x 17 15/16"" (51.5 x 45.6 cm); sheet (folded): 6 x 4 1/8"" (15.2 x 10.5 cm); sheet (unfolded): 20 1/4 x 17 15/16"" (51.5 x 45.6 cm)",General Print Fund,312.2008.1,Print,Drawings & Prints,2008-03-12,Y,118136,http://www.moma.org/collection/works/118136,http://www.moma.org/media/W1siZiIsIjIxOTAzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=886a18bac5e94a9b,,,,51.5,,,45.6,,
Atlas II from Atlas I - VI,Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),1997,One from a series of six multiples with collage additions,"composition: 20 1/4 x 17 15/16"" (51.5 x 45.6 cm); sheet (folded): 6 x 4 1/8"" (15.2 x 10.5 cm); sheet (unfolded): 20 1/4 x 17 15/16"" (51.5 x 45.6 cm)",General Print Fund,312.2008.2,Print,Drawings & Prints,2008-03-12,Y,118137,http://www.moma.org/collection/works/118137,http://www.moma.org/media/W1siZiIsIjIxOTAzMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c7e89e5729532bd,,,,51.5,,,45.6,,
Atlas III from Atlas I - VI,Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),1997,One from a series of six multiples with collage additions,"composition: 20 1/4 x 17 15/16"" (51.5 x 45.6 cm); sheet (folded): 6 x 4 1/8"" (15.2 x 10.5 cm); sheet (unfolded): 20 1/4 x 17 15/16"" (51.5 x 45.6 cm)",General Print Fund,312.2008.3,Print,Drawings & Prints,2008-03-12,Y,118138,http://www.moma.org/collection/works/118138,http://www.moma.org/media/W1siZiIsIjIxOTAzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=abbd1c17da97538e,,,,51.5,,,45.6,,
Atlas IV from Atlas I - VI,Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),1997,One from a series of six multiples with collage additions,"composition: 20 1/4 x 17 15/16"" (51.5 x 45.6 cm); sheet (folded): 6 x 4 1/8"" (15.2 x 10.5 cm); sheet (unfolded): 20 1/4 x 17 15/16"" (51.5 x 45.6 cm)",General Print Fund,312.2008.4,Print,Drawings & Prints,2008-03-12,Y,118139,http://www.moma.org/collection/works/118139,http://www.moma.org/media/W1siZiIsIjIxOTAzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dc48a169cff29901,,,,51.5,,,45.6,,
Atlas V from Atlas I - VI,Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),2007,One from a series of six multiples with collage additions,"composition: 20 1/4 x 17 15/16"" (51.5 x 45.6 cm); sheet (folded): 6 x 4 1/8"" (15.2 x 10.5 cm); sheet (unfolded): 20 1/4 x 17 15/16"" (51.5 x 45.6 cm)",General Print Fund,312.2008.5,Print,Drawings & Prints,2008-03-12,Y,118140,http://www.moma.org/collection/works/118140,http://www.moma.org/media/W1siZiIsIjIxOTAzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e0860fdcbad38989,,,,51.5,,,45.6,,
Atlas VI from Atlas I - VI,Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),2007,One from a series of six multiples with collage additions,"composition: 20 1/4 x 17 15/16"" (51.5 x 45.6 cm); sheet (folded): 6 x 4 1/8"" (15.2 x 10.5 cm); sheet (unfolded): 20 1/4 x 17 15/16"" (51.5 x 45.6 cm)",General Print Fund,312.2008.6,Print,Drawings & Prints,2008-03-12,Y,118141,http://www.moma.org/collection/works/118141,http://www.moma.org/media/W1siZiIsIjIxOTAzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=73300184de6a9765,,,,51.5,,,45.6,,
Untitled 2008-2011 (the map of the land of feeling) I,Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),2008-11,"Scroll with digital printing, lithography, chine collé and screenprint","sheet (approx.): 36 x 334 1/2"" (91.4 x 849.6 cm)",Acquired through the generosity of Marie-Josée and Henry R. Kravis in honor of Paul Emile Cherix,341.2011,Print,Drawings & Prints,2011-05-16,Y,147128,http://www.moma.org/collection/works/147128,http://www.moma.org/media/W1siZiIsIjI1Mzc2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7bbac0c44163e185,,,,91.4401828804,,,849.6316992634,,
untitled (free/still),Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),1992/1995/2007/2011-,"Refrigerator, table, chairs, wood, drywall, food and other materials",Dimensions variable,Gift of Mr. and Mrs. Eli Wallach (by exchange),225.2011,Sculpture,Painting & Sculpture,2011-05-12,Y,147206,http://www.moma.org/collection/works/147206,http://www.moma.org/media/W1siZiIsIjIzNDk1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1f70ad998f02c7a0,,,,,,,,,
Untitled 2008-2011 (the map of the land of feeling) II,Rirkrit Tiravanija,7479,"(Thai, born Argentina 1961)",(Thai),(1961),(0),(Male),2008-11,"Scroll with digital printing, lithography, chine collé and screenprint","sheet (approx.): 36 x 334 1/2"" (91.4 x 849.6 cm)",Acquired through the generosity of Marie-Josée and Henry R. Kravis in honor of Paul Emile Cherix,342.2011,Print,Drawings & Prints,2011-05-16,Y,147874,http://www.moma.org/collection/works/147874,http://www.moma.org/media/W1siZiIsIjI1Mzc2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c0093cb9316e7bfe,,,,91.4401828804,,,849.6316992634,,
