Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
(Fellahines Collecting Manure),J. Pascal Sébah,5309,"(Turkish, 1838–1890)",(Turkish),(1838),(1890),(Male),n.d.,Albumen silver print (gold-toned),"8 1/8 × 10 9/16"" (20.7 × 26.8 cm)",Gift of Blanchette Hooker Rockefeller,335.1975,Photograph,Photography,1975-10-23,N,51074,,,,,,20.7,,,26.8,,
"TOMBAUXDES MAMELUKS BAHARITES, CAIRO",J. Pascal Sébah,5309,"(Turkish, 1838–1890)",(Turkish),(1838),(1890),(Male),n.d.,Albumen silver print,"9 15/16 × 8 5/16"" (25.2 × 21.1 cm)",Gift of Mrs. John Swayze,1181.1979,Photograph,Photography,1979-12-13,N,57811,,,,,,25.2,,,21.1,,
Untitled (colophon-title page) from the portfolio WALLS V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(July 24-26) 1969,"Lithograph, printed in color","composition  23 1/8 x 19 5/16"" (58.7 x 49 cm)",,252.1970.1,Print,Drawings & Prints,1974-01-10,N,65268,,,,,,58.7,,,49.0,,
WALLS V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(June 20-July 26) 1969,"Eleven lithographs, printed in color","Various composition dimensions.  Sheet (ea.  approx.):  23 1/8 x 19 5/16"" (58.7 x 49.0 cm)","Gift of Kleiner, Bell & Co.",252.1970.1-11,Print,Drawings & Prints,1974-01-10,N,65269,,,,,,58.7,,,49.0,,
Untitled from the portfolio WALLS V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(July 18-25) 1969,"Lithograph, printed in color","composition  23 1/8 x 19 3/8"" (58.7 x 49.3 cm)",,252.1970.10,Print,Drawings & Prints,1974-01-10,N,65270,,,,,,58.7,,,49.3,,
Untitled from the portfolio WALLS V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),"(June 20-30, 1969)","Lithograph, printed in black and color","composition  22 15/16 x 19 1/4"" (58.3 x 48.9 cm)",,252.1970.11,Print,Drawings & Prints,1974-01-10,N,65271,,,,,,58.3,,,48.9,,
Untitled from the portfolio WALLS V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(June 24-27) 1969,"Lithograph, printed in black and color","irreg composition  23 1/16 x 17 1/2"" (58.6 x 44.4 cm)",,252.1970.2,Print,Drawings & Prints,1974-01-10,N,65272,,,,,,58.6,,,44.4,,
Untitled from the portfolio WALLS V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(June 25-July 7) 1969,"Lithograph, printed in color","composition  23 1/8 x 19 1/4"" (58.7 x 48.9 cm)",,252.1970.3,Print,Drawings & Prints,1974-01-10,N,65273,,,,,,58.7,,,48.9,,
Untitled from the portfolio WALLS V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(July 10-22) 1969,"Lithograph, printed in color","composition  23 1/8 x 19 3/16"" (58.7 x 48.7 cm)",,252.1970.4,Print,Drawings & Prints,1974-01-10,N,65274,,,,,,58.7,,,48.7,,
Untitled from the portfolio WALLS V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(July 2-15) 1969,"Lithograph, printed in color","composition  23 1/8 x 19 3/16"" (58.8 x 48.8 cm)",,252.1970.5,Print,Drawings & Prints,1974-01-10,N,65275,,,,,,58.8,,,48.8,,
Untitled from the portfolio WALLS V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(July 1-15) 1969,"Lithograph, printed in color","composition  23 1/8 x 19 7/16"" (58.7 x 49.4 cm)",,252.1970.6,Print,Drawings & Prints,1974-01-10,N,65276,,,,,,58.7,,,49.4,,
Untitled from the portfolio WALLS V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(July 14-22) 1969,"Lithograph, printed in color","composition  23 1/8 x 19 3/16"" (58.7 x 48.8 cm)",,252.1970.7,Print,Drawings & Prints,1974-01-10,N,65277,,,,,,58.7,,,48.8,,
Untitled from the portfolio WALLS V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(July 11-23) 1969,"Lithograph, printed in color","composition  23 x 19 5/16"" (58.5 x 49.1 cm)",,252.1970.8,Print,Drawings & Prints,1974-01-10,N,65278,,,,,,58.5,,,49.1,,
Untitled from the portfolio WALLS V,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(July 18-25) 1969,"Lithograph, printed in color","composition  23 1/8 x 19 5/16"" (58.7 x 49 cm)",,252.1970.9,Print,Drawings & Prints,1974-01-10,N,65279,,,,,,58.7,,,49.0,,
Untitled,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),1969,"Lithograph, printed in color",,"Gift of Kleiner, Bell & Co.",253.1970,Print,Drawings & Prints,1974-01-10,N,65297,,,,,,,,,,,
Untitled,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(June 23-July 7) 1969,"Lithograph, printed in color","sl. irreg. composition  20 15/16 x 18 1/16"" (53.3 x 45.9 cm)
sheet  24 1/16 x 19 3/8"" (61.1 x 49.2 cm)","Gift of Kleiner, Bell & Co.",254.1970,Print,Drawings & Prints,1974-01-10,N,65325,,,,,,53.3,,,45.9,,
Untitled,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),"(June 30-July 2, 1969)","Lithograph, printed in color","irreg composition  23 1/8 x 13 5/16"" (58.7 x 33.8 cm)
sheet  23 1/8 x 19 3/8"" (58.7 x 49.2 cm)","Gift of Kleiner, Bell & Co.",255.1970,Print,Drawings & Prints,1974-01-10,N,65346,,,,,,58.7,,,33.8,,
Untitled,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(July 1) 1969,"Lithograph, printed in color","irreg composition  23 1/16 x 17 7/16"" (58.6 x 44.3 cm)
sheet  23 1/16 x 19 5/16"" (58.6 x 49 cm)","Gift of Kleiner, Bell & Co.",256.1970,Print,Drawings & Prints,1974-01-10,N,65364,,,,,,58.6,,,44.3,,
Untitled,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),1969,"Lithograph, printed in color",,"Gift of Kleiner, Bell & Co.",257.1970,Print,Drawings & Prints,1974-01-10,N,65385,,,,,,,,,,,
Untitled,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),1969,Lithograph,"composition: 19 x 15"" (48.2 x 38.1cm); sheet: 19 x 15"" (48.2 x 38.1cm)","Gift of Kleiner, Bell & Co.",656.1969,Print,Drawings & Prints,1974-01-10,Y,72690,http://www.moma.org/collection/works/72690,http://www.moma.org/media/W1siZiIsIjI3NjU0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d3ffa44d531520ae,,,,48.2,,,38.1,,
Untitled,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),1969,Lithograph,"composition: 19 x 15 3/16"" (48.2 x 38.6cm); sheet: 19 x 15 3/16"" (48.2 x 38.6cm)","Gift of Kleiner, Bell & Co.",657.1969,Print,Drawings & Prints,1974-01-10,Y,72706,http://www.moma.org/collection/works/72706,http://www.moma.org/media/W1siZiIsIjI3NjU0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5cdaa53ef651ff27,,,,48.2,,,38.6,,
Untitled,Burhan Dogancay,1569,"(Turkish, 1929–2013)",(Turkish),(1929),(2013),(Male),(June 5-23) 1969,"Lithograph, printed in color","composition  24 3/16 x 20"" (61.4 x 50.9 cm)
sheet  24 3/16 x 20"" (61.4 x 50.9 cm)","Gift of Kleiner, Bell & Co.",658.1969,Print,Drawings & Prints,1974-01-10,N,72721,,,,,,61.4,,,50.9,,
The Glory of the Kings,Erol (Erol Akyavas),1753,"(Turkish, 1932–1999)",(Turkish),(1932),(1999),(Male),1959?,Oil on canvas,"48"" x 7' 1/4"" (121.8 x 214 cm)",Gift of Mr. and Mrs. L. M. Angeleski,130.1961,Painting,Painting & Sculpture,1961-05-16,Y,78928,http://www.moma.org/collection/works/78928,http://www.moma.org/media/W1siZiIsIjIwODI4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c25824908a23408e,,,,121.8,,,214.0,,
The Chain,Bedri Rahmi,4790,"(Turkish, 1913–1975)",(Turkish),(1913),(1975),(Male),1962,Synthetic polymer paint on burlap,"14 1/8 x 47 5/8"" (35.8 x 121 cm)",Gift of the Honorable Turgut Menemencioglu,234.1962,Painting,Painting & Sculpture,1962-10-09,Y,79221,http://www.moma.org/collection/works/79221,http://www.moma.org/media/W1siZiIsIjE3NjkwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c4a81aa029049727,,,,35.8,,,121.0,,
The Unknown Political Prisoner,Zühtü Müritoğlu,4179,"(Turkish, 1906–1992)",(Turkish),(1906),(1992),(Male),1956,Wood and iron,"53 3/4 x 15 3/8 x 15 1/2"" (136.4 x 39 x 39.4 cm)",Purchase,135.1958,Sculpture,Painting & Sculpture,1958-10-29,Y,81004,http://www.moma.org/collection/works/81004,,,39.4,,136.4,,,39.0,,
