Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Zvenygora,"Vasyl Krychevsky, Alexander Dovzhenko","3248, 32230","(Ukranian, born 1927) (Ukrainian, 1894–1956)",(Ukrainian) (Ukrainian),(1927) (1894),(0) (1956),(Male) (Male),1927,Lithograph,"40 1/8 x 28 3/8"" (101.5 x 71 cm)",Anonymous gift,483.1987,Design,Architecture & Design,1987-11-18,Y,7195,http://www.moma.org/collection/works/7195,http://www.moma.org/media/W1siZiIsIjIxMTUyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=068061758184a83f,,,,101.5,,,71.0,,
Zvenygora,"Vasyl Krychevsky, Alexander Dovzhenko","3248, 32230","(Ukranian, born 1927) (Ukrainian, 1894–1956)",(Ukrainian) (Ukrainian),(1927) (1894),(0) (1956),(Male) (Male),1927,Lithograph,"40 1/8 x 28 3/8"" (101.5 x 71 cm)",Anonymous gift,483.1987,Design,Architecture & Design,1987-11-18,Y,7195,http://www.moma.org/collection/works/7195,http://www.moma.org/media/W1siZiIsIjIxMTUyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=068061758184a83f,,,,101.5,,,71.0,,
Sadok Sudei (A Trap for Judges),Vladimir Burliuk,12001,"(Ukrainian, 1886–1917)",(Ukrainian),(1886),(1917),(Male),1910,Book with ten letterpress illustrations on wallpaper and wallpaper cover with collage additions,"Page: 4 7/8 x 3 15/16"" (12.4 x 10 cm)",Gift of The Judith Rothschild Foundation,21.2001.1-10,Illustrated Book,Drawings & Prints,2001-01-24,Y,9421,http://www.moma.org/collection/works/9421,http://www.moma.org/media/W1siZiIsIjIxMDA0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f34e38a5f494c255,,,,12.4,,,10.0,,
Sadok sudei II (A Trap for Judges II),"Various Artists, David Burliuk, Vladimir Burliuk, Natalia Goncharova, Elena Guro, Mikhail Larionov","24409, 877, 12001, 2229, 12025, 3389","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917) (Russian, 1881–1962) (Russian, 1877 – 1913) (Russian, 1881–1964)",() (Ukrainian) (Ukrainian) (Russian) (Russian) (Russian),(0) (1882) (1886) (1881) (1877) (1881),(0) (1967) (1917) (1962) (1913) (1964),() (Male) (Male) (Female) (Female) (Male),1913,Illustrated book with 15 letterpress illustrations and wallpaper cover with collage additions,"page (each): 7 11/16 x 6 1/2"" (19.5 x 16.5 cm)",Gift of The Judith Rothschild Foundation,22.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,9549,http://www.moma.org/collection/works/9549,http://www.moma.org/media/W1siZiIsIjIxMDA0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=81aeeac0132e461e,,,,19.5,,,16.5,,
Sadok sudei II (A Trap for Judges II),"Various Artists, David Burliuk, Vladimir Burliuk, Natalia Goncharova, Elena Guro, Mikhail Larionov","24409, 877, 12001, 2229, 12025, 3389","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917) (Russian, 1881–1962) (Russian, 1877 – 1913) (Russian, 1881–1964)",() (Ukrainian) (Ukrainian) (Russian) (Russian) (Russian),(0) (1882) (1886) (1881) (1877) (1881),(0) (1967) (1917) (1962) (1913) (1964),() (Male) (Male) (Female) (Female) (Male),1913,Illustrated book with 15 letterpress illustrations and wallpaper cover with collage additions,"page (each): 7 11/16 x 6 1/2"" (19.5 x 16.5 cm)",Gift of The Judith Rothschild Foundation,22.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,9549,http://www.moma.org/collection/works/9549,http://www.moma.org/media/W1siZiIsIjIxMDA0OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=81aeeac0132e461e,,,,19.5,,,16.5,,
"Strelets (The Archer), vol. 1","Various Artists, David Burliuk, Vladimir Burliuk, Nikolai Kul'bin, Aristarkh Lentulov, Aleksei Remizov, Olga Rozanova, Maria Siniakova","24409, 877, 12001, 12171, 23413, 14185, 5066, 12074","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917) (Russian, 1868–1917) (Russian, 1882–1943) (Russian, 1877–1957) (Russian, 1886–1918) (Russian, 1898–1989)",() (Ukrainian) (Ukrainian) (Russian) (Russian) () (Russian) (Russian),(0) (1882) (1886) (1868) (1882) (1877) (1886) (1898),(0) (1967) (1917) (1917) (1943) (1957) (1918) (1989),() (Male) (Male) (Male) (Male) (Male) (Female) (Female),1915,Illustrated book with 17 letterpress illustrations (including cover) and letterpress manuscript text,"page (each): 9 1/4 x 6 15/16"" (23.5 x 17.6 cm)",Gift of The Judith Rothschild Foundation,24.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,9798,http://www.moma.org/collection/works/9798,http://www.moma.org/media/W1siZiIsIjIxMDA1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5ba336b17b621b2e,,,,23.5,,,17.6,,
"Strelets (The Archer), vol. 1","Various Artists, David Burliuk, Vladimir Burliuk, Nikolai Kul'bin, Aristarkh Lentulov, Aleksei Remizov, Olga Rozanova, Maria Siniakova","24409, 877, 12001, 12171, 23413, 14185, 5066, 12074","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917) (Russian, 1868–1917) (Russian, 1882–1943) (Russian, 1877–1957) (Russian, 1886–1918) (Russian, 1898–1989)",() (Ukrainian) (Ukrainian) (Russian) (Russian) () (Russian) (Russian),(0) (1882) (1886) (1868) (1882) (1877) (1886) (1898),(0) (1967) (1917) (1917) (1943) (1957) (1918) (1989),() (Male) (Male) (Male) (Male) (Male) (Female) (Female),1915,Illustrated book with 17 letterpress illustrations (including cover) and letterpress manuscript text,"page (each): 9 1/4 x 6 15/16"" (23.5 x 17.6 cm)",Gift of The Judith Rothschild Foundation,24.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,9798,http://www.moma.org/collection/works/9798,http://www.moma.org/media/W1siZiIsIjIxMDA1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5ba336b17b621b2e,,,,23.5,,,17.6,,
"Dokhlaia luna. Sbornik edinstvennykh futuristov mira!! Poetov Gileia. Stikhi, proza, stat'i, risunki, oforty (The Croaked Moon: Collection of the Sole Futurists of the World!! The Gileia Poets: Verse, Prose, Essays, Drawings, and Etchings)","David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1913,"Book with 16 lithographs, three letterpress illustrations, and two etchings","page (each approx.): 7 11/16 x 6"" (19.5 x 15.2 cm)",Gift of The Judith Rothschild Foundation,25.2001.1-17,Illustrated Book,Drawings & Prints,2001-01-24,Y,9855,http://www.moma.org/collection/works/9855,,,,,19.5263,,,15.2,,
"Dokhlaia luna. Sbornik edinstvennykh futuristov mira!! Poetov Gileia. Stikhi, proza, stat'i, risunki, oforty (The Croaked Moon: Collection of the Sole Futurists of the World!! The Gileia Poets: Verse, Prose, Essays, Drawings, and Etchings)","David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1913,"Book with 16 lithographs, three letterpress illustrations, and two etchings","page (each approx.): 7 11/16 x 6"" (19.5 x 15.2 cm)",Gift of The Judith Rothschild Foundation,25.2001.1-17,Illustrated Book,Drawings & Prints,2001-01-24,Y,9855,http://www.moma.org/collection/works/9855,,,,,19.5263,,,15.2,,
"Dokhlaia luna. Stikhi, proza, stat'i, risunki, oforty (Croaked Moon: Verse, Prose, Essays, Drawings, and Etchings)","David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1914,,"Page: 9 5/16 x 7 3/16"" (23.6 x 18.3 cm)",Gift of The Judith Rothschild Foundation,26.2001.1-19,Illustrated Book,Drawings & Prints,2001-01-24,N,9884,,,,,,23.6,,,18.3,,
"Dokhlaia luna. Stikhi, proza, stat'i, risunki, oforty (Croaked Moon: Verse, Prose, Essays, Drawings, and Etchings)","David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1914,,"Page: 9 5/16 x 7 3/16"" (23.6 x 18.3 cm)",Gift of The Judith Rothschild Foundation,26.2001.1-19,Illustrated Book,Drawings & Prints,2001-01-24,N,9884,,,,,,23.6,,,18.3,,
"Moloko kobylits. Risunki, stikhi, proza. (Milk of Mares: Drawings, Verse, Prose)","David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1914,Book with eight lithographs and two watercolors,"page (each approx.): 7 11/16 x 4 15/16"" (19.5 x 12.5 cm)",Gift of The Judith Rothschild Foundation,27.2001.1-10,Illustrated Book,Drawings & Prints,2001-01-24,Y,9894,http://www.moma.org/collection/works/9894,http://www.moma.org/media/W1siZiIsIjIxMDA1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=590c99833173d328,,,,19.5,,,12.5,,
"Moloko kobylits. Risunki, stikhi, proza. (Milk of Mares: Drawings, Verse, Prose)","David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1914,Book with eight lithographs and two watercolors,"page (each approx.): 7 11/16 x 4 15/16"" (19.5 x 12.5 cm)",Gift of The Judith Rothschild Foundation,27.2001.1-10,Illustrated Book,Drawings & Prints,2001-01-24,Y,9894,http://www.moma.org/collection/works/9894,http://www.moma.org/media/W1siZiIsIjIxMDA1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=590c99833173d328,,,,19.5,,,12.5,,
Rykaiushchii parnas. Futuristy (Roaring Parnassus: Futurists),"Various Artists, David Burliuk, Vladimir Burliuk, Pavel Filonov, Jean Pougny (Ivan Puni), Olga Rozanova","24409, 877, 12001, 12124, 4754, 5066","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917) (Russian, 1883–1941) (Russian, born Finland. 1892–1956) (Russian, 1886–1918)",() (Ukrainian) (Ukrainian) () (Russian) (Russian),(0) (1882) (1886) (1883) (1892) (1886),(0) (1967) (1917) (1941) (1956) (1918),() (Male) (Male) (Male) (Male) (Female),1914,Book with 21 letterpress illustrations (including cover),"page: 8 3/4 x 6 5/16"" (22.3 x 16 cm)",Gift of The Judith Rothschild Foundation,28.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,9999,http://www.moma.org/collection/works/9999,http://www.moma.org/media/W1siZiIsIjIxMDA2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b0089157ab3d810b,,,,22.3,,,16.0,,
Rykaiushchii parnas. Futuristy (Roaring Parnassus: Futurists),"Various Artists, David Burliuk, Vladimir Burliuk, Pavel Filonov, Jean Pougny (Ivan Puni), Olga Rozanova","24409, 877, 12001, 12124, 4754, 5066","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917) (Russian, 1883–1941) (Russian, born Finland. 1892–1956) (Russian, 1886–1918)",() (Ukrainian) (Ukrainian) () (Russian) (Russian),(0) (1882) (1886) (1883) (1892) (1886),(0) (1967) (1917) (1941) (1956) (1918),() (Male) (Male) (Male) (Male) (Female),1914,Book with 21 letterpress illustrations (including cover),"page: 8 3/4 x 6 5/16"" (22.3 x 16 cm)",Gift of The Judith Rothschild Foundation,28.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,9999,http://www.moma.org/collection/works/9999,http://www.moma.org/media/W1siZiIsIjIxMDA2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b0089157ab3d810b,,,,22.3,,,16.0,,
"Zatychka. Sbornik. Velimir Khlebnikov; David, Vladimir, Nikolai Burliuki. Risunki. Stikhi (The Bung, A Collection: Velimir Khlebnikov; David, Vladimir, and Nikolai Burliuk; Drawings. Verse)","David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1913,Book with two lithographs with watercolor additions,"Page: 9 3/16 × 7 1/16"" (23.3 × 18 cm)
Book: 9 1/4 × 11 7/16"" (23.5 × 29.1 cm)
Cover (folded): 9 1/4 × 7 1/2"" (23.5 × 19.1 cm)
Cover (unfolded): 9 1/4 × 15"" (23.5 × 38.1 cm)",Gift of The Judith Rothschild Foundation,29.2001.1-2,Illustrated Book,Drawings & Prints,2001-01-24,Y,10055,http://www.moma.org/collection/works/10055,http://www.moma.org/media/W1siZiIsIjY4ODk5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=cae8df87323d0815,,,,23.3363,,,18.0,,
"Zatychka. Sbornik. Velimir Khlebnikov; David, Vladimir, Nikolai Burliuki. Risunki. Stikhi (The Bung, A Collection: Velimir Khlebnikov; David, Vladimir, and Nikolai Burliuk; Drawings. Verse)","David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1913,Book with two lithographs with watercolor additions,"Page: 9 3/16 × 7 1/16"" (23.3 × 18 cm)
Book: 9 1/4 × 11 7/16"" (23.5 × 29.1 cm)
Cover (folded): 9 1/4 × 7 1/2"" (23.5 × 19.1 cm)
Cover (unfolded): 9 1/4 × 15"" (23.5 × 38.1 cm)",Gift of The Judith Rothschild Foundation,29.2001.1-2,Illustrated Book,Drawings & Prints,2001-01-24,Y,10055,http://www.moma.org/collection/works/10055,http://www.moma.org/media/W1siZiIsIjY4ODk5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=cae8df87323d0815,,,,23.3363,,,18.0,,
Pobeda nad solntsem. Opera (Victory over the Sun: An Opera),"David Burliuk, Kazimir Malevich","877, 3710","(Ukrainian, 1882–1967) (Russian, born Ukraine. 1878–1935)",(Ukrainian) (Russian),(1882) (1878),(1967) (1935),(Male) (Male),1913,Book with two letterpress illustrations,"page: 9 5/8 x 6 11/16"" (24.4 x 17 cm)",Gift of The Judith Rothschild Foundation,48.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,10718,http://www.moma.org/collection/works/10718,http://www.moma.org/media/W1siZiIsIjI1MTc3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=db680f118e8681ea,,,,24.4475,,,16.9863,,
Stikhi V. Maiakovskogo. Vypyt (The Poetry of V. Mayakovsky. [Vypyt]),"David Burliuk, Kazimir Malevich","877, 3710","(Ukrainian, 1882–1967) (Russian, born Ukraine. 1878–1935)",(Ukrainian) (Russian),(1882) (1878),(1967) (1935),(Male) (Male),1914,Book with one letterpress illustration and one lithograph,"page (irreg.): 8 x 5 7/8"" (20.3 x 15 cm)",Gift of The Judith Rothschild Foundation,51.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,10767,http://www.moma.org/collection/works/10767,,,,,20.3,,,15.0,,
Stikhi V. Maiakovskogo. Vypyt (The Poetry of V. Mayakovsky [Vypyt]),"David Burliuk, Olga Rozanova","877, 5066","(Ukrainian, 1882–1967) (Russian, 1886–1918)",(Ukrainian) (Russian),(1882) (1886),(1967) (1918),(Male) (Female),1914,Book with letterpress cover and one lithograph,"Plate (irreg.): 7 15/16 x 5 7/8"" (20.1 x 15 cm)",Gift of The Judith Rothschild Foundation,61.2001.1-2,Illustrated Book,Drawings & Prints,2001-01-24,Y,10864,http://www.moma.org/collection/works/10864,http://www.moma.org/media/W1siZiIsIjI2MjM5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2684afcf56b15fe7,,,,20.1,,,15.0,,
Tango s korovami. Zhelezobetonnye poemy (Tango with Cows: Ferro-concrete Poems),"David Burliuk, Vladimir Burliuk, Vasilii Kamenskii","877, 12001, 12432","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917) (Russian, 1884 – 1961)",(Ukrainian) (Ukrainian) (Russian),(1882) (1886) (1884),(1967) (1917) (1961),(Male) (Male) (Male),1914,Book with three letterpress illustrations and cover with letterpress typographic design on wallpaper,"page (irreg.): 7 7/16 x 7 9/16"" (18.9 x 19.2 cm)",Gift of The Judith Rothschild Foundation,73.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,11016,http://www.moma.org/collection/works/11016,http://www.moma.org/media/W1siZiIsIjY4NjEwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=bbfdbb46e5cc8b18,,,,18.9,,,19.2,,
Tango s korovami. Zhelezobetonnye poemy (Tango with Cows: Ferro-concrete Poems),"David Burliuk, Vladimir Burliuk, Vasilii Kamenskii","877, 12001, 12432","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917) (Russian, 1884 – 1961)",(Ukrainian) (Ukrainian) (Russian),(1882) (1886) (1884),(1967) (1917) (1961),(Male) (Male) (Male),1914,Book with three letterpress illustrations and cover with letterpress typographic design on wallpaper,"page (irreg.): 7 7/16 x 7 9/16"" (18.9 x 19.2 cm)",Gift of The Judith Rothschild Foundation,73.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,11016,http://www.moma.org/collection/works/11016,http://www.moma.org/media/W1siZiIsIjY4NjEwIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=bbfdbb46e5cc8b18,,,,18.9,,,19.2,,
Tango s korovami: zhelezobetonnye poemy (Tango with Cows: Ferro-concrete Poems),"David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1914,Book of eighteen leaves of wallpaper with fourteen letterpress poems and three relief-printed illustrations,"page (irreg.): 7 7/16 x 7 9/16"" (18.9 x 19.2 cm)",Gift of The Judith Rothschild Foundation,74.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,11018,http://www.moma.org/collection/works/11018,http://www.moma.org/media/W1siZiIsIjY4NjExIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1c4bada6da37aae3,,,,18.9,,,19.2,,
Tango s korovami: zhelezobetonnye poemy (Tango with Cows: Ferro-concrete Poems),"David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1914,Book of eighteen leaves of wallpaper with fourteen letterpress poems and three relief-printed illustrations,"page (irreg.): 7 7/16 x 7 9/16"" (18.9 x 19.2 cm)",Gift of The Judith Rothschild Foundation,74.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,11018,http://www.moma.org/collection/works/11018,http://www.moma.org/media/W1siZiIsIjY4NjExIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1c4bada6da37aae3,,,,18.9,,,19.2,,
Vladimir Maiakovskii. Tragediia v dvukh deistviiakh s prologom i epilogom (Vladimir Mayakovsky: A Tragedy in Two Acts with a Prologue and an Epilogue),"David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1914,Book with seven letterpress illustrations and letterpress typographic designs,"page (each): 7 x 5 3/16"" (17.8 x 13.2 cm)",Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),75.2001.1-7,Illustrated Book,Drawings & Prints,2001-01-24,Y,11020,http://www.moma.org/collection/works/11020,http://www.moma.org/media/W1siZiIsIjI2MjQ4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=93ce77354b6ff6f9,,,,17.8,,,13.2,,
Vladimir Maiakovskii. Tragediia v dvukh deistviiakh s prologom i epilogom (Vladimir Mayakovsky: A Tragedy in Two Acts with a Prologue and an Epilogue),"David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1914,Book with seven letterpress illustrations and letterpress typographic designs,"page (each): 7 x 5 3/16"" (17.8 x 13.2 cm)",Gift of The Judith Rothschild Foundation (Boris Kerdimun Archive),75.2001.1-7,Illustrated Book,Drawings & Prints,2001-01-24,Y,11020,http://www.moma.org/collection/works/11020,http://www.moma.org/media/W1siZiIsIjI2MjQ4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=93ce77354b6ff6f9,,,,17.8,,,13.2,,
Vladimir Maiakovskii. Tragediia v dvukh deistviiakh s prologom i epilogom (Vladimir Mayakovsky: A Tragedy in Two Acts with a Prologue and an Epilogue),"David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1914,Book with seven letterpress illustrations and letterpress typographic designs,"page (irreg.): 6 15/16 x 5 1/8"" (17.7 x 13 cm)",Gift of The Judith Rothschild Foundation,76.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,11029,http://www.moma.org/collection/works/11029,http://www.moma.org/media/W1siZiIsIjI2MjQ4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d6af350b21255cd0,,,,17.7,,,13.0,,
Vladimir Maiakovskii. Tragediia v dvukh deistviiakh s prologom i epilogom (Vladimir Mayakovsky: A Tragedy in Two Acts with a Prologue and an Epilogue),"David Burliuk, Vladimir Burliuk","877, 12001","(Ukrainian, 1882–1967) (Ukrainian, 1886–1917)",(Ukrainian) (Ukrainian),(1882) (1886),(1967) (1917),(Male) (Male),1914,Book with seven letterpress illustrations and letterpress typographic designs,"page (irreg.): 6 15/16 x 5 1/8"" (17.7 x 13 cm)",Gift of The Judith Rothschild Foundation,76.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,11029,http://www.moma.org/collection/works/11029,http://www.moma.org/media/W1siZiIsIjI2MjQ4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d6af350b21255cd0,,,,17.7,,,13.0,,
Futuristy. Pervyi zhurnal' russkikh' futuristov' (Futurists: First Journal of the Russian Futurists) no. 1-2,"Various Artists, David Burliuk, Vladimir Burliuk, Alexandra Exter, Vasilii Kamenskii","6106, 877, 12001, 1784, 12432","(Russian) (Ukrainian, 1882–1967) (Ukrainian, 1886–1917) (Russian, 1882–1949) (Russian, 1884 – 1961)",(Russian) (Ukrainian) (Ukrainian) (Russian) (Russian),(0) (1882) (1886) (1882) (1884),(0) (1967) (1917) (1949) (1961),() (Male) (Male) (Female) (Male),1914,Illustrated book with five letterpress illustrations and two offset lithographs,"page (each): 9 7/8 × 7 3/8"" (25.1 × 18.7 cm); overall (closed): 10 1/4 × 7 11/16 × 11/16"" (26 × 19.6 × 1.7 cm)",Gift of The Judith Rothschild Foundation,78.2001.1-7,Illustrated Book,Drawings & Prints,2001-01-24,Y,11055,http://www.moma.org/collection/works/11055,http://www.moma.org/media/W1siZiIsIjIxMDE5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=af511e335853475c,,,,25.1,,,18.7,,
Futuristy. Pervyi zhurnal' russkikh' futuristov' (Futurists: First Journal of the Russian Futurists) no. 1-2,"Various Artists, David Burliuk, Vladimir Burliuk, Alexandra Exter, Vasilii Kamenskii","6106, 877, 12001, 1784, 12432","(Russian) (Ukrainian, 1882–1967) (Ukrainian, 1886–1917) (Russian, 1882–1949) (Russian, 1884 – 1961)",(Russian) (Ukrainian) (Ukrainian) (Russian) (Russian),(0) (1882) (1886) (1882) (1884),(0) (1967) (1917) (1949) (1961),() (Male) (Male) (Female) (Male),1914,Illustrated book with five letterpress illustrations and two offset lithographs,"page (each): 9 7/8 × 7 3/8"" (25.1 × 18.7 cm); overall (closed): 10 1/4 × 7 11/16 × 11/16"" (26 × 19.6 × 1.7 cm)",Gift of The Judith Rothschild Foundation,78.2001.1-7,Illustrated Book,Drawings & Prints,2001-01-24,Y,11055,http://www.moma.org/collection/works/11055,http://www.moma.org/media/W1siZiIsIjIxMDE5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=af511e335853475c,,,,25.1,,,18.7,,
Tsvetistye tortsy (Flowery Boardwalk),"Various Artists, Vladimir Burliuk, Aleksei Kruchenykh, Kirill Zdanevich","24409, 12001, 3263, 11875","(Ukrainian, 1886–1917) (Russian, born Ukraine, 1886–1968) (Georgian, 1892 – 1969)",() (Ukrainian) (Russian) (Georgian),(0) (1886) (1886) (1892),(0) (1917) (1968) (1969),() (Male) (Male) (Male),1919,Book with four hectographed illustrations and hectographed manuscript text and designs,"page: 6 3/16 x 6 1/16"" (15.7 x 15.4 cm)",Gift of The Judith Rothschild Foundation,111.2001,Illustrated Book,Drawings & Prints,2001-01-24,Y,11373,http://www.moma.org/collection/works/11373,http://www.moma.org/media/W1siZiIsIjY4ODI3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=fabb092cc11bd34e,,,,15.7,,,15.4,,
