Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
23 Gravures,"Jean (Hans) Arp, Alexander Calder, Giorgio de Chirico, Hans Erni, Max Ernst, Justino Fernández, Alberto Giacometti, Julio González, Nikos Hadjikyriakos-Ghika, Jean Hélion, Vasily Kandinsky, Fernand Léger, Jacques Lipchitz, Alberto Magnelli, Joan Miró, Ben Nicholson, Amédée Ozenfant, Pablo Picasso, Kurt Seligmann, Sophie Taeuber-Arp, Joaquín Torres-García, Gérard Vulliamy, Ossip Zadkine, Various Artists","11, 922, 1106, 1750, 1752, 1855, 2141, 2231, 7050, 2586, 2981, 6624, 3563, 3690, 4016, 4293, 4458, 4609, 5337, 5777, 5907, 6196, 6533, 24409","(French, born Germany (Alsace). 1886–1966) (American, 1898–1976) (Italian, born Greece. 1888–1978) (Swiss, 1909–2015) (French and American, born Germany. 1891–1976) (Mexican, 1904–1972) (Swiss, 1901–1966) (Spanish, 1876–1942) (Greek, 1906–1994) (French, 1904–1987) (French, born Russia. 1866–1944) (French, 1881–1955) (American, born Lithuania. 1891–1973) (Italian, 1888–1971) (Spanish, 1893–1983) (British, 1894–1982) (French, 1886–1966) (Spanish, 1881–1973) (American, born Switzerland. 1900–1962) (French, born Switzerland. 1889–1943) (Uruguayan, 1874–1949) (French, 1909–2005) (French, born Russia. 1890–1967)",(French) (American) (Italian) (Swiss) (French) (Mexican) (Swiss) (Spanish) (Greek) (French) (French) (French) (American) (Italian) (Spanish) (British) (French) (Spanish) (American) (Swiss) (Uruguayan) (French) (French) (),(1886) (1898) (1888) (1909) (1891) (1904) (1901) (1876) (1906) (1904) (1866) (1881) (1891) (1888) (1893) (1894) (1886) (1881) (1900) (1889) (1874) (1909) (1890) (0),(1966) (1976) (1978) (2015) (1976) (1972) (1966) (1942) (1994) (1987) (1944) (1955) (1973) (1971) (1983) (1982) (1966) (1973) (1962) (1943) (1949) (2005) (1967) (0),(Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (),"1930–35, published 1935","Illustrated book with twelve etchings (one with aquatint and drypoint), five drypoints, three engravings (one with drypoint), two lithographs, and one woodcut","composition (see child records): dimensions vary; page (each approx.): 13 x 10 3/16"" (33 x 25.9 cm)",Purchase Fund,14.1945.1-23,Illustrated Book,Drawings & Prints,1945-01-03,Y,9171,http://www.moma.org/collection/works/9171,,,,,33.0,,,25.9,,
Plate (folio 45) from 23 Gravures,Joaquín Torres-García,5907,"(Uruguayan, 1874–1949)",(Uruguayan),(1874),(1949),(Male),"1934, published 1935","Woodcut from an illustrated book with twelve etchings (one with aquatint and drypoint), five drypoints, three engravings (one with drypoint), two lithographs, and one woodcut","composition: 6 13/16 x 5 1/4"" (17.3 x 13.3 cm); sheet: 11 x 9 13/16"" (27.9 x 25 cm)",Purchase Fund,14.1945.21,Illustrated Book,Drawings & Prints,1945-01-03,Y,9184,http://www.moma.org/collection/works/9184,http://www.moma.org/media/W1siZiIsIjE3NzU1NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c76bf50d79967e3,,,,17.3,,,13.3,,
Plate (tipped onto folio preceding page 1) from LA REGLA ABSTRACTA,Joaquín Torres-García,5907,"(Uruguayan, 1874–1949)",(Uruguayan),(1874),(1949),(Male),1931-1967,,,Inter-American Fund,775.1968.1,Illustrated Book,Drawings & Prints,1968-06-04,N,23675,,,,,,,,,,,
La Regla Abstracta,Joaquín Torres-García,5907,"(Uruguayan, 1874–1949)",(Uruguayan),(1874),(1949),(Male),1967.  (Print executed 1931; book published posthumously).,Illustrated book with one woodcut and one supplementary duplicate woodcut,"ea. irreg. composition  11 5/16 x 8 3/16"" (28.8 x 20.8 cm)
page  13 5/16 x 10"" (33 x 25.4 cm)",Inter-American Fund,775.1968.1-2,Illustrated Book,Drawings & Prints,1968-06-04,N,23676,,,,,,28.8,,,20.8,,
Duplicate of plate (inserted supplementary plate) from LA REGLA ABSTRACTA,Joaquín Torres-García,5907,"(Uruguayan, 1874–1949)",(Uruguayan),(1874),(1949),(Male),1931-1967,,,Inter-American Fund,775.1968.2,Illustrated Book,Drawings & Prints,1968-06-04,N,23677,,,,,,,,,,,
Creole Dance,Pedro Figari,1871,"(Uruguayan, 1861–1938)",(Uruguayan),(1861),(1938),(Male),c. 1925,Oil on board,"20 1/2 x 32"" (52.1 x 81.3 cm)",Gift of the Honorable and Mrs. Robert Woods Bliss,8.1943,Drawing,Drawings & Prints,1943-02-18,Y,33064,http://www.moma.org/collection/works/33064,http://www.moma.org/media/W1siZiIsIjQ3MjA5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0f567893a6836b86,,,,52.1,,,81.3,,
Portrait of Wagner,Joaquín Torres-García,5907,"(Uruguayan, 1874–1949)",(Uruguayan),(1874),(1949),(Male),1940,Oil on board,"16 1/8 x 14 5/8"" (40.9 x 37.0 cm)",Gift of Mr. and Mrs. Louis J. Robbins,127.1961,Drawing,Drawings & Prints,1961-04-11,Y,34458,http://www.moma.org/collection/works/34458,,,,,41.0,,,37.1,,
Aunt Juliana,Gustavo Lazarini Terradas,3423,"(Uruguayan, 1918–1987)",(Uruguayan),(1918),(1987),(Male),1941,Watercolor on paper,"19 1/4 x 13 1/8"" (48.9 x 33.3 cm)",Inter-American Fund,713.1942,Drawing,Drawings & Prints,1942-12-29,Y,37842,http://www.moma.org/collection/works/37842,http://www.moma.org/media/W1siZiIsIjQzNzc0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7c8b1b7b72a09850,,,,48.9,,,33.3,,
Old-Fashioned Lady (Dama Antigua),Gustavo Lazarini Terradas,3423,"(Uruguayan, 1918–1987)",(Uruguayan),(1918),(1987),(Male),1941,Gouache and watercolor on paper,"19 1/2 x 13 3/8"" (49.5 x 34 cm)",Inter-American Fund,714.1942,Drawing,Drawings & Prints,1942-12-29,Y,37845,http://www.moma.org/collection/works/37845,http://www.moma.org/media/W1siZiIsIjQzNzc2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=09abdb2392c52f4e,,,,49.5,,,34.0,,
The Port,Joaquín Torres-García,5907,"(Uruguayan, 1874–1949)",(Uruguayan),(1874),(1949),(Male),1942,Oil on board,"31 3/8 x 39 7/8"" (79.7 x 101.3 cm)",Inter-American Fund,801.1942,Drawing,Drawings & Prints,1942-12-29,Y,38090,http://www.moma.org/collection/works/38090,http://www.moma.org/media/W1siZiIsIjMyMDQ1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=931b3e2dc4f5f265,,,,79.7,,,101.3,,
Composition,Joaquín Torres-García,5907,"(Uruguayan, 1874–1949)",(Uruguayan),(1874),(1949),(Male),1932,Ink and pencil on brown paper,"8 7/8 x 7 1/4"" (22.5 x 18.3 cm)","Gift of Dr. and Mrs. Arthur Lejwa, in memory of Mrs. Henry Epstein",2412.1967,Drawing,Drawings & Prints,1967-12-13,Y,38816,http://www.moma.org/collection/works/38816,http://www.moma.org/media/W1siZiIsIjE2ODYyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c9c63616fcd3624d,,,,21.6,,,16.5,,
Don Quixote and Sancho in the Garden,Miguel Bresciano,766,"(Uruguayan, 1937–1979)",(Uruguayan),(1937),(1979),(Male),1966,"Woodcut and collage
","composition: 23 3/8 x 39 1/2"" (59.4 x 100.4 cm); sheet: 25 7/8 x 41 1/8"" (65.8 x 104.4 cm)",Inter-American Fund,29.1968,Print,Drawings & Prints,1968-02-05,Y,60446,http://www.moma.org/collection/works/60446,,,,,59.4,,,100.4,,
