Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Paris Review,Marisol (Marisol Escobar),3774,"(Venezuelan American, born France 1930–2016)",(Venezuelan),(1930),(2016),(Female),1967,Silkscreen,"32 1/2 × 26"" (82.6 × 66 cm)","Gift of Page, Arbitrio and Resen",2294.1967,Design,Architecture & Design,1967-10-18,Y,8997,http://www.moma.org/collection/works/8997,http://www.moma.org/media/W1siZiIsIjQ5NDUxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=486f4a87d7b1b86d,,,,82.5501651003,,,66.0401320803,,
In Memory of My Feelings,"Nell Blaine, Norman Bluhm, Joe Brainard, John Button, Giorgio Cavallon, Allan D'Arcangelo, Elaine de Kooning, Willem de Kooning, Helen Frankenthaler, Jane Freilicher, Michael Goldberg, Philip Guston, Grace Hartigan, Al Held, Jasper Johns, Alex Katz, Matsumi Kanemitsu, Lee Krasner, Alfred Leslie, Roy Lichtenstein, Marisol (Marisol Escobar), Joan Mitchell, Robert Motherwell, Reuben Nakian, Barnett Newman, Claes Oldenburg, Robert Rauschenberg, Jane Wilson, Niki de Saint Phalle, Various Artists","589, 613, 736, 6604, 1042, 1349, 3212, 3213, 1974, 1989, 2213, 2419, 2520, 2583, 2923, 3016, 2984, 3240, 3495, 3542, 3774, 4026, 4126, 4218, 4285, 4397, 4823, 6388, 1444, 24409","(American, 1922–1996) (American, 1920–1999) (American, 1942–1994) (American, 1930–1982) (American, born Italy. 1904–1989) (American, 1930–1998) (American, 1920–1989) (American, born the Netherlands. 1904–1997) (American, 1928–2011) (American, 1924–2014) (American, 1924–2007) (American, born Canada. 1913–1980) (American, 1922–2008) (American, 1928–2005) (American, born 1930) (American, born 1927) (American, 1922–1992) (American, 1908–1984) (American, born 1927) (American, 1923–1997) (Venezuelan American, born France 1930–2016) (American, 1925–1992) (American, 1915–1991) (American, 1897–1986) (American, 1905–1970) (American, born Sweden. 1929–2022) (American, 1925–2008) (American, 1924–2015) (French and American, 1930–2002)",(American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (American) (Venezuelan) (American) (American) (American) (American) (American) (American) (American) (French) (),(1922) (1920) (1942) (1930) (1904) (1930) (1920) (1904) (1928) (1924) (1924) (1913) (1922) (1928) (1930) (1927) (1922) (1908) (1927) (1923) (1930) (1925) (1915) (1897) (1905) (1929) (1925) (1924) (1930) (0),(1996) (1999) (1994) (1982) (1989) (1998) (1989) (1997) (2011) (2014) (2007) (1980) (2008) (2005) (0) (0) (1992) (1984) (0) (1997) (2016) (1992) (1991) (1986) (1970) (2022) (2008) (2015) (2002) (0),(Female) (Male) (Male) (Male) (Male) (Male) (Female) (Male) (Female) (Female) (Male) (Male) (Female) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Female) (Female) (Male) (Male) (Male) (Male) (Male) (Female) (Female) (),1967,Illustrated book with forty-six lithographs,"composition (see child records): dimensions vary; page: 11 15/16 x 9"" (30.4 x 22.8 cm)",Gift of The Museum of Modern Art Department of Publications,92.1968.1-46,Illustrated Book,Drawings & Prints,1968-02-05,Y,11169,http://www.moma.org/collection/works/11169,,,0.0,,0.0,,,0.0,,
In-text plate (folios 15 verso and 16 recto) from In Memory of My Feelings,Marisol (Marisol Escobar),3774,"(Venezuelan American, born France 1930–2016)",(Venezuelan),(1930),(2016),(Female),1967,One from an illustrated book with forty-six lithographs,"composition (irreg.): 10 7/8 x 12 1/8"" (27.6 x 30.8cm); page (two-page spread): 11 15/16 x 17 15/16"" (30.4 x 45.5 cm)",Gift of The Museum of Modern Art Department of Publications,92.1968.5,Illustrated Book,Drawings & Prints,1968-02-05,Y,11210,http://www.moma.org/collection/works/11210,http://www.moma.org/media/W1siZiIsIjMwMzM2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=712cc1f5e91b429b,,,,27.6,,,30.8,,
Stamped Indelibly,"Various Artists, Robert Creeley, Allen Ginsberg, Red Grooms, Robert Indiana, Allen Jones, Kenneth Koch, Josef Levi, Gerard Malanga, Marisol (Marisol Escobar), Claes Oldenburg, Peter Saul, Andy Warhol, Tom Wesselmann, John Willenbecher","24409, 1300, 2167, 2357, 2812, 2931, 3179, 3508, 3707, 3774, 4397, 5178, 6246, 6318, 6373","(American, 1926–2005) (American, 1926–1997) (American, born 1937) (American, 1928–2018) (British, born 1937) (American, 1925–2002) (American, born 1938) (American, born 1943) (Venezuelan American, born France 1930–2016) (American, born Sweden. 1929–2022) (American, born 1934) (American, 1928–1987) (American, 1931–2004) (American, born 1936)",() (American) (American) (American) (American) (British) (American) (American) (American) (Venezuelan) (American) (American) (American) (American) (American),(0) (1926) (1926) (1937) (1928) (1937) (1925) (1938) (1943) (1930) (1929) (1934) (1928) (1931) (1936),(0) (2005) (1997) (0) (2018) (0) (2002) (0) (0) (2016) (2022) (0) (1987) (2004) (0),() (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Male) (Female) (Male) (Male) (Male) (Male) (Male),1967,"Illustrated book with fifteen rubber stamps
","composition (see child records): dimensions vary; page (each): 11 1/8 x 8 7/16"" (28 x 21.4 cm)",John B. Turner Fund,94.1968.1-15,Illustrated Book,Drawings & Prints,1968-02-05,Y,11231,http://www.moma.org/collection/works/11231,http://www.moma.org/media/W1siZiIsIjQ5MTQyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6a67134c1cbe6990,,,,28.0,,,21.4,,
Hand and Flower (folio 4 verso) from Stamped Indelibly,Marisol (Marisol Escobar),3774,"(Venezuelan American, born France 1930–2016)",(Venezuelan),(1930),(2016),(Female),1967,One from an illustrated book with fifteen rubber stamps,"composition (irreg.): 8 1/8 × 4 13/16"" (20.7 × 12.3 cm); sheet: 9 1/2 × 6 1/2"" (24.2 × 16.5 cm)",John B. Turner Fund,94.1968.4,Illustrated Book,Drawings & Prints,1968-02-05,Y,11240,http://www.moma.org/collection/works/11240,http://www.moma.org/media/W1siZiIsIjQ5MTQzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1188babf29e02987,,,,20.7,,,12.3,,
Title page from LA ROSA DEL HERBOLARIO,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),1969,"Collagraph, printed without ink","irreg. composition  1 1/2 x 1 5/8"" (3.8 x 4.2 cm)",Monroe Wheeler Fund,204.1970.1,Illustrated Book,Drawings & Prints,1970-05-12,N,13472,,,,,,3.8,,,4.2,,
La Rosa del Herbolario,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),(1969),11 collagraphs: 10 printed in color and 1 printed without ink (title page),"page  12 15/16 x 9 13/16"" (33 x 25 cm)
Prints:  various dimensions.",Monroe Wheeler Fund,204.1970.1-11,Illustrated Book,Drawings & Prints,1970-05-12,Y,13473,http://www.moma.org/collection/works/13473,,,,,33.0,,,25.0,,
Plate (folio 43) from LA ROSA DEL HERBOLARIO,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),1969,"Collagraph, printed in color","plate  7 11/16 x 3 7/8"" (19.5 x 9.9 cm)",Monroe Wheeler Fund,204.1970.10,Illustrated Book,Drawings & Prints,1970-05-12,N,13474,,,,,,19.5,,,9.9,,
Plate (folio 47) from LA ROSA DEL HERBOLARIO,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),1969,"Collagraph, printed in color","irreg. composition  6 15/16 x 4 5/8"" (17.7 x 11.8 cm)",Monroe Wheeler Fund,204.1970.11,Illustrated Book,Drawings & Prints,1970-05-12,N,13475,,,,,,17.7,,,11.8,,
Plate (folio 11) from LA ROSA DEL HERBOLARIO,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),1969,"Collagraph, printed in color","plate  7 1/16 x 5 1/8"" (17.9 x 13 cm)",Monroe Wheeler Fund,204.1970.2,Illustrated Book,Drawings & Prints,1970-05-12,N,13476,,,,,,17.9,,,13.0,,
Plate (folio 15) from LA ROSA DEL HERBOLARIO,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),1969,"Collagraph, printed in color","plate  6 3/8 x 4 5/16"" (16.2 x 11 cm)",Monroe Wheeler Fund,204.1970.3,Illustrated Book,Drawings & Prints,1970-05-12,N,13477,,,,,,16.2,,,11.0,,
Plate (folio 19) from LA ROSA DEL HERBOLARIO,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),1969,"Collagraph, printed in color","irreg. composition  8 3/8 x 4 15/16"" (21.3 x 12.5 cm)",Monroe Wheeler Fund,204.1970.4,Illustrated Book,Drawings & Prints,1970-05-12,N,13478,,,,,,21.3,,,12.5,,
Plate (folio 23) from LA ROSA DEL HERBOLARIO,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),1969,"Collagraph, printed in color","irreg. composition  6 3/8 x 5 3/16"" (16.2 x 13.2 cm)",Monroe Wheeler Fund,204.1970.5,Illustrated Book,Drawings & Prints,1970-05-12,N,13479,,,,,,16.2,,,13.2,,
Plate (folio 27) from LA ROSA DEL HERBOLARIO,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),1969,"Collagraph, printed in color","plate  6 7/8 x 4 5/16"" (17.5 x 11 cm)",Monroe Wheeler Fund,204.1970.6,Illustrated Book,Drawings & Prints,1970-05-12,N,13480,,,,,,17.5,,,11.0,,
Plate (folio 31) from LA ROSA DEL HERBOLARIO,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),1969,"Collagraph, printed in color","irreg. composition  7 11/16 x 4 1/16"" (19.6 x 10.3 cm)",Monroe Wheeler Fund,204.1970.7,Illustrated Book,Drawings & Prints,1970-05-12,N,13481,,,,,,19.6,,,10.3,,
Plate (folio 35) from LA ROSA DEL HERBOLARIO,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),1969,"Collagraph, printed in color","irreg. composition  6 13/16 x 5 3/8"" (17.3 x 13.6 cm)",Monroe Wheeler Fund,204.1970.8,Illustrated Book,Drawings & Prints,1970-05-12,N,13482,,,,,,17.3,,,13.6,,
Plate (folio 39) from LA ROSA DEL HERBOLARIO,Luisa Zuloaga de Palacios,4471,"(Venezuelan, 1923–1990)",(Venezuelan),(1923),(1990),(Female),1969,"Collagraph, printed in color","irreg. composition  7 1/16 x 7 1/16"" (17.9 x 18 cm)",Monroe Wheeler Fund,204.1970.9,Illustrated Book,Drawings & Prints,1970-05-12,N,13483,,,,,,17.9,,,18.0,,
Lines I (folio 3) from Lines,Gego (Gertrud Goldschmidt),2107,"(Venezuelan, born Germany. 1912–1994)",(Venezuelan),(1912),(1994),(Female),1966,One from an illustrated book with twelve lithographs,"composition and page (irreg.): 7 3/4 × 15 7/8"" (19.7 × 40.4 cm)","Gift of Kleiner, Bell & Co.",1909.1967.1,Illustrated Book,Drawings & Prints,1974-01-10,Y,32430,http://www.moma.org/collection/works/32430,http://www.moma.org/media/W1siZiIsIjQ3NzM5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=098a941f9d58f37f,,,,19.7,,,40.4,,
Lines,Gego (Gertrud Goldschmidt),2107,"(Venezuelan, born Germany. 1912–1994)",(Venezuelan),(1912),(1994),(Female),1966,Illustrated book with twelve lithographs,"page (irreg.): 7 1/2 × 15 1/4"" (19 × 38.8 cm); overall (closed): 8 1/4 × 16 9/16 × 3/16"" (21 × 42 × 0.5 cm)","Gift of Kleiner, Bell & Co.",1909.1967.1-12,Illustrated Book,Drawings & Prints,1974-01-10,Y,32431,http://www.moma.org/collection/works/32431,http://www.moma.org/media/W1siZiIsIjQ3NzM5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=adc6e43e2010a4c3,,,,19.0,,,38.8,,
Lines X(folio 7 verso) from Lines,Gego (Gertrud Goldschmidt),2107,"(Venezuelan, born Germany. 1912–1994)",(Venezuelan),(1912),(1994),(Female),1966,One from an illustrated book with twelve lithographs,"composition (irreg.): 7 1/2 × 14 3/4"" (19.1 × 37.5 cm); page (irreg.): 7 15/16 × 16"" (20.1 × 40.6 cm)","Gift of Kleiner, Bell & Co.",1909.1967.10,Illustrated Book,Drawings & Prints,1974-01-10,Y,32432,http://www.moma.org/collection/works/32432,http://www.moma.org/media/W1siZiIsIjQ3NzM5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bbf73dbf4284eb48,,,,19.1,,,37.5,,
