Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Very Important Bush,Thomas Mukarobgwa,4144,"(Zimbabwean (born Southern Rhodesia), 1924–1999)",(Zimbabwean),(1924),(1999),(Male),1962,Oil on cardboard on composition board,"23 1/2 x 36 1/4"" (59.6 x 92.1 cm)",Gift of Mr. and Mrs. Walter Hochschild,329.1963,Drawing,Drawings & Prints,1963-06-12,Y,36339,http://www.moma.org/collection/works/36339,http://www.moma.org/media/W1siZiIsIjIwODc2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7cfc48c362c35aff,,,,59.7,,,92.1,,
River Coming in the Middle of the Bush,Thomas Mukarobgwa,4144,"(Zimbabwean (born Southern Rhodesia), 1924–1999)",(Zimbabwean),(1924),(1999),(Male),1962,Oil on cardboard on composition board,"23 3/8 x 36 1/8"" (59.3 x 91.7 cm)",Gift of Mr. and Mrs. Walter Hochschild,330.1963,Drawing,Drawings & Prints,1963-06-12,Y,36346,http://www.moma.org/collection/works/36346,http://www.moma.org/media/W1siZiIsIjUxODUwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0eec5f7976780308,,,,59.4,,,91.8,,
Dying People in the Bush,Thomas Mukarobgwa,4144,"(Zimbabwean (born Southern Rhodesia), 1924–1999)",(Zimbabwean),(1924),(1999),(Male),1962,Oil on board,"23 1/4 x 36 1/4"" (59.0 x 91.9 cm)",Gift of Mr. and Mrs. Walter Hochschild,331.1963,Drawing,Drawings & Prints,1963-06-12,Y,36351,http://www.moma.org/collection/works/36351,http://www.moma.org/media/W1siZiIsIjUxODUwMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f15620554b4eb2bb,,,,59.1,,,92.1,,
Bushmen Running from the Rain,Joseph Ndandarika,4247,"(Zimbabwean (then Southern Rhodesia), 1944–1991)",(Zimbabwean),(1944),(1991),(Male),1962,Oil on board,"48 1/4 x 48"" (122.5 x 121.9 cm)",Gift of Mr. and Mrs. Walter Hochschild,333.1963,Painting,Painting & Sculpture,1963-06-12,Y,79469,http://www.moma.org/collection/works/79469,http://www.moma.org/media/W1siZiIsIjQ3NjYxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f7cbef3d6ec75554,,,,122.5,,,121.9,,
View You See in the Middle of a Tree,Thomas Mukarobgwa,4144,"(Zimbabwean (born Southern Rhodesia), 1924–1999)",(Zimbabwean),(1924),(1999),(Male),1962,Oil on board,"23 7/8 x 23 7/8"" (60.4 x 60.4 cm)",Gift of Mr. and Mrs. Walter Hochschild,332.1963,Painting,Painting & Sculpture,1963-06-12,Y,79764,http://www.moma.org/collection/works/79764,http://www.moma.org/media/W1siZiIsIjE3Njk1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=44ed906e30f566db,,,,60.4,,,60.4,,
Little Mask,Kumberai Mapanda,3744,"(Zimbabwean (then Southern Rhodesia), born 1940)",(Zimbabwean),(1940),(0),(Male),1964,Stone,"4 3/4 × 3 5/8 × 2 5/8"" (12.1 × 9.2 × 6.7 cm)",Katherine S. Dreier Fund,2103.1967,Sculpture,Painting & Sculpture,1967-10-18,Y,82056,http://www.moma.org/collection/works/82056,,,6.667513335,,12.06502413,,,9.207518415,,
Untitled (We Always Have Reason to Fear),Kudzanai Chiurai,38241,"(Zimbabwean, born 1981)",(Zimbabwean),(1981),(0),(Male),2008,Lithographed poster,"composition (irreg.): 22 1/16 x 16 1/8"" (56 x 41 cm); sheet: 23 15/16 x 16 15/16"" (60.8 x 43 cm)",General Print Fund,407.2010.1,Print,Drawings & Prints,2010-06-09,Y,137453,http://www.moma.org/collection/works/137453,http://www.moma.org/media/W1siZiIsIjE5MDI1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=403a2cdd80724f7d,,,,56.0,,,41.0,,
Vote at Own Risk,Kudzanai Chiurai,38241,"(Zimbabwean, born 1981)",(Zimbabwean),(1981),(0),(Male),2009,Lithograph,"composition: 23 1/4 x 16 5/8"" (59.1 x 42.2 cm); sheet: 25 1/4 x 17 3/4"" (64.1 x 45.1 cm)",Committee on Prints and Illustrated Books Fund,920.2010,Print,Drawings & Prints,2010-11-10,Y,137454,http://www.moma.org/collection/works/137454,http://www.moma.org/media/W1siZiIsIjE5MDg2MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d20749bfc3b0531d,,,,59.1,,,42.2,,
We Always Have Reason to Fear,Kudzanai Chiurai,38241,"(Zimbabwean, born 1981)",(Zimbabwean),(1981),(0),(Male),2009,Lithograph,"composition (irreg.): 22 5/16 x 14 7/8"" (56.6 x 37.8 cm); sheet: 23 15/16 x 16 15/16"" (60.8 x 43 cm)",General print fund,407.2010.2,Print,Drawings & Prints,2010-06-09,N,137455,,,,,,56.6,,,37.8,,
Untitled,Kudzanai Chiurai,38241,"(Zimbabwean, born 1981)",(Zimbabwean),(1981),(0),(Male),2008/2010,Stencil and paint,"composition (irreg.): 75 x 45"" (190.5 x 114.3 cm)",Acquired through the generosity of the Vascovitz Family,406.2010.1,Print,Drawings & Prints,2010-06-09,Y,137456,http://www.moma.org/collection/works/137456,http://www.moma.org/media/W1siZiIsIjIyMzM5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=aafdc832ee0979c8,,,,190.5003810008,,,114.3002286005,,
