Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Parkett no. 18,"Edward Ruscha, Boyd Webb, Markus Raetz, Various Artists","5086, 7555, 4787, 24409","(American, born 1937) (New Zealander, born 1947) (Swiss, 1941–2020)",(American) (New Zealander) (Swiss) (),(1937) (1947) (1941) (0),(0) (0) (2020) (0),(Male) (Male) (Male) (),1988,Journal,,"Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett",118.1998.2,Periodical,Drawings & Prints,1998-03-05,Y,11642,http://www.moma.org/collection/works/11642,http://www.moma.org/media/W1siZiIsIjQyNTk2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=11fae57fb118c7dc,,,,,,,,,
Napali Kayak,"Clear Blue Hawaii, Murray Broom","26933, 26932","(founded 2001) (New Zealander, born 1955)",() (New Zealander),(2001) (1955),(0) (0),() (Male),2003,Carbon Kevlar and urethane,"11 x 22 x 150"" (27.9 x 55.9 x 381 cm)
26 lbs",Gift of Murray Broom and Clear Blue Hawaii,351.2004,Design,Architecture & Design,2004-04-22,Y,90010,http://www.moma.org/collection/works/90010,,,381.0008,,27.9401,,,55.8801,,
3-in-1 Inflatable Kite / Splint / Body Warmer,"Bernard William Hanning, Vernon Pascoe","28075, 28076","(British, born 1942) (New Zealander, 1942–1999)",(British) (New Zealander),(1942) (1942),(0) (1999),() (Male),c. 1990,Mylar,"23' 11"" x 29' 6 1/2"" (729 x 900 cm) unfolded; 4 3/4 x 3 1/2 x 1 1/8"" (12 x 9 x 3 cm) folded","Gift of Skystreme UK, Ltd.",109.2006,Design,Architecture & Design,2006-02-09,Y,94593,http://www.moma.org/collection/works/94593,http://www.moma.org/media/W1siZiIsIjEwOTM1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=00b77921d528dc2b,,,,0.0,0.0,,0.0,,
LOMAK light operated mouse and keyboard,"Michael Watling, Peter Haythornthwaite, Andrew Haythornthwaite, David Haythornthwaite, Dean Edgington, Opdo Limited, Haythornthwaite//Creativelab","33301, 34217, 34307, 34308, 34309, 33302, 34296","(New Zealander, born 1941) (New Zealander, born 1944) (New Zealander, born 1980) (New Zealander, born 1978) (New Zealander, born 1976) (New Zealand, est. 2003) (New Zealand, est. 2000)",(New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander),(1941) (1944) (1980) (1978) (1976) (2003) (2000),(0) (0) (0) (0) (0) (0) (0),() () () () (Male) () (),2005,"Keyboard: ABS, Mylar substrate with screenprinted graphics, printed circuit board; headpointer: ABS and polypropylene/TPR",".1 (keyboard): 11 1/2 x 13 x 8"" (29.2 x 33 x 20.3 cm)
.2 (headpointer): 5 1/2 x 5 x 3"" (14 x 12.7 x 7.6 cm)",Gift of the Speyer Family Foundation,462.2008.1-2,Design,Architecture & Design,2008-05-22,Y,110429,http://www.moma.org/collection/works/110429,,,20.3200406401,,29.2100584201,,,33.0200660401,,
LOMAK light operated mouse and keyboard,"Michael Watling, Peter Haythornthwaite, Andrew Haythornthwaite, David Haythornthwaite, Dean Edgington, Opdo Limited, Haythornthwaite//Creativelab","33301, 34217, 34307, 34308, 34309, 33302, 34296","(New Zealander, born 1941) (New Zealander, born 1944) (New Zealander, born 1980) (New Zealander, born 1978) (New Zealander, born 1976) (New Zealand, est. 2003) (New Zealand, est. 2000)",(New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander),(1941) (1944) (1980) (1978) (1976) (2003) (2000),(0) (0) (0) (0) (0) (0) (0),() () () () (Male) () (),2005,"Keyboard: ABS, Mylar substrate with screenprinted graphics, printed circuit board; headpointer: ABS and polypropylene/TPR",".1 (keyboard): 11 1/2 x 13 x 8"" (29.2 x 33 x 20.3 cm)
.2 (headpointer): 5 1/2 x 5 x 3"" (14 x 12.7 x 7.6 cm)",Gift of the Speyer Family Foundation,462.2008.1-2,Design,Architecture & Design,2008-05-22,Y,110429,http://www.moma.org/collection/works/110429,,,20.3200406401,,29.2100584201,,,33.0200660401,,
LOMAK light operated mouse and keyboard,"Michael Watling, Peter Haythornthwaite, Andrew Haythornthwaite, David Haythornthwaite, Dean Edgington, Opdo Limited, Haythornthwaite//Creativelab","33301, 34217, 34307, 34308, 34309, 33302, 34296","(New Zealander, born 1941) (New Zealander, born 1944) (New Zealander, born 1980) (New Zealander, born 1978) (New Zealander, born 1976) (New Zealand, est. 2003) (New Zealand, est. 2000)",(New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander),(1941) (1944) (1980) (1978) (1976) (2003) (2000),(0) (0) (0) (0) (0) (0) (0),() () () () (Male) () (),2005,"Keyboard: ABS, Mylar substrate with screenprinted graphics, printed circuit board; headpointer: ABS and polypropylene/TPR",".1 (keyboard): 11 1/2 x 13 x 8"" (29.2 x 33 x 20.3 cm)
.2 (headpointer): 5 1/2 x 5 x 3"" (14 x 12.7 x 7.6 cm)",Gift of the Speyer Family Foundation,462.2008.1-2,Design,Architecture & Design,2008-05-22,Y,110429,http://www.moma.org/collection/works/110429,,,20.3200406401,,29.2100584201,,,33.0200660401,,
LOMAK light operated mouse and keyboard,"Michael Watling, Peter Haythornthwaite, Andrew Haythornthwaite, David Haythornthwaite, Dean Edgington, Opdo Limited, Haythornthwaite//Creativelab","33301, 34217, 34307, 34308, 34309, 33302, 34296","(New Zealander, born 1941) (New Zealander, born 1944) (New Zealander, born 1980) (New Zealander, born 1978) (New Zealander, born 1976) (New Zealand, est. 2003) (New Zealand, est. 2000)",(New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander),(1941) (1944) (1980) (1978) (1976) (2003) (2000),(0) (0) (0) (0) (0) (0) (0),() () () () (Male) () (),2005,"Keyboard: ABS, Mylar substrate with screenprinted graphics, printed circuit board; headpointer: ABS and polypropylene/TPR",".1 (keyboard): 11 1/2 x 13 x 8"" (29.2 x 33 x 20.3 cm)
.2 (headpointer): 5 1/2 x 5 x 3"" (14 x 12.7 x 7.6 cm)",Gift of the Speyer Family Foundation,462.2008.1-2,Design,Architecture & Design,2008-05-22,Y,110429,http://www.moma.org/collection/works/110429,,,20.3200406401,,29.2100584201,,,33.0200660401,,
LOMAK light operated mouse and keyboard,"Michael Watling, Peter Haythornthwaite, Andrew Haythornthwaite, David Haythornthwaite, Dean Edgington, Opdo Limited, Haythornthwaite//Creativelab","33301, 34217, 34307, 34308, 34309, 33302, 34296","(New Zealander, born 1941) (New Zealander, born 1944) (New Zealander, born 1980) (New Zealander, born 1978) (New Zealander, born 1976) (New Zealand, est. 2003) (New Zealand, est. 2000)",(New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander),(1941) (1944) (1980) (1978) (1976) (2003) (2000),(0) (0) (0) (0) (0) (0) (0),() () () () (Male) () (),2005,"Keyboard: ABS, Mylar substrate with screenprinted graphics, printed circuit board; headpointer: ABS and polypropylene/TPR",".1 (keyboard): 11 1/2 x 13 x 8"" (29.2 x 33 x 20.3 cm)
.2 (headpointer): 5 1/2 x 5 x 3"" (14 x 12.7 x 7.6 cm)",Gift of the Speyer Family Foundation,462.2008.1-2,Design,Architecture & Design,2008-05-22,Y,110429,http://www.moma.org/collection/works/110429,,,20.3200406401,,29.2100584201,,,33.0200660401,,
LOMAK light operated mouse and keyboard,"Michael Watling, Peter Haythornthwaite, Andrew Haythornthwaite, David Haythornthwaite, Dean Edgington, Opdo Limited, Haythornthwaite//Creativelab","33301, 34217, 34307, 34308, 34309, 33302, 34296","(New Zealander, born 1941) (New Zealander, born 1944) (New Zealander, born 1980) (New Zealander, born 1978) (New Zealander, born 1976) (New Zealand, est. 2003) (New Zealand, est. 2000)",(New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander),(1941) (1944) (1980) (1978) (1976) (2003) (2000),(0) (0) (0) (0) (0) (0) (0),() () () () (Male) () (),2005,"Keyboard: ABS, Mylar substrate with screenprinted graphics, printed circuit board; headpointer: ABS and polypropylene/TPR",".1 (keyboard): 11 1/2 x 13 x 8"" (29.2 x 33 x 20.3 cm)
.2 (headpointer): 5 1/2 x 5 x 3"" (14 x 12.7 x 7.6 cm)",Gift of the Speyer Family Foundation,462.2008.1-2,Design,Architecture & Design,2008-05-22,Y,110429,http://www.moma.org/collection/works/110429,,,20.3200406401,,29.2100584201,,,33.0200660401,,
LOMAK light operated mouse and keyboard,"Michael Watling, Peter Haythornthwaite, Andrew Haythornthwaite, David Haythornthwaite, Dean Edgington, Opdo Limited, Haythornthwaite//Creativelab","33301, 34217, 34307, 34308, 34309, 33302, 34296","(New Zealander, born 1941) (New Zealander, born 1944) (New Zealander, born 1980) (New Zealander, born 1978) (New Zealander, born 1976) (New Zealand, est. 2003) (New Zealand, est. 2000)",(New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander) (New Zealander),(1941) (1944) (1980) (1978) (1976) (2003) (2000),(0) (0) (0) (0) (0) (0) (0),() () () () (Male) () (),2005,"Keyboard: ABS, Mylar substrate with screenprinted graphics, printed circuit board; headpointer: ABS and polypropylene/TPR",".1 (keyboard): 11 1/2 x 13 x 8"" (29.2 x 33 x 20.3 cm)
.2 (headpointer): 5 1/2 x 5 x 3"" (14 x 12.7 x 7.6 cm)",Gift of the Speyer Family Foundation,462.2008.1-2,Design,Architecture & Design,2008-05-22,Y,110429,http://www.moma.org/collection/works/110429,,,20.3200406401,,29.2100584201,,,33.0200660401,,
