Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Tray,Unidentified Designer,6011,(Nationality unknown),(Nationality unknown),(0),(0),(),Unknown,Glass,"2 1/8 x 11 3/4"" (5.4 x 29.9 cm)",Given anonymously,2309.2001,Design,Architecture & Design,2001-09-24,Y,1100,http://www.moma.org/collection/works/1100,http://www.moma.org/media/W1siZiIsIjIxMjA4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=738456f20cc7dbd6,,,29.9,5.3975,,,,,
Laboratory Glassware,Unidentified Designer,6011,(Nationality unknown),(Nationality unknown),(0),(0),(),Unknown,Borosilicate glass,"6 x 3 x 1 1/2"" (15.2 x 7.6 x 3.8 cm)",Purchase,2310.2001,Design,Architecture & Design,2001-09-24,Y,1101,http://www.moma.org/collection/works/1101,http://www.moma.org/media/W1siZiIsIjYwMjY1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=5c9a75735fdc4908,,3.8,,15.2,,,7.62,,
Basics (Drapery fabric),Martin,7341,(Nationality unknown),(Nationality unknown),(0),(0),(Male),c. 1953,Belgian linen,"59 x 40 1/2"" (149.9 x 102.9 cm)",Gift of the manufacturer,498.1975,Design,Architecture & Design,,Y,1507,http://www.moma.org/collection/works/1507,http://www.moma.org/media/W1siZiIsIjIzMDY3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a0441c0a2cc0fe6f,,,,,149.8603,,102.8702,,
Drinking Cup,Unidentified Designer,6011,(Nationality unknown),(Nationality unknown),(0),(0),(),c.1940,Plastic,"3 9/16 x 2 7/16"" (9 x 6.2 cm)",Purchase,57.1943,Design,Architecture & Design,1943-02-18,Y,1890,http://www.moma.org/collection/works/1890,http://www.moma.org/media/W1siZiIsIjUxNzU1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dc81c7163c1df739,,,6.1913,9.0,,,,,
Beer Glasses,Unidentified Designer,6011,(Nationality unknown),(Nationality unknown),(0),(0),(),Before 1946,Glass,"Each: 8 1/2 x 2 13/16"" (21.6 x 7.1 cm)",Purchase,88.1946.1-3,Design,Architecture & Design,1946-05-07,Y,2065,http://www.moma.org/collection/works/2065,http://www.moma.org/media/W1siZiIsIjIxMDIxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=78dd2304816ee450,,,7.1438,21.59,,,,,
Highball Glasses,Unidentified Designer,6011,(Nationality unknown),(Nationality unknown),(0),(0),(),Before 1946,Glass,"Each: 5 1/2 x 2 13/16"" (14 x 7.1 cm)",Purchase,89.1946.1-2,Design,Architecture & Design,1946-05-07,Y,2068,http://www.moma.org/collection/works/2068,http://www.moma.org/media/W1siZiIsIjIxMDIyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7125b8af260b5bbe,,,7.1438,13.97,,,,,
Tumblers,Unidentified Designer,6011,(Nationality unknown),(Nationality unknown),(0),(0),(),Before 1946,Glass,"Each: 5 1/16 x 2 11/16"" (12.9 x 6.8 cm)",Purchase,90.1946.1-2,Design,Architecture & Design,1946-05-07,Y,2070,http://www.moma.org/collection/works/2070,http://www.moma.org/media/W1siZiIsIjIxMDIyOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=77c183141c84a790,,,6.8263,12.8588,,,,,
Old-fashioned Glass,Unidentified Designer,6011,(Nationality unknown),(Nationality unknown),(0),(0),(),Before 1946,Glass,"3 1/4 x 3 1/16"" (8.2 x 7.8 cm)",Purchase,91.1946,Design,Architecture & Design,1946-05-07,Y,2073,http://www.moma.org/collection/works/2073,http://www.moma.org/media/W1siZiIsIjIxMDIzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ef2d169c7ccba586,,,7.7788,8.2,,,,,
Mixing Bowl,Unidentified Designer,6011,(Nationality unknown),(Nationality unknown),(0),(0),(),1942,Glass,"4 1/4 x 6 3/8"" (10.8 x 16.2 cm)",Purchase,93.1946,Design,Architecture & Design,1946-05-07,Y,2079,http://www.moma.org/collection/works/2079,http://www.moma.org/media/W1siZiIsIjIyODA4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e48b3f030d11cde3,,,16.1925,10.8,,,,,
Bottle Opener,Unidentified Designer,6011,(Nationality unknown),(Nationality unknown),(0),(0),(),1946,Stainless steel,"5 1/4 x 2 1/2"" (13.3 x 6.4 cm)","Gift of Edgar Kaufmann, Jr.",96.1946,Design,Architecture & Design,1946-05-07,Y,2086,http://www.moma.org/collection/works/2086,http://www.moma.org/media/W1siZiIsIjIxMDI1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=dc65214ce429967a,,,,,13.3,,6.35,,
